y2_hhid,dist_road,dist_popcenter,dist_admarc,dist_auction,dist_boma,dist_borderpost,dist_agmrkt,popdensity,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm_1k,twi_mwi,srtm_mwi_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2012_tot,h2012_wetQ,h2012_wetQstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,grn_avg,sen_avg,evimax_avg,h2012_eviarea,h2012_grn,h2012_sen,h2012_evimax,h2013_eviarea,h2013_grn,h2013_sen,h2013_evimax,LAT_DD_MOD,LON_DD_MOD,distY1Y2
0069-001,0,6,5,171,6,27,6,200-300,249,252,1194,315,701,60,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,540,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1085,777,18,856,577,19,1189,751,17,55.74833333333333,158,240,.5002666666666667,59.73,139,247,.4911,70.73,140,224,.4836,-9.959013142990001,33.8785372554,46.72
0070-001,1,60,3,181,32,15,32,0-50,195,202,1202,236,690,0,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1530,13,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1061,729,17,941,621,16,1005,741,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0071-001,11,48,8,199,30,29,30,0-50,210,214,1467,284,745,2,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1260,11,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1095,774,17,967,634,16,1125,797,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
0072-001,1,60,4,182,31,16,31,0-50,195,201,1206,237,693,0,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/subhumid,1530,12,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1059,730,17,939,624,16,1009,745,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0073-001,9,48,10,196,31,31,31,50-100,214,218,1463,286,750,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1085,771,18,960,641,16,1110,794,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
0074-001,1,61,3,182,32,14,32,0-50,190,197,1226,240,702,0,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/subhumid,1610,16,Mid-altitude Mountains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1060,729,17,943,621,16,1003,739,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0075-001,0,36,24,181,36,38,36,50-100,214,218,1383,279,710,16,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-warm/subhumid,1150,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Severe Constraint,1060,768,18,947,673,16,1096,790,17,55.74833333333333,158,240,.5002666666666667,59.73,139,247,.4911,70.73,140,224,.4836,-9.899375913309999,33.5937586129,19.01
0076-001,2,60,4,183,31,15,31,0-50,193,199,1214,238,696,0,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1560,12,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1058,729,17,940,624,16,1008,743,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0077-001,10,48,8,198,30,30,30,0-50,215,219,1492,290,766,0,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1140,11,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1093,774,17,966,635,16,1123,797,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
0078-001,1,60,4,183,31,16,31,0-50,195,201,1212,238,694,0,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1510,12,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1058,730,17,938,625,16,1012,746,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0079-001,11,50,6,200,29,30,29,50-100,206,212,1454,280,737,22,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1310,11,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1097,775,18,968,630,16,1129,799,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
0080-001,1,60,3,182,31,15,31,0-50,193,199,1214,238,696,0,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1560,12,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1059,729,17,940,623,16,1007,742,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0081-001,11,52,4,202,28,30,28,0-50,204,211,1461,280,741,12,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1310,11,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1100,776,18,971,626,16,1136,803,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
0082-001,0,60,1,180,33,14,33,0-50,194,200,1200,236,692,0,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1560,13,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1063,729,17,943,618,16,1000,737,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0083-001,11,50,7,200,29,30,29,50-100,209,213,1450,281,733,22,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1210,14,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1096,774,18,967,631,16,1127,799,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
0084-001,2,61,4,183,31,15,31,0-50,193,199,1214,238,696,0,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1560,11,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1058,729,17,940,624,16,1008,743,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0085-001,4,63,7,201,15,21,15,50-100,211,217,1195,235,672,12,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1250,14,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1047,747,17,961,660,16,1037,762,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.7798932003,33.3959337965,16.68
0086-001,0,58,5,182,31,17,31,0-50,197,203,1201,236,689,0,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1470,13,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1057,730,17,937,626,16,1014,748,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0087-001,11,50,7,200,29,30,29,0-50,209,213,1450,281,733,20,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1210,11,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1095,774,18,967,631,16,1126,799,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
0088-001,1,61,3,181,32,14,32,0-50,190,196,1227,240,703,0,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/subhumid,1630,11,Mid-altitude Mountains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1061,729,17,943,620,16,1001,738,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.9716,33.3739,
0089-001,11,50,7,200,29,30,29,0-50,206,212,1454,280,737,16,Closed(>40%)broadleaved decidious forest(>5m),Tropic-cool/subhumid,1310,13,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1095,774,18,967,631,16,1126,799,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.74823,33.5035,
