y2_hhid,dist_road,dist_popcenter,dist_admarc,dist_auction,dist_boma,dist_borderpost,dist_agmrkt,popdensity,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm_1k,twi_mwi,srtm_mwi_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2012_tot,h2012_wetQ,h2012_wetQstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,grn_avg,sen_avg,evimax_avg,h2012_eviarea,h2012_grn,h2012_sen,h2012_evimax,h2013_eviarea,h2013_grn,h2013_sen,h2013_evimax,LAT_DD_MOD,LON_DD_MOD,distY1Y2
1008-001,8,36,13,43,27,70,27,100-200,209,226,880,242,634,28,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,890,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,829,648,17,836,565,18,802,663,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7921,34.1602,
1009-001,3,35,8,35,9,85,9,200-300,188,203,899,243,626,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1290,15,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,808,640,16,823,544,18,847,684,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1010-001,5,33,15,47,29,71,29,100-200,214,231,889,246,645,2,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,850,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,830,650,17,842,577,18,788,655,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7921,34.1602,
1011-001,3,35,7,35,9,85,9,200-300,192,208,878,239,613,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1230,12,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,809,640,16,824,545,18,847,684,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1012-001,4,32,16,47,30,70,30,100-200,215,232,891,247,647,0,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,820,16,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,830,650,17,843,578,18,786,654,16,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7921,34.1602,
1013-001,4,35,7,35,10,84,10,100-200,194,210,872,238,609,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1210,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,809,638,16,825,544,18,848,684,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1014-001,4,32,15,47,30,71,30,100-200,215,232,891,247,647,2,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,820,15,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,830,650,17,843,577,18,787,654,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7921,34.1602,
1015-001,3,35,7,35,9,85,9,200-300,192,208,878,239,613,10,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1230,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,808,639,16,824,544,18,847,684,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1015-003,2,8,7,8,8,83,8,3000-5000,202,219,859,227,596,0,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Tropic-warm/semiarid,1090,15,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,817,630,17,836,572,19,874,682,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.92017,33.761072,29.6
1016-001,5,33,15,46,29,70,29,200-300,214,231,889,246,645,6,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,850,11,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,830,650,17,842,575,18,790,655,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7921,34.1602,
1017-001,4,35,7,35,11,84,11,200-300,194,210,874,239,611,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1200,11,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,809,639,16,827,547,18,846,683,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1018-001,1,10,4,71,10,74,10,50-100,239,254,1017,283,727,51,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,530,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,829,660,17,862,643,18,698,615,16,68.28083333333333,172,246,.5545166666666667,79.90000000000001,169,268,.5559000000000001,66.12,171,249,.5416000000000001,-13.71862,34.387836,25.26
1018-002,5,33,15,46,29,71,29,100-200,214,231,888,246,645,4,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,830,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,830,650,17,842,576,18,789,656,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7921,34.1602,
1019-001,4,35,7,35,11,84,11,200-300,194,210,872,238,609,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1210,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,809,639,16,826,546,18,846,684,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1020-001,5,34,14,46,28,71,28,100-200,212,229,887,245,641,14,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,850,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,830,650,17,841,574,18,792,657,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7921,34.1602,
1020-003,12,19,8,58,19,61,19,0-50,232,248,950,265,691,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,600,16,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,806,637,17,806,588,18,701,598,16,68.28083333333333,172,246,.5545166666666667,79.90000000000001,169,268,.5559000000000001,66.12,171,249,.5416000000000001,-13.864017,34.256346,17.88
1021-001,4,35,7,35,10,84,10,100-200,194,210,872,238,609,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1210,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,809,639,16,825,545,18,847,684,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1022-001,2,38,5,38,20,103,20,200-300,191,206,886,237,614,26,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1350,15,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,631,16,779,542,17,860,670,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1022-003,4,37,7,37,22,101,22,200-300,191,206,891,237,615,49,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,798,632,16,778,544,17,863,676,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1023-001,4,35,7,35,11,84,11,200-300,194,210,872,238,609,8,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1210,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,809,639,16,826,546,18,846,684,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.7611,33.9695,
1024-001,2,37,6,37,20,103,20,200-300,190,205,891,237,615,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,632,16,780,541,17,862,672,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1025-001,0,53,3,53,28,103,28,200-300,200,215,854,227,610,16,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1190,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,761,543,17,769,613,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1025-003,0,47,1,64,42,89,42,100-200,205,222,860,219,619,24,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1120,13,Mid-altitude Plateaus,Severe Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,792,627,17,742,520,17,699,572,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.416983,33.623815,13.55
1026-001,2,37,6,37,20,103,20,200-300,190,205,891,237,615,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,632,16,780,542,17,862,672,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1026-003,16,36,10,82,36,66,36,100-200,212,230,803,213,587,18,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1050,14,High-altitude Plains,Moderate Constraint,Moderate Constraint,No or Slight Constraint,Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,825,640,17,814,565,19,713,585,17,53.09416666666667,168,247,.457325,69.75,147,265,.4791,52.87,175,254,.4817,-13.387442,33.393402,50.04
1027-001,0,53,3,53,29,102,29,200-300,200,216,853,227,610,22,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1180,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,758,542,17,769,613,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1028-001,2,37,5,37,20,103,20,200-300,190,205,891,237,615,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,632,16,780,541,17,862,672,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1029-001,0,53,3,53,29,103,29,200-300,200,215,854,227,610,24,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1190,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,786,622,16,759,543,17,771,615,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1030-001,2,38,5,38,20,103,20,200-300,191,206,886,237,614,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1350,12,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,631,16,779,542,17,859,669,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1030-003,2,38,5,38,20,103,20,200-300,191,206,886,237,614,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1350,12,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,631,16,779,542,17,859,669,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1031-001,0,52,3,52,27,104,27,200-300,199,215,854,228,610,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1190,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,786,623,16,765,544,17,774,615,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1032-001,2,37,6,37,20,103,20,200-300,190,205,891,237,615,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,798,632,16,780,541,17,862,672,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1033-001,0,53,3,53,28,103,28,200-300,200,215,854,227,610,26,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1190,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,761,543,17,770,614,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1034-002,2,40,4,40,20,103,20,200-300,193,208,881,236,612,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1320,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,795,630,16,778,542,17,854,665,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1035-001,0,53,3,53,28,103,28,200-300,200,215,854,227,610,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1190,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,761,543,17,770,613,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1036-001,1,38,4,38,19,106,19,300-400,190,205,889,238,617,37,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,796,631,16,781,540,17,858,666,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1036-007,2,37,5,37,20,103,20,200-300,190,205,892,238,618,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1370,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,632,16,780,541,17,862,672,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1037-001,0,53,3,53,28,103,28,200-300,200,215,854,227,610,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1190,16,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,762,543,17,769,613,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1038-001,2,37,5,37,20,103,20,200-300,190,205,892,238,618,28,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1370,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,798,632,16,780,541,17,863,672,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1039-001,0,53,3,53,29,102,29,200-300,200,216,853,227,610,22,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1180,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,757,542,17,769,613,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1039-005,0,1,3,85,15,72,1,500-1000,238,255,992,230,651,14,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-warm/semiarid,480,14,Mid-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,598,16,763,514,19,829,693,16,63.83333333333334,145,233,.4779250000000001,78.8,117,251,.4842,62.71,142,221,.4693,-15.058385,35.215503,238.17
1040-001,2,38,4,38,20,104,20,200-300,192,207,883,236,613,28,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1330,12,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,796,631,16,780,541,17,858,667,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1041-001,0,53,3,53,28,103,28,200-300,200,215,854,227,610,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1190,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,761,543,17,769,613,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1042-001,2,37,6,37,20,103,20,200-300,190,205,891,237,615,28,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,798,632,16,780,541,17,863,673,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1042-004,0,38,3,38,17,105,17,300-400,191,206,888,238,616,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1350,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,632,16,783,537,17,859,665,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1043-001,0,53,3,53,29,103,29,200-300,200,216,853,227,610,24,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1190,15,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,786,622,16,759,543,17,771,615,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1044-001,2,38,5,38,20,103,20,200-300,191,206,886,237,614,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1350,12,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,631,16,779,542,17,859,669,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1045-001,0,53,3,53,28,103,28,200-300,200,215,854,227,610,24,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1190,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,786,623,16,761,543,17,772,615,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1046-001,1,38,4,38,19,106,19,300-400,190,205,889,238,617,45,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,796,631,16,781,540,17,858,667,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1046-002,0,36,5,36,16,102,16,200-300,190,205,889,239,616,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,799,634,16,785,535,17,867,671,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1047-001,0,39,6,39,8,87,8,200-300,189,204,896,243,626,22,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1320,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,810,644,16,829,554,18,835,681,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.663023,33.985936,36.26
1048-001,2,38,5,38,20,103,20,200-300,191,206,886,237,614,26,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1350,15,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,797,631,16,779,542,17,860,670,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1049-001,0,53,3,53,28,103,28,200-300,200,215,854,227,610,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1190,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,785,622,16,761,543,17,770,613,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
1050-001,2,37,5,37,20,103,20,200-300,190,205,891,237,615,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1360,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,798,632,16,780,541,17,862,672,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.6362,33.7489,
1051-001,0,52,3,52,27,104,27,400-500,199,214,855,228,609,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1200,16,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,786,623,16,765,544,17,775,615,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.5077,33.7376,
