occ,y2_hhid,qx_type,interview_status,fs_h0c,fs_h0d,fs_h07,fs_h08,fs_h09,fs_h10,fs_h11,fs_h12,fs_h13
2,0306-004,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0306-004,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0343-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0343-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0355-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0355-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0355-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0384-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0384-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0384-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0390-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0390-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0390-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0406-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,1,70000,0,0,1800
2,0406-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0406-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0406-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0406-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0508-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0508-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0508-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0508-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0508-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0782-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0782-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0782-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1069-003,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,0,13000,0,0,0
2,1069-003,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1069-003,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1069-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1069-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1659-005,PANEL A,Panel A - Combined Visit,PLANKBOAT,Plankboat,NO,,,,,,
3,1659-005,PANEL A,Panel A - Combined Visit,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1740-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1804-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1804-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,YES,6,10,5000000,0,0,70000
4,1804-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1804-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1879-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1921-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,YES,1,1,60000,0,0,36000
3,1921-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1921-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1921-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1935-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,2,2,80000,0,0,0
2,1949-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1949-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1949-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1949-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1951-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1951-002,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1951-002,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1951-002,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1951-002,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2073-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2073-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,YES,1,0,3000,0,0,10000
4,2073-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2073-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2189-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2189-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2189-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2189-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2231-004,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2231-004,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2403-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2403-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2403-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2403-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2403-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2433-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2433-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2433-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2563-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2563-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2563-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2569-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2569-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
