HHID,case_id,visit,ea_id,fs_j00,fs_j01,fs_j01_os,fs_j02a,fs_j02b,fs_j02b_os,fs_j02c,fs_j02c_os,fs_j02d,fs_j02e,fs_j02f,fs_j02g,fs_j02g_os,fs_j02h,fs_j03a,fs_j03b,fs_j03b_os,fs_j03c,fs_j03c_os,fs_j03d,fs_j03e,fs_j03f,fs_j03g,fs_j03g_os,fs_j03h
1935,301012800066,1,30101280,,,,,,,,,,,,,,,,,,,,,,,,,
1943,301012800128,1,30101280,1,Usipa,,20,Dozen,,Fresh,,5000,,,,,,20,Dozen,,Fresh,,10000,,,,,
1939,301012800172,1,30101280,1,Usipa,,1,Large basket,,Fresh,,2000,1,Large basket,Fresh,,2000,1,Large basket,,Fresh,,2000,1,Large basket,Fresh,,4000
1979,301020280258,1,30102028,1,Matemda,,1,Large basket,,Fresh,,2500,,,,,,1,Large basket,,Fresh,,2500,,,,,
1979,301020280258,1,30102028,1,Utaka,,1,Large basket,,Fresh,,2000,,,,,,1,Large basket,,Fresh,,2000,,,,,
2053,301084010268,1,30108401,,,,,,,,,,,,,,,,,,,,,,,,,
2189,303026010171,1,30302601,1,Mlamba,,1,Small basket,,Fresh,,8000,,,,,,1,Small basket,,Smoked,,9000,,,,,
2189,303026010171,1,30302601,1,Chambo,,6,Kilogram,,Fresh,,2000,,,,,,6,Kilogram,,Smoked,,5000,,,,,
2223,303052770138,1,30305277,,,,,,,,,,,,,,,,,,,,,,,,,
2257,303055800113,1,30305580,,,,,,,,,,,,,,,,,,,,,,,,,
2278,303076780046,2,30307678,1,Usipa,,2,5 kg bag,,Sun-dried,,700,,,,,,2,5 kg bag,,Sun-dried,,900,,,,,
2355,304067100177,1,30406710,2,,,,,,,,,,,,,,,,,,,,,,,,
2399,305024560043,1,30502456,1,Makakani,,200,Dozen,,Sun-dried,,80,,,,,,200,Dozen,,Sun-dried,,110,,,,,
2399,305024560043,1,30502456,1,Chambo,,175,Dozen,,Sun-dried,,130,,,,,,175,Dozen,,Sun-dried,,170,,,,,
2454,307086650188,2,30708665,1,Matemda,,1,Small basket,,Sun-dried,,800,,,,,,1,Small basket,,Sun-dried,,1000,,,,,
2454,307086650188,2,30708665,1,Utaka,,1,Small basket,,Sun-dried,,1000,,,,,,1,Small basket,,Sun-dried,,1200,,,,,
2581,307116840099,1,30711684,1,Usipa,,1,Small basket,,Sun-dried,,2500,,,,,,1,Small basket,,Sun-dried,,3500,,,,,
2581,307116840099,1,30711684,1,Utaka,,100,Piece,,Smoked,,1500,,,,,,100,Piece,,Smoked,,3000,,,,,
2569,307116840228,1,30711684,1,Chambo,,2,10 kg bag,,Smoked,,10000,,,,,,5,5 kg bag,,Smoked,,20000,,,,,
2569,307116840228,1,30711684,1,Ncheni,,2,5 kg bag,,Smoked,,7000,,,,,,5,25 kg bag,,Smoked,,15000,,,,,
2623,308016720066,1,30801672,1,Makakani,,3,Dozen,,Sun-dried,,8000,,,,,,3,Dozen,,Sun-dried,,16000,,,,,
