HHID,case_id,visit,ea_id,fs_h0a,fs_h0a_os,fs_h01,fs_h02,fs_h03,fs_h04,fs_h05,fs_h06
294,103086360099,2,10308636,"other, specify",,No,,,,,
316,103086360135,2,10308636,usipa(mosquito)net,,Yes,1,1,15000,0,0
316,103086360135,2,10308636,kambuzi(beach)seine,,No,,,,,
316,103086360135,2,10308636,mbedza(long /hand line),,No,,,,,
316,103086360135,2,10308636,mbuka/ntaya/ukonde (gillnet),,No,,,,,
316,103086360135,2,10308636,mono(fish traps),,No,,,,,
316,103086360135,2,10308636,chavi (castnet),,No,,,,,
316,103086360135,2,10308636,"other, specify",,No,,,,,
316,103086360135,2,10308636,"other, specify",,No,,,,,
306,103086360153,2,10308636,,,,,,,,
388,104041860008,2,10404186,,,,,,,,
396,104041860012,2,10404186,usipa(mosquito)net,,Yes,4,4,300,0,0
396,104041860012,2,10404186,kambuzi(beach)seine,,No,,,,,
396,104041860012,2,10404186,mbedza(long /hand line),,Yes,5,5,100,0,0
396,104041860012,2,10404186,mbuka/ntaya/ukonde (gillnet),,No,,,,,
396,104041860012,2,10404186,mono(fish traps),,No,,,,,
396,104041860012,2,10404186,chavi (castnet),,No,,,,,
396,104041860012,2,10404186,"other, specify",,No,,,,,
396,104041860012,2,10404186,"other, specify",,No,,,,,
384,104041860017,2,10404186,usipa(mosquito)net,,No,,,,,
384,104041860017,2,10404186,kambuzi(beach)seine,,No,,,,,
384,104041860017,2,10404186,mbedza(long /hand line),,Yes,400,400,5,0,0
384,104041860017,2,10404186,mbuka/ntaya/ukonde (gillnet),,Yes,3,3,250,0,0
384,104041860017,2,10404186,mono(fish traps),,No,,,,,
384,104041860017,2,10404186,chavi (castnet),,No,,,,,
384,104041860017,2,10404186,"other, specify",,No,,,,,
384,104041860017,2,10404186,"other, specify",,No,,,,,
404,104041860021,2,10404186,,,,,,,,
410,104041860030,2,10404186,,,,,,,,
386,104041860034,2,10404186,,,,,,,,
406,104041860039,2,10404186,,,,,,,,
394,104041860043,2,10404186,,,,,,,,
408,104041860061,2,10404186,usipa(mosquito)net,,Yes,4,5,500,0,0
408,104041860061,2,10404186,kambuzi(beach)seine,,No,,,,,
408,104041860061,2,10404186,mbedza(long /hand line),,No,,,,,
408,104041860061,2,10404186,mbuka/ntaya/ukonde (gillnet),,No,,,,,
408,104041860061,2,10404186,mono(fish traps),,No,,,,,
408,104041860061,2,10404186,chavi (castnet),,No,,,,,
408,104041860061,2,10404186,"other, specify",,No,,,,,
408,104041860061,2,10404186,"other, specify",,No,,,,,
390,104041860065,2,10404186,usipa(mosquito)net,,Yes,2,2,500,0,0
390,104041860065,2,10404186,kambuzi(beach)seine,,No,,,,,
390,104041860065,2,10404186,mbedza(long /hand line),,No,,,,,
390,104041860065,2,10404186,mbuka/ntaya/ukonde (gillnet),,No,,,,,
390,104041860065,2,10404186,mono(fish traps),,No,,,,,
390,104041860065,2,10404186,chavi (castnet),,No,,,,,
390,104041860065,2,10404186,"other, specify",,No,,,,,
390,104041860065,2,10404186,"other, specify",,No,,,,,
412,104041860083,2,10404186,usipa(mosquito)net,,No,,,,,
412,104041860083,2,10404186,kambuzi(beach)seine,,No,,,,,
412,104041860083,2,10404186,mbedza(long /hand line),,No,,,,,
412,104041860083,2,10404186,mbuka/ntaya/ukonde (gillnet),,No,,,,,
412,104041860083,2,10404186,mono(fish traps),,No,,,,,
412,104041860083,2,10404186,chavi (castnet),,No,,,,,
412,104041860083,2,10404186,"other, specify",,No,,,,,
412,104041860083,2,10404186,"other, specify",,No,,,,,
424,105015050001,2,10501505,,,,,,,,
