HHID,case_id,visit,ea_id,fs_e01,fs_e02,fs_e02_os,fs_e03,fs_e04a,fs_e04b,fs_e04b_os,fs_e04c,fs_e04c_os,fs_e04d,fs_e04e,fs_e04f,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06b_os,fs_e06c,fs_e06c_os,fs_e06d,fs_e06e,fs_e06f,fs_e07,fs_e07_os,fs_e08a,fs_e08b,fs_e08b_os,fs_e08c,fs_e08c_os,fs_e08d,fs_e08e,fs_e08f,fs_e08f_os,fs_e08g,fs_e08h,fs_e09,fs_e10,fs_e10_os,fs_e11a,fs_e11b,fs_e11b_os,fs_e11c,fs_e11c_os,fs_e11d,fs_e11e,fs_e11e_os,fs_e11f,fs_e12,fs_e13,fs_e13_os
279,103020100047,1,10302010,Yes,Chambo,,1,1,Dozen,,Fresh,,,,,1,,1,Dozen,,Fresh,,,,,"Yes, the figures matched",,,,,,,,,,,,,0,Yes,,1,Dozen,,Fresh,,,,,,Almost all,"Yes, the figures matched",
279,103020100047,1,10302010,Yes,Ncheni,,3,2,Dozen,,Fresh,,,,,6,,2,Dozen,,Fresh,,,,,,,,,,,,,,,,,,0,Yes,,2,Dozen,,Fresh,,,,,,Almost all,,
291,103040120101,1,10304012,Yes,Utaka,,1,1,Small basket,,Fresh,,,,,1,,1,Small basket,,Fresh,,,,,"Yes, the figures matched",,0,,,,,,,,,,,0,Yes,,1,Small basket,,Fresh,,,,,,Almost all,"Yes, the figures matched",
301,103040120129,1,10304012,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THI,,,,,,,,,,,,SOME WERE GIVEOUT AS GIFT TO OTHER PEOPLE
268,103054460016,2,10305446,Yes,Matemda,,4,10,Dozen,,Fresh,,,,,40,,40,Dozen,,Fresh,,,,,"Yes, the figures matched",,20,Dozen,,Fresh,,16500,,,,,,4,No,,20,Dozen,,Fresh,,,,,,1/2,"Yes, the figures matched",
268,103054460016,2,10305446,Yes,Usipa,,4,10,Dozen,,Fresh,,,,,40,,40,Dozen,,Fresh,,,,,,,20,Dozen,,Fresh,,16500,,,,,,4,No,,20,Dozen,,Fresh,,,,,,1/2,,
266,103054460029,2,10305446,Yes,Usipa,,8,10,Dozen,,Fresh,,,,,80,,80,Dozen,,Fresh,,,,,"Yes, the figures matched",,40,Dozen,,Fresh,,5000,,,,,,8,No,,40,Dozen,,Fresh,,,,,,1/2,"Yes, the figures matched",
331,103074130190,1,10307413,Yes,Matemda,,2,1,Dozen,,Fresh,,,,,2,,1,Dozen,,Fresh,,,,,,,1,Small basket,,Smoked,,700,,,,,,1,Yes,,1,Other (specify),COAIR,Sun-dried,,,,,,1/2,,
331,103074130190,1,10307413,Yes,Chambo,,2,9,Piece,,Fresh,,,,,18,,9,Piece,,Fresh,,,,,"Yes, the figures matched",,1,Dozen,,Fresh,,1000,,,,,,2,No,,2,Dozen,,Fresh,,,,,,1/2,"Yes, the figures matched",
331,103074130190,1,10307413,Yes,Usipa,,2,1,Dozen,,Fresh,,,,,2,,1,Dozen,,Fresh,,,,,,,1,Small basket,,Fresh,,700,,,,,,1,Yes,,1,Other (specify),COAIR,Sun-dried,,,,,,1/2,,
298,103086360072,2,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,103086360081,2,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,103086360090,2,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,103086360099,2,10308636,Yes,Usipa,,4,20,Dozen,,Fresh,,20,Dozen,Sun-dried,80,80,40,Dozen,,Fresh,,40,Dozen,Sun-dried,"Yes, the figures matched",,30,Dozen,,Fresh,,4000,30,Dozen,,Sun-dried,4000,4,No,,10,Dozen,,Fresh,,10,Dozen,,Sun-dried,1/4,"Yes, the figures matched",
316,103086360135,2,10308636,Yes,Usipa,,16,2,Large basket,,Fresh,,,,,32,,32,Large basket,,Fresh,,,,,"Yes, the figures matched",,2,Large basket,,Fresh,,5000,,,,,,16,No,,10,Kilogram,,Fresh,,,,,,1/4,"No, the entries were adjusted",BECAUSE THE AMOU KEPT FOR THE HOUSEHOLD COMSUM
306,103086360153,2,10308636,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,104041860008,2,10404186,Yes,Usipa,,12,1,Large basket,,Fresh,,,,,12,,96,Large basket,,Fresh,,,,,"Yes, the figures matched",,1,Large basket,,Fresh,,2000,,,,,,12,No,,2,Other (specify),TI,Fresh,,,,,,Almost none,"No, the entries were adjusted",
396,104041860012,2,10404186,Yes,Usipa,,24,5,Large basket,,Fresh,,,,,120,,120,Large basket,,Fresh,,,,,"Yes, the figures matched",,108,Large basket,,Fresh,,16200,,,,,,24,No,,1,Small basket,,Fresh,,,,,,1/4,"Yes, the figures matched",
384,104041860017,2,10404186,Yes,Chambo,,24,40,Piece,,Fresh,,,,,960,,960,Piece,,Fresh,,,,,"Yes, the figures matched",,840,Piece,,Fresh,,96000,,,,,,24,No,,5,Piece,,Fresh,,,,,,1/4,"Yes, the figures matched",
384,104041860017,2,10404186,Yes,Other (specify),KAMPAO,24,10,Piece,,Fresh,,,,,240,,240,Piece,,Fresh,,,,,,,240,Piece,,Fresh,,24000,,,,,,24,No,,5,Piece,,Fresh,,,,,,1/4,,
404,104041860021,2,10404186,Yes,Chambo,,8,15,Piece,,Fresh,,,,,120,,120,Piece,,Fresh,,,,,"Yes, the figures matched",,11,Piece,,Fresh,,,,,,,,8,No,,4,Piece,,Fresh,,,,,,1/4,"Yes, the figures matched",
410,104041860030,2,10404186,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,104041860034,2,10404186,Yes,Chambo,,3,2,Dozen,,Fresh,,,,,6,,6,Dozen,,Fresh,,,,,,,1,Dozen,,Fresh,,1000,,,,,,3,No,,1,Dozen,,Fresh,,,,,,1/2,,
386,104041860034,2,10404186,Yes,Usipa,,5,20,Dozen,,Fresh,,,,,100,,100,Dozen,,Fresh,,,,,"Yes, the figures matched",,10,Dozen,,Fresh,,5000,,,,,,5,No,,2,Dozen,,Fresh,,,,,,1/4,"Yes, the figures matched",
386,104041860034,2,10404186,Yes,Utaka,,7,7,Dozen,,Fresh,,,,,49,,49,Dozen,,Fresh,,,,,,,2,Dozen,,Fresh,,1000,,,,,,7,No,,1,Dozen,,Fresh,,,,,,1/2,,
406,104041860039,2,10404186,Yes,Ncheni,,3,10,Dozen,,Fresh,,,,,30,,30,Dozen,,Fresh,,,,,"Yes, the figures matched",,28,Dozen,,Fresh,,,,,,,,3,No,,2,Dozen,,Fresh,,,,,,1/4,"Yes, the figures matched",
406,104041860039,2,10404186,Yes,Utaka,,3,15,Small basket,,Fresh,,,,,45,,45,Small basket,,Fresh,,,,,,,42,Small basket,,Fresh,,,,,,,,3,No,,1,Small basket,,Fresh,,,,,,1/4,,
394,104041860043,2,10404186,Yes,Ncheni,,10,6,Dozen,,Fresh,,,,,60,,60,Dozen,,Fresh,,,,,"Yes, the figures matched",,4,Dozen,,Fresh,,480,,,,,,10,No,,1,Dozen,,Fresh,,,,,,1/4,"Yes, the figures matched",
394,104041860043,2,10404186,Yes,Utaka,,7,10,Dozen,,Fresh,,,,,70,,70,Dozen,,Fresh,,,,,,,7,Dozen,,Fresh,,700,,,,,,7,No,,1,Dozen,,Fresh,,,,,,1/4,,
408,104041860061,2,10404186,Yes,Ncheni,,4,20,Dozen,,Fresh,,,,,80,,80,Dozen,,Fresh,,,,,,,80,Dozen,,Fresh,,5000,,,,,,4,No,,50,Dozen,,Fresh,,,,,,3/4,,
408,104041860061,2,10404186,Yes,Usipa,,8,50,Dozen,,Fresh,,,,,400,,400,Dozen,,Fresh,,,,,"Yes, the figures matched",,350,Dozen,,Fresh,,15000,,,,,,8,No,,50,Dozen,,Fresh,,,,,,3/4,"Yes, the figures matched",
390,104041860065,2,10404186,Yes,Usipa,,4,20,Dozen,,Fresh,,,,,80,,80,Dozen,,Fresh,,,,,"Yes, the figures matched",,40,Dozen,,Fresh,,10000,,,,,,4,No,,20,Dozen,,Fresh,,,,,,1/2,"Yes, the figures matched",
412,104041860083,2,10404186,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,105015050001,2,10501505,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,105033670018,1,10503367,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
