PID,eligible_tracking,status,whynotfound,specialcase
005301,1,"Not Found, Tracking Eligible",,
005302,1,Found,,
005303,0,Found,,
005401,1,Found,,
005402,1,Found,,
005403,1,Found,,
005404,1,Found,,
005405,1,Found,,
005406,0,Found,,
005407,0,Found,,
005408,0,Found,,
005501,1,Found,,
005502,1,Found,,
005503,1,Found,,
005504,1,Found,,
005505,1,Found,,
005506,1,Found,,
005507,0,Found,,
005508,0,Found,,
005509,0,Found,,
005510,0,Found,,
005511,1,Found,,
005601,1,Found,,
005602,1,Found,,
005603,1,Found,,
005604,1,Individual Dead,,
005605,1,Found,,
005606,1,Found,,
005607,1,Found,,
005608,1,Found,,
005609,0,Found,,
005701,1,Found,,
005702,1,Found,,
005703,1,Found,,
005704,1,Found,,
005705,1,Found,,
005706,1,Found,,
005707,1,Found,,
005708,0,Found,,
005709,0,Found,,
005710,0,Found,,
005801,1,Found,,
005802,1,Found,,
005803,0,Found,,
005901,1,Found,,
005902,1,Found,,
005903,0,Found,,
006001,1,Found,,
006101,1,Found,,
006201,1,Individual Dead,,
006202,1,Found,,
006301,1,Found,,
006302,1,Found,,
006303,1,Found,,
006304,0,Found,,
006305,0,Found,,
006306,0,Found,,
006401,1,Found,,
006501,1,Found,,
006502,1,Found,,
006601,1,Found,,
006602,1,Found,,
006603,1,Found,,
006701,1,Found,,
006702,1,Found,,
006703,0,Found,,
006704,0,Found,,
006801,1,Found,,
006802,1,Found,,
006803,1,Found,,
006804,1,Found,,
006805,1,Found,,
006806,1,Found,,
006807,0,Found,,
006808,0,Found,,
006901,1,Found,,
006902,1,Found,,
006903,0,Found,,
006904,0,Found,,
007001,1,Found,,
007002,1,Found,,
007003,0,Found,,
007004,0,Found,,
007005,0,Found,,
007101,1,Found,,
007102,1,Found,,
007103,1,Found,,
007104,1,Found,,
007105,1,Found,,
007106,0,Found,,
007107,0,Found,,
007108,0,Found,,
007201,1,Found,,
007202,1,Found,,
007301,1,Found,,
007302,1,Found,,
007303,1,Found,,
007304,1,Found,,
007305,1,Found,,
007306,0,Found,,
007307,0,Found,,
007308,0,Found,,
007401,1,Found,,
007402,1,Found,,
