occ,y2_hhid,qx_type,interview_status,fs_d0c,fs_d0d,fs_d07,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13
4,0301-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0301-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0306-004,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0306-004,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0316-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,1,45000,0,0,1500
2,0316-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0316-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0316-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0316-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0343-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0343-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0355-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0355-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0355-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0384-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0384-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0384-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0390-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0390-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0390-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0406-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,1,70000,0,0,2000
2,0406-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0406-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0406-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0406-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0508-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0508-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0508-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0508-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0508-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,0782-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,0782-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,0782-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1069-003,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,0,15000,0,0,0
2,1069-003,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1069-003,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1069-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1069-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1134-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1134-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1134-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1134-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1134-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1218-002,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1218-002,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1218-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1218-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1325-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1325-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1325-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1325-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1659-005,PANEL A,Panel A - Combined Visit,PLANKBOAT,Plankboat,NO,,,,,,
3,1659-005,PANEL A,Panel A - Combined Visit,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1740-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1740-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1740-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1740-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1740-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1804-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1804-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,YES,8,10,5000000,0,0,100000
4,1804-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1804-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1879-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1879-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1879-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1879-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1879-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1921-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,YES,1,1,60000,0,0,54600
3,1921-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1921-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1921-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1935-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,0,30000,0,16000,32000
2,1935-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1935-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1935-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1935-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,0,5000,0,0,42000
2,1945-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1945-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1945-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1945-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,2,2,80000,0,0,21000
2,1949-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1949-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1949-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
