occ,ea_id,com_cd01,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd11,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd23,com_cd24,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65e,com_cd65f,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
1,30710079,DIRT ROAD (MAINTAINED),NO,0,2,NO,3,KM,10,MINUTE,150,500,NO,5,KM,NO,2,5,NO,5,3,1,2,KM,0,0,NO,20,NO,,,NO,13,KM,27,539,10,KM,17,2,YES,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,7,KM,RELIGIOUS FACILITY,NO,,NO,,,,,,NO,12,KM,NO,12,KM,NO,NO
1,30711684,DIRT ROAD (MAINTAINED),YES,0,12,NO,6,KM,2,HOUR,1000,3500,NO,5,KM,YES,,,YES,,10,0,1,KM,11,913,YES,,NO,,,NO,10,KM,12,111,6,KM,8,230,NO,0,0,0,0,YES,,,NO,3,KM,,,YES,NO,,,,1,METER,GOVERNMENT FACILITY,NO,,YES,NO,NO,NO,NO,NO,NO,10,KM,NO,10,KM,NO,NO
1,30801672,GRADED GRAVELED,YES,10,10,NO,25,KM,10,MINUTE,2500,1700,NO,25,KM,YES,,,NO,25,5,1,3,KM,15,900,NO,2,YES,ALMOST ALL,COOKED FOOD,NO,12,KM,15,300,4,KM,13,700,YES,0,0,0,0,YES,,,NO,5,KM,,,YES,YES,FEMALE,YES,YES,5,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,YES,,,YES,,,NO,NO
1,30801679,DIRT ROAD (MAINTAINED),NO,6,6,NO,7,KM,5,MINUTE,200,200,YES,,,YES,,,YES,,15,1,0,METER,42,3259,NO,8,YES,3/4,COOKED FOOD,NO,20,KM,27,480,1,MILE,13,475,NO,0,0,0,0,YES,,,NO,8,KM,,,YES,YES,FEMALE,YES,YES,15,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,NO,NO,15,KM,NO,15,KM,NO,NO
1,30803115,DIRT ROAD (MAINTAINED),YES,12,12,NO,7,KM,3,MINUTE,250,250,NO,7,KM,NO,7,KM,YES,,18,2,3,KM,14,1170,NO,4,YES,3/4,COOKED FOOD,YES,2,MILE,18,515,7,KM,11,320,YES,0,0,0,0,YES,,,NO,10,KM,,,YES,YES,FEMALE,YES,YES,20,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,NO,NO,20,KM,NO,20,KM,NO,YES
1,30804416,TAR/ASPHALT,YES,12,12,YES,,,10,MINUTE,300,600,YES,,,YES,,,NO,3,5,1,0,0,15,802,YES,,YES,ALMOST ALL,COOKED FOOD,NO,0,0,14,500,5,KM,10,262,NO,0,0,0,1,YES,,,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,250,KM,GOVERNMENT FACILITY,YES,0,YES,NO,NO,NO,YES,YES,NO,3,KM,NO,3,KM,YES,
1,30805259,DIRT ROAD (MAINTAINED),YES,12,12,NO,7,KM,5,MINUTE,500,500,NO,2,KM,NO,2,KM,YES,,15,0,0,METER,6,1119,NO,6,YES,3/4,COOKED FOOD,NO,22,KM,25,418,22,KM,12,260,NO,0,0,0,1,YES,,,NO,12,KM,,,YES,YES,MALE,YES,YES,22,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,NO,22,KM,NO,22,KM,NO,NO
1,30806611,DIRT ROAD (MAINTAINED),NO,9,9,NO,12,KM,20,MINUTE,800,1000,NO,1,KM,NO,2,KM,NO,12,1,0,1,KM,13,2000,NO,3,NO,,,NO,,,,,2,KM,7,100,YES,0,0,0,1,,,,NO,2,KM,,,NO,,,,,35,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,NO,YES,NO,YES,,,YES,,,NO,NO
1,30901054,DIRT ROAD (MAINTAINED),NO,0,8,NO,15,KM,10,MINUTE,800,1200,YES,,,NO,5,KM,YES,,20,1,0,KM,14,1187,NO,4,NO,,,NO,42,KM,23,540,8,KM,9,143,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,NO,YES,YES,MALE,YES,YES,42,KM,GOVERNMENT FACILITY,YES,0,YES,NO,NO,NO,NO,NO,NO,30,KM,NO,30,KM,NO,YES
1,30901475,GRADED GRAVELED,YES,12,12,YES,,,1,DAY,200,800,NO,0,KM,YES,,,NO,20,4,0,0,KM,14,850,NO,2,YES,3/4,COOKED FOOD,NO,10,KM,17,750,10,KM,12,750,NO,0,0,0,0,YES,,,NO,10,KM,,,NO,,,,,35,KM,RELIGIOUS FACILITY,NO,,YES,NO,NO,NO,YES,YES,NO,15,KM,NO,15,KM,NO,NO
