HHID,case_id,visit,ea_id,fs_i01,fs_i02,fs_i02_os,fs_i03,fs_i04a,fs_i04b,fs_i04b_os,fs_i04c,fs_i04c_os,fs_i04d,fs_i04e,fs_i04f,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06b_os,fs_i06c,fs_i06c_os,fs_i06d,fs_i06e,fs_i06f,fs_i07,fs_i07_os,fs_i08a,fs_i08b,fs_i08b_os,fs_i08c,fs_i08c_os,fs_i08d,fs_i08e,fs_i08f,fs_i08f_os,fs_i08g,fs_i08h,fs_i09,fs_i10,fs_i10_os,fs_i11a,fs_i11b,fs_i11b_os,fs_i11c,fs_i11c_os,fs_i11d,fs_i11e,fs_i11e_os,fs_i11f,fs_i11f_os,fs_i12,fs_i13,fs_i13_os
294,103086360099,2,10308636,Yes,Usipa,,4,10,Dozen,,Fresh,,10,Dozen,Sun-dried,40,40,20,Dozen,,Fresh,,20,Dozen,Sun-dried,"Yes, the figures matched",,10,Dozen,,Fresh,,2000,10,Dozen,,Sun-dried,2000,4,No,TES,10,Dozen,,Fresh,,10,Dozen,,Fresh,,1/2,"Yes, the figures matched",
316,103086360135,2,10308636,Yes,Usipa,,24,1,Small basket,,Fresh,,,,,24,,24,Small basket,,Fresh,,,,,"Yes, the figures matched",,4,Small basket,,Fresh,,3000,,,,,,24,Yes,,25,5 kg bag,,Fresh,,,,,,,1/4,"Yes, the figures matched",
306,103086360153,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,104041860008,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,104041860012,2,10404186,Yes,Usipa,,24,2,Large basket,,Fresh,,,,,48,,48,Large basket,,Fresh,,,,,"Yes, the figures matched",,2,Large basket,,Fresh,,6000,,,,,,24,Yes,,20,Kilogram,,Fresh,,,,,,,Almost none,"No, the entries were adjusted",T SURE OF HOW MUCH WAS COUMED
384,104041860017,2,10404186,Yes,Chambo,,12,4,Piece,,Fresh,,,,,48,,48,Piece,,Fresh,,,,,"Yes, the figures matched",,48,Piece,,Fresh,,2400,,,,,,12,Yes,,1,Piece,,Fresh,,,,,,,Almost none,"No, the entries were adjusted",BECAUSE HE WAS T CERTAIWITH THE COUPTIOF
404,104041860021,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,104041860030,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,104041860034,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,104041860039,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,104041860043,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,104041860061,2,10404186,Yes,Usipa,,4,20,Piece,,Fresh,,,,,80,,80,Dozen,,Fresh,,,,,"Yes, the figures matched",,80,Dozen,,Fresh,,10000,,,,,,4,No,,40,Dozen,,Fresh,,,,,,,Almost none,"Yes, the figures matched",
390,104041860065,2,10404186,Yes,Usipa,,2,20,Dozen,,Fresh,,,,,40,,40,Dozen,,Fresh,,,,,"Yes, the figures matched",,0,,,,,,0,,,,,2,No,,40,Dozen,,Fresh,,,,,,,Almost all,"Yes, the figures matched",
412,104041860083,2,10404186,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,105015050001,2,10501505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,105033670018,1,10503367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,107321920281,1,10732192,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,107462440085,2,10746244,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,201106200267,1,20110620,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,204040320072,1,20404032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,205083490010,1,20508349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,205083490121,1,20508349,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,207053720086,1,20705372,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,207061630586,1,20706163,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,208044050092,1,20804405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,210375360135,1,21037536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,301012800005,1,30101280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,301012800063,1,30101280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,301012800066,1,30101280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
