case_id,ea_id,plot_id,dist_hh,HHID,reside,stratum,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2,_merge
204021980064,20402069,R3,.30000001,980,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,04jun2010,4,6,2010,02sep2010,2,9,2010,40,40,05jun2010,5,6,2010,02sep2010,2,9,2010,49,49,15jun2010,15,6,2010,21sep2010,21,9,2010,5,10,11dec2010,11,12,2010,09feb2011,9,2,2011,No,Yes,No,No,No,Complete,Complete,both in master and using data
204021980064,20402069,R1,.2,980,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,04jun2010,4,6,2010,02sep2010,2,9,2010,40,40,05jun2010,5,6,2010,02sep2010,2,9,2010,49,49,15jun2010,15,6,2010,21sep2010,21,9,2010,5,10,11dec2010,11,12,2010,09feb2011,9,2,2011,No,Yes,No,No,No,Complete,Complete,both in master and using data
204021980064,20402069,R2,.2,980,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,04jun2010,4,6,2010,02sep2010,2,9,2010,40,40,05jun2010,5,6,2010,02sep2010,2,9,2010,49,49,15jun2010,15,6,2010,21sep2010,21,9,2010,5,10,11dec2010,11,12,2010,09feb2011,9,2,2011,No,Yes,No,No,No,Complete,Complete,both in master and using data
204021980072,20402069,R1,1.1,970,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,05jun2010,5,6,2010,01sep2010,1,9,2010,40,40,06jun2010,6,6,2010,01sep2010,1,9,2010,49,49,12jun2010,12,6,2010,20sep2010,20,9,2010,13,10,09dec2010,9,12,2010,08feb2011,8,2,2011,Yes,Yes,No,No,No,Complete,Complete,both in master and using data
204021980072,20402069,R3,.30000001,970,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,05jun2010,5,6,2010,01sep2010,1,9,2010,40,40,06jun2010,6,6,2010,01sep2010,1,9,2010,49,49,12jun2010,12,6,2010,20sep2010,20,9,2010,13,10,09dec2010,9,12,2010,08feb2011,8,2,2011,Yes,Yes,No,No,No,Complete,Complete,both in master and using data
204021980072,20402069,R2,.60000002,970,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,05jun2010,5,6,2010,01sep2010,1,9,2010,40,40,06jun2010,6,6,2010,01sep2010,1,9,2010,49,49,12jun2010,12,6,2010,20sep2010,20,9,2010,13,10,09dec2010,9,12,2010,08feb2011,8,2,2011,Yes,Yes,No,No,No,Complete,Complete,both in master and using data
204021980081,20402069,R1,.5,964,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,04jun2010,4,6,2010,01sep2010,1,9,2010,40,40,05jun2010,5,6,2010,01sep2010,1,9,2010,49,49,15jun2010,15,6,2010,21sep2010,21,9,2010,13,10,10dec2010,10,12,2010,09feb2011,9,2,2011,No,Yes,No,Yes,No,Complete,Complete,both in master and using data
204021980081,20402069,R2,1.3,964,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,04jun2010,4,6,2010,01sep2010,1,9,2010,40,40,05jun2010,5,6,2010,01sep2010,1,9,2010,49,49,15jun2010,15,6,2010,21sep2010,21,9,2010,13,10,10dec2010,10,12,2010,09feb2011,9,2,2011,No,Yes,No,Yes,No,Complete,Complete,both in master and using data
204021980081,20402069,R3,.60000002,964,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,44,44,04jun2010,4,6,2010,01sep2010,1,9,2010,40,40,05jun2010,5,6,2010,01sep2010,1,9,2010,49,49,15jun2010,15,6,2010,21sep2010,21,9,2010,13,10,10dec2010,10,12,2010,09feb2011,9,2,2011,No,Yes,No,Yes,No,Complete,Complete,both in master and using data
204021980097,20402069,R1,.30000001,978,rural,Center - Rural,1589.4939,Panel B,Dowa,2,S/C Chakhazda,No,,42,42,05jun2010,5,6,2010,02sep2010,2,9,2010,40,40,06jun2010,6,6,2010,02sep2010,2,9,2010,49,49,15jun2010,15,6,2010,20sep2010,20,9,2010,13,10,10dec2010,10,12,2010,09feb2011,9,2,2011,No,Yes,No,No,No,Complete,Complete,both in master and using data
