occ,ea_id,com_cf28,com_cf00,com_cf29,com_cf30,com_cf31,com_cf32a,com_cf32b,com_cf33,com_cf34,com_cf35a,com_cf35b,com_cf35c,com_cf35d,com_cf35e
1,20206362,YES,101,TOTAL LANDCARE,IMPROVE SOIL QUALITY,48,9,2001,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,NO,YES,NO,NO
2,20206362,,102,CONCERN UNIVERSAL,MINIMUM TILLAGE/PLANTING PITS,67,4,2009,FARMERS & EXTERNAL SOURCES,DFID,YES,YES,NO,NO,NO
3,20206362,,103,FIDP,INCREASE CROP YIELDS,102,6,2006,FARMERS & EXTERNAL SOURCES,UNDP,YES,YES,NO,NO,NO
1,20302539,YES,101,TOTAL LAND CARE,IMPROVE SOIL QUALITY,310,9,2010,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,YES,NO,NO,NO
2,20302539,,102,WORLD VISION,INCREASE CROP YIELDS,350,9,2010,EXTERNAL SOURCES ONLY,UNDP,NO,NO,YES,NO,YES
1,20303065,YES,101,TOTAL LANDCARE,AGRO-FORESTRY PRACTICES,132,10,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,NO,NO,NO,NO
2,20303065,,102,NASFARM,IMPROVE SOIL QUALITY,146,9,2003,EXTERNAL SOURCES ONLY,NASFAM,YES,NO,YES,NO,NO
3,20303065,,103,WORLD VISION,LIVESTOCK-PRODUCTION,20,9,1993,EXTERNAL SOURCES ONLY,UNDP,YES,YES,YES,NO,NO
1,20305301,YES,101,TOTAL LAND CARE,AGRO-FORESTRY PRACTICES,20,9,2011,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,YES,NO,NO
1,20306557,YES,101,TOTAL LAND CARE,AGRO-FORESTRY PRACTICES,63,7,2013,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,NO,YES,NO,NO
1,20402198,NO,,,,,,,,,,,,,
1,20404032,NO,,,,,,,,,,,,,
1,20404575,YES,101,TOTAL LAND CARE,AGRO-FORESTRY PRACTICES,25,9,2101,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,YES,NO,NO,NO
2,20404575,,102,CARE MALAWI,IRRIGATION,25,8,2010,FARMERS & EXTERNAL SOURCES,CARE INTERNATIONAL,YES,YES,NO,YES,NO
3,20404575,,103,IREAD,IRRIGATION,25,9,2012,FARMERS & EXTERNAL SOURCES,UNDP,YES,YES,NO,NO,NO
1,20405366,NO,,,,,,,,,,,,,
1,20407398,NO,,,,,,,,,,,,,
1,20407481,YES,101,CONCERN WORLDWIDE,LIVESTOCK-PRODUCTION,152,9,2010,EXTERNAL SOURCES ONLY,DFID,YES,YES,NO,NO,NO
2,20407481,,102,TOTAL LANDCARE,AGRO-FORESTRY PRACTICES,104,9,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,20507089,YES,101,TOTAL LAND CARE,27,10,9,2010,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,YES,NO,NO
