ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
10507175,Mzimba,7,38,11oct2010,11,10,2010,391,12oct2010,12,10,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,IRON SHEETS
10507344,Mzimba,7,30,06jul2010,6,7,2010,391,31mar2011,31,3,2011,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
10509319,Mzimba,9,30,30mar2011,30,3,2011,391,30mar2011,30,3,2011,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10510388,Mzimba,10,30,28jul2010,28,7,2010,391,30mar2011,30,3,2011,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
10732192,Mzuzu City,32,30,10may2010,10,5,2010,391,29jun2010,29,6,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10733640,Mzuzu City,33,38,21sep2010,21,9,2010,391,22sep2010,22,9,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,GRASS
10734370,Mzuzu City,34,38,06oct2010,6,10,2010,391,09oct2010,9,10,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10734762,Mzuzu City,34,30,10jul2010,10,7,2010,391,13jul2010,13,7,2010,YES,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
10735173,Mzuzu City,35,30,03apr2010,3,4,2010,39,21may2010,21,5,2010,YES,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
10736596,Mzuzu City,36,30,03aug2010,3,8,2010,391,17aug2010,17,8,2010,YES,YES,YES,YES,YES,YES,GRASS,IRON SHEETS
10741504,Mzuzu City,41,30,14jul2010,14,7,2010,391,18jul2010,18,7,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10744649,Mzuzu City,44,38,08oct2010,8,10,2010,391,10oct2010,10,10,2010,YES,NO,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10746033,Mzuzu City,46,30,06apr2010,6,4,2010,391,29jun2010,29,6,2010,NO,NO,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
10746244,Mzuzu City,46,30,31jul2010,31,7,2010,391,03aug2010,3,8,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
20106042,Kasungu,6,70,26sep2010,26,9,2010,49,05oct2010,5,10,2010,YES,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
20110620,Kasungu,10,40,08may2010,8,5,2010,49,14may2010,14,5,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
