HHID,case_id,visit,ea_id,fs_h0c,fs_h07,fs_h08,fs_h09,fs_h10,fs_h11,fs_h12,fs_h13,fs_h14a,fs_h14b,fs_h14c,fs_h14d
203,102207050206,1,10220705,outboard engine,No,,,,,,,,,,
203,102207050206,1,10220705,"other, specify",No,,,,,,,,,,
203,102207050206,1,10220705,"other, specify",No,,,,,,,,,,
251,103016630307,1,10301663,,,,,,,,,,,,
273,103020100009,1,10302010,,,,,,,,,,,,
263,103020100028,1,10302010,,,,,,,,,,,,
279,103020100047,1,10302010,,,,,,,,,,,,
291,103040120101,1,10304012,,,,,,,,,,,,
301,103040120129,1,10304012,,,,,,,,,,,,
268,103054460016,2,10305446,,,,,,,,,,,,
266,103054460029,2,10305446,,,,,,,,,,,,
331,103074130190,1,10307413,,,,,,,,,,,,
298,103086360072,2,10308636,,,,,,,,,,,,
314,103086360081,2,10308636,,,,,,,,,,,,
300,103086360090,2,10308636,bwato (dugout),No,,,,,,,0,0,0,0
300,103086360090,2,10308636,plankboat,No,,,,,,,,,,
300,103086360090,2,10308636,outboard engine,No,,,,,,,,,,
300,103086360090,2,10308636,"other, specify",No,,,,,,,,,,
300,103086360090,2,10308636,"other, specify",No,,,,,,,,,,
294,103086360099,2,10308636,bwato (dugout),Yes,1,0,10000,0,0,0,0,0,0,0
294,103086360099,2,10308636,plankboat,No,,,,,,,,,,
294,103086360099,2,10308636,outboard engine,No,,,,,,,,,,
294,103086360099,2,10308636,"other, specify",No,,,,,,,,,,
294,103086360099,2,10308636,"other, specify",No,,,,,,,,,,
316,103086360135,2,10308636,bwato (dugout),No,,,,,,,0,0,0,0
316,103086360135,2,10308636,plankboat,No,,,,,,,,,,
316,103086360135,2,10308636,outboard engine,No,,,,,,,,,,
316,103086360135,2,10308636,"other, specify",No,,,,,,,,,,
316,103086360135,2,10308636,"other, specify",No,,,,,,,,,,
306,103086360153,2,10308636,,,,,,,,,,,,
388,104041860008,2,10404186,,,,,,,,,,,,
396,104041860012,2,10404186,bwato (dugout),Yes,2,2,10000,0,0,0,0,0,0,0
396,104041860012,2,10404186,plankboat,No,,,,,,,,,,
396,104041860012,2,10404186,outboard engine,No,,,,,,,,,,
396,104041860012,2,10404186,"other, specify",No,,,,,,,,,,
396,104041860012,2,10404186,"other, specify",No,,,,,,,,,,
384,104041860017,2,10404186,bwato (dugout),Yes,1,1,12000,0,0,0,0,0,0,0
384,104041860017,2,10404186,plankboat,No,,,,,,,,,,
384,104041860017,2,10404186,outboard engine,No,,,,,,,,,,
384,104041860017,2,10404186,"other, specify",No,,,,,,,,,,
384,104041860017,2,10404186,"other, specify",No,,,,,,,,,,
404,104041860021,2,10404186,,,,,,,,,,,,
410,104041860030,2,10404186,,,,,,,,,,,,
386,104041860034,2,10404186,,,,,,,,,,,,
406,104041860039,2,10404186,,,,,,,,,,,,
394,104041860043,2,10404186,,,,,,,,,,,,
408,104041860061,2,10404186,bwato (dugout),No,,,,,,,0,0,0,0
408,104041860061,2,10404186,plankboat,No,,,,,,,,,,
408,104041860061,2,10404186,outboard engine,No,,,,,,,,,,
408,104041860061,2,10404186,"other, specify",No,,,,,,,,,,
408,104041860061,2,10404186,"other, specify",No,,,,,,,,,,
390,104041860065,2,10404186,bwato (dugout),No,,,,,,,0,0,0,0
390,104041860065,2,10404186,plankboat,No,,,,,,,,,,
390,104041860065,2,10404186,outboard engine,No,,,,,,,,,,
390,104041860065,2,10404186,"other, specify",No,,,,,,,,,,
390,104041860065,2,10404186,"other, specify",No,,,,,,,,,,
412,104041860083,2,10404186,bwato (dugout),No,,,,,,,0,0,0,0
412,104041860083,2,10404186,plankboat,No,,,,,,,,,,
412,104041860083,2,10404186,outboard engine,No,,,,,,,,,,
412,104041860083,2,10404186,"other, specify",No,,,,,,,,,,
412,104041860083,2,10404186,"other, specify",No,,,,,,,,,,
424,105015050001,2,10501505,,,,,,,,,,,,
501,105033670018,1,10503367,,,,,,,,,,,,
633,107321920281,1,10732192,bwato (dugout),No,,,,,,,0,0,0,0
633,107321920281,1,10732192,plankboat,No,,,,,,,,,,
633,107321920281,1,10732192,outboard engine,No,,,,,,,,,,
633,107321920281,1,10732192,"other, specify",No,,,,,,,,,,
633,107321920281,1,10732192,"other, specify",No,,,,,,,,,,
764,107462440085,2,10746244,bwato (dugout),No,,,,,,,0,0,0,0
764,107462440085,2,10746244,plankboat,No,,,,,,,,,,
764,107462440085,2,10746244,outboard engine,No,,,,,,,,,,
764,107462440085,2,10746244,"other, specify",No,,,,,,,,,,
764,107462440085,2,10746244,"other, specify",No,,,,,,,,,,
793,201106200267,1,20110620,bwato (dugout),No,,,,,,,0,0,0,0
793,201106200267,1,20110620,plankboat,No,,,,,,,,,,
793,201106200267,1,20110620,outboard engine,No,,,,,,,,,,
793,201106200267,1,20110620,"other, specify",No,,,,,,,,,,
793,201106200267,1,20110620,"other, specify",No,,,,,,,,,,
973,204040320072,1,20404032,,,,,,,,,,,,
1107,205083490010,1,20508349,,,,,,,,,,,,
1091,205083490121,1,20508349,bwato (dugout),No,,,,,,,0,0,0,0
1091,205083490121,1,20508349,plankboat,No,,,,,,,,,,
1091,205083490121,1,20508349,outboard engine,No,,,,,,,,,,
1091,205083490121,1,20508349,"other, specify",No,,,,,,,,,,
1091,205083490121,1,20508349,"other, specify",No,,,,,,,,,,
