HHID,case_id,visit,ea_id,fs_f00,fs_f01,fs_f01_os,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f03a,fs_f03b,fs_f03b_os,fs_f03c,fs_f03c_os,fs_f03d,fs_f03e,fs_f03f,fs_f03f_os,fs_f03g,fs_f03g_os,fs_f03h
793,201106200267,1,20110620,1,Matemda,,2,25 kg bag,Sun-dried,5000,,,,,2,25 kg bag,,Sun-dried,,7000,,,,,,
793,201106200267,1,20110620,1,Usipa,,2,25 kg bag,Sun-dried,4000,,,,,2,25 kg bag,,Sun-dried,,5000,,,,,,
973,204040320072,1,20404032,1,Usipa,,4,Small basket,Sun-dried,2000,,,,,4,Small basket,,Sun-dried,,2700,,,,,,
973,204040320072,1,20404032,1,Utaka,,4,Small basket,Sun-dried,2400,,,,,4,Small basket,,Sun-dried,,3200,,,,,,
1107,205083490010,1,20508349,1,Usipa,,5,5 kg bag,Fresh,19000,,,,,5,5 kg bag,,Fresh,,4800,,,,,,
1107,205083490010,1,20508349,1,Utaka,,2,5 kg bag,Fresh,6000,,,,,2,5 kg bag,,Fresh,,3000,,,,,,
1091,205083490121,1,20508349,2,,,,,,,,,,,,,,,,,,,,,,
1381,207053720086,1,20705372,1,Matemda,,2,Small basket,Sun-dried,400,,,,,2,Small basket,,Sun-dried,,800,,,,,,
1381,207053720086,1,20705372,1,Utaka,,1,Small basket,Sun-dried,800,,,,,1,Small basket,,Sun-dried,,1200,,,,,,
1429,207061630586,1,20706163,1,Makakani,,30,Dozen,Sun-dried,700,,,,,30,Dozen,,Sun-dried,,1200,,,,,,
1429,207061630586,1,20706163,1,Mlamba,,5,5 kg bag,Sun-dried,1500,,,,,5,5 kg bag,,Sun-dried,,3000,,,,,,
1429,207061630586,1,20706163,1,Matemda,,5,5 kg bag,Sun-dried,2800,,,,,5,5 kg bag,,Sun-dried,,5000,,,,,,
1429,207061630586,1,20706163,1,Usipa,,5,5 kg bag,Sun-dried,3000,,,,,5,5 kg bag,,Sun-dried,,5000,,,,,,
1429,207061630586,1,20706163,1,Utaka,,50,Dozen,Sun-dried,3500,,,,,50,Dozen,,Sun-dried,,6000,,,,,,
1461,208044050092,1,20804405,1,Usipa,,4,Small basket,Fresh,5000,,,,,4,Small basket,,Fresh,,7000,,,,,,
1461,208044050092,1,20804405,1,Utaka,,4,Small basket,Fresh,5000,,,,,4,Small basket,,Fresh,,7000,,,,,,
1637,210375360135,1,21037536,1,Makakani,,1,Small basket,Fresh,1000,,,,,1.5,Kilogram,,Smoked,,800,,,,,,
1637,210375360135,1,21037536,1,Usipa,,1,Small basket,Sun-dried,1000,,,,,1.5,Kilogram,,Smoked,,650,,,,,,
1637,210375360135,1,21037536,1,Utaka,,1,Small basket,Sun-dried,1000,,,,,1.5,Kilogram,,Sun-dried,,1200,,,,,,
1951,301012800005,1,30101280,1,Usipa,,2,Dozen,Sun-dried,4000,,,,,2,Dozen,,Sun-dried,,800,,,,,,
1923,301012800063,1,30101280,2,,,,,,,,,,,,,,,,,,,,,,
1935,301012800066,1,30101280,1,Usipa,,5,Large basket,Sun-dried,4000,,,,,2,Large basket,,Sun-dried,,800,0,0,,,,0
1943,301012800128,1,30101280,1,Matemda,,2,Dozen,Fresh,1000,,,,,8,Dozen,,Fresh,,3000,,,,,,
1943,301012800128,1,30101280,1,Nkunga,,1,Dozen,Fresh,500,,,,,8,Dozen,,Fresh,,2000,,,,,,
1943,301012800128,1,30101280,1,Usipa,,2,Dozen,Fresh,500,1,Small basket,Fresh,700,8,Dozen,,Fresh,,2000,4,Small basket,,Fresh,,2800
