ea_id,com_cg01,com_cg02,com_cg03,com_cg04,com_cg05,com_cg06,com_cg07,com_cg08,com_cg09,com_cg10,com_cg11,com_cg12,com_cg13,com_cg14,com_cg15,com_cg16,com_cg17,com_cg18,com_cg19,com_cg20,com_cg21,com_cg22,com_cg23,com_cg24,com_cg25,com_cg26,com_cg27,com_cg28,com_cg29,com_cg30,com_cg31,com_cg32,com_cg33,com_cg34
21037536,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,MUCH WORSE,MUCH WORSE,MUCH WORSE,BETTER,BETTER,WORSE,WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,BETTER,WORSE,4
21048764,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,WORSE,WORSE,NOT APPLICABLE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,WORSE,BETTER,WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,2
21051203,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,MUCH WORSE,WORSE,WORSE,BETTER,BETTER,WORSE,MUCH WORSE,MUCH WORSE,ABOUT THE SAME,WORSE,MUCH WORSE,WORSE,BETTER,BETTER,ABOUT THE SAME,1
21052427,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,WORSE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,WORSE,WORSE,4
21053745,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,WORSE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,WORSE,ABOUT THE SAME,WORSE,ABOUT THE SAME,BETTER,BETTER,WORSE,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,2
21055241,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,WORSE,MUCH WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,4
21055693,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,WORSE,2
21066096,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,WORSE,WORSE,WORSE,MUCH WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,1
21066339,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,BETTER,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,2
21074510,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,MUCH WORSE,MUCH WORSE,MUCH WORSE,BETTER,BETTER,ABOUT THE SAME,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,2
21077725,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,3
21080308,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,ABOUT THE SAME,BETTER,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,3
21081573,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,BETTER,BETTER,MUCH WORSE,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,WORSE,4
21086069,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,BETTER,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,2
21086436,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,WORSE,2
21087531,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,MUCH WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,MUCH WORSE,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,ABOUT THE SAME,BETTER,WORSE,ABOUT THE SAME,3
21088597,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,NOT APPLICABLE,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,ABOUT THE SAME,BETTER,WORSE,2
30101280,ABOUT THE SAME,BETTER,BETTER,BETTER,MUCH WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,BETTER,WORSE,MUCH WORSE,WORSE,WORSE,ABOUT THE SAME,BETTER,4
30101545,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,WORSE,BETTER,WORSE,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,4
30102028,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,4
30102540,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,NOT APPLICABLE,BETTER,WORSE,WORSE,ABOUT THE SAME,BETTER,WORSE,WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,NOT APPLICABLE,WORSE,BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,BETTER,BETTER,BETTER,NOT APPLICABLE,67
30103074,BETTER,BETTER,BETTER,MUCH BETTER,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,4
30104708,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,WORSE,WORSE,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,BETTER,WORSE,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,4
30105325,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,WORSE,WORSE,BETTER,BETTER,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,WORSE,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,4
30105448,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,WORSE,WORSE,BETTER,WORSE,WORSE,WORSE,WORSE,BETTER,ABOUT THE SAME,4
30107624,ABOUT THE SAME,BETTER,BETTER,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,NOT APPLICABLE,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,60
30108401,ABOUT THE SAME,BETTER,BETTER,MUCH BETTER,WORSE,WORSE,WORSE,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,ABOUT THE SAME,MUCH BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,WORSE,WORSE,BETTER,WORSE,BETTER,BETTER,4
