ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65g,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
10203744,TAR/ASPHALT,0,,YES,12,12,YES,,,10,MINUTE,NO,12,KM,150,NO,210,KM,MZUZU,1000,NO,12,KM,NO,8,KM,NO,12,KM,NO,12,KM,NO,12,KM,5,0,10,KM,12,250,YES,,YES,ALMOST ALL,COOKED FOOD,YES,12,KM,17,465,YES,12,KM,16,358,YES,1,0,0,0,NO,12,KM,NO,12,KM,,,,NO,,,,,12,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,12,KM,NO,12,KM,NO,NO
10204322,TAR/ASPHALT,16,KM,YES,0,12,YES,,,2,HOUR,NO,86,KM,650,NO,166,KM,MZUZU,850,NO,16,KM,NO,3,KM,NO,16,KM,NO,16,KM,NO,16,KM,8,0,2,KM,9,694,YES,,NO,,,NO,18,KM,16,500,YES,,,6,75,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,NO,YES,,,,,86,KM,GOVERNMENT FACILITY,NO,,YES,YES,NO,NO,YES,NO,2,,NO,16,KM,NO,16,KM,NO,NO
10204586,TAR/ASPHALT,0,,YES,12,12,YES,,,5,MINUTE,NO,35,KM,300,NO,185,KM,MZUZU,600,NO,2,KM,NO,45,KM,NO,2,KM,NO,2,KM,NO,2,KM,6,0,,,10,1010,YES,,NO,,,NO,40,METER,23,413,YES,1,KM,5,217,NO,1,0,0,1,YES,,,YES,,,ALWAYS AVAILABLE,RELIGIOUS FACILITY,YES,NO,,,,,3,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,2,,NO,3,KM,NO,3,KM,YES,
10220103,TAR/ASPHALT,0,,YES,12,12,YES,,,10,MINUTE,YES,,,,NO,218,KM,MZUZU,1000,NO,2,KM,NO,3,KM,NO,3,KM,NO,3,KM,NO,3,KM,5,0,100,METER,20,1391,YES,,NO,,,NO,2,KM,17,465,YES,3,KM,16,358,YES,0,0,0,0,NO,3,KM,NO,2,KM,,,,NO,,,,,2,KM,GOVERNMENT FACILITY,NO,,YES,YES,YES,YES,YES,YES,2,,NO,3,KM,NO,3,KM,NO,NO
10220705,TAR/ASPHALT,0,,YES,12,12,YES,,,15,MINUTE,YES,,,,NO,220,KM,MZUZU,1000,NO,2,KM,NO,8,KM,NO,2,KM,NO,1,KM,NO,1,KM,8,0,500,METER,30,2357,YES,,YES,1/4,COOKED FOOD,YES,2,KM,17,465,YES,1,KM,16,358,YES,0,0,0,0,YES,,,NO,2,KM,ALWAYS AVAILABLE,PRIVATE FACILITY,YES,NO,,,,,5,KM,GOVERNMENT FACILITY,YES,250,YES,NO,NO,YES,YES,YES,2,,NO,2,KM,NO,2,KM,NO,NO
10301663,GRADED GRAVELED,12,KM,YES,12,12,YES,,,1,HOUR,NO,27,KM,500,NO,44,KM,MZUZU,500,NO,6,KM,NO,12,KM,NO,12,KM,NO,44,KM,NO,6,KM,12,1,300,METER,6,1200,YES,,NO,,,YES,14,KM,7,450,YES,300,METER,4,180,NO,0,0,0,0,YES,,,NO,6,KM,,,,YES,YES,MALE,YES,YES,6,KM,GOVERNMENT FACILITY,YES,0,YES,NO,NO,YES,YES,NO,2,,NO,44,KM,NO,44,KM,NO,NO
10302010,TAR/ASPHALT,2,KM,YES,12,12,YES,,,20,MINUTE,NO,60,KM,600,NO,120,KM,MZUZU,1000,YES,,,YES,,,NO,8,KM,NO,13,KM,NO,8,KM,11,0,400,METER,4,1200,YES,,NO,,,NO,8,KM,9,450,YES,8,KM,5,320,NO,0,0,0,0,YES,,,NO,8,KM,,,,YES,,,,,13,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,60,KM,NO,60,KM,NO,NO
10304012,GRADED GRAVELED,1,METER,NO,12,12,YES,,,20,MINUTE,NO,45,KM,400,NO,105,KM,MZUZU,600,YES,,,YES,,,NO,10,KM,NO,5,KM,NO,5,KM,21,0,10,METER,5,450,YES,,NO,,,NO,2,KM,12,200,YES,1,KM,8,250,YES,3,1,0,0,YES,,,NO,5,KM,,,,YES,YES,FEMALE,YES,NO,5,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,,,NO,45,KM,YES,,,NO,NO
10305446,TAR/ASPHALT,100,METER,YES,12,12,YES,,,10,MINUTE,NO,90,KM,700,NO,140,KM,MZUZU,1000,YES,,,YES,,,NO,22,KM,YES,,,NO,50,KM,15,0,500,METER,4,700,NO,2,NO,,,NO,47,KM,8,260,YES,3,KM,3,110,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,NO,YES,YES,MALE,YES,YES,50,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,,,NO,90,KM,NO,90,KM,NO,NO
10307413,TAR/ASPHALT,200,METER,YES,12,12,YES,,,30,MINUTE,NO,30,KM,250,NO,107,KM,MZUZU,550,YES,,,YES,,,NO,9,KM,NO,9,KM,NO,9,KM,15,0,1,KM,7,859,YES,,NO,,,NO,13,KM,16,200,YES,15,KM,6,200,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,NO,YES,YES,MALE,YES,YES,30,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,,,NO,30,KM,NO,9,KM,NO,NO
10308636,GRADED GRAVELED,8,KM,NO,0,12,NO,8,KM,1,HOUR,NO,11,KM,150,NO,56,KM,MZUZU,650,NO,11,KM,NO,11,KM,NO,11,KM,NO,11,KM,NO,11,KM,10,0,300,METER,6,410,NO,1,NO,,,NO,51,KM,12,360,YES,300,KM,6,300,NO,0,0,0,0,YES,,,NO,11,KM,,,,YES,YES,MALE,YES,YES,11,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,,,NO,11,KM,NO,11,KM,NO,YES
10401140,GRADED GRAVELED,19,KM,YES,12,12,YES,,,30,MINUTE,NO,19,KM,250,NO,84,KM,MZUZU,750,YES,,,YES,,,YES,,,YES,,,YES,,,15,0,100,METER,20,1345,NO,3,NO,,,NO,19,KM,12,300,YES,150,METER,9,320,YES,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,YES,YES,YES,MALE,YES,YES,100,METER,GOVERNMENT FACILITY,YES,0,NO,,,,,,,,NO,19,KM,YES,,,NO,NO
