case_id,hhid,Fish_SpeciesID,fs_i02a,fs_i02b,fs_i02c,fs_i02d,fs_i02e,fs_i01,fs_i02,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
106012250136,53e1f38072e04f3b800220bbff635724,,,,,,,yes,usipa,,8,25,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,no,,,,,,200,,200,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,198,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,.,3000,,,,,,,8,yes,,2,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012260028,db10b756b2b649338d6b0cc5dab1db9e,,,,,,,yes,utaka,,12,3,SMALL BASKET,,fresh,,no,,,,,,36,,36,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,2,SMALL BASKET,,fresh,.,7000,,,,,,,12,yes,,1,SMALL BASKET,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012260028,db10b756b2b649338d6b0cc5dab1db9e,,,,,,,yes,other,"""Kampango """,9,25,DOZEN / BUNDLE,,fresh,,no,,,,,,225,,225,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,24,DOZEN / BUNDLE,,fresh,.,1500,,,,,,,9,yes,,1,DOZEN / BUNDLE,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,,,,,,,yes,mlamba,,8,30,piece,,fresh,,no,,,,,,240,,240,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,25,piece,,fresh,.,800,,,,,,,8,yes,,5,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,,,,,,,yes,utaka,,8,6,SMALL BASKET,,fresh,,no,,,,,,48,,48,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,5,SMALL BASKET,,fresh,.,5000,,,,,,,8,yes,,1,SMALL BASKET,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012270125,97c3a192048e45fd95240ad1844012e6,,,,,,,yes,utaka,,2,5,OTHER (SPECIFY),"""10 litre bucket """,fresh,,no,,,,,,10,,10,OTHER (SPECIFY),"""10 litre bucket """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,9,OTHER (SPECIFY),"""10 litre bucket """,SUN-DRIED,.,5000,,,,,,,2,yes,,1,OTHER (SPECIFY),"""10 litre bucket """,SUN-DRIED,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012270144,cc6e6992ce7e4b13b8a09e070d177a21,,,,,,,yes,ncheni,,8,15,piece,,fresh,,no,,,,,,120,,120,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,104,piece,,fresh,.,1500,,,,,,,8,yes,,16,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012270162,53b1172c8b584b9baacecaa75a988982,,,,,,,yes,utaka,,8,30,10 KG BAG,,fresh,,no,,,,,,240,,240,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,236,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,5000,,,,,,,8,yes,,4,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012270162,53b1172c8b584b9baacecaa75a988982,,,,,,,yes,usipa,,12,50,OTHER (SPECIFY),10 LITRE PAIL,fresh,,no,,,,,,600,,600,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,594,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,4000,,,,,,,12,yes,,6,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012280034,dda4810cf7b841b592cbc3ba5e724664,,,,,,,yes,usipa,,9,30,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,270,,270,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,267,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,17000,,,,,,,9,yes,,3,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012280073,cfdf0fa754b54dd6ae961b086d0e4809,,,,,,,yes,utaka,,9,10,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,90,,90,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,87,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,22000,,,,,,,9,yes,,3,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012290134,4073d45af850495d9611563823d55180,,,,,,,yes,utaka,,8,10,OTHER (SPECIFY),10litre pail,fresh,,no,,,,,,80,,80,OTHER (SPECIFY),10litre pail,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,9,OTHER (SPECIFY),10litre pail,fresh,.,4500,,,,,,,8,yes,,1,OTHER (SPECIFY),10litre pail,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
107332340910,358e06d5b8524baa882ce3d0c260cbd9,,,,,,,yes,chambo,,12,30,piece,,fresh,,no,,,,,,360,,360,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,24,piece,,fresh,.,300,,,,,,,12,yes,,6,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
107332340910,358e06d5b8524baa882ce3d0c260cbd9,,,,,,,yes,other,"""BELEBETA """,9,6,SMALL BASKET,,fresh,,no,,,,,,54,,54,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,32,OTHER (SPECIFY),"""Heap """,fresh,.,200,,,,,,,9,yes,,6,OTHER (SPECIFY),"""Heap """,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
107332340910,358e06d5b8524baa882ce3d0c260cbd9,,,,,,,yes,mlamba,,12,30,piece,,fresh,,no,,,,,,360,,360,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,24,piece,,fresh,.,800,,,,,,,12,yes,,6,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
201082640304,5cd17aa582ec463e84659a66629604ae,,,,,,,yes,matemba,,4,2,OTHER (SPECIFY),""" TINA""",fresh,,no,,,,,,"""2 """,,2,OTHER (SPECIFY),TINA,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,0,OTHER (SPECIFY),TINA,fresh,.,0,,,,,,,0,yes,,2,OTHER (SPECIFY),"""TINA """,fresh,.,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",.
201092650014,cf4256eda8da4ec491a36a56cd1864e8,2,mlamba,,,,,yes,,,6,30,piece,,fresh,,no,,,,,,,,180,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,20,piece,,fresh,,80,,,,,,,5,yes,,10,piece,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
201092650014,cf4256eda8da4ec491a36a56cd1864e8,3,mlamba,,,,,yes,,,6,15,piece,,fresh,,no,,,,,,,,90,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,10,piece,,fresh,,300,,,,,,,6,yes,,5,piece,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
201092650014,cf4256eda8da4ec491a36a56cd1864e8,,,,,,,yes,makumba,,6,30,piece,,fresh,,no,,,,,,180,,180,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,20,piece,,fresh,.,80,,,,,,,5,yes,,10,piece,.,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
201092650014,cf4256eda8da4ec491a36a56cd1864e8,,,,,,,yes,mlamba,,6,15,piece,,fresh,,no,,,,,,90,,90,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,10,piece,,fresh,.,300,,,,,,,6,yes,,5,piece,.,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
201112710191,a318bc3ae2f24feb9e9bd9b45b8fa332,,,,,,,yes,mlamba,.,12,1,SMALL BASKET,,fresh,,no,,,,,,12,,12,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,0,piece,,fresh,.,0,,,,,,,0,no,"""Doesn't sell any fish during low season and he only goes for fishing in order to have fish for household consumption """,1,SMALL BASKET,.,fresh,.,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",.
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,,,,,,,yes,mlamba,,2,350,piece,,smoked,,no,,,,,,350,,700,piece,,smoked,,,,,,,"YES, THE FIGURES MATCHED",,350,piece,,smoked,.,700,,,,,,,2,yes,,0,piece,,smoked,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,,,,,,,yes,usipa,,3,14,10 KG BAG,,SUN-DRIED,,no,,,,,,140,,420,kilogram,,SUN-DRIED,,,,,,,"YES, THE FIGURES MATCHED",,420000,25 KG BAG,,smoked,.,30000,,,,,,,3,yes,,5,kilogram,,SUN-DRIED,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202012790029,bea54af9c5784c588259a0e17174c84a,,,,,,,yes,mlamba,,9,2,LARGE BASKET,,fresh,,no,,,,,,18,,18,LARGE BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,fresh,.,7000,,,,,,,9,yes,,6,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202012790029,bea54af9c5784c588259a0e17174c84a,,,,,,,yes,usipa,,9,1,LARGE BASKET,,fresh,,no,,,,,,9,,9,LARGE BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,1,LARGE BASKET,,fresh,.,2000,,,,,,,9,yes,,1,kilogram,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
202012790029,bea54af9c5784c588259a0e17174c84a,,,,,,,yes,other,"""ntemela """,9,4,LARGE BASKET,,fresh,,no,,,,,,36,,36,LARGE BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,4,LARGE BASKET,,fresh,.,9000,,,,,,,9,yes,,3,kilogram,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202012790035,f4dcd135283b45529ce279049f9e7c7e,,,,,,,yes,other,DOKOTO,2,30000,OTHER (SPECIFY),40 LITRES BUCKET,OTHER (SPECIFY),"""40 LITRES BUCKET """,no,,,,,,500000,,6,OTHER (SPECIFY),"""40 LITRES BUCKET """,fresh,,,,,,,"YES, THE FIGURES MATCHED",,120000,OTHER (SPECIFY),"""40 LITRES BUCKET """,fresh,.,40000,,,,,,,2,yes,,2,5 KG BAG,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202012790040,7241cd8f32ff4106b55025b4a6f5d740,,,,,,,yes,matemba,,12,200,DOZEN / BUNDLE,,fresh,,no,,,,,,2400,,10,OTHER (SPECIFY),20 litres pail,fresh,,,,,,,"YES, THE FIGURES MATCHED",,2500,DOZEN / BUNDLE,,fresh,.,200,,,,,,,28,no,Recalling is very difficult cos he dieient keep records,5,OTHER (SPECIFY),20 litres pail,fresh,.,,,,,,1/2,"YES, THE FIGURES MATCHED",.
202012790076,756f72ccd7ea4838ac486b84b997a376,,,,,,,yes,matemba,,4,4,OTHER (SPECIFY),basin,fresh,,no,,,,,,16,,20,OTHER (SPECIFY),basin,fresh,,,,,,,"YES, THE FIGURES MATCHED",,2,OTHER (SPECIFY),basin,fresh,.,1500,,,,,,,2,yes,,3,OTHER (SPECIFY),"""basin """,SUN-DRIED,.,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",.
202012790076,756f72ccd7ea4838ac486b84b997a376,,,,,,,yes,mlamba,,4,2,DOZEN / BUNDLE,,fresh,,no,,,,,,8,,10,DOZEN / BUNDLE,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,1,DOZEN / BUNDLE,,fresh,.,1800,,,,,,,2,no,some of the weeks he was catching only for consuption of the household,1,DOZEN / BUNDLE,,smoked,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202012790121,73039d062d694c268787010492da465f,,,,,,,yes,other,NKHUTUTU,5,40,piece,,smoked,,no,,,,,,200,,200,piece,,smoked,,,,,,,"YES, THE FIGURES MATCHED",,0,DOZEN / BUNDLE,,SUN-DRIED,.,0,,,,,,,0,yes,,40,piece,,fresh,.,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",.
202012830237,f1e45c98b9aa4142aa04d55d518d6618,,,,,,,yes,usipa,,8,100,OTHER (SPECIFY),MEDIUM PAIL,fresh,,no,,,,,,100,,200,OTHER (SPECIFY),MEDIUM BASIN,fresh,,,,,,,"NO, THE ENTRIES WERE ADJUSTED",RESPOND FAILING TO ESTIMATE,100,OTHER (SPECIFY),MEDIUM PAIL,fresh,,80000,,,,,,,8,yes,,1,OTHER (SPECIFY),SMALL BASKET,SUN-DRIED,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
202032880190,b08aa2f097364d9aac1ff7894c3c1cab,,,,,,,yes,usipa,,2,1,LARGE BASKET,,fresh,,no,,,,,,1,,1,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1,LARGE BASKET,,fresh,.,12000,,,,,,,1,yes,,1,LARGE BASKET,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202032900151,1f30ffc4d661494ba2460dcbd9d9fe72,,,,,,,yes,utaka,,12,4,LARGE BASKET,,fresh,,no,,,,,,48,,48,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,4,LARGE BASKET,,fresh,.,15000,,,,,,,12,yes,,0,SMALL BASKET,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
202032910060,bcd3b9e845524f8c882da48b8e0783cd,,,,,,,yes,makumba,,24,3,piece,,fresh,,no,,,,,,72,,13,piece,,fresh,,,,,,,"NO, THE ENTRIES WERE ADJUSTED",he said sometimes weeks can go without even catching any makumba fish,38000,piece,,fresh,.,700,,,,,,,18,yes,,6,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202032910060,bcd3b9e845524f8c882da48b8e0783cd,,,,,,,yes,other,sanjika,28,5,DOZEN / BUNDLE,,fresh,,no,,,,,,140,,50,DOZEN / BUNDLE,,fresh,,,,,,,"NO, THE ENTRIES WERE ADJUSTED",he said he dont xatch the same number of dozens every week,10,DOZEN / BUNDLE,,fresh,.,1200,,,,,,,28,yes,,20,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
202032910060,bcd3b9e845524f8c882da48b8e0783cd,,,,,,,yes,mlamba,,24,4,piece,,fresh,,no,,,,,,96,,50,piece,,fresh,,,,,,,"NO, THE ENTRIES WERE ADJUSTED",some weeks they were not catching any mlamba,2000,piece,,fresh,.,500,,,,,,,15,yes,,1,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202032910060,bcd3b9e845524f8c882da48b8e0783cd,,,,,,,yes,matemba,,24,8,DOZEN / BUNDLE,,fresh,,no,,,,,,240,,100,DOZEN / BUNDLE,,fresh,,,,,,,"NO, THE ENTRIES WERE ADJUSTED",the respondent says sometimes they catch small amount of dozens,5000,DOZEN / BUNDLE,,fresh,.,700,,,,,,,24,yes,,2,DOZEN / BUNDLE,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202032910060,bcd3b9e845524f8c882da48b8e0783cd,,,,,,,yes,ncheni,,20,7,piece,,fresh,,no,,,,,,140,,60,piece,,fresh,,,,,,,"NO, THE ENTRIES WERE ADJUSTED",he said some days he dont  catch even a single ncheni,7,piece,,fresh,.,1200,,,,,,,20,yes,,1,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
202042920250,df201e07e33d498e88849bae523fe4fb,,,,,,,yes,chambo,,10,7,LARGE BASKET,,fresh,,no,,,,,,70,,70,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,7,LARGE BASKET,,fresh,.,20000,,,,,,,10,yes,,1,LARGE BASKET,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202042930039,4a44c65028c0441ebcec6279f89cd169,,,,,,,yes,ncheni,,4,0,SMALL BASKET,,fresh,,no,,,,,,4,,4,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,12,SMALL BASKET,,fresh,.,36000,,,,,,,4,no,Low fishing,2,DOZEN / BUNDLE,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202042930039,4a44c65028c0441ebcec6279f89cd169,,,,,,,yes,usipa,,4,1,LARGE BASKET,,fresh,,no,,,,,,4,,2,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,3,SMALL BASKET,,fresh,.,38000,,,,,,,4,yes,,1,DOZEN / BUNDLE,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202052980483,8ddd6c96ab654f27b5c4a57019e4ff26,,,,,,,yes,utaka,,4,3,SMALL BASKET,,fresh,,no,,,,,,12,,12,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,2,SMALL BASKET,,fresh,.,5000,,,,,,,3,yes,,1,SMALL BASKET,,SUN-DRIED,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,3,ncheni,,,,,yes,,,9,180,piece,,fresh,,no,,,,,,,,195,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,1500,piece,,fresh,,500,,,,,,,9,yes,,58,piece,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,8,ncheni,,,,,yes,,,6,150,piece,,fresh,,no,,,,,,,,15000,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,5000,piece,,fresh,,800,,,,,,,4,yes,,40,piece,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,,,,,,,yes,ncheni,,6,150,piece,,fresh,,no,,,,,,24,,15000,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,5000,piece,,fresh,.,800,,,,,,,4,yes,,40,piece,.,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,,,,,,,yes,mlamba,,9,180,piece,,fresh,,no,,,,,,28,,195,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1500,piece,,fresh,.,500,,,,,,,9,yes,,58,piece,.,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
204023310182,012da9e82da04e21a13f1211b30dbac4,,,,,,,yes,matemba,,5,10,OTHER (SPECIFY),"""HEAP LARGE """,fresh,,no,,,,,,50,,50,OTHER (SPECIFY),"""HEAP LARGE """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,4,OTHER (SPECIFY),"""HEAP LARGE """,fresh,.,200,,,,,,,5,yes,,1,OTHER (SPECIFY),"""HEAP LARGE """,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
204033350258,9e82a1c74f294d6ab25ffe94cd31d07d,,,,,,,yes,matemba,,6,1,SMALL BASKET,,fresh,,no,,,,,,6,,6,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1,SMALL BASKET,,fresh,.,3000,,,,,,,6,yes,,3,OTHER (SPECIFY),"""NO 12 PLATE HEAPED """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
205053630038,7c95a7771a7b49d399a16e7f087e6d7a,,,,,,,yes,ncheni,.,12,5,DOZEN / BUNDLE,,fresh,,no,,,,,,60,,60,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,60,DOZEN / BUNDLE,,fresh,.,5000,,,,,,,12,yes,,0,DOZEN / BUNDLE,.,fresh,.,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",.
205093710051,13e9088afe9c438cac1a4f7903b6c3d6,,,,,,,yes,ncheni,,5,3,SMALL BASKET,,fresh,,no,,,,,,15,,15,SMALL BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,3,SMALL BASKET,,fresh,,18000,,,,,,,5,yes,,1,DOZEN / BUNDLE,,fresh,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
205093710051,13e9088afe9c438cac1a4f7903b6c3d6,,,,,,,yes,matemba,,7,4,SMALL BASKET,,fresh,,no,,,,,,28,,28,SMALL BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,4,LARGE BASKET,,fresh,,15000,,,,,,,6,yes,,5,kilogram,,fresh,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
205093710189,d5af1a731bea4a6cbaf9626d48a5536b,,,,,,,yes,mlamba,,36,10,piece,,fresh,,no,,,,,,360,,360,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,8,piece,,fresh,,500,,,,,,,36,yes,,2,piece,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
205093710189,d5af1a731bea4a6cbaf9626d48a5536b,,,,,,,yes,matemba,,36,2,OTHER (SPECIFY),5 litres pail,fresh,,no,,,,,,72,,72,OTHER (SPECIFY),"""5 litres pail """,fresh,,,,,,,"YES, THE FIGURES MATCHED",,2,OTHER (SPECIFY),"""5 litres pail """,fresh,,2800,,,,,,,9,yes,,0,OTHER (SPECIFY),"""5 litres pail """,fresh,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
205213740051,efead557527c4756938f9c6280e9d4f1,,,,,,,yes,mlamba,,24,32,piece,,fresh,,no,,,,,,768,,768,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,28,piece,,fresh,.,800,,,,,,,24,yes,,4,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
208074530245,d42801a9eb0f4ab985798cb018d206e7,,,,,,,yes,utaka,,8,5,SMALL BASKET,,fresh,,no,,,,,,K12500,,5,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,5,SMALL BASKET,,fresh,.,2500,,,,,,,8,yes,,5,SMALL BASKET,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
210885170286,7acafc1403574c2698ef86f309ca1fe3,,,,,,,yes,chambo,,0,0,piece,,fresh,,no,,,,,,1,,0,OTHER (SPECIFY),NO CATCHING,OTHER (SPECIFY),no process take place,,,,,,"YES, THE FIGURES MATCHED",,15,piece,,fresh,,1350,,,,,,,4,yes,,0,piece,,fresh,,,,,,,ALMOST NONE,"NO, THE ENTRIES WERE ADJUSTED",the household do not land and they consume chambo but not that they cought but they buy to sell in local markets
301035250264,99c9b70b452f42adb3653c2fbdac459f,,,,,,,yes,matemba,,1,5,SMALL BASKET,,fresh,,no,,,,,,5,,5,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,5,SMALL BASKET,,fresh,.,5000,,,,,,,1,yes,,1,DOZEN / BUNDLE,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
301085380027,e0834f6a719e4b6a8d46bc4cf7dcebf7,,,,,,,yes,utaka,,5,3,DOZEN / BUNDLE,,fresh,,no,,,,,,15,,15,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,14,DOZEN / BUNDLE,,fresh,.,35000,,,,,,,2,yes,,1,DOZEN / BUNDLE,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
301215420031,b4237fc6be1e4fd9b358e91f617a06cd,,,,,,,yes,mlamba,,2,20,piece,,fresh,,no,,,,,,40,,60,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,20,piece,,fresh,.,10000,,,,,,,1,yes,,0,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
301215420102,8fe404afd210435ebf7f864bb9439bd9,,,,,,,yes,aggregated,,3,5,SMALL BASKET,,fresh,,no,,,,,,5,,5,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,3,SMALL BASKET,,fresh,.,25000,,,,,,,1,yes,,1,5 KG BAG,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
301215420280,f1b6f0ef573a4c7ebacbb5c7d5b77b82,,,,,,,yes,usipa,,4,1,LARGE BASKET,,fresh,,no,,,,,,4,,4,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1,LARGE BASKET,,fresh,.,15000,,,,,,,4,yes,,2,kilogram,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
301215420565,f0c89d23cb8f422c96d9fff1e9a2982c,,,,,,,yes,usipa,,12,2,LARGE BASKET,,fresh,,no,,,,,,24,,24,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,24,LARGE BASKET,,fresh,.,40000,,,,,,,12,yes,,1,LARGE BASKET,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
302035540030,2ed0c205f1dd42ba938c9bc18c8b4451,,,,,,,yes,chambo,.,4,1,25 KG BAG,,smoked,,no,,,,,,2,,2,OTHER (SPECIFY),"""50kg bags """,smoked,.,,,,,,"YES, THE FIGURES MATCHED",.,1,25 KG BAG,,smoked,.,10500,,,,,,,4,no,"""Because he was operated in those weeks """,1,LARGE BASKET,,smoked,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
302035540075,00c095c9651d4a71a0c58ce0d2c96b40,,,,,,,yes,matemba,.,2,3,SMALL BASKET,,fresh,,no,,,,,,6,,6,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,3,SMALL BASKET,,fresh,.,1500,,,,,,,2,yes,,3,SMALL BASKET,,SUN-DRIED,.,,,,,,1/2,"YES, THE FIGURES MATCHED",.
302035540075,00c095c9651d4a71a0c58ce0d2c96b40,,,,,,,yes,chambo,.,1,1,SMALL BASKET,,fresh,,no,,,,,,1,,1,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1,SMALL BASKET,,fresh,.,200,,,,,,,1,yes,,1,OTHER (SPECIFY),"""plate """,smoked,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
