case_id,hhid,Fish_SpeciesID,fs_i02a,fs_i02b,fs_i02c,fs_i02d,fs_i02e,fs_i01,fs_i02,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
103061590125,ab50d5001869497fb6ae85e1f928e869,,,,,,,yes,utaka,,12,20,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,no,,,,,,240,,240,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,234,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,.,5000,,,,,,,12,yes,,6,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
103071610040,4465372f30494d5fbcc4764cd5cab555,,,,,,,yes,usipa,,8,20,OTHER (SPECIFY),SMALL PAIL,fresh,,no,,,,,,160,,160,OTHER (SPECIFY),PAIL SMALL,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,20,OTHER (SPECIFY),PAILS SMALL,fresh,.,50000,,,,,,,8,yes,,2,OTHER (SPECIFY),PAILS SMALL,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
103071610053,d0e24b08e3274e0e98030b040887bf4e,,,,,,,yes,chambo,,2,5,piece,,fresh,,no,,,,,,10,,10,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,0,piece,,fresh,.,0,,,,,,,0,no,the Fisher never sold any CHAMBO caught,5,piece,,fresh,.,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",.
103081620085,109b0cdebbaf4170b6e59557684c2ce2,,,,,,,yes,mlamba,,8,50,piece,,fresh,,no,,,,,,400,,400,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,380,piece,,fresh,.,500,,,,,,,8,yes,,20,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
103091640225,440104333e2e46afb69b58735a15ce1d,,,,,,,yes,ncheni,,5,30,piece,,fresh,,no,,,,,,150,,150,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,25,piece,,fresh,,600,,,,,,,5,yes,,5,piece,,fresh,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103121670149,d8a58ec5e522491eb3fbd29b26c8a815,,,,,,,yes,other,"""CHILANI """,1,20,piece,,fresh,,no,,,,,,20,,20,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,10,piece,,fresh,.,500,,,,,,,1,yes,,10,piece,,fresh,.,,,,,,1/2,"YES, THE FIGURES MATCHED",.
103201700045,922e3d8ad8584509943cdf1e7369d496,11,other,,,,,yes,,kampango,16,8,piece,,fresh,,no,,,,,,,,8,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,5,piece,,fresh,,1500,,,,,,,16,yes,,3,piece,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
103201700045,922e3d8ad8584509943cdf1e7369d496,,,,,,,yes,other,kampango,16,8,piece,,fresh,,no,,,,,,8,,8,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,5,piece,,fresh,.,1500,,,,,,,16,yes,,3,piece,.,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,,,,,,,yes,usipa,.,18,15,OTHER (SPECIFY),"""10 litres pails """,fresh,,no,,,,,,270,,270,OTHER (SPECIFY),"""10 LITRES PAILS """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,14,OTHER (SPECIFY),"""10 litres pails """,fresh,.,8000,,,,,,,18,yes,,1,SMALL BASKET,.,SUN-DRIED,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
104021810109,572dbe8173894e32b723538056173285,,,,,,,yes,usipa,.,8,22,LARGE BASKET,,fresh,,no,,,,,,176,,176,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,20,LARGE BASKET,,fresh,.,7000,,,,,,,8,yes,,1,SMALL BASKET,,SUN-DRIED,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
