case_id,hhid,Boats_EnginesID,fs_d07a,fs_d07b,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,Bwato (dugout),yes,,1,0,30000,0,0,0
102031320153,942ac3427b06463e9f8d6805d599ffc8,Bwato (dugout),yes,,1,0,1800000,0,0,0
102031320185,1da524d8ee2a41dcb2d9830593563c53,Bwato (dugout),yes,,1,0,270000,0,0,0
102031320216,1818111553b34ead89842be2dff8ccff,Bwato (dugout),yes,,1,0,90000,0,0,0
102031320232,98ab014b0be045b6a69cb6f9ae8b1ed1,Outboard engine,yes,,1,0,200000,0,0,42000
102031330272,f8b880f4fc3a479587230cfaed141480,Bwato (dugout),yes,,1,0,60000,0,0,500
102031350022,beb1efb5f918446194ffe54bafc17367,Bwato (dugout),yes,,1,0,5000,0,1000,500
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,Bwato (dugout),yes,,3,0,80000,0,0,0
102031360249,b8b148db553145a9a68e399f5e89e422,Bwato (dugout),yes,,3,3,80000,0,0,0
102031360271,70ab9300d1d7492790de8ca0837e4af1,Bwato (dugout),yes,,1,1,50000,0,0,0
102041390043,4904a664213a4720bff9919bcd654b1f,Bwato (dugout),yes,,1,1,10000,0,0,2000
102041400017,0e66af7d72d34ecba01e7125b699982c,Bwato (dugout),yes,,1,0,45000,0,20000,0
102041400073,3533c366067d4e8eb8224aaf3185e921,Bwato (dugout),yes,,1,0,45000,0,0,0
102041400259,7885799dcdd542c99359b6b2eaaa51ac,Bwato (dugout),yes,,1,1,60000,0,0,0
102051430012,6f8a942d7293484088b4f7a1712e2488,Bwato (dugout),yes,,1,0,70000,0,50000,0
102051430051,95af18dce6774558b4c8189c8ece2dc8,Bwato (dugout),yes,,1,0,18000,0,1,0
102051430063,f1b3be26069c489d8d14c57518101408,Bwato (dugout),yes,,1,1,40000,0,0,0
102051430113,947cb04fcc36485784709ffea38208bd,Bwato (dugout),yes,,1,0,37000,1,2000,0
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,Bwato (dugout),yes,,1,0,50000,0,1,3000
102051430249,7354428d3dc54a6dbd1345984caa5391,Bwato (dugout),yes,,3,3,100000,0,0,50000
102051430261,6552bf2e438f4d41b03bff392be5ae6e,Bwato (dugout),yes,,1,0,70000,0,34000,0
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,Bwato (dugout),yes,,1,0,60000,0,0,3000
103041550097,567c55b2fade45ca9224c7e045c6faf2,Bwato (dugout),,,1,1,40000,0,0,3000
103041550161,37d827493097455584995cea49b0c3a0,Bwato (dugout),,,1,0,50000,0,0,0
103051570327,76a15f5cbf344a57b0b4ab3a0746fc8e,Bwato (dugout),yes,,1,0,60000,0,20000,0
103051580104,524e5e1613a64298a6f8337b731da874,Bwato (dugout),yes,,1,1,25000,0,0,0
103061590073,61bb91404e264119a579d63aed5ba43d,Bwato (dugout),yes,,1,1,70000,0,0,0
103061590125,ab50d5001869497fb6ae85e1f928e869,Bwato (dugout),yes,,1,0,100000,0,30000,0
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,Plankboat,yes,,1,1,75000,1,0,20000
103071610040,4465372f30494d5fbcc4764cd5cab555,Bwato (dugout),yes,,1,0,40000,0,0,0
103071610053,d0e24b08e3274e0e98030b040887bf4e,Bwato (dugout),yes,,1,1,25000,0,0,0
103081620085,109b0cdebbaf4170b6e59557684c2ce2,Bwato (dugout),yes,,1,4,120000,0,0,0
103091640211,bc3bce638161477592d3ea6fca0c817e,Bwato (dugout),yes,,1,0,30000,0,20000,25000
103091640225,440104333e2e46afb69b58735a15ce1d,Bwato (dugout),yes,,1,0,200000,0,30000,0
103201700045,922e3d8ad8584509943cdf1e7369d496,Bwato (dugout),yes,,1,1,60000,0,0,5000
103201700204,a5ae70e5fa064337815355c972f70c3f,Outboard engine,yes,,1,0,200000,0,0,9000
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,Bwato (dugout),yes,,1,1,215000,0,0,0
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,Bwato (dugout),yes,,1,1,70000,0,0,0
104021810075,33d72c15c22e4193a22f89d6087978f6,Bwato (dugout),yes,,1,0,45000,0,1,5000
104021810109,572dbe8173894e32b723538056173285,Bwato (dugout),yes,,1,0,55000,0,20000,2000
104021810117,df0b43e26caa4c2fbd8422b108fbbede,Bwato (dugout),yes,,24,2,40000,0,0,10000
104021810158,e388d90053af4754844fdaf89d74a477,Bwato (dugout),yes,,3,1,30000,0,0,0
104021810158,e388d90053af4754844fdaf89d74a477,Outboard engine,yes,,1,0,150000,0,0,50000
106012200014,349e1d76d94747adb42511ccac7c03b4,Plankboat,yes,,1,0,200000,0,50000,0
106012200051,f03e120c8efa4a708c1f617c5ac7771f,Outboard engine,yes,,1,1,95000,0,0,45000
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Bwato (dugout),yes,,1,1,25000,0,0,0
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Plankboat,yes,,1,1,45000,0,0,0
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Bwato (dugout),yes,,1,1,40000,0,0,0
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Plankboat,yes,,2,0,100000,0,40000,0
106012200111,f408e6986d064a479badfe445c059b10,Bwato (dugout),yes,,1,0,50000,0,2000,0
106012200111,f408e6986d064a479badfe445c059b10,Outboard engine,yes,,1,0,120000,0,30000,20000
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,Bwato (dugout),yes,,1,0,0,0,15000,15000
106012200140,a40dfdd1423a4301adda69279487b612,Bwato (dugout),yes,,1,3,60000,0,0,50000
106012200154,15301a838151412593a5aaa0a9ee3dd4,Outboard engine,yes,,1,1,550000,1,0,45000
106012210045,2034b55a41de4b928623efb78b9444b8,Plankboat,yes,,2,1,100000,0,0,0
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,Plankboat,yes,,1,0,80000,0,20000,0
106012210122,d525875262dc4c2da8ba6c2b80dc5820,Outboard engine,yes,,3,3,2500000,0,0,20000
106012210186,dd157816118747f7b8c645deef83314a,Bwato (dugout),yes,,2,2,80000,0,0,0
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,Outboard engine,yes,,1,1,500000,0,0,70000
106012220061,1299960eefdc49dc85e74275ff361dab,Bwato (dugout),yes,,1,0,70000,0,0,0
106012220083,299b0466b1c7480c9217a68f8b5ed850,Outboard engine,yes,,2,2,850000,0,0,100000
106012220100,1b3b07c731f049e3aaaf2a381aa34112,Plankboat,yes,,2,2,100000,0,0,0
106012220105,378d35459ffe4bbcb838fe972ccf76f4,Bwato (dugout),yes,,1,1,200000,0,0,45000
106012220171,8949b0927d47403689676499aaa0e554,Bwato (dugout),yes,,1,1,35000,0,0,45000
106012220171,8949b0927d47403689676499aaa0e554,Outboard engine,yes,,2,2,1200000,1,0,45000
106012220192,e07b605d86664cfeb87f6d0f41a31538,Plankboat,yes,,1,1,90000,0,0,0
106012220214,58d807a0904745bd8e2b83c77c4e8afe,Bwato (dugout),yes,,1,1,50000,0,0,0
