case_id,hhid,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
101011060276,e5533c9c4f3b464ba0edef04d7b04493,0,0,0,0,0
101011060312,d8bd2c9a5e994984b94fc071f1df8a2d,0,0,0,0,0
101011060330,a41c9136ef4c432093c725846855deeb,0,0,0,0,0
101011060348,34015b855e6e440d8c0cecebf51b11dc,0,0,0,0,0
101011060384,d27a9760dcb34417a1c065987d3d5c93,0,0,0,0,0
101011070001,925c542df42c41fea212467d191a40ab,0,0,0,0,0
101011070020,f4de96e9d7324f3c9b6823b6277052f8,0,0,0,0,0
101011070039,649214366d5f4a71998705c5618628ea,0,0,0,0,0
101011070057,bb8ea032405d4c06a6ed58afc9786c7f,0,0,0,0,0
101011070076,51f84af652624b0a9fbf9e3c6e88116e,14,0,0,0,0
101011070095,3eda61b16f2f4764a3aac7fa50f12fac,0,0,0,0,0
101011070113,6d0849439d0c4ca4ba70eb69c263a96e,0,0,0,0,0
101011070151,524ca16282a7466a84897b5ae0b61e06,0,0,0,0,0
101011070170,919b0d0d8feb48dfa741c873ef606ced,0,0,0,0,0
101011070188,685ed523a9584537ba6094de5f69c03e,0,0,0,0,0
101011070207,7d1df01124a9445ab18c4e9d1ec4f2bf,0,0,0,0,0
101011070226,26454f78c4294720a54c54751cebd8a1,0,0,0,0,0
101011070244,4cdf0d5bb31149748c3cf7c7a68af783,0,0,0,0,0
101011070263,18bf7279f5d940b894fec57a26239ed3,0,0,0,0,0
101011070282,13c91cc2889c4d66a30e50e88bd84e37,0,0,0,0,0
101011080009,141a598190d449b9a206076e14abe56c,0,500,0,0,0
101011080035,497c0a87e9a246fcb7967ad7bd37fb38,0,400,1030,0,0
101011080043,083d523d4c04405eae6c6fd76ea87c70,0,0,0,0,0
101011080052,5b514d21b8a841a486fe71b0d437c62f,0,0,0,0,0
101011080078,26992326353d40d4b00769af291f0169,0,0,0,0,0
101011080087,d52dd0d9245c446a8997454c47a21223,0,0,0,0,0
101011080121,639cf367e43244c1aa7d058314dc2048,0,0,0,0,0
101011080147,8a0288b6ab1b492da091c27ad25b68b0,0,0,0,0,0
