ea_id,module_cb_startdate,module_cb_startHr,module_cb_startMin,module_cb_endHr,module_cb_endMin,module_cc_startdate,module_cc_startHr,module_cc_startMin,module_cc_endHr,module_cc_endMin,module_ce_startdate,module_ce_startHr,module_ce_startMin,module_ce_endHr,module_ce_endMin,module_cf_startdate,module_cf_startHr,module_cf_startMin,module_cf_endHr,module_cf_endMin,module_cg_startdate,module_cg_startHr,module_cg_startMin,module_cg_endHr,module_cg_endMin,module_ch_startdate,module_ch_startHr,module_ch_startMin,module_ch_endHr,module_ch_endMin,module_ci_startdate,module_ci_startHr,module_ci_startMin,module_ci_endHr,module_ci_endMin,module_cj_startdate,module_cj_startHr,module_cj_startMin,module_cj_endHr,module_cj_endMin
30106534,2016-10-01,10,5,10,24,2016-10-01,10,24,10,48,2016-10-01,11,15,11,25,2016-10-01,11,25,11,34,2016-10-01,11,34,11,45,2016-10-01,11,45,12,9,2016-10-01,12,9,12,11,2016-10-01,12,11,12,24
30106535,2017-04-05,12,14,12,24,2017-04-05,12,25,12,33,2017-04-05,12,51,12,55,2017-04-05,12,55,13,5,2017-04-05,13,4,13,9,2017-04-05,13,9,13,13,2017-04-05,13,14,13,14,2017-04-05,13,14,13,38
30106536,2016-06-01,10,16,10,29,2016-06-01,10,29,10,54,2016-06-01,11,16,11,28,2016-06-01,11,28,11,35,2016-06-01,11,35,11,40,2016-06-01,11,41,11,46,2016-06-01,11,47,11,48,2016-06-01,11,48,12,5
30107537,2017-03-09,10,52,11,5,2017-03-09,11,5,11,20,2017-03-09,11,34,11,39,2017-03-09,11,40,11,46,2017-03-09,11,46,11,53,2017-03-09,11,54,12,2,2017-03-09,12,3,12,4,2017-03-09,12,4,12,13
30108538,2016-12-29,9,28,9,37,2016-12-29,9,38,9,46,2016-12-29,9,58,10,0,2016-12-29,10,0,10,10,2016-12-29,10,10,10,22,2016-12-29,10,23,11,2,2016-12-29,11,2,11,5,2016-12-29,11,6,11,58
30108539,2017-04-20,14,2,14,15,2017-04-20,14,16,14,32,2017-04-20,14,41,14,45,2017-04-20,14,45,14,54,2017-04-20,14,55,15,0,2017-04-20,15,0,15,7,2017-04-20,15,8,15,11,2017-04-20,15,12,16,5
30109540,2016-06-22,10,51,11,4,2016-06-22,11,4,11,28,2016-06-22,11,46,11,51,2016-06-22,11,52,11,59,2016-06-22,11,59,12,5,2016-06-22,12,5,12,27,2016-06-22,12,28,12,35,2016-06-22,12,35,13,52
30120541,2016-09-14,10,1,10,21,2016-09-14,10,22,11,15,2016-09-14,11,31,11,39,2016-09-14,11,40,12,2,2016-09-14,12,2,12,10,2016-09-14,12,10,12,20,2016-09-14,12,20,12,22,2016-09-14,12,22,12,38
30121542,2017-03-10,8,9,8,22,2017-03-10,8,2,8,46,2017-03-10,9,28,9,42,2017-03-10,9,43,10,9,2017-03-10,10,10,10,43,2017-03-10,10,43,11,13,2017-03-10,11,13,11,15,2017-03-10,11,15,11,37
30201543,2017-03-23,11,50,11,50,2017-03-23,11,55,12,41,2017-03-23,13,3,13,10,2017-03-23,13,11,13,24,2017-03-23,12,24,13,33,2017-03-23,13,33,13,38,2017-03-23,13,38,13,41,2017-03-23,13,42,13,47
30201544,2016-04-29,13,3,13,25,2016-04-29,13,25,13,50,2016-04-29,14,13,14,22,2016-04-29,14,22,14,23,2016-04-29,14,23,14,39,2016-04-29,14,39,14,46,2016-04-29,14,47,14,48,2016-04-29,14,48,15,0
30201545,2017-01-27,9,54,10,7,2017-01-27,10,8,13,10,2017-01-27,11,37,11,47,2017-01-27,11,47,12,6,2017-01-27,12,6,12,20,2017-01-27,12,20,12,30,2017-01-27,12,30,12,34,2017-01-27,12,35,12,55
30201546,2016-09-29,9,33,9,47,2016-09-29,9,49,10,19,2016-09-29,10,46,10,50,2016-09-29,10,51,11,4,2016-09-29,11,4,11,14,2016-09-29,11,14,11,17,2016-09-29,11,18,11,24,2016-09-29,11,24,11,55
30202547,2017-03-31,11,15,11,26,2017-03-31,11,26,12,1,2017-03-31,12,21,12,24,2017-03-31,12,24,12,48,2017-04-07,12,50,12,56,2017-03-31,12,56,13,2,2017-03-31,13,2,13,3,2017-03-31,13,3,13,21
30202548,2016-06-06,13,40,14,0,2016-06-06,14,4,14,19,2016-06-06,14,44,14,49,2016-06-06,14,49,15,7,2016-06-06,15,7,15,15,2016-06-06,15,15,15,21,2016-06-06,15,21,15,21,2016-06-06,15,22,15,58
30203549,2017-03-12,9,38,10,2,2017-03-12,10,3,10,17,2017-03-12,10,36,10,45,2017-03-12,10,46,10,56,2017-03-12,10,58,11,12,2017-03-12,11,13,11,30,2017-03-12,11,32,11,38,2017-03-12,11,39,11,59
30203550,2016-11-02,10,43,11,2,2016-11-02,11,2,11,38,2016-11-02,12,5,12,12,2016-11-02,12,12,12,36,2016-11-02,12,36,12,36,2016-11-02,12,36,12,37,2016-11-02,12,38,12,39,2016-11-02,12,39,12,45
30203551,2017-04-22,9,35,9,51,2017-04-22,9,51,10,8,2017-04-22,10,29,10,34,2017-04-22,10,34,10,43,2017-04-22,10,43,10,48,2017-04-22,10,49,10,49,2017-04-22,18,49,10,50,2017-04-22,10,50,11,10
30203552,2016-06-27,10,44,11,10,2016-06-27,11,12,11,37,2016-06-27,12,3,12,8,2016-06-27,12,9,12,25,2016-06-27,12,25,12,41,2016-06-27,12,42,12,48,2016-06-27,12,48,12,49,2016-06-27,12,50,13,20
30203553,2017-03-10,9,23,9,25,2017-03-10,9,11,9,50,2017-03-10,10,9,10,11,2017-03-10,11,13,10,18,2017-03-10,10,18,10,20,2017-03-10,10,20,10,20,2017-03-10,10,25,10,59,2017-03-10,11,20,11,35
30203554,2016-09-01,10,55,11,24,2016-09-01,11,25,11,57,2016-09-01,12,31,12,37,2016-09-01,12,38,12,50,2016-09-01,12,51,12,57,2016-09-01,12,57,13,6,2016-09-01,13,6,13,9,2016-09-01,13,10,13,29
30204555,2017-03-27,11,14,11,33,2017-03-27,11,53,12,15,2017-03-27,12,39,12,45,2017-03-27,12,45,12,46,2017-03-27,12,46,12,56,2017-03-27,12,56,13,2,2017-03-27,13,2,13,3,2017-03-27,13,3,13,22
30205556,2016-04-23,14,19,14,23,2016-04-23,14,23,15,28,2016-04-23,16,6,16,12,2016-04-23,16,12,16,33,2016-04-23,16,33,16,50,2016-04-23,16,50,17,14,2016-04-23,17,14,17,25,2016-04-23,17,25,17,43
30206557,2017-01-31,9,39,9,59,2017-01-31,10,1,10,33,2017-01-31,11,5,11,13,2017-01-31,11,13,11,36,2017-01-31,11,36,11,59,2017-01-31,11,52,11,52,2017-01-31,11,52,11,56,2017-01-31,11,57,12,44
30206558,2016-09-26,9,37,9,49,2016-09-26,9,49,10,10,2016-09-26,10,29,10,35,2016-09-26,10,35,10,44,2016-09-26,10,44,10,51,2016-09-26,10,51,10,59,2016-09-26,11,0,11,12,2016-09-26,11,6,11,23
30207559,2017-04-04,11,36,11,55,2017-04-04,11,56,12,12,2017-04-04,12,33,12,37,2017-04-04,12,37,12,59,2017-04-04,12,59,13,10,2017-04-04,13,10,13,50,2017-04-04,13,10,13,13,2017-04-04,13,13,13,41
30207560,2016-06-01,13,29,13,49,2016-06-01,13,49,14,16,2016-06-01,14,45,14,51,2016-06-01,14,51,14,52,2016-06-01,14,52,15,1,2016-06-01,15,2,15,7,2016-06-01,15,7,15,8,2016-06-01,15,8,15,36
30207561,2017-03-08,11,59,12,16,2017-03-08,12,16,12,50,2017-03-08,13,12,13,19,2017-03-08,13,19,13,33,2017-03-08,13,33,13,48,2017-03-08,13,48,13,52,2017-03-08,13,52,13,53,2017-03-08,13,53,14,12
30208562,2016-11-05,10,13,10,26,2016-11-05,10,27,10,51,2016-11-05,11,24,11,31,2016-11-05,11,31,11,59,2016-11-05,11,59,12,6,2016-11-05,12,6,12,14,2016-11-05,12,14,12,19,2016-11-05,12,19,12,47
30209563,2017-04-26,9,3,9,30,2017-04-26,9,31,9,37,2017-04-26,10,14,10,17,2017-04-26,10,18,10,23,2017-04-26,18,25,10,33,2017-04-26,10,33,10,37,2017-04-26,10,10,10,46,2017-04-26,10,46,11,3
30212564,2016-06-23,10,29,10,51,2016-06-23,10,52,11,12,2016-06-23,11,30,11,35,2016-06-23,11,35,11,59,2016-06-23,11,52,12,13,2016-06-23,12,13,12,22,2016-06-23,12,22,12,27,2016-06-23,12,28,12,45
30212565,2017-03-11,12,11,12,27,2017-03-11,12,27,12,53,2017-03-11,13,14,13,19,2017-03-11,13,19,13,32,2017-03-11,13,33,13,43,2017-03-11,13,43,13,44,2017-03-11,13,44,13,46,2017-03-11,13,46,14,10
30222566,2016-09-12,14,10,14,55,2016-09-12,14,55,15,17,2016-09-12,15,38,15,43,2016-09-12,15,44,15,58,2016-09-12,15,58,16,12,2016-09-12,16,13,16,15,2016-09-12,16,16,16,17,2016-09-12,16,18,16,33
30301567,2016-09-27,10,46,11,1,2016-09-27,11,1,11,8,2016-09-27,11,24,11,29,2016-09-27,11,29,11,35,2016-09-27,11,35,11,36,2016-09-27,11,36,11,41,2016-09-27,11,42,12,0,2016-09-27,12,5,12,10
30301568,2017-03-29,13,16,13,52,2017-03-29,13,52,13,59,2017-03-29,14,17,14,21,2017-03-29,14,21,14,30,2017-03-29,14,30,14,31,2017-03-29,14,32,14,37,2017-03-29,14,37,14,40,2017-03-29,15,0,15,47
30301569,2016-05-20,10,15,10,19,2016-05-20,10,49,10,51,2016-05-20,11,17,11,18,2016-05-20,11,19,11,20,2016-05-20,11,21,11,22,2016-05-20,11,25,11,26,2016-05-20,11,33,11,35,2016-05-20,11,39,11,39
30302570,2017-01-25,10,20,10,54,2017-01-25,10,54,10,5,2017-01-25,11,5,11,25,2017-01-25,11,25,11,33,2017-01-25,11,33,11,36,2017-01-25,11,38,11,42,2017-01-25,11,42,11,45,2017-01-25,11,45,11,49
30302571,2016-10-29,10,0,10,27,2016-10-29,10,29,11,0,2016-10-29,11,21,11,27,2016-10-29,11,27,11,45,2016-10-29,11,45,11,55,2016-10-29,11,55,12,3,2016-10-29,12,3,12,4,2016-10-29,12,4,12,29
30302572,2017-04-07,11,40,11,59,2017-04-07,12,0,12,7,2017-04-07,12,52,12,56,2017-04-07,12,57,13,11,2017-04-07,13,11,13,17,2017-04-07,13,18,13,18,2017-04-07,13,18,13,20,2017-04-07,13,21,13,47
30302573,2016-05-25,10,30,10,47,2016-05-25,10,50,12,45,2016-05-25,11,12,11,30,2016-05-25,11,30,11,40,2016-05-25,11,40,11,44,2016-05-25,11,58,11,59,2016-05-25,12,0,12,8,2016-05-25,12,10,12,18
30302574,2017-03-04,12,10,12,34,2017-03-04,12,34,13,3,2017-03-04,13,30,13,36,2017-03-04,13,36,13,37,2017-03-04,13,37,13,47,2017-03-04,13,48,13,51,2017-03-04,13,51,13,51,2017-03-04,13,51,14,21
30304575,2016-12-20,9,18,9,40,2016-12-20,9,41,10,11,2016-12-20,10,46,10,50,2016-12-20,10,50,11,5,2016-12-20,11,5,11,27,2016-12-20,11,27,11,31,2016-12-20,11,31,11,35,2016-12-20,11,35,11,48
30304576,2017-04-12,14,25,14,42,2017-04-12,14,32,14,38,2017-04-12,14,52,14,56,2017-04-12,14,57,15,1,2017-04-12,15,2,15,3,2017-04-12,15,15,15,25,2017-04-12,15,30,15,31,2017-04-12,15,31,15,45
30304577,2016-07-06,11,10,11,14,2016-07-06,11,14,12,2,2016-07-06,12,29,12,35,2016-07-06,12,35,12,52,2016-07-06,12,52,13,4,2016-07-06,13,4,13,10,2016-07-06,13,10,13,11,2016-07-06,13,11,13,43
30305578,2017-02-15,13,19,13,50,2017-02-15,13,50,14,4,2017-02-15,14,24,14,27,2017-02-15,14,27,14,34,2017-02-15,14,35,14,35,2017-02-15,14,36,14,39,2017-02-15,14,39,14,40,2017-02-15,14,41,14,50
30305579,2016-09-21,14,20,14,50,2016-09-21,14,50,14,57,2016-09-21,15,21,15,26,2016-09-21,15,26,15,37,2016-09-21,15,38,15,41,2016-09-21,15,41,15,48,2016-09-21,15,48,15,49,2016-09-21,15,49,15,54
30305580,2017-04-02,13,50,13,57,2017-04-02,14,4,14,11,2017-04-02,14,33,14,39,2017-04-02,14,39,14,46,2017-04-02,14,46,14,48,2017-04-02,14,48,14,54,2017-04-02,14,54,14,59,2017-04-02,15,0,15,8
30305581,2016-05-13,10,6,10,8,2016-05-13,10,31,10,31,2016-05-13,11,0,11,2,2016-05-13,10,3,10,6,2016-05-13,11,13,11,17,2016-05-13,11,15,11,20,2016-05-13,11,21,11,22,2016-05-13,11,13,11,28
30305582,2017-02-01,14,5,14,25,2017-02-01,14,25,14,43,2017-02-01,15,5,15,11,2017-02-01,15,11,15,15,2017-02-01,15,19,15,21,2017-02-01,15,21,15,20,2017-02-01,15,22,15,22,2017-02-01,15,24,15,26
30306583,2016-10-25,11,19,11,21,2016-10-25,11,24,11,40,2016-10-25,11,20,11,59,2016-10-25,11,58,12,3,2016-10-25,12,3,12,4,2016-10-25,12,4,12,8,2016-10-25,12,8,12,10,2016-10-25,12,10,12,16
30306584,2017-04-11,9,48,9,59,2017-04-11,9,59,10,6,2017-04-11,10,25,10,29,2017-04-11,10,29,10,38,2017-04-11,10,38,10,45,2017-04-11,10,45,10,51,2017-04-11,10,51,10,52,2017-04-11,10,52,11,7
30306585,2016-06-02,14,4,14,28,2016-06-02,14,28,14,55,2016-06-02,14,55,14,58,2016-06-02,14,58,14,59,2016-06-02,15,9,15,10,2016-06-02,15,11,15,14,2016-06-02,15,20,15,22,2016-06-02,15,30,15,33
30306586,2017-03-16,11,54,12,3,2017-03-16,12,4,12,36,2017-03-16,13,4,13,8,2017-03-16,13,9,13,25,2017-03-16,13,26,13,33,2017-03-16,13,34,13,35,2017-03-16,13,35,13,41,2017-03-16,13,42,14,6
30306587,2016-12-21,14,50,15,1,2016-12-21,15,1,15,7,2016-12-21,15,21,15,26,2016-12-21,15,26,15,33,2016-12-21,15,33,15,35,2016-12-21,15,35,15,37,2016-12-21,15,37,15,39,2016-12-21,15,39,15,44
30306588,2017-04-15,14,39,14,52,2017-04-15,14,52,15,1,2017-04-15,15,23,15,24,2017-04-15,15,27,15,37,2017-04-15,15,38,15,39,2017-04-15,15,39,15,56,2017-04-15,15,57,15,59,2017-04-15,15,50,16,4
30307589,2016-07-13,10,52,11,9,2016-07-13,11,9,11,35,2016-07-13,11,55,12,1,2016-07-13,12,1,12,12,2016-07-13,12,12,12,24,2016-07-13,12,24,12,28,2016-07-13,12,28,12,30,2016-07-13,12,30,12,54
30307590,2017-02-20,13,11,13,15,2017-02-20,13,27,13,32,2017-02-20,13,45,13,47,2017-02-20,13,47,13,53,2017-02-20,13,53,13,54,2017-02-20,14,12,14,20,2017-02-20,14,28,14,29,2017-02-20,14,35,15,0
30401591,2017-03-22,13,15,13,39,2017-03-22,13,40,14,5,2017-03-22,14,26,14,31,2017-03-22,14,32,14,40,2017-03-22,14,42,15,2,2017-03-22,15,3,15,25,2017-03-22,15,27,15,35,2017-03-22,15,37,16,3
30401592,2016-04-28,10,49,11,12,2016-04-28,11,13,11,39,2016-04-28,12,2,12,8,2016-04-28,12,8,12,29,2016-04-28,12,29,12,44,2016-04-28,12,44,13,22,2016-04-28,22,22,13,31,2016-04-28,13,31,13,53
30401593,2017-02-06,12,2,12,30,2017-02-06,12,32,12,54,2017-02-06,13,17,13,25,2017-02-06,13,28,13,44,2017-02-06,13,45,14,6,2017-02-06,14,9,14,37,2017-02-06,14,38,14,46,2017-02-06,14,49,15,38
30401594,2016-10-03,9,18,9,38,2016-10-03,9,39,9,51,2016-10-03,10,11,10,15,2016-10-03,10,16,10,31,2016-10-03,10,32,10,42,2016-10-03,10,43,11,14,2016-10-03,11,15,11,20,2016-10-03,11,20,11,43
30402595,2017-03-29,13,54,14,5,2017-03-29,14,6,14,22,2017-03-29,14,42,14,49,2017-03-29,14,51,15,10,2017-03-29,15,15,15,25,2017-03-29,15,26,15,38,2017-03-31,15,39,15,45,2017-03-29,15,46,14,0
30402596,2016-06-02,10,25,10,38,2016-06-02,10,38,10,53,2016-06-02,11,15,11,21,2016-06-02,11,21,11,32,2016-06-02,11,32,11,43,2016-06-02,11,44,12,17,2016-06-02,12,19,12,25,2016-06-02,12,26,13,1
30402597,2017-02-20,9,23,9,43,2017-02-20,9,44,9,58,2017-02-20,10,18,10,27,2017-02-20,10,28,10,44,2017-02-20,10,45,11,5,2017-02-20,11,6,11,32,2017-02-20,11,34,11,37,2017-02-20,11,38,12,0
30402598,2016-11-09,9,1,9,21,2016-11-09,9,21,9,31,2016-11-09,9,51,9,58,2016-11-09,9,59,10,10,2016-11-09,10,11,10,32,2016-11-09,10,33,10,56,2016-11-09,10,58,11,10,2016-11-09,11,12,11,38
30402599,2017-04-14,14,30,14,38,2017-04-14,14,39,14,51,2017-04-14,15,4,15,7,2017-04-14,15,8,15,24,2017-04-14,15,25,15,32,2017-04-14,15,34,15,48,2017-04-14,15,50,15,55,2017-04-14,15,56,16,12
30403600,2016-07-20,13,15,13,28,2016-07-20,13,29,13,35,2016-07-20,14,47,14,54,2016-07-20,14,55,15,19,2016-07-20,15,19,15,31,2016-07-20,15,31,15,59,2016-07-20,15,59,16,10,2016-07-20,16,12,16,58
30403601,2017-03-07,10,30,10,50,2017-03-07,10,50,11,10,2017-03-07,11,25,11,28,2017-03-07,11,28,11,35,2017-03-07,11,35,11,38,2017-03-07,11,39,11,51,2017-03-07,11,51,11,53,2017-03-07,11,57,12,30
30403602,2016-08-31,13,51,14,16,2016-08-31,14,16,14,40,2016-08-31,15,10,15,21,2016-08-31,15,21,15,41,2016-08-31,15,44,15,56,2016-08-31,15,56,16,30,2016-08-31,16,30,16,39,2016-08-31,16,39,16,17
