case_id,hhid,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
103061590073,61bb91404e264119a579d63aed5ba43d,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103061590125,ab50d5001869497fb6ae85e1f928e869,2,16,0,0,no,,,no,,,,,,,yes,8000,0,0,0,no,,,
103061590150,a729399a66b14db8b8a00c1e2d9148f6,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103061600033,40c946603a674215878b8d31828dd6c0,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103061600056,1859860260824f6689c4bf15a6b2eb6e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103061600078,c26141cbc5174e96904b395bcc54366c,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103061600180,c4f3a71f569c44a1b19069c09762f14e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103061600202,6feae0b98ff447729ed539e1ec2ba95c,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,6,1,0,0,yes,4000,0,yes,1,DOZEN / BUNDLE,,0,OTHER (SPECIFY),NONE,no,,,0,0,no,,,
103071610027,1dfe07332f63475f9557d4e4018207bc,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103071610040,4465372f30494d5fbcc4764cd5cab555,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103071610053,d0e24b08e3274e0e98030b040887bf4e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,yes,"""for buying threads """,12000,season
103081620014,d8b1edfeb6264f65b96d57c6121fc0a1,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620028,219b04bf89e54900b3b05477279ba185,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620042,5f4bc82d7ed94bebb62dfe3db9e6afae,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620085,109b0cdebbaf4170b6e59557684c2ce2,3,8,0,0,yes,10000,0,yes,10,piece,,30,piece,,no,,,5000,0,no,,,
103081620098,b67cb8fcd273432aaadb42f1b549711a,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620127,e8a47dd94eb8405f884217260c58ab30,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620184,f2569170459943dc8867c31b7e1e7974,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620198,2ce39e2d4a68423eb6eba403c0f41ff7,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620212,bcc7ea73dd704eb3a3354f964cb1523a,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620268,031e4883262d4934bcac67e031770853,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103081620295,27dc24a691b6480cbd6753766d00754a,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
