case_id,hhid,ea_id,region,district,reside,interviewDate,hh_wgt,hh_a02a,hh_a03,hh_a06,hh_a11,hh_a13,hh_a22,hh_a23,hh_g09,hh_m00,hh_o0a,hh_s01,hh_w01
305086360054,759b2ce3de1e4787a1c3b580cbbaed63,30508636,Southern,Blantyre,rural,2017-04-20,172.04491,8,636,0054,no,,500,32,no,yes,no,no,yes
304015910139,759fb5d54e3d444db79b20acdfe8f8a8,30401591,Southern,Chiradzulu,rural,2017-03-20,525.82129,1,591,0139,no,,400,60,no,yes,no,no,no
208044470018,75a88fb5eccf4bb7ad5bc8f7e346b708,20804447,Central,Dedza,rural,2017-03-22,408.25439,4,447,0018,no,,90,41,yes,yes,no,no,no
203053170033,75acd036d5894e7a9cc453d78d38744e,20305317,Central,Ntchisi,rural,2017-02-07,91.515503,5,317,0033,no,,50,3,no,yes,yes,no,no
309017160120,75afd36b09b3423aae1fa1f3932214c4,30901716,Southern,Phalombe,rural,2017-04-06,208.7453,1,716,0120,no,,70,89,no,yes,no,no,no
308016910087,75afdf480ad94e5eb66c01c9102ed66c,30801691,Southern,Mulanje,rural,2017-04-01,193.2594,1,691,0087,no,,70,89,no,yes,no,no,no
206124030476,75bc01f6388b4a2bad0cceb020c6e2e8,20612403,Central,Lilongwe,rural,2016-10-22,762.36688,12,403,0476,no,,900,89,no,yes,no,no,no
106012280137,75c22a9d27704f14b29d57311f01bf37,10601228,North,Likoma,rural,2017-02-12,11.6163,1,228,0137,no,,20,91,yes,yes,no,no,no
203053210020,75c3542c34cc484aabe67d31528826da,20305321,Central,Ntchisi,rural,2017-02-20,114.526,5,321,0020,no,,50,21,no,yes,no,yes,no
102201450364,75c82177b2724283bec5d78c575f6f2d,10220145,North,Karonga,urban,2016-09-11,221.9343,20,145,0364,no,,10,83,no,no,no,yes,no
208064520285,75c8b8f1a7574193aece9d0032acdc8a,20806452,Central,Dedza,rural,2016-06-14,641.5799,6,452,0285,no,,90,39,yes,yes,yes,no,no
106012290148,75d146ba5d274fe5a5ce4d5839b79d90,10601229,North,Likoma,urban,2016-10-12,9.0223999,1,229,0148,no,,20,13,no,yes,no,yes,no
209064730161,75d93b2dd172402f8840ccfc11e9a035,20906473,Central,Ntcheu,rural,2016-04-23,379.48959,6,473,0161,no,,90,42,no,yes,yes,no,no
210875140568,75e1bdbcefc74bf99d85d8937a2a2f5c,21087514,Central,Lilongwe City,urban,2017-02-12,598.14679,87,514,0568,yes,Dwelling destroyed,80,82,yes,no,no,no,no
105072130746,75e60d89b1ab4ac9ace2bc4beb95e08c,10507213,North,Mzimba,rural,2016-06-16,203,7,213,0746,no,,30,11,yes,yes,yes,yes,no
207054290236,75e77052e451466daf37f722f48c89d9,20705429,Central,Mchinji,rural,2017-02-01,300.8656,5,429,0236,no,,100,65,no,yes,no,no,no
101051210142,75e7f83de15342148cb7a037fbddd462,10105121,North,Chitipa,rural,2017-03-11,100.6677,5,121,0142,no,,10,4,no,yes,yes,no,no
208034440104,75effe68f44449efb337dc5b5893b99a,20803444,Central,Dedza,rural,2016-07-05,392.0766,3,444,0104,no,,60,28,yes,yes,yes,no,no
209034660059,75f8dd41920f4553b92cca90393a0e56,20903466,Central,Ntcheu,rural,2017-02-02,403.7529,3,466,0059,no,,90,41,no,yes,no,no,no
303025710010,75fec221c6354652b9fabb6bb03d9fa4,30302571,Southern,Zomba Non-City,rural,2016-10-27,197.95531,2,571,0010,no,,200,51,yes,yes,yes,yes,no
310037450042,7605378f72ee45ccbfcffc50bbfeaa96,31003745,Southern,Chikwawa,rural,2017-03-02,321.59729,3,745,0042,no,,800,76,yes,yes,no,yes,no
107332340619,76062f96ffe941c5a5f01fbef904626b,10733234,North,Mzuzu City,urban,2017-01-19,267.52771,33,234,0619,no,,30,10,no,no,yes,no,no
202203010224,76132af7c5dc4267a04808a61e7db403,20220301,Central,Nkhotakota,urban,2016-09-08,248.657,20,301,0224,no,,50,45,no,yes,no,no,no
303065850074,76139b664c624166a1a2d5fd75cc6f3d,30306585,Southern,Zomba Non-City,rural,2016-06-02,262.95709,6,585,0074,no,,300,55,yes,yes,no,yes,no
307026640215,7613fd8e71a14454b7ae1ac2be0d5bfa,30702664,Southern,Thyolo,rural,2017-04-21,370.06339,2,664,0215,no,,400,86,no,yes,no,no,no
107352400336,761ddfdfd9ff48279dc76082a323f03b,10735240,North,Mzuzu City,urban,2017-04-16,61.631599,35,240,0336,no,,30,12,no,no,no,yes,no
308067070160,76212b3550004d048578809811fad44d,30806707,Southern,Mulanje,rural,2017-04-12,176.209,6,707,0160,no,,70,89,no,yes,no,no,no
203043140021,762894e1a3c044e4978a8da757c830d5,20304314,Central,Ntchisi,rural,2016-09-22,149.1655,4,314,0021,no,,50,45,no,yes,no,no,no
101051200108,7628af74a43d4105859a65d1c6781d45,10105120,North,Chitipa,rural,2016-06-16,128.8212,5,120,0108,no,,10,3,no,yes,no,no,no
210805080415,762918c634634d579332657c1ae32991,21080508,Central,Lilongwe City,urban,2017-03-30,468.72229,80,508,0415,no,,80,68,no,no,no,yes,no
