case_id,hhid,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b,Fish_SpeciesID
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,yes,usipa,.,14,40,OTHER (SPECIFY),10 litres  pails,fresh,,no,,,,,,560,,560,OTHER (SPECIFY),"""10 litres pails """,fresh,,560,OTHER (SPECIFY),"""10 litres pails """,fresh,,"YES, THE FIGURES MATCHED",,25,OTHER (SPECIFY),10 litres pails,fresh,,1000,126,OTHER (SPECIFY),"""10 litres pails """,fresh,,8000,14,yes,2,OTHER (SPECIFY),"""10 litres pails """,SUN-DRIED,,6,SMALL BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",,
104021810075,33d72c15c22e4193a22f89d6087978f6,yes,ncheni,.,1,65,LARGE BASKET,,fresh,,no,,,,,,65,,65,LARGE BASKET,,fresh,,45,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,35,LARGE BASKET,,fresh,,300000,20,LARGE BASKET,,fresh,,35000,1,yes,4,SMALL BASKET,,fresh,,7,SMALL BASKET,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
104021810084,6d8dfc681c3247a2bd049133392cf5f5,yes,usipa,.,3,25,SMALL BASKET,,fresh,,no,,,,,,6,,25,SMALL BASKET,,fresh,,0,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,20,SMALL BASKET,,fresh,,5000,20,SMALL BASKET,,fresh,,4500,6,yes,2,SMALL BASKET,,fresh,,0,SMALL BASKET,,fresh,,1/2,"YES, THE FIGURES MATCHED",,
104021810109,572dbe8173894e32b723538056173285,yes,usipa,.,12,40,LARGE BASKET,,fresh,,no,,,,,,480,,480,LARGE BASKET,,fresh,,0,OTHER (SPECIFY),non,OTHER (SPECIFY),non,"YES, THE FIGURES MATCHED",,38,LARGE BASKET,,fresh,,2000,21,SMALL BASKET,,fresh,,5000,12,no,1,LARGE BASKET,,SUN-DRIED,,4,LARGE BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",,
104021810117,df0b43e26caa4c2fbd8422b108fbbede,yes,chambo,.,6,16,SMALL BASKET,,fresh,,no,,,,,,6,,43,SMALL BASKET,,fresh,,36,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,80,SMALL BASKET,,fresh,,7000,25,piece,,fresh,,2000,4,yes,18,piece,,fresh,,18,piece,,fresh,,3/4,"YES, THE FIGURES MATCHED",,
104021810117,df0b43e26caa4c2fbd8422b108fbbede,yes,usipa,.,4,6,SMALL BASKET,,fresh,,no,,,,,,24,,23,SMALL BASKET,,fresh,,20,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,16,SMALL BASKET,,fresh,,2500,28,piece,,fresh,,3000,4,no,4,SMALL BASKET,,fresh,,2,DOZEN / BUNDLE,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
104021810117,df0b43e26caa4c2fbd8422b108fbbede,yes,ncheni,.,6,90,LARGE BASKET,,fresh,,no,,,,,,540,,540,LARGE BASKET,,fresh,,60,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,30,LARGE BASKET,,fresh,,35000,800,SMALL BASKET,,fresh,,25000,6,no,45,piece,,fresh,,12,piece,,fresh,,1/2,"YES, THE FIGURES MATCHED",,
104021810158,e388d90053af4754844fdaf89d74a477,yes,usipa,.,20,300,OTHER (SPECIFY),10 litres pail,fresh,,no,,,,,,6000,,6000,OTHER (SPECIFY),10 litres pail,fresh,,0,OTHER (SPECIFY),"""10 litres  pail """,fresh,,"YES, THE FIGURES MATCHED",,48,OTHER (SPECIFY),"""10 Litres pail """,fresh,,4000,120,OTHER (SPECIFY),10 litres pail,fresh,,7000,20,no,2,OTHER (SPECIFY),"""10 Litres pail """,fresh,,0,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
105011970059,025aa6c330234024a159947a74a27cb7,yes,makakani,,24,24,OTHER (SPECIFY),"""No 10 plate """,fresh,,no,,,,,,576,,576,OTHER (SPECIFY),"""No 10 plate """,fresh,,576,OTHER (SPECIFY),"""No 10 plate """,fresh,,"YES, THE FIGURES MATCHED",,20,OTHER (SPECIFY),No. 10 plate,smoked,,200,288,OTHER (SPECIFY),"""No 10 plate """,fresh,,300,24,yes,4,OTHER (SPECIFY),No 10 plate,fresh,,4,OTHER (SPECIFY),,fresh,,1/4,"YES, THE FIGURES MATCHED",,
105011970059,025aa6c330234024a159947a74a27cb7,yes,mlamba,,24,40,piece,,fresh,,no,,,,,,960,,960,piece,,fresh,,960,piece,,fresh,,"YES, THE FIGURES MATCHED",,28,piece,,smoked,,50,26,piece,,smoked,,70,24,yes,12,piece,,smoked,,12,OTHER (SPECIFY),,smoked,,1/4,"YES, THE FIGURES MATCHED",,
105011970059,025aa6c330234024a159947a74a27cb7,yes,matemba,,24,22,OTHER (SPECIFY),"""No 10 plate """,fresh,,no,,,,,,528,,528,OTHER (SPECIFY),"""No 10 plate """,fresh,,528,OTHER (SPECIFY),"""No 10 plate """,fresh,,"YES, THE FIGURES MATCHED",,20,OTHER (SPECIFY),"""No 10 plate """,smoked,,200,15,OTHER (SPECIFY),"""No 10 plate """,fresh,,300,24,yes,2,OTHER (SPECIFY),"""No 10 plate """,smoked,,48,OTHER (SPECIFY),,smoked,,1/4,"YES, THE FIGURES MATCHED",,
106012200014,349e1d76d94747adb42511ccac7c03b4,yes,usipa,.,16,80,OTHER (SPECIFY),basin,fresh,,no,,,,,,1280,,1280,OTHER (SPECIFY),basin,fresh,,1280,OTHER (SPECIFY),basin,fresh,,"YES, THE FIGURES MATCHED",,79,OTHER (SPECIFY),basin,fresh,,5000,30,OTHER (SPECIFY),basin,fresh,,8000,16,yes,1,OTHER (SPECIFY),basin,fresh,,16,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200014,349e1d76d94747adb42511ccac7c03b4,yes,utaka,.,12,40,OTHER (SPECIFY),Basin,fresh,,no,,,,,,480,,480,OTHER (SPECIFY),basin,fresh,,480,OTHER (SPECIFY),basin,fresh,,"YES, THE FIGURES MATCHED",,39,OTHER (SPECIFY),Basin,fresh,,10000,300,OTHER (SPECIFY),basin,fresh,,15000,16,yes,1,OTHER (SPECIFY),basin,fresh,,1,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200051,f03e120c8efa4a708c1f617c5ac7771f,yes,usipa,.,16,45,LARGE BASKET,,fresh,,no,,,,,,720,,720,LARGE BASKET,,fresh,,720,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,44,LARGE BASKET,,fresh,,3000,450,SMALL BASKET,,SUN-DRIED,,7000,16,yes,1,LARGE BASKET,,SUN-DRIED,,16,SMALL BASKET,,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,yes,usipa,.,15,25,LARGE BASKET,,fresh,,no,,,,,,375,,375,LARGE BASKET,,fresh,,375,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,370,LARGE BASKET,,fresh,,3500,150,LARGE BASKET,,fresh,,4500,15,yes,5,LARGE BASKET,,fresh,,5,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200074,0fefe02983d54c1e9c34e892cfc36aca,yes,usipa,.,16,30,OTHER (SPECIFY),AK Large plastic basin,fresh,,no,,,,,,480,,480,OTHER (SPECIFY),AK Large plastic  basin,fresh,,480,OTHER (SPECIFY),"""AK Large plastic basin """,fresh,,"YES, THE FIGURES MATCHED",,29,OTHER (SPECIFY),AK Large plastic basin,fresh,,5000,120,OTHER (SPECIFY),AK Large plastic basin,fresh,,9000,16,yes,16,OTHER (SPECIFY),AK Large plastic basin,fresh,,16,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,yes,utaka,.,10,7,LARGE BASKET,,fresh,,no,,,,,,70,,70,LARGE BASKET,,fresh,,70,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,6,LARGE BASKET,,fresh,,10000,5,LARGE BASKET,,fresh,,15000,5,yes,1,LARGE BASKET,,fresh,,1,LARGE BASKET,,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,yes,ncheni,.,10,70,piece,,fresh,,no,,,,,,700,,700,piece,,fresh,,700,piece,,fresh,,"YES, THE FIGURES MATCHED",,65,piece,,fresh,,500,300,piece,,fresh,,1000,10,no,3,piece,,fresh,,3,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,yes,usipa,.,16,45,LARGE BASKET,,fresh,,no,,,,,,720,,720,LARGE BASKET,,fresh,,720,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,43,LARGE BASKET,,fresh,,2000,400,LARGE BASKET,,fresh,,3500,16,yes,16,LARGE BASKET,,fresh,,1,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200111,f408e6986d064a479badfe445c059b10,yes,usipa,.,18,90,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,no,,,,,,1620,,1620,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,1620,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,"YES, THE FIGURES MATCHED",,89,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,7000,40,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,19000,18,yes,1,OTHER (SPECIFY),AK Large Plastic basen,fresh,,1,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200111,f408e6986d064a479badfe445c059b10,yes,utaka,.,8,50,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,no,,,,,,400,,400,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,400,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,"YES, THE FIGURES MATCHED",,49,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,19000,30,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,23000,8,yes,1,OTHER (SPECIFY),"""AK Large Plastic basen """,fresh,,1,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,yes,usipa,.,12,8,OTHER (SPECIFY),"""40 litre bucket """,fresh,,no,,,,,,96,,96,OTHER (SPECIFY),"""40 litre bucket """,fresh,,96,OTHER (SPECIFY),"""40 litre bucket """,fresh,,"YES, THE FIGURES MATCHED",,7,OTHER (SPECIFY),"""40 LITRE BUCKET """,fresh,,5000,96,OTHER (SPECIFY),"""40 LITRE BUCKET """,fresh,,5000,12,no,10,kilogram,,fresh,,10,kilogram,,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012200140,a40dfdd1423a4301adda69279487b612,yes,usipa,.,12,7,OTHER (SPECIFY),"""40 litre bucket """,fresh,,no,,,,,,84,,84,OTHER (SPECIFY),"""40 litre bucket """,fresh,,84,OTHER (SPECIFY),"""40 litre bucket """,fresh,,"YES, THE FIGURES MATCHED",,7,OTHER (SPECIFY),"""40 litre bucket """,fresh,,5000,3,OTHER (SPECIFY),"""40 litre bucket """,fresh,,7000,12,yes,2,kilogram,,fresh,,2,kilogram,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012210045,2034b55a41de4b928623efb78b9444b8,yes,usipa,,20,20,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,no,,,,,,400,,400,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,400,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,"YES, THE FIGURES MATCHED",,395,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,15000,120,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,20000,20,yes,5,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,5,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,yes,utaka,,12,10,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,120,,120,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,120,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,"YES, THE FIGURES MATCHED",,117,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,12000,48,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,15000,12,yes,3,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,3,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012210122,d525875262dc4c2da8ba6c2b80dc5820,yes,utaka,,12,90,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,1080,,1080,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,1080,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,"YES, THE FIGURES MATCHED",,1077,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,13000,120,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,20000,12,yes,3,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,3,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012210186,dd157816118747f7b8c645deef83314a,yes,mlamba,,16,300,piece,,fresh,,no,,,,,,4800,,4800,piece,,fresh,,4800,piece,,fresh,,"YES, THE FIGURES MATCHED",,4640,piece,,fresh,,1000,1200,piece,,fresh,,1500,16,yes,160,piece,,fresh,,160,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,yes,utaka,,12,60,LARGE BASKET,,fresh,,no,,,,,,720,,720,LARGE BASKET,,fresh,,720,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,59,LARGE BASKET,,fresh,,10000,15,LARGE BASKET,,fresh,,17000,12,no,1,LARGE BASKET,,SUN-DRIED,,1,LARGE BASKET,,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220061,1299960eefdc49dc85e74275ff361dab,yes,makumba,,12,150,piece,,fresh,,no,,,,,,1800,,1800,piece,,fresh,,1800,piece,,fresh,,"YES, THE FIGURES MATCHED",,1740,piece,,fresh,,500,500,piece,,fresh,,700,12,yes,60,piece,,fresh,,60,piece,,smoked,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220083,299b0466b1c7480c9217a68f8b5ed850,yes,usipa,,12,50,LARGE BASKET,,fresh,,no,,,,,,600,,600,LARGE BASKET,,fresh,,600,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,49,LARGE BASKET,,fresh,,11000,20,LARGE BASKET,,fresh,,18000,12,no,1,LARGE BASKET,,fresh,,1,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220100,1b3b07c731f049e3aaaf2a381aa34112,yes,mlamba,.,10,100,piece,,smoked,,no,,,,,,1000,,1000,piece,,smoked,,1000,piece,,smoked,,"YES, THE FIGURES MATCHED",,98,piece,,smoked,,1000,400,piece,,smoked,,2000,10,yes,2,piece,,fresh,,2,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220100,1b3b07c731f049e3aaaf2a381aa34112,yes,chambo,.,6,200,piece,,fresh,,no,,,,,,1200,,1200,piece,,fresh,,1200,piece,,fresh,,"YES, THE FIGURES MATCHED",,195,piece,,fresh,,350,700,piece,,fresh,,800,6,yes,5,piece,,smoked,,5,piece,,smoked,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220105,378d35459ffe4bbcb838fe972ccf76f4,yes,utaka,,16,20,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,no,,,,,,320,,320,OTHER (SPECIFY),LARGE RK BASIN,fresh,,320,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,"YES, THE FIGURES MATCHED",,312,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,12000,120,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,18000,16,yes,8,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,8,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220171,8949b0927d47403689676499aaa0e554,yes,other,KAMPANGO,8,120,piece,,fresh,,no,,,,,,960,,960,piece,,fresh,,960,piece,,fresh,,"YES, THE FIGURES MATCHED",,880,piece,,fresh,,700,480,piece,,fresh,,900,8,no,80,piece,,fresh,,80,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220171,8949b0927d47403689676499aaa0e554,yes,utaka,,16,45,OTHER (SPECIFY),LARGE RK BASIN,fresh,,no,,,,,,720,,720,OTHER (SPECIFY),LARGE RK BASIN,fresh,,720,OTHER (SPECIFY),LARGE RK BASIN,fresh,,"YES, THE FIGURES MATCHED",,704,OTHER (SPECIFY),LARGE RK BASIN,fresh,,10000,160,OTHER (SPECIFY),LARGE RK BASIN,fresh,,17000,16,no,16,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,16,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220192,e07b605d86664cfeb87f6d0f41a31538,yes,other,Kampango,12,10,DOZEN / BUNDLE,,fresh,,no,,,,,,120,,120,DOZEN / BUNDLE,,fresh,,120,DOZEN / BUNDLE,,fresh,,"YES, THE FIGURES MATCHED",,114,DOZEN / BUNDLE,,fresh,,9000,36,DOZEN / BUNDLE,,fresh,,10000,12,no,6,DOZEN / BUNDLE,,fresh,,6,DOZEN / BUNDLE,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220192,e07b605d86664cfeb87f6d0f41a31538,yes,mlamba,,12,10,DOZEN / BUNDLE,,fresh,,no,,,,,,120,,120,DOZEN / BUNDLE,,fresh,,120,DOZEN / BUNDLE,,fresh,,"YES, THE FIGURES MATCHED",,114,DOZEN / BUNDLE,,fresh,,7000,50,DOZEN / BUNDLE,,fresh,,8000,12,yes,6,DOZEN / BUNDLE,,fresh,,6,DOZEN / BUNDLE,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220214,58d807a0904745bd8e2b83c77c4e8afe,yes,usipa,,12,20,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,240,,240,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,240,OTHER (SPECIFY),"""RK Large basin """,fresh,,"YES, THE FIGURES MATCHED",,234,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,10000,90,OTHER (SPECIFY),"""RK Large basin """,fresh,,12000,12,yes,6,OTHER (SPECIFY),LARGE RK BASIN,fresh,,6,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220280,e9233b566489450294fa0fb34d988278,yes,ncheni,,4,200,piece,,fresh,,no,,,,,,800,,800,piece,,fresh,,800,piece,,fresh,,"YES, THE FIGURES MATCHED",,180,piece,,fresh,,500,80,piece,,fresh,,600,4,yes,20,piece,,fresh,,20,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220280,e9233b566489450294fa0fb34d988278,yes,mlamba,,12,180,piece,,fresh,,no,,,,,,2160,,2160,piece,,fresh,,2160,piece,,fresh,,"YES, THE FIGURES MATCHED",,170,piece,,fresh,,250,400,piece,,fresh,,500,12,no,10,piece,,fresh,,10,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012220346,0480490180ae492bab38520e1a2d9a52,yes,mlamba,,12,100,piece,,fresh,,no,,,,,,1200,,1200,piece,,fresh,,1200,piece,,fresh,,"YES, THE FIGURES MATCHED",,1140,piece,,fresh,,800,600,piece,,fresh,,1200,12,no,60,piece,,fresh,,60,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012230013,6cc3588b213e4615aeff177626a94117,yes,usipa,,12,30,SMALL BASKET,,fresh,,no,,,,,,360,,360,SMALL BASKET,,fresh,,360,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,29,SMALL BASKET,,fresh,,3500,60,SMALL BASKET,,fresh,,4500,12,no,1,SMALL BASKET,,fresh,,1,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,yes,usipa,,8,20,OTHER (SPECIFY),10 litre pail,fresh,,no,,,,,,160,,160,OTHER (SPECIFY),10 litre pail,fresh,,160,OTHER (SPECIFY),10 litre pail,fresh,,"YES, THE FIGURES MATCHED",,19,OTHER (SPECIFY),10 litre pail,fresh,,1500,60,OTHER (SPECIFY),10 litre pail,fresh,,3500,8,yes,2,5 KG BAG,,fresh,,2,5 KG BAG,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012230177,a21dcb576aab47498258a551704d0e1a,yes,ncheni,,8,20,OTHER (SPECIFY),"""10 litre pail """,fresh,,no,,,,,,160,,160,OTHER (SPECIFY),10 litre pail,fresh,,160,OTHER (SPECIFY),10 litre pail,fresh,,"YES, THE FIGURES MATCHED",,19,OTHER (SPECIFY),10 litre pail,fresh,,2500,40,OTHER (SPECIFY),10 litre pail,fresh,,4500,8,yes,1,OTHER (SPECIFY),10 litre pail,fresh,,1,5 KG BAG,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012230214,d22a7cedb38f47a5bb5e55fd3bb84ef6,yes,ncheni,,4,2,LARGE BASKET,,fresh,,no,,,,,,8,,8,LARGE BASKET,,fresh,,8,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,7,OTHER (SPECIFY),"""5 litre bucket """,fresh,,7000,0,,,,,7000,4,no,1,5 KG BAG,,fresh,,4,5 KG BAG,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012230214,d22a7cedb38f47a5bb5e55fd3bb84ef6,yes,usipa,,8,20,OTHER (SPECIFY),10 litre pail,fresh,,no,,,,,,160,,160,OTHER (SPECIFY),10 litre pail,fresh,,160,OTHER (SPECIFY),10 litre pail,fresh,,"YES, THE FIGURES MATCHED",,19,OTHER (SPECIFY),10 litre pail,fresh,,2000,0,,,,,0,8,yes,2,5 KG BAG,,fresh,,2,5 KG BAG,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012240131,3d46228d82ab4af6900846a524e7afd7,yes,mlamba,,12,100,piece,,fresh,,no,,,,,,1200,,1200,piece,,fresh,,1200,piece,,fresh,,"YES, THE FIGURES MATCHED",,1140,piece,,SUN-DRIED,,1000,400,piece,,fresh,,1000,12,no,60,piece,,fresh,,60,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012240131,3d46228d82ab4af6900846a524e7afd7,yes,utaka,,8,7,OTHER (SPECIFY),"""10 litre bucket """,fresh,,no,,,,,,56,,56,OTHER (SPECIFY),"""10 litre pail """,fresh,,56,OTHER (SPECIFY),"""10 litre pail """,fresh,,"YES, THE FIGURES MATCHED",,52,OTHER (SPECIFY),"""10 litre pail """,fresh,,3000,32,OTHER (SPECIFY),"""10 litre pail """,fresh,,4000,8,no,4,OTHER (SPECIFY),10 LITRE PAIL,fresh,,4,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012250020,db2c6d4784534897bed7627d3da9fe5b,yes,ncheni,,16,90,piece,,fresh,,no,,,,,,1440,,1440,piece,,fresh,,1440,piece,,fresh,,"YES, THE FIGURES MATCHED",,1360,piece,,fresh,,600,400,piece,,fresh,,800,16,no,80,piece,,fresh,,80,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012250136,53e1f38072e04f3b800220bbff635724,yes,usipa,,12,50,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,no,,,,,,600,,600,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,600,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,"YES, THE FIGURES MATCHED",,557,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,2000,200,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,3000,12,no,3,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,3,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012260028,db10b756b2b649338d6b0cc5dab1db9e,yes,other,Kampango,12,800,piece,,fresh,,no,,,,,,9600,,9600,piece,,fresh,,800,piece,,fresh,,"YES, THE FIGURES MATCHED",,750,piece,,fresh,,500,300,piece,,fresh,,700,12,yes,50,piece,,fresh,,50,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012260028,db10b756b2b649338d6b0cc5dab1db9e,yes,utaka,,12,10,SMALL BASKET,,fresh,,no,,,,,,120,,120,SMALL BASKET,,fresh,,120,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,9,SMALL BASKET,,fresh,,3500,36,SMALL BASKET,,fresh,,7000,12,yes,1,SMALL BASKET,,fresh,,1,SMALL BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012260069,3d2b9530620a405990773f77c92d42a8,yes,usipa,,1,10,LARGE BASKET,,fresh,,no,,,,,,10,,10,LARGE BASKET,,fresh,,10,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,39,OTHER (SPECIFY),"""5 litre bucket """,SUN-DRIED,,2000,2,LARGE BASKET,,fresh,,6000,1,no,1,OTHER (SPECIFY),"""5 litre bucket """,fresh,,1,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,yes,mlamba,,9,100,piece,,fresh,,no,,,,,,900,,900,piece,,fresh,,900,piece,,fresh,,"YES, THE FIGURES MATCHED",,80,piece,,fresh,,500,80,piece,,fresh,,800,9,yes,20,piece,,fresh,,20,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,yes,utaka,,9,10,SMALL BASKET,,fresh,,no,,,,,,90,,90,SMALL BASKET,,fresh,,90,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,9,SMALL BASKET,,fresh,,3500,5,SMALL BASKET,,fresh,,5000,8,yes,1,SMALL BASKET,,fresh,,1,SMALL BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
