case_id,hhid,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b,Fish_SpeciesID
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,yes,mlamba,,4,100,piece,,smoked,,no,,,,,,400,,1500,piece,,smoked,,1500,piece,,smoked,,"YES, THE FIGURES MATCHED",,600,piece,,smoked,,100,500,piece,,smoked,,150,2,yes,70,piece,,fresh,,150,piece,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,yes,usipa,,24,80,LARGE BASKET,,fresh,,no,,,,,,1920,,1920,LARGE BASKET,,fresh,,1920,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,300,LARGE BASKET,,fresh,,3000,60,OTHER (SPECIFY),"""MEDIUM BASKET """,fresh,,7000,12,no,1,SMALL BASKET,,fresh,,0,OTHER (SPECIFY),,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102031360249,b8b148db553145a9a68e399f5e89e422,yes,usipa,,11,110,OTHER (SPECIFY),"""10 litres pale """,fresh,,no,,,,,,11,,110,OTHER (SPECIFY),"""10 litres pale """,fresh,,1210,OTHER (SPECIFY),1210,fresh,,"YES, THE FIGURES MATCHED",,112,OTHER (SPECIFY),"""10 litres pale """,fresh,,2500,110,OTHER (SPECIFY),"""10 litres pale """,fresh,,2500,11,no,8,OTHER (SPECIFY),"""10 litres pale """,fresh,,8,OTHER (SPECIFY),,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102031360271,70ab9300d1d7492790de8ca0837e4af1,yes,other,MASKUHUNJU,20,120,LARGE BASKET,,fresh,,no,,,,,,0,,2400,LARGE BASKET,,fresh,,0,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,100,LARGE BASKET,,fresh,,3500,40,LARGE BASKET,,fresh,,3500,20,yes,2,LARGE BASKET,,fresh,,2,LARGE BASKET,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
102041390043,4904a664213a4720bff9919bcd654b1f,yes,ncheni,,2,10,LARGE BASKET,,fresh,,no,,,,,,20,,20,LARGE BASKET,,fresh,,20,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,18,LARGE BASKET,,fresh,,8000,2,LARGE BASKET,,fresh,,4200,2,no,2,LARGE BASKET,,smoked,,2,LARGE BASKET,,smoked,,1/4,"YES, THE FIGURES MATCHED",,
102041400017,0e66af7d72d34ecba01e7125b699982c,yes,ncheni,,16,15,10 KG BAG,,fresh,,no,,,,,,240,,240,10 KG BAG,,fresh,,240,10 KG BAG,,fresh,,"YES, THE FIGURES MATCHED",,14,10 KG BAG,,fresh,,6000,21,10 KG BAG,,fresh,,10000,16,yes,1,SMALL BASKET,,smoked,,1,SMALL BASKET,,smoked,,1/4,"YES, THE FIGURES MATCHED",,
102041400073,3533c366067d4e8eb8224aaf3185e921,yes,usipa,,15,50,10 KG BAG,,fresh,,no,,,,,,750,,750,10 KG BAG,,fresh,,750,10 KG BAG,,fresh,,"YES, THE FIGURES MATCHED",,45,10 KG BAG,,fresh,,1000,96,10 KG BAG,,fresh,,10500,15,no,2,10 KG BAG,,SUN-DRIED,,2,10 KG BAG,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",,
102041400259,7885799dcdd542c99359b6b2eaaa51ac,yes,usipa,,8,50,OTHER (SPECIFY),"""10 litre pail """,fresh,,no,,,,,,400,,1600,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,1600,OTHER (SPECIFY),1600,fresh,,"YES, THE FIGURES MATCHED",,150,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,7000,0,LARGE BASKET,,fresh,,7000,8,yes,2,OTHER (SPECIFY),"""10 litre pail """,fresh,,2,OTHER (SPECIFY),,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102051430012,6f8a942d7293484088b4f7a1712e2488,yes,aggregated,,16,4,OTHER (SPECIFY),BASIN,fresh,,no,,,,,,64,,64,OTHER (SPECIFY),"""LARGE BASIN """,fresh,,64,OTHER (SPECIFY),LARGE BASKN,fresh,,"YES, THE FIGURES MATCHED",,80000,OTHER (SPECIFY),"""LARGE BASIN """,fresh,,23000,0,LARGE BASKET,,fresh,,0,20,yes,5,LARGE BASKET,,fresh,,1,LARGE BASKET,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102051430051,95af18dce6774558b4c8189c8ece2dc8,yes,other,"""MASCO HUNJU """,4,5,OTHER (SPECIFY),"""SMALL PAIL """,fresh,,no,,,,,,23,,23,OTHER (SPECIFY),"""SMALL PAIL """,fresh,,23,OTHER (SPECIFY),"""SMALL PAIL """,fresh,,"YES, THE FIGURES MATCHED",,23,OTHER (SPECIFY),"""SMALL PAIL """,fresh,,1500,19,OTHER (SPECIFY),"""SMALL PAIL """,fresh,,2000,5,no,4,OTHER (SPECIFY),"""SMALL PAIL """,fresh,,4,OTHER (SPECIFY),,fresh,,1/4,"YES, THE FIGURES MATCHED",,
