case_id,hhid,crop_code,ag_h0b_oth,ag_h01a,ag_h01b,ag_h01b_oth,ag_h02,ag_h03,ag_h04,ag_h06a,ag_h06b,ag_h07a,ag_h07b,ag_h07b_oth,ag_h08,ag_h08_oth,ag_h09,ag_h10,ag_h11,ag_h12,ag_h13,ag_h14a,ag_h14b,ag_h37,ag_h38a,ag_h38b,ag_h38b_oth,ag_h39a,ag_h39b,ag_h40,ag_h41,ag_h42a,ag_h42b,ag_h42b_oth,ag_h43
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,GROUNDNUT: CHALIMBANA,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,10,kilogram,,On Foot,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011003026,882b198fc9a04f429bb18bd01e9e6515,MAIZE: HYBRID,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,10,kilogram,,Own Bicycle or Oxcart,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011003026,882b198fc9a04f429bb18bd01e9e6515,GROUNDNUT: CHALIMBANA,,20,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,20,kilogram,,Own Bicycle or Oxcart,,0,6000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011003077,94c058d21de14526aa9af6c8af68f199,MAIZE: HYBRID,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,10,kilogram,,Truck / Bus/ Minibus,,2000,7500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011003077,94c058d21de14526aa9af6c8af68f199,GROUNDNUT: CHALIMBANA,,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,2,kilogram,,Truck / Bus/ Minibus,,2000,1200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011003077,94c058d21de14526aa9af6c8af68f199,nkhwani,,1,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,gram,,Preference for traditional variety
101011010003,ef37079e35714e28acce62ac74da4e5e,MAIZE: LOCAL,,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Preference for traditional variety
101011010003,ef37079e35714e28acce62ac74da4e5e,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,5,kilogram,,1,,0,no,,,,Other (Specify)
101011010003,ef37079e35714e28acce62ac74da4e5e,SWEET POTATO,,1,3,90KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,OTHER (SPECIFY),90KG BAG,Other (Specify)
101011010003,ef37079e35714e28acce62ac74da4e5e,beans,,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive
101011010003,ef37079e35714e28acce62ac74da4e5e,sunflower,,100,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,100,gram,,Preference for traditional variety
101011010011,4b960c91581241ce99030c91a1eb0b16,MAIZE: HYBRID,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,10,kilogram,,Truck / Bus/ Minibus,,500,7000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer
101011010011,4b960c91581241ce99030c91a1eb0b16,sunflower,,100,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,100,gram,,1,,0,no,,,,Preference for traditional variety
101011010019,6cbfe46ffb234d5e907432b5acbff30a,MAIZE: LOCAL,,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Improved variety is too expensive
101011010019,6cbfe46ffb234d5e907432b5acbff30a,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,Seed received through the voucher program
101011010019,6cbfe46ffb234d5e907432b5acbff30a,beans,,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Other (Specify)
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,MAIZE: HYBRID,,8,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Seed received through the voucher program
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,GROUNDNUT: CG7,,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,2,kilogram,,1,,0,no,,,,Seed received through the voucher program
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,beans,,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Other (Specify)
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,sunflower,,50,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,50,gram,,Preference for traditional variety
101011010036,a60210b86f654bccb7ae6371d7c00d18,MAIZE: LOCAL,,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,3 KG BAG,,Improved variety is too expensive
101011010036,a60210b86f654bccb7ae6371d7c00d18,beans,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Improved variety is too expensive
101011010044,76b4f23afd144083b3d600ec4a339744,MAIZE: HYBRID RECYCLED,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,10 KG BAG,,Own Bicycle or Oxcart,,0,14000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier
101011010044,76b4f23afd144083b3d600ec4a339744,GROUNDNUT: MANI-PINTAR,,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,5 KG BAG,,Improved variety is too expensive
101011010044,76b4f23afd144083b3d600ec4a339744,beans,,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,kilogram,,Improved variety is too expensive
101011010044,76b4f23afd144083b3d600ec4a339744,nkhwani,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Improved variety is too expensive
101011010052,416ebdcaf6064e5084cc70055feeeb0f,MAIZE: HYBRID RECYCLED,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,1,10 KG BAG,,On Foot,,0,7000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety
101011010052,416ebdcaf6064e5084cc70055feeeb0f,GROUNDNUT: CHALIMBANA,,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,10 KG BAG,,Preference for traditional variety
101011010052,416ebdcaf6064e5084cc70055feeeb0f,beans,,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,5 KG BAG,,Improved variety is too expensive
101011010060,3f75a144ff9047bdbc4afd90aad82de6,MAIZE: HYBRID,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,1,10 KG BAG,,Bicycle Taxi,,350,7000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier
101011010060,3f75a144ff9047bdbc4afd90aad82de6,beans,,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,3 KG BAG,,Improved variety is too expensive
101011010069,ec6afdce13914a2b81f78c9ce0a4f89a,MAIZE: LOCAL,,6,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,6,kilogram,,Improved variety is too expensive
101011010069,ec6afdce13914a2b81f78c9ce0a4f89a,beans,,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Improved variety is too expensive
101011010077,490bcc64d31f46d587a7703cfbc07a78,MAIZE: LOCAL,,17,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,17,kilogram,,Improved variety is too expensive
101011010077,490bcc64d31f46d587a7703cfbc07a78,beans,,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Improved variety is too expensive
101011010085,0c64e3469dfc49cd809df49978c365ad,MAIZE: HYBRID,,12,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,7,kilogram,,Improved variety is too expensive
101011010085,0c64e3469dfc49cd809df49978c365ad,beans,,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive
101011010093,665bc90643f046e4a9574fb8f69096a9,MAIZE: LOCAL,,10,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,10,kilogram,,Improved variety is too expensive
101011010093,665bc90643f046e4a9574fb8f69096a9,beans,,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive
101011010102,d43d0e3e75774a6c99239cf5679efd17,MAIZE: HYBRID,,20,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,20,kilogram,,Bicycle Taxi,,500,28000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety
101011010102,d43d0e3e75774a6c99239cf5679efd17,beans,,15,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,15,kilogram,,Improved variety is too expensive
101011010110,ca1dc73c3b224454874d2535455cd0dc,MAIZE: LOCAL,,40,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,40,kilogram,,Improved variety is too expensive
101011010110,ca1dc73c3b224454874d2535455cd0dc,nkhwani,,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Preference for traditional variety
101011010118,4276b62241204cb0b265cf2240b7f573,MAIZE: HYBRID,,15,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,15,kilogram,,Truck / Bus/ Minibus,,5000,22500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from extension officer
101011010118,4276b62241204cb0b265cf2240b7f573,nkhwani,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Preference for traditional variety
101011010126,b2856f2dc800493dacc8fea33a1ca304,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,5,kilogram,,Bicycle Taxi,,1000,3500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety
