case_id,hhid,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
203063250030,df6e82c2339c4ea28072f6b66338f99c,maize,8,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,8,kilogram,,On Foot,,0,1200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204013270001,1d955dc8a1cf41aea4a73de3f70de666,MAIZE HYBRID RECYCLED,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Advice from fellow farmer,
204013270001,1d955dc8a1cf41aea4a73de3f70de666,tanaposi,20,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,20,gram,,On Foot,,0,2400,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
204013270001,1d955dc8a1cf41aea4a73de3f70de666,nkhwani,250,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,250,ram,,Preference for traditional variety,
204013270001,1d955dc8a1cf41aea4a73de3f70de666,tomato,20,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,20,gram,,On Foot,,0,4720,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
204013270001,1d955dc8a1cf41aea4a73de3f70de666,onion,20,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,20,gram,,On Foot,,0,4350,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
204013270176,ffbf2ad5c66844b58950c2a25ebb4f89,tanaposi,3,gram,,"YES, THE FIGURES MATCHED",no,yes,8,,3,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204013270176,ffbf2ad5c66844b58950c2a25ebb4f89,tomato,5,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,OTHER (SPECIFY),GRAMS,Preference for traditional variety,
204013270226,c412bf4d38a4461db4fefd1244d56073,tanaposi,3,gram,,"YES, THE FIGURES MATCHED",no,yes,10,,3,gram,,On Foot,,0,200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204013270251,801cc010bed74f20b3c47680f30a6507,tanaposi,2,gram,,"YES, THE FIGURES MATCHED",no,yes,5,,2,gram,,Own Bicycle or Oxcart,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204013280052,cd6a79f6a628446dae77f170d6d3363f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204013280121,ea597bb87b70487baf1c052da6187c50,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,5,kilogram,,2,,0,no,,,,Advice from fellow farmer,
204013280139,7885281486974e0c84a9402c416c0918,tomato,120,gram,,"YES, THE FIGURES MATCHED",no,yes,9,,120,gram,,Own Bicycle or Oxcart,,0,750,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204013280156,ed05e380c21049d99c1b1b88f8e4e418,tanaposi,5,gram,,"YES, THE FIGURES MATCHED",no,yes,7,,5,gram,,On Foot,,0,800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204013290258,dd7ee73b6a2344848aff05b2fe857d23,tomato,5,gram,,"YES, THE FIGURES MATCHED",no,yes,4,,5,gram,,On Foot,,0,1500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
204023320096,53714a2c393b4dbca5fbe39ab032491b,beans,1,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,1,kilogram,,On Foot,,0,650,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204023320096,53714a2c393b4dbca5fbe39ab032491b,nkhwani,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,no,,,,Preference for traditional variety,
204023320134,a71ea539bc8644ec8341e07b914563b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204023320144,febbf51fb0374a4f933222eb12a1dd64,OTHER (SPECIFY),20,gram,,"YES, THE FIGURES MATCHED",no,yes,6,,20,gram,,Truck / Bus/ Minibus,,3000,2500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204023320163,057a3080ee4b48258fc569372c6c7164,OTHER (SPECIFY),2,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,ram,,Advice from input supplier,
204023330066,83fd8838bc864235aeef4d05802ff874,maize,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,2,kilogram,,1,,0,no,,,,Other (Specify),
204023330100,124aaeed96dd4d4698df7e684f27dfc8,tomato,100,other,STALKS/PLANTS,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,100,OTHER (SPECIFY),TREES,Improved variety is too expensive,
204023330169,18a3d77da1a34a5ea37ac45f72da48ef,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Improved variety is too expensive,
204033350141,b0a669c2ffd643069ade235dd7941559,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Advice from fellow farmer,
204033350191,4196a0d5508c49ab9708859dcf9399a8,MAIZE HYBRID RECYCLED,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive,
204033350191,4196a0d5508c49ab9708859dcf9399a8,tomato,5,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,5,gram,,9,,0,no,,,,Improved variety is too expensive,
204033350208,37fe37de7ae44892938216396d8156a4,tanaposi,3,gram,,"YES, THE FIGURES MATCHED",no,yes,6,,3,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204033350258,9e82a1c74f294d6ab25ffe94cd31d07d,tanaposi,4,gram,,"YES, THE FIGURES MATCHED",no,yes,9,,4,gram,,Own Bicycle or Oxcart,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204033370161,3e9b486b8698410eb2b83e7e7b240e28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204033370194,f6525c28bf084206a07c316a0a49803f,maize,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Preference for traditional variety,
204033370194,f6525c28bf084206a07c316a0a49803f,nkhwani,100,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,100,ram,,Preference for traditional variety,
204033370259,a68d3b18dd9d4933a85f4bcb9eb58fb7,maize,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Advice from fellow farmer,
204033370259,a68d3b18dd9d4933a85f4bcb9eb58fb7,tanaposi,10,gram,,"YES, THE FIGURES MATCHED",no,yes,4,,10,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204033370259,a68d3b18dd9d4933a85f4bcb9eb58fb7,nkhwani,100,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,no,,,,Preference for traditional variety,
204033370292,aad663c3546d43bb8e8710bc559accba,MAIZE HYBRID,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,9,,3,kilogram,,Own Bicycle or Oxcart,,0,1800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204033370292,aad663c3546d43bb8e8710bc559accba,tomato,4,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,OTHER (SPECIFY),GRAMS,Preference for traditional variety,
204033370358,1bc3d5186f164a088fd48a525033a66c,MAIZE HYBRID RECYCLED,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,2,kilogram,,8,,0,no,,,,Improved variety is too expensive,
204033370358,1bc3d5186f164a088fd48a525033a66c,nkhwani,100,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,100,OTHER (SPECIFY),GRAMS,Preference for traditional variety,
204033370390,40169eb4e3bf4038a3c2da37653ba14a,MAIZE HYBRID RECYCLED,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,10,,3,kilogram,,On Foot,,0,450,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
204033380289,4782a4e754de43ee89f87e8eb8573ccb,tanaposi,20,gram,,"YES, THE FIGURES MATCHED",no,yes,14,,20,gram,,On Foot,,0,800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204033380289,4782a4e754de43ee89f87e8eb8573ccb,onion,50,gram,,"YES, THE FIGURES MATCHED",no,yes,14,,50,gram,,On Foot,,0,1800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),VERY MARKETABLE
204033380337,1adbb9c370fe4a5a87cdf6893ec9e85e,IRISH [MALAWI] POTATO,1,other,PAIL (LARGE),"YES, THE FIGURES MATCHED",no,yes,16,,20,kilogram,,On Foot,,0,3200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204043420171,0fc085b0999c4378aabdec91190aec07,MAIZE HYBRID RECYCLED,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,ram,,Seed received through the voucher program,
204043420208,4b713335d5a242f4b450683011267ca2,MAIZE HYBRID RECYCLED,8,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,8,kilogram,,Advice from fellow farmer,
204053430166,83cf61372b3e4a0d9b5191b8a636a577,beans,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Preference for traditional variety,
204053430166,83cf61372b3e4a0d9b5191b8a636a577,peas,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,5,kilogram,,On Foot,,0,10000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
204053430227,24246efbee7b435796826efae08fa473,tomato,20,gram,,"YES, THE FIGURES MATCHED",no,yes,6,,20,gram,,Own Bicycle or Oxcart,,0,5000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
204053430269,b266c191252d424dbf3ef081b3c52c2d,beans,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Advice from fellow farmer,
204053430289,138216591ed84b369a33b5645e87d9ef,tomato,10,gram,,"YES, THE FIGURES MATCHED",no,yes,2,,10,gram,,Own Bicycle or Oxcart,,0,2400,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204053430310,3c8c543bd857434694e4dd5f4281dac2,peas,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,3,kilogram,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204053440062,fe3918086ed542979aab26ced1b56de7,OTHER (SPECIFY),2,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,2,kilogram,,6,,0,no,,,,Advice from fellow farmer,
204053440086,c86561f7d9ea49d084a8219e18d8384f,tomato,20,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,20,OTHER (SPECIFY),GRAMS,Advice from fellow farmer,
204053440124,f0fc7d6852a9453fa50fc0da26e8c6e3,tomato,25,gram,,"YES, THE FIGURES MATCHED",no,yes,5,,25,gram,,On Foot,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204053440246,3583f66da1fd4c76b3bdf32cf4cc8d45,tanaposi,25,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,25,OTHER (SPECIFY),GRAMS,Advice from fellow farmer,
204053440246,3583f66da1fd4c76b3bdf32cf4cc8d45,tomato,25,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,25,OTHER (SPECIFY),GRAMS,Advice from fellow farmer,
204063460055,f153106e0cd84a8da7cfc6c61c55048e,IRISH [MALAWI] POTATO,50,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,1,50 KG BAG,,Own Bicycle or Oxcart,,0,10000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
204063480302,bd1e7a8128f34b73a4c2c1178727945c,IRISH [MALAWI] POTATO,25,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,25,kilogram,,On Foot,,0,8750,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
204063480302,bd1e7a8128f34b73a4c2c1178727945c,peas,1,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,kilogram,,On Foot,,0,2600,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety,
205013510069,d30bb91518f74b2c8e23739775647c5c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205053630071,7e9925c0fbf2445f9190929a1c23540f,SWEET POTATO,100,kilogram,,"YES, THE FIGURES MATCHED",no,yes,7,,100,kilogram,,On Foot,,0,1000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
205073650226,995bc2112b90435a85345889ce8efb79,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Improved variety is too expensive,
205073680018,ccc6955062b049908055a1ad78bd3c7f,tomato,2,other,PACKET,"YES, THE FIGURES MATCHED",no,yes,3,,2,OTHER (SPECIFY),PACKET,Own Bicycle or Oxcart,,0,3500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
205073690215,b67cb6eaf1534ebeb9aff73745ecbfe6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206013750076,aa50199d1fa54b238d2a656d596e8a07,tanaposi,150,gram,,"YES, THE FIGURES MATCHED",no,yes,8,,150,gram,,Own Bicycle or Oxcart,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
206013750076,aa50199d1fa54b238d2a656d596e8a07,tomato,200,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,200,ram,,Improved variety is too expensive,
206013750179,a9a9a41b0865451893699e50e974c129,beans,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive,
206013750179,a9a9a41b0865451893699e50e974c129,nkhwani,1,other,PLATE (SMALL),"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,1,OTHER (SPECIFY),PLATE (UNSPECIFIED SIZE),1,,0,no,,,,Other (Specify),INFLUENCE OF RELATIVES
206013750282,a82ea5513b3a4b5cbaed626171ce7bf6,nkhwani,4,other,TINA,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,4,OTHER (SPECIFY),TINA,3,,0,no,,,,Advice from fellow farmer,
206013750461,d4ae114ac6884923a719d24e43dc42c9,tomato,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,ram,,Advice from fellow farmer,
206013770031,4c9e97141e834b5e9d28850c04304c0b,maize,4,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,4,kilogram,,Own Bicycle or Oxcart,,0,1000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206013770031,4c9e97141e834b5e9d28850c04304c0b,nkhwani,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,ram,,Improved variety is too expensive,
206013770133,223ee9b231c74421abdc18ba2a2bf77f,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Preference for traditional variety,
206013770154,1725780e14754bd5ba4a6da9422a772d,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206013770206,c62ca12515db4cf0827c895752ccebb8,maize,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,2,kilogram,,Own Bicycle or Oxcart,,0,900,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
206013770206,c62ca12515db4cf0827c895752ccebb8,nkhwani,100,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,100,ram,,Preference for traditional variety,
206013770227,f61470674ed840f489725eebac7b8c41,maize,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,4,kilogram,,2,,0,no,,,,Advice from fellow farmer,
206013770227,f61470674ed840f489725eebac7b8c41,nkhwani,200,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,200,ram,,Preference for traditional variety,
206023790054,c8b864a20e094677b331fdc1fc8d51bb,SWEET POTATO,1,other,50 KG BAG,"YES, THE FIGURES MATCHED",no,yes,4,,1,50 KG BAG,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206023790090,e64c863be8df4eefad8d5b3ab6817aba,nkhwani,1,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,1,kilogram,,On Foot,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206023790108,5ef8da0364dd4e2f849d4c139b5ac580,maize,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Improved variety is too expensive,
206023790163,9ea2a2059f0a4448ba4bb3940408ac5a,maize,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive,
206023790181,97294ae2dbcd4ede87aa1a65ff52187f,tomato,16,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,16,gram,,Own Bicycle or Oxcart,,0,1500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206023790253,f65a914f0962402994c138b53460c84d,tanaposi,5,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,ram,,Improved variety is too expensive,
206023790271,47a08b2ed08f4001a217d265d8044506,MAIZE HYBRID RECYCLED,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,3,kilogram,,Own Bicycle or Oxcart,,0,600,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
206023790271,47a08b2ed08f4001a217d265d8044506,SWEET POTATO,1,other,50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,1,50 KG BAG,,1,,0,no,,,,Preference for traditional variety,
206023790271,47a08b2ed08f4001a217d265d8044506,beans,4,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,4,kilogram,,Own Bicycle or Oxcart,,0,2600,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
206023790307,8182a6c044cf40c4889e2d75c749ba36,SWEET POTATO,1,other,50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,1,50 KG BAG,,6,,0,no,,,,Preference for traditional variety,
206023790325,f777405f5e2c4621ba7b21a358d7676d,MAIZE HYBRID,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,5,kilogram,,1,,0,no,,,,Advice from fellow farmer,
206023790325,f777405f5e2c4621ba7b21a358d7676d,SWEET POTATO,1,other,SUCKER,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,1,OTHER (SPECIFY),PLANTS / STEMS,1,,0,no,,,,Improved variety is too expensive,
206023790379,32d24cc2ee7f4abfa511aec8b2cd0436,tomato,20,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,20,gram,,2,,0,no,,,,Improved variety is too expensive,
206023800176,005c5a2a2ff843ffa0a99c1bfeecf94b,MAIZE HYBRID,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Advice from input supplier,
206023810462,a104cc539f6e4696949cad8b8387fd27,maize,12,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,12,kilogram,,Own Bicycle or Oxcart,,0,8000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from extension officer,
206023810492,47c78c06ceac4e2f85b6e45bc7cf49bf,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,5,kilogram,,Own Bicycle or Oxcart,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety,
206033830048,bd027c352b974a5abe6d9d170aa68baf,MAIZE HYBRID,15,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,15,kilogram,,Improved variety is too expensive,
206033830057,0e01dae17a434c3ea80f77fa61e0483d,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Improved variety is too expensive,
206033830057,0e01dae17a434c3ea80f77fa61e0483d,nkhwani,200,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,200,ram,,Preference for traditional variety,
206033830086,b879cb9490064b8283f6b5ac91d9e4da,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,2,kilogram,,Truck / Bus/ Minibus,,500,3000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
206033830086,b879cb9490064b8283f6b5ac91d9e4da,beans,4,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,4,kilogram,,Own Bicycle or Oxcart,,0,1000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
206033830096,dcefc8a38e32420397ca7df5daa0a298,MAIZE COMPOSITE/OPV,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,2,kilogram,,On Foot,,0,2100,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206033830096,dcefc8a38e32420397ca7df5daa0a298,tomato,25,other,PIECE,"YES, THE FIGURES MATCHED",no,yes,2,,25,OTHER (SPECIFY),PIECE,On Foot,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206033830134,4e5d9ae21660444f8b5a041751d9943b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206033830143,25d1e0c921a74c368a86b41f4520c102,tomato,100,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,100,gram,,Own Bicycle or Oxcart,,0,1800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
206033830172,bfd7485aca1e40c1a3e5a0a418831574,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,2 KG BAG,,Own Bicycle or Oxcart,,0,2500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
206033830172,bfd7485aca1e40c1a3e5a0a418831574,SWEET POTATO,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,10 KG BAG,,Advice from fellow farmer,
206033840268,25f2bd024c194a4b9e20a5c353a143fe,tanaposi,10,gram,,"YES, THE FIGURES MATCHED",no,yes,2,,10,gram,,On Foot,,0,800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206033840299,4b488f4bfaa640d6a3f2d5964a25a237,MAIZE HYBRID,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,5,kilogram,,On Foot,,0,2500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
206033840360,88c39f9a557c4a2dbaf1c90c1bb1faf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206033850368,387cfce1be204b5b866ea739ab22f204,tomato,2,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,2,gram,,Own Bicycle or Oxcart,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
206033860108,694f0f2c811345128ca4634969b9ee27,nkhwani,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Preference for traditional variety,
206033860108,694f0f2c811345128ca4634969b9ee27,tomato,10,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,10,ram,,Advice from fellow farmer,
206033860256,0ec1ee37bc2646078b633024170b4334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206033860277,0a08ab62abc54673ba6cd7d54afe1de9,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,2 KG BAG,,Advice from input supplier,
206033860277,0a08ab62abc54673ba6cd7d54afe1de9,nkhwani,1,other,HANDFUL,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,1,OTHER (SPECIFY),HANDFUL,2,,0,no,,,,Preference for traditional variety,
206033870090,e2d53500a87a411193b283c0df4c6701,tomato,200,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,no,,,,Other (Specify),HIGH YIELDING
206033870304,51779e0c98b7457e85208ea2c8994258,tomato,200,gram,,"YES, THE FIGURES MATCHED",no,yes,2,,200,gram,,On Foot,,0,750,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
206043890066,d83e2410184d4f18ac63a9d2d44ffcf1,tomato,100,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,no,,,,Advice from fellow farmer,
206043890066,d83e2410184d4f18ac63a9d2d44ffcf1,onion,100,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,no,,,,Advice from fellow farmer,
206043900060,cb96dbd58f99448996cc7f4fcef5b7d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206043900076,81d1db5435d6411fae3b13bd39ce25b7,tanaposi,50,gram,,"YES, THE FIGURES MATCHED",no,yes,4,,50,gram,,On Foot,,0,700,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety,
206043900100,9ab22e0ef0304eb3811122980ad656b6,tomato,3,gram,,"YES, THE FIGURES MATCHED",no,yes,4,,3,gram,,On Foot,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety,
