case_id,hhid,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
101021100173,b172ac557f21486cbaf35a846610de85,IRISH [MALAWI] POTATO,1,other,PAIL (LARGE),"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,1,OTHER (SPECIFY),PAIL,2,3,0,no,,,,Advice from fellow farmer,
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,MAIZE HYBRID RECYCLED,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,kilogram,,Other (Specify),HIGH YIELDING
101021110025,836edbfc80c94c69b37ece683ba793ee,cabbage,10,gram,,"YES, THE FIGURES MATCHED",no,yes,4,,10,gram,,Truck / Bus/ Minibus,,2000,1500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety,
101021110031,1932530af3c64641ad687e22df626239,tomato,200,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,200,ram,,Improved variety is too expensive,
101021110080,212b7fc57c6244409360297e64fe0a95,maize,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,kilogram,,Improved variety is too expensive,
101021110086,06329ecc71e5430fadb9d1b4b752806d,tomato,20,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,20,gram,,On Foot,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,tomato,10,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,10,OTHER (SPECIFY),GRAMS,Other (Specify),GOOD QUALITY SEED
101031130010,43da15b392404c87b88b661009658646,MAIZE HYBRID RECYCLED,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Other (Specify),GOOD QUALITY SEED
101031130099,720d9bece54b440d9d8f75454d2eb823,maize,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,no,,,,Improved variety is too expensive,
101031140007,765a3f45dc214e938ee78815efb7fcd9,tanaposi,50,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,50,gram,,On Foot,,0,1500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
101031140035,c86f5e596dfd4128a54ff60878980c25,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,2,kilogram,,Own Bicycle or Oxcart,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Preference for traditional variety,
101031140063,493266144833480db51fec24dfab1ad3,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,2,kilogram,,On Foot,,0,1800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
101031140063,493266144833480db51fec24dfab1ad3,beans,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,2,kilogram,,On Foot,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
101031140070,163eadee65014697a8b245e2ef6d29b7,MAIZE HYBRID,1,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,1,kilogram,,On Foot,,0,1000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
101031140070,163eadee65014697a8b245e2ef6d29b7,beans,1500,gram,,"YES, THE FIGURES MATCHED",no,yes,5,,1500,gram,,On Foot,,0,600,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
101031140076,3359041e1cf84a61805765d90fe888c6,maize,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,kilogram,,Improved variety is too expensive,
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,maize,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,kilogram,,Improved variety is too expensive,
