hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,dataset_name,country,dataset_doi
H0180602,2,0.5,NA,2,2015,1,0.20234722784297854,acres,Yam,11,2014,11,2015,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,4,0.300000011920929,100,3,2016,2,0.121408341530121,acres,Maize,19,2015,20,2015,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,4,0.5,50,8,2015,2,0.20234722784297854,acres,Maize,12,2014,12,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,1,1,100,3,2016,1,0.4046944556859571,acres,Pumpkins,18,2015,20,2015,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,3,0.5,NA,5,2015,1,0.20234722784297854,acres,Tomatoes,11,2014,11,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,6,0.400000005960464,40,NA,2013,2,0.16187778468654956,acres,Paw paw,NA,NA,NA,NA,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,4,0.5,10,1,2015,2,0.20234722784297854,acres,Paw paw,NA,NA,NA,NA,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,1,1,NA,9,2015,1,0.4046944556859571,acres,Beans,11,2014,11,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0180602,5,0.5,NA,7,2015,2,0.20234722784297854,acres,Pumpkins,11,2014,12,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,1,1,100,3,2016,1,0.4046944556859571,acres,Maize,20,2015,20,2015,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,1,1,100,3,2016,1,0.4046944556859571,acres,Maize,19,2015,19,2015,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
