hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,adm4,dataset_name,country,dataset_doi
00246782f8654441a9df0f6ec0b6fc9f,1,0.7,NA,8,2018,3,0.2832861189801699,acres,Cotton,NA,NA,NA,NA,first,ALEBTONG,ALEBTONG TOWN COUNCIL,NAKABELA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00246782f8654441a9df0f6ec0b6fc9f,1,0.68,NA,5,2018,2,0.27519222986645087,acres,Maize,8,2019,8,2019,second,ALEBTONG,ALEBTONG TOWN COUNCIL,NAKABELA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00246782f8654441a9df0f6ec0b6fc9f,1,0.7,NA,5,2018,3,0.2832861189801699,acres,Cassava,NA,NA,NA,NA,second,ALEBTONG,ALEBTONG TOWN COUNCIL,NAKABELA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0060071f3f414406af7312d68eae8513,2,0.5,20,7,2018,1,0.20234722784297857,acres,Maize,11,2018,11,2018,first,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0060071f3f414406af7312d68eae8513,2,0.5,20,7,2018,1,0.20234722784297857,acres,Beans,NA,NA,NA,NA,first,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0060071f3f414406af7312d68eae8513,2,0.5,30,1,2018,1,0.20234722784297857,acres,Cassava,12,2018,6,2019,first,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0060071f3f414406af7312d68eae8513,2,0.5,30,1,9998,1,0.20234722784297857,acres,Banana food,7,2018,12,2018,first,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0060071f3f414406af7312d68eae8513,1,0.5,20,3,2019,1,0.20234722784297857,acres,Beans,5,2019,6,2019,second,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0060071f3f414406af7312d68eae8513,1,0.5,20,3,2019,1,0.20234722784297857,acres,Maize,7,2019,7,2019,second,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
0060071f3f414406af7312d68eae8513,1,0.5,50,1,9998,1,0.20234722784297857,acres,Banana food,1,2019,6,2019,second,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
