case_id,HHID,Fishing_GearID,fs_h01a,fs_h01b,fs_h02,fs_h03,fs_h04,fs_hfilter,fs_h05,fs_hfilter6,fs_h06
106012110398,0eb1bca745c64cf0b7c6a3f44598e6de,Usipa (mosquito) net,yes,,1,0,10000,NO,,NO,
106012110432,bd8f8975d684493d8129ce8b7c1f8d5d,Usipa (mosquito) net,yes,,1,0,10000,NO,,NO,
106012120044,0be0747c8c6b45ab805f47e59f7e7dcf,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,130000,NO,,YES,25000
202012610034,1a66dc2cc2f443e9bf44d36163d02efe,Mbedza (long /hand line),yes,,2,0,100,NO,,YES,50
202012650174,f220d6e4a1004dc6b8edadafd7c6c6e8,Mbedza (long /hand line),yes,,2,2,50,NO,,NO,
202042700038,ad2716ee75784ef79a82fbeaa12d796c,Mbedza (long /hand line),yes,,5,5,150,NO,,NO,
202042700041,4e0ae39c3acd40b08221882ec4771e8d,Mbedza (long /hand line),yes,,2,2,300,NO,,NO,
202042700118,eb7f8207ec0341fba18c0e5adef3c9c8,Kambuzi (beach) seine,yes,,2,2,20000,NO,,NO,
202062740207,87a36ce46afe4a69b05029997f9863a7,Mbedza (long /hand line),yes,,1,1,200,NO,,NO,
205053360219,5754b076f97e48c48fd86455ae881c91,"Other, specify",yes,FISH LINE(MTSEMPHA),1,1,5000,NO,,NO,
205063380099,043b0614c80041e7bb86224e331c7834,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,12000,NO,,YES,2000
205063380099,043b0614c80041e7bb86224e331c7834,Usipa (mosquito) net,yes,,1,0,12000,NO,,YES,2000
205063380157,1f52142bf553415ebfeddd7d91bb2675,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,10000,NO,,NO,
205093460107,9a17e5a268b54e588170832bd9fc2dec,Mbuka/ntaya/ukonde (gillnet),no,,0,1,15000,YES,5,NO,
205093460371,2085ec1a834c474d97cad317a897d3e6,Chavi (castnet),yes,,2,2,45000,NO,,NO,
206053620027,2028a47b8a6d45efb6152a515c5cf0a4,Mono (fish traps),yes,,3,3,130,NO,,NO,
207074000179,6477f55c73e44a80a8b6c57d530a8ad9,Mbedza (long /hand line),yes,,3,3,300,YES,3,NO,
207084030297,2352d238c92a419f91e6e1bab60bf782,Mono (fish traps),yes,,4,2,10000,NO,,NO,
301014850221,404755a1aa2d4f9894ebd315a4b73e6e,Kambuzi (beach) seine,yes,,1,1,70000,NO,,NO,
301024880157,89346232f7d3434b8116a01d71d1711e,Mbuka/ntaya/ukonde (gillnet),yes,,4,10,100000,NO,,NO,
301074990174,7b2790d523544f5fadc36b0cc30e07b8,Kambuzi (beach) seine,yes,,1,1,70000,NO,,NO,
302055150128,7044c86dce354b30a1bb45b557dc15f4,Mono (fish traps),yes,,25,25,1800,NO,,NO,
302125260035,17c2899a18474e2695741dcb6eeb569f,Mono (fish traps),yes,,30,30,700,NO,,NO,
302125270043,6ebbfc3de5004066b3147d9d2b2fc0f8,Mbuka/ntaya/ukonde (gillnet),yes,,20,20,0,NO,,NO,
