case_id,HHID,Boats_EnginesID,fs_d07a,fs_d07b,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13
106012120040,c6618cc94bad4c4f94f1bdea292492ad,Bwato (dugout),yes,,1,1,0,0,0,0
106012120044,0be0747c8c6b45ab805f47e59f7e7dcf,Outboard engine,yes,,1,0,72000,0,0,15000
106012120081,0bf40235b9c144faaab974ee944a4bd0,Plankboat,yes,,1,1,50000,0,0,0
106012120081,0bf40235b9c144faaab974ee944a4bd0,Bwato (dugout),yes,,3,3,240000,0,0,0
106012120104,6be3950e67f949b3ba53e41510beb3f8,Bwato (dugout),yes,,2,0,300000,0,25000,0
106012120152,aa136f9bff0e4b0f97b0689ac633ee3c,Bwato (dugout),yes,,1,1,250000,0,0,0
202012610034,1a66dc2cc2f443e9bf44d36163d02efe,Bwato (dugout),yes,,2,0,30000,0,2,2000
202012610047,829cfd6017e042bfbd03078497083042,Bwato (dugout),yes,,1,1,120000,0,0,0
202012640112,93da393f2e0349aabebd3923f9bb6cee,Bwato (dugout),yes,,1,0,90000,0,0,0
202012640113,0ff40b7a5a2e4ed988266cf0f5ded053,Bwato (dugout),yes,,1,0,0,0,0,6000
202012640155,bd7f18d847f8471c91dbe306fce4555e,Bwato (dugout),yes,,1,0,3000,0,2000,0
202012640209,338025b7ebba4cde9ee471f5a3750a6f,Bwato (dugout),yes,,1,0,100000,0,10000,0
202012640217,3f0493aac12b4454b26ae066bba904b8,Bwato (dugout),yes,,1,0,25000,2,0,0
202012640248,2e467500122f43dbb03b768163ece17b,Bwato (dugout),yes,,1,0,90000,0,25000,0
202032690313,2f56bc91ee38466598a2327d0e8f3008,Bwato (dugout),yes,,1,0,50000,0,15000,0
202032690331,a00372954140485a946b116b74ab74a7,Bwato (dugout),yes,,1,1,40000,0,0,0
202042700118,eb7f8207ec0341fba18c0e5adef3c9c8,Bwato (dugout),yes,,1,1,100000,0,0,0
202042710177,c6735b6c1436494b9a2502bcf7ac4fd5,Bwato (dugout),yes,,1,0,100000,0,2000,0
