case_id,HHID,crop_code,ag_o01,ag_o02a,ag_o02b,ag_o02c,ag_o03,ag_o05a,ag_o05b,ag_o06a,ag_o06b,ag_o07a,ag_o07b,ag_o08,ag_o09,ag_o09_oth,ag_o10,ag_o31a,ag_o31b,ag_o31b_oth,ag_o31c,ag_o32a,ag_o32b,ag_o32b_oth,ag_o32c,ag_o33a,ag_o33b,ag_o33b_oth,ag_o33c,ag_o34a,ag_o34b,ag_o34b_oth,ag_o34c,ag_o35a,ag_o35b,ag_o35b_oth,ag_o35c,ag_o36a,ag_o36b,ag_o36b_oth,ag_o36c,ag_o36d,ag_o37a,ag_o37b,ag_o37_oth,ag_o38,ag_o39,ag_o39_oth,ag_o40a,ag_o40b,ag_o40b_oth,ag_o40c,ag_o41a,ag_o41b,ag_o41_oth,ag_o42a,ag_o42b,ag_o42_oth
204043140113,f37e017d40b04262b9f04baf2707f967,MAIZE HYBRID,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,KILOGRAM,,S: SHELLED,,1,,,NO,,,,,,,,,,Does not usually store,,
204043140113,f37e017d40b04262b9f04baf2707f967,TANAPOSI,YES,13,PAIL (LARGE),NOT APPLICABLE,19500,3,,1,,AUGUST,2019,13,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,5,,,NO,,,,,,,,,,Does not usually store,,
204043140113,f37e017d40b04262b9f04baf2707f967,NKHWANI,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,1,,,NO,,,,,,,,,,Does not usually store,,
204043140113,f37e017d40b04262b9f04baf2707f967,BEANS,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,KILOGRAM,,S: SHELLED,,1,,,NO,,,,,,,,,,Does not usually store,,
105011920090,f3cdfb545d5b4a838471c6e90e467526,TANAPOSI,YES,2,OTHER (SPECIFY),NOT APPLICABLE,3000,4,,1,2,SEPTEMBER,2019,4,On Foot,,0,1,OTHER (SPECIFY),Basin Large,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Food for household,,
201232560051,f3e44846b0af45d6af6d4c8e13039eda,TOMATO,YES,1,PAIL (LARGE),NOT APPLICABLE,12000,3,,1,2,SEPTEMBER,2018,2,Buyer picked up the crop,,0,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,OTHER (SPECIFY),Basin small,NOT APPLICABLE,,1,,,NO,,,,,,,,,,Does not usually store,,
311047120139,f42c2bd2625142c2a003f26979100a02,SWEET POTATO,YES,4,50 KG BAG,NOT APPLICABLE,8000,5,,1,,DECEMBER,2018,2,On Foot,,0,3.5,50 KG BAG,,NOT APPLICABLE,.5,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,2,,,,NO,,,,,,,,,,Food for household,To sell at a higher price,
202042720112,f477b44e48e8489cbbbaee6fbc76593f,MAIZE LOCAL,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Food for household,,
202042720112,f477b44e48e8489cbbbaee6fbc76593f,SWEET POTATO,NO,,,,,,,,,,,,,,,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Food for household,,
202042720112,f477b44e48e8489cbbbaee6fbc76593f,NKHWANI,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Does not usually store,,
