case_id,HHID,PID,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
102011270158,56504e358a454e228f77dab5602f635e,2,YES,NO,,,,NO,,,,NO,,,,YES,8,6,6
102011270158,56504e358a454e228f77dab5602f635e,4,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,5,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,3,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,1,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,6,NO,,,,,,,,,,,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,3,NO,,,,,,,,,,,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,1,YES,NO,,,,NO,,,,NO,,,,YES,12,5,4
102011280005,77304548243442a1a80d6f0aca549184,2,NO,,,,,,,,,,,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,5,NO,,,,,,,,,,,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,6,NO,,,,,,,,,,,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,4,NO,,,,,,,,,,,,,,,,
102011280030,6680c605758841ddbe900ef0d8f78cbe,4,NO,,,,,,,,,,,,,,,,
102011280030,6680c605758841ddbe900ef0d8f78cbe,1,NO,,,,,,,,,,,,,,,,
102011280030,6680c605758841ddbe900ef0d8f78cbe,3,NO,,,,,,,,,,,,,,,,
102011280030,6680c605758841ddbe900ef0d8f78cbe,2,YES,NO,,,,NO,,,,NO,,,,YES,24,5,7
102011280108,ffd5c8f049f14814af1112b4cba8a886,9,NO,,,,,,,,,,,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,1,NO,,,,,,,,,,,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,8,NO,,,,,,,,,,,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,4,NO,,,,,,,,,,,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,3,NO,,,,,,,,,,,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,7,NO,,,,,,,,,,,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,2,YES,NO,,,,NO,,,,NO,,,,YES,12,3,6
102011280108,ffd5c8f049f14814af1112b4cba8a886,5,NO,,,,,,,,,,,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,6,NO,,,,,,,,,,,,,,,,
