case_id,HHID,Fishing_GearID,fs_d01a,fs_d01b,fs_d02,fs_d03,fs_d04,fs_d05_filter,fs_d05,fs_d06_filter,fs_d06
106012110053,543cc1d9ba2441ada5fcb314ba212923,Chimilira,yes,,1,0,500000,NO,,NO,
106012110070,db8d62f269ce4087b6888253bfe2c32b,Mbuka/ntaya/ukonde (gillnet),yes,,2000,2000,50000,YES,2000,NO,
106012110078,f7c465a554084ab4a81239bb6dbb1e4d,Chimilira,yes,,1,0,600000,NO,,YES,500000
106012110078,f7c465a554084ab4a81239bb6dbb1e4d,Mbedza (long /hand line),yes,,3,3,3000,YES,1,NO,
106012110094,71d995caf65841f08abada272723506d,Other Specify,yes,MAKOMBE,1,0,12000,NO,,NO,
106012110109,d4f329c6aab0471a8b64d42108bbf047,Other Specify,yes,KHOKHA,1,0,200000,NO,,NO,
106012110360,8b8846595c544806a0848e62b383f1a3,Mbuka/ntaya/ukonde (gillnet),yes,,4500,4500,100000,NO,,NO,
106012110398,0eb1bca745c64cf0b7c6a3f44598e6de,Mono (fish traps),yes,,1,0,60000,NO,,NO,
106012110432,bd8f8975d684493d8129ce8b7c1f8d5d,Usipa (seine) net,yes,,1,0,10000,NO,,NO,
106012120040,c6618cc94bad4c4f94f1bdea292492ad,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,100000,NO,,NO,
106012120044,0be0747c8c6b45ab805f47e59f7e7dcf,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,50000,NO,,NO,
106012120081,0bf40235b9c144faaab974ee944a4bd0,Mbuka/ntaya/ukonde (gillnet),yes,,4,4,80000,NO,,NO,
106012120081,0bf40235b9c144faaab974ee944a4bd0,Kambuzi (beach) seine,yes,,4,4,40000,NO,,NO,
106012120104,6be3950e67f949b3ba53e41510beb3f8,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,160000,NO,,YES,15000
106012120109,2917e87929b94298b46d4b00ff3d8368,Usipa (seine) net,no,,0,0,0,NO,,NO,
106012120152,aa136f9bff0e4b0f97b0689ac633ee3c,Chimilira,yes,,2,2,500000,NO,,NO,
106012120242,9c7dca1046d247c6a16cc488615aa027,Mbedza (long /hand line),yes,,1000,1000,12500,NO,,NO,
106012120242,9c7dca1046d247c6a16cc488615aa027,Other Specify,yes,ZILEPA,1200,1200,120000,NO,,NO,
202012610034,1a66dc2cc2f443e9bf44d36163d02efe,Mbedza (long /hand line),yes,,4,0,400,NO,,YES,100
202012610047,829cfd6017e042bfbd03078497083042,Mbedza (long /hand line),yes,,1200,1200,240000,NO,,NO,
202012640112,93da393f2e0349aabebd3923f9bb6cee,Mkacha,yes,,1,1,4000,NO,,NO,
202012640113,0ff40b7a5a2e4ed988266cf0f5ded053,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,0,NO,,NO,
202012640155,bd7f18d847f8471c91dbe306fce4555e,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,0,NO,,YES,5000
202012640209,338025b7ebba4cde9ee471f5a3750a6f,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,3000,NO,,YES,2000
