case_id,HHID,Boats_EnginesID,fs_h07a,fs_h07b,fs_h08,fs_h09,fs_h10,fs_h11,fs_h12,fs_h13
302125270043,6ebbfc3de5004066b3147d9d2b2fc0f8,Bwato (dugout),yes,,1,1,3000,0,0,6000
302125270103,fd110f67f1844f36a0032b31a25b0c22,Bwato (dugout),yes,,1,0,28500,0,1000,0
302125270114,a988e774dc644359b0bc719bb1621063,Bwato (dugout),yes,,1,0,4000,0,4000,0
303025320127,24217ba3f5d44ea684f51094685ce544,Plankboat,yes,,1,1,200000,0,0,0
303025350064,101f79de544f4e4cb88663fb64e0a353,Plankboat,yes,,1,1,80000,0,0,0
303025350064,101f79de544f4e4cb88663fb64e0a353,Bwato (dugout),yes,,1,1,40000,0,0,0
303025350157,717e78db21a549e9a61f78ff20e802ea,Bwato (dugout),yes,,1,1,40000,0,0,0
303025350174,4025541d86034a008c2cacba37617fc9,Plankboat,yes,,1,0,120000,0,30000,0
309036740097,8966c9a882b543989a42aadcbe0c2b58,Bwato (dugout),yes,,1,0,30000,0,2000,0
309036740203,8282092108bb4dc89e395b3e418cabc7,Bwato (dugout),yes,,1,0,2000,0,0,0
309056790055,540e9b5c8d134bfc8fc6773caaf3da33,Bwato (dugout),yes,,1,0,100000,0,1,30000
309056790117,c58a3bdfc3694efaa813be30908202fb,Bwato (dugout),yes,,1,1,200,0,1000,0
309056790203,5dd8c5564a4b4a86b5877e48ba496e02,Bwato (dugout),yes,,1,1,35000,0,0,0
311027110154,f8cb9614a35e48e48a887462089fa9ca,Bwato (dugout),yes,,1,0,30000,0,7200,0
