case_id,HHID,fs_j01,fs_j01_oth,fs_j02a,fs_j02b,fs_j02c,fs_j02d,fs_j02e,fs_j02f,fs_02filter,fs_j02h,fs_j02i,fs_j02j,fs_j02k,fs_j02l,fs_j02m,fs_j03a,fs_j03b,fs_j03c,fs_j03d,fs_j03e,fs_j03f,fs_j03filter,fs_j03g,fs_j03h,fs_j03i,fs_j03j,fs_j03k,fs_j03l
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,NCHENI,,0,,,,,,,,,,,,,7,LARGE BASKET,,FRESH,,9000,NO,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,OTHER,KAMPANGO,0,,,,,,,,,,,,,30,LARGE BASKET,,FRESH,,3500,NO,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,NCHENI,,0,,,,,,,,,,,,,0,,,,,,NO,,,,,,
102051410196,f5759c2a258644598a43fd1c6a26b424,NCHENI,,5,LARGE BASKET,,FRESH,,20000,YES,5,LARGE BASKET,,SMOKED,,20000,5,LARGE BASKET,,SMOKED,,45000,NO,,,,,,
102201430307,e9e09d1f25f045a2977e121c85cd8299,NCHENI,,7,LARGE BASKET,,ICED,,15000,NO,,,,,,,7,LARGE BASKET,,ICED,,26000,NO,,,,,,
102201460042,165210a5cec9462990d6f144094ceb9d,USIPA,,10,LARGE BASKET,,FRESH,,10000,NO,,,,,,,10,LARGE BASKET,,FRESH,,5000,NO,,,,,,
102201460103,c9d941818fb345438335e3c8a73347f0,AGGREGATED,,6,OTHER (SPECIFY),10 LITRE PAIL,SMOKED,,14000,NO,,,,,,,6,OTHER (SPECIFY),10 LITRE PAIL,SMOKED,,20000,NO,,,,,,
102201460206,4e417471acac4e86953bec6695c5aa55,USIPA,,6,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,12000,NO,,,,,,,360,OTHER (SPECIFY),HEAP,SUN-DRIED,,250,NO,,,,,,
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,USIPA,,15,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,18000,NO,,,,,,,15,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,20000,NO,,,,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,USIPA,,12,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,12000,NO,,,,,,,24,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,8000,NO,,,,,,
