case_id,gardenid,plotid,plot_twi,plot_srtm,plot_srtmslp,dist_household
101021100019,RG01,R01,14,1256,20,.1
101021100041,RG02,T01,12,1171,10,0
101021100051,RG02,R01,12,1166,5,0
101021100058,RG02,R01,17,1178,13,.30000001
101021100105,RG03,R01,12,1186,10,.60000002
101021100108,RG03,R01,12,1175,6,.1
101021100116,RG01,R01,12,1173,8,.1
101021100140,TG01,T01,11,1217,15,0
101021100161,RG02,R02,11,1352,15,0
101021100168,RG02,R01,11,1194,25,0
101021100179,RG02,R01,11,1215,16,0
101021100180,RG01,R01,16,1250,22,.1
101021100190,RG01,R01,14,1206,8,0
101021100222,RG02,R01,19,1177,5,.1
101021100225,RG02,T01,16,1243,26,.1
101021100229,RG01,R01,11,1217,12,0
101031110017,TG02,T02,11,1509,26,.5
101031110030,RG02,R01,11,1425,32,.69999999
101031110039,TG03,T01,12,1440,20,.69999999
101031110057,RG02,R01,11,1426,30,0
101031110086,RG02,R01,15,1479,12,0
101031110095,RG02,R01,11,1538,17,.69999999
101031110104,TG01,T01,11,1538,12,0
101031110113,RG01,D01,11,1519,20,0
101031110123,RG01,R01,11,1479,17,0
101031110132,RG02,R01,12,1496,18,.60000002
101031110159,TG01,T01,11,1537,12,0
101031110168,RG02,R01,11,1469,23,0
101031110186,TG02,T01,11,1452,16,.60000002
101031110196,RG02,T02,10,1486,20,.2
101031120018,RG02,R01,13,1325,6,.30000001
101031120035,RG02,R01,13,1315,5,1.3
101031120054,RG01,R01,12,1345,5,0
101031120078,RG03,R02,12,1341,7,.1
101031120091,RG02,R01,13,1321,13,1.1
101031120095,RG02,R01,12,1373,9,.1
101031120097,RG02,R02,13,1328,5,0
101031120116,RG02,R01,14,1346,5,.1
101031120119,RG01,R01,14,1343,5,.1
101031120131,RG02,R01,16,1321,6,2.5999999
101031120169,RG02,R01,15,1333,5,1.8
101031120176,DG04,D01,16,1304,2,1.1
101031130001,RG01,R01,12,1265,12,0
101031130003,RG01,R01,12,1254,12,0
101031130005,RG02,R01,12,1226,15,.60000002
101031130007,RG01,R01,13,1051,20,0
101031130009,RG04,R01,11,1035,16,0
101031130011,RG03,R01,11,1110,24,.5
101031130013,RG03,R01,12,1023,16,.2
101031130015,RG04,R01,13,1030,14,0
101031130019,RG02,R01,11,1246,7,.2
101031130026,RG02,R01,11,1276,17,5.4000001
101031130028,RG02,R01,13,1076,13,.1
101031130033,RG02,R01,13,1159,15,.80000001
101031130035,TG01,T01,12,1215,17,0
101031130037,TG01,T01,11,1229,16,0
101051140004,RG01,T01,12,1543,3,.1
101051140005,RG03,R01,17,1565,2,.30000001
101051140006,RG01,R01,12,1555,4,0
101051140008,RG02,R01,13,1552,5,.1
101051140009,TG01,T01,12,1561,4,0
101051140012,RG01,R02,14,1571,1,.1
101051140021,RG01,R01,13,1523,5,.1
101051140026,RG02,R01,20,1536,4,0
101051140032,RG02,T01,12,1540,2,0
101051140045,RG02,R01,13,1576,6,.1
101051140050,RG02,R01,13,1556,5,.1
101051140054,TG02,T01,12,1601,18,.1
101051140074,RG02,R01,11,1574,13,.1
101051140079,TG01,T01,11,1566,7,0
101051140091,RG02,R01,11,1559,10,.1
101051140098,RG02,R01,14,1584,6,.1
101051150040,RG03,R01,13,1438,6,3.5
101051150047,RG02,R01,13,1527,4,.60000002
101051150063,RG02,R01,16,1534,4,0
101051150070,RG01,R01,12,1551,8,0
101051150076,DG03,D01,20,1521,4,.80000001
101051150090,RG01,R01,13,1525,3,0
101051150101,RG02,R01,15,1525,5,.80000001
101051150122,RG02,R01,12,1526,4,.2
101051150123,RG01,R01,13,1527,4,0
101051150131,RG03,R01,13,1527,4,.69999999
101051150144,RG03,R01,14,1519,4,.80000001
101051150174,RG02,R01,11,1462,10,5.1999998
101061160025,RG02,R01,13,1325,6,.1
101061160027,RG01,R01,14,1302,4,0
101061160033,RG01,R01,12,1311,3,0
101061160035,RG02,R01,12,1326,4,.2
101061160064,RG02,R01,12,1258,5,0
101061160077,RG02,R01,12,1295,8,.30000001
101061160139,RG03,R01,13,1276,7,.2
101061160143,RG03,R02,13,1271,4,.30000001
101061160160,RG02,R01,13,1290,4,.60000002
101061160168,RG04,R01,16,1288,3,.69999999
101061160203,RG02,R01,14,1293,6,.1
101061160212,RG02,R01,12,1269,4,.1
101061160220,RG02,R01,12,1284,5,.1
101061160224,RG02,R01,12,1293,6,.1
101061160235,RG02,R01,13,1288,5,.2
101061160246,RG02,R02,12,1251,4,.2
101061170005,RG01,R01,12,1261,7,0
101061170031,RG02,R01,15,1291,2,.60000002
101061170040,RG02,R01,21,1262,6,.69999999
101061170049,RG02,R01,13,1257,6,.60000002
101061170065,RG02,R01,12,1271,5,0
101061170073,TG01,T01,14,1256,6,0
101061170081,RG03,R01,12,1263,6,0
101061170117,RG02,R01,12,1274,5,1.2
101061170157,RG02,R01,14,1268,8,0
101071180013,RG02,R01,12,1353,4,0
101071180023,RG07,R01,12,1356,3,.89999998
101071180034,TG01,T01,12,1377,6,.1
101071180039,RG01,T01,12,1367,6,0
101071180044,RG02,R02,16,1343,4,.30000001
101071180050,RG03,R01,14,1338,4,.2
101071180069,RG02,R02,17,1426,14,.1
101071180098,RG02,R01,13,1358,2,.1
101071180108,RG03,R01,16,1340,5,.30000001
101071180137,TG01,T02,12,1423,8,0
101071180147,RG01,R01,15,1392,5,.1
101071180156,RG02,R01,12,1374,6,.30000001
101071180157,RG02,R02,12,1388,6,0
101071180197,TG01,T01,12,1427,20,0
101071180217,RG02,R01,15,1352,5,0
101091190031,RG01,R01,13,1383,5,0
101091190033,RG01,R01,13,1354,4,0
101091190035,RG02,R01,14,1369,3,.1
101091190036,RG02,R01,12,1384,5,.30000001
101091190062,RG02,R01,13,1366,1,0
101091190069,RG01,R01,15,1375,3,0
101091190082,RG02,R01,13,1352,1,0
101091190093,RG01,R01,13,1360,1,0
101091190095,RG03,R02,15,1383,4,.1
101091190098,RG02,R01,12,1384,5,1
101091190100,RG02,R01,18,1341,3,.1
101091190110,RG01,R01,13,1342,3,0
101091190126,RG01,R01,17,1361,3,0
101091200015,RG01,R01,12,1310,5,0
101091200032,DG02,D01,14,1284,1,.69999999
101091200037,RG02,R01,14,1311,5,.1
101091200048,RG02,R01,14,1307,3,0
101091200057,RG01,R01,14,1366,10,0
101091200078,TG01,T01,16,1310,3,0
101091200087,RG01,R01,12,1301,3,0
101091200092,RG01,R01,13,1320,2,0
101091200108,RG02,R02,13,1383,10,.2
101091200122,RG02,R01,17,1366,7,.1
101091200127,RG01,R01,12,1355,8,0
101091200148,RG02,R02,15,1298,4,.60000002
101091200174,RG02,R01,14,1289,3,.30000001
101091200175,RG02,R01,14,1310,4,.1
101091200185,RG01,R01,14,1327,9,.1
101091210005,DG02,D01,13,1413,3,.1
101091210010,RG02,R01,12,1429,8,.1
101091210015,RG01,R01,13,1423,3,0
101091210020,RG02,R01,13,1423,2,.1
101091210025,RG02,R01,12,1442,7,0
101091210035,RG02,R01,12,1444,5,0
101091210040,RG02,R01,18,1435,3,.1
101091210045,RG03,R01,14,1430,2,.1
101091210050,RG02,R01,11,1428,5,.1
101091210055,RG03,R01,14,1423,2,.2
101091210060,RG03,R01,15,1380,2,.1
101091210070,RG02,T01,12,1398,3,.1
101091210075,RG02,R01,14,1390,3,.2
101091210080,RG02,R01,15,1400,5,.1
101091210085,RG02,R01,13,1406,5,0
