case_id,HHID,fs_i02,fs_i01,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
103071590137,2ce10fc6386840e6855ee3010a428ec2,UTAKA,YES,,2,2,LARGE BASKET,,FRESH,,NO,,,,,,4,,4,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,FRESH,,35000,,,,,,,2,YES,,5,DOZEN / BUNDLE,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
106012110048,342472e366f946749694e1d4073060b9,USIPA,YES,,2,10,LARGE BASKET,,FRESH,,NO,,,,,,30000,,200,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,200,LARGE BASKET,,FRESH,,15000,,,,,,,2,NO,LOW SEASON,1,SMALL BASKET,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
103061570203,3a350102d7ec42edadeec08e1f8555e9,OTHER,YES,BATALA,8,6,10 KG BAG,,FRESH,,NO,,,,,,36,,108,10 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,6,10 KG BAG,,FRESH,,4000,,,,,,,8,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
303025350174,4025541d86034a008c2cacba37617fc9,MLAMBA,YES,,3,500,PIECE,,FRESH,,NO,,,,,,1500,,0,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,400,PIECE,,FRESH,,600,,,,,,,3,NO,##N/A##,18,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
303025350174,4025541d86034a008c2cacba37617fc9,CHAMBO,YES,,9,70,PIECE,,FRESH,,NO,,,,,,630,,0,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,50,PIECE,,FRESH,,350,,,,,,,9,NO,##N/A##,5,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
301014850221,404755a1aa2d4f9894ebd315a4b73e6e,NCHENI,YES,,5,1,LARGE BASKET,,FRESH,,NO,,,,,,5,,5,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,1,LARGE BASKET,,FRESH,,16000,,,,,,,5,YES,,2,DOZEN / BUNDLE,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
103091620022,441a7583bdfa46bab21f95056eb32d95,NCHENI,YES,,3,1,SMALL BASKET,,FRESH,,NO,,,,,,3,,3,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,3,SMALL BASKET,,FRESH,,1500,,,,,,,3,YES,,10,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
308056560229,45e624b45a7f4b2286c93b8a62628ae4,MLAMBA,YES,,18,14,PIECE,,FRESH,,NO,,,,,,16,,0,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,13,PIECE,,FRESH,,1200,,,,,,,2,YES,,0,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103021520043,4a615fd4975e43baad72dbf120a5a3b4,UTAKA,YES,,10,2,LARGE BASKET,,FRESH,,NO,,,,,,20,,20,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,20,LARGE BASKET,,FRESH,,11000,,,,,,,20,YES,,1,DOZEN / BUNDLE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
202042700041,4e0ae39c3acd40b08221882ec4771e8d,CHAMBO,YES,,4,1,SMALL BASKET,,FRESH,,NO,,,,,,4,,4,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,SMALL BASKET,,FRESH,,0,,,,,,,0,YES,,1,SMALL BASKET,,FRESH,,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",
