region,item_name,item_code,unit_name,Otherunit,unit_code,factor,source
North,MAIZE UFA REFINED (FINE FLOUR),102,PAIL SMALL,,4A,3.461999893188477,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,PAIL SMALL,,4A,3.505000114440918,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,PAIL SMALL,,4A,4.308000087738037,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,PAIL MEDIUM,,4B,7.717000007629395,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,PAIL MEDIUM,,4B,5.224999904632568,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,PAIL MEDIUM,,4B,7.116499900817871,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,PAIL LARGE,,4C,12.98200035095215,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,PAIL LARGE,,4C,10.83099937438965,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,PAIL LARGE,,4C,15,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,No 10 PLATE,,6,.2138157933950424,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,NO. 10 PLATE ,,6,.1049999967217445,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,No 10 PLATE,,6,.1679999977350235,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,NO. 12 PLATE ,,7,.125,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,NO. 12 PLATE ,,7,.1439999938011169,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,No 12 PLATE,,7,.2661785781383514,Collected from the Field
North,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,OTHER (SPECIFY),PAIL (SMALL),23,2.285000085830688,Imputed Factor Based on Other Item-Units
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,TINA ,,25,.1659999936819077,Collected from the Field
South,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,TINA ,,25,.1980000138282776,Collected from the Field
North,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,5 LITRE BUCKET(Chigoba),,26,2.285000085830688,"Collected from the field, Few Observations Not in All Regions"
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,5 LITRE BUCKET(Chigoba),,26,2.285000085830688,"Collected from the field, Few Observations Not in All Regions"
South,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,5 LITRE BUCKET(Chigoba),,26,2.285000085830688,"Collected from the field, Few Observations Not in All Regions"
North,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL,,4,1.639999985694885,"Collected from the field, Few Observations Not in All Regions"
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL,,4,1.639999985694885,"Collected from the field, Few Observations Not in All Regions"
South,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL,,4,1.639999985694885,"Collected from the field, Few Observations Not in All Regions"
North,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL SMALL,,4A,1.639999985694885,Collected from the Field
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL SMALL,,4A,3.272500038146973,Collected from the Field
South,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL SMALL,,4A,3.227999925613403,Collected from the Field
North,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL MEDIUM,,4B,11.38199996948242,Collected from the Field
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL MEDIUM,,4B,4.800000190734863,Collected from the Field
