case_id,HHID,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
102051420214,6b6344882dac43dea8388f8d1d962368,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102201430307,e9e09d1f25f045a2977e121c85cd8299,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102201460042,165210a5cec9462990d6f144094ceb9d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102201460103,c9d941818fb345438335e3c8a73347f0,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102201460206,4e417471acac4e86953bec6695c5aa55,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103021520121,ca477b192b344b6da709672368794576,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103031530002,59b73b407a99406483debac0d7bb5a17,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103041540194,789e0c9e34634b5e994240f549bf2e57,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103041550180,63d5301b943a433da5d50baa505766aa,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103041550229,2bbd8db25e7240a2bbd5997d053dab37,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103051560008,826f18cfb28f46b38a961caee38658c8,2,12,0,0,NO,,,NO,,,,,,,YES,20000,0,0,0,NO,,,
103051560014,c65b0436b3c74579a404d06664b6a048,0,0,0,0,NO,,,NO,,,,,,,YES,5000,0,0,0,NO,,,
103051560023,485dde2f65804638887630db88e8d60d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103051560029,9e2b74583ee74f159721f71160ae0cf3,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103051560036,d61354615e084362a9297bebbe6266a5,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103051560121,dade4852b38646408924eabdff8e9155,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103051560124,ab73a5cba3ea4c39b51a134a3995c356,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103051560127,f986187c2e5e460fb5e1a6e0637c8ea5,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
