case_id,HHID,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m
103121640062,4e809b335b844db28d06a96d374f87f2,USIPA,,14,SMALL BASKET,,FRESH,,2000,NO,,,,,,,4,SMALL BASKET,,FRESH,,2000,YES,1,,,SUN-DRIED,,2000
103121640067,baae54b6d8fc453c856acbdc577bd9a2,USIPA,,150,SMALL BASKET,,FRESH,,2000,NO,,,,,,,15,SMALL BASKET,,FRESH,,2500,NO,,,,,,
103121640081,9569dcb935024d28b6d4d042bf28b865,USIPA,,600,SMALL BASKET,,FRESH,,2000,NO,,,,,,,100,SMALL BASKET,,SUN-DRIED,,2500,NO,,,,,,
103121640081,9569dcb935024d28b6d4d042bf28b865,NCHENI,,40,SMALL BASKET,,FRESH,,2000,NO,,,,,,,5,SMALL BASKET,,SMOKED,,3000,YES,2,,,SUN-DRIED,,3000
103121640081,9569dcb935024d28b6d4d042bf28b865,UTAKA,,300,SMALL BASKET,,FRESH,,2000,NO,,,,,,,20,SMALL BASKET,,SUN-DRIED,,2500,NO,,,,,,
103121640082,8af31ea03b1f4d19823e846ee669cbf6,USIPA,,7,SMALL BASKET,,FRESH,,1500,NO,,,,,,,7,SMALL BASKET,,SUN-DRIED,,2000,NO,,,,,,
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,CHAMBO,,0,,,,,,NO,,,,,,,2,LARGE BASKET,,FRESH,,85000,NO,,,,,,
103121650471,d8d67896703b4e9482c723dc3e2cc370,MLAMBA,,60,KILOGRAM,,SUN-DRIED,,75000,NO,,,,,,,25,KILOGRAM,,SUN-DRIED,,30000,NO,,,,,,
103121650471,d8d67896703b4e9482c723dc3e2cc370,USIPA,,60,KILOGRAM,,SUN-DRIED,,70000,NO,,,,,,,35,KILOGRAM,,SUN-DRIED,,42000,NO,,,,,,
103121650471,d8d67896703b4e9482c723dc3e2cc370,UTAKA,,50,KILOGRAM,,SUN-DRIED,,68000,NO,,,,,,,25000,KILOGRAM,,SUN-DRIED,,30000,NO,,,,,,
103121660089,ce97d4fe0ebb4eee8c921539ed3c178d,OTHER,NO FISH TRADING WAS DOME,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
103121670169,d95ff00ef1a34fea8aa68ca52050424d,USIPA,,2,SMALL BASKET,,SUN-DRIED,,4000,NO,,,,,,,4,SMALL BASKET,,SUN-DRIED,,5000,NO,,,,,,
103201680072,987b4bd27aa442968db466205a1e3536,NCHENI,,6,LARGE BASKET,,FRESH,,25000,NO,,,,,,,6,LARGE BASKET,,FRESH,,35000,NO,,,,,,
103201680072,987b4bd27aa442968db466205a1e3536,USIPA,,3,LARGE BASKET,,FRESH,,30000,NO,,,,,,,3,LARGE BASKET,,FRESH,,35000,NO,,,,,,
103201680086,4ff89dca92af45b684af7220cedd61ba,OTHER,NDUNDUMA,1,LARGE BASKET,,FRESH,,60000,NO,,,,,,,1,LARGE BASKET,,FRESH,,90000,NO,,,,,,
103201680086,4ff89dca92af45b684af7220cedd61ba,USIPA,,18,LARGE BASKET,,FRESH,,25000,NO,,,,,,,18,LARGE BASKET,,FRESH,,35000,NO,,,,,,
103201680136,1e7ca8bed2e7408ca2ecbbd9888a357a,USIPA,,5,SMALL BASKET,,FRESH,,2000,NO,,,,,,,5,SMALL BASKET,,FRESH,,2500,NO,,,,,,
104041780120,7b56ead5540c4dbfb7f69fc91cd251cc,AGGREGATED,,100,SMALL BASKET,,SUN-DRIED,,3000,YES,100,SMALL BASKET,,SUN-DRIED,,3000,100,SMALL BASKET,,SUN-DRIED,,5000,NO,,,,,,
104041780137,c99c252d0f00467aa85701cf5642b95a,UTAKA,,0,,,,,,NO,,,,,,,28,LARGE BASKET,,FRESH,,6000,NO,,,,,,
104071820287,691e7b5b0d364ba88eb7fd5cc92dd08c,OTHER,MASKUHUNJU,3,LARGE BASKET,,SMOKED,,5000,NO,,,,,,,3,LARGE BASKET,,SMOKED,,7000,NO,,,,,,
104201890128,4c55c9d701b247ceb85adc68fb6f7955,CHAMBO,,12,LARGE BASKET,,FRESH,,15000,NO,,,,,,,3,LARGE BASKET,,FRESH,,24000,NO,,,,,,
104201890128,4c55c9d701b247ceb85adc68fb6f7955,NCHENI,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
105041980029,2e0b88f7cb60435a8d92895d33ac50c4,OTHER,KAZUNI,0,,,,,,NO,,,,,,,1,SMALL BASKET,,SUN-DRIED,,1000,NO,,,,,,
105041980196,7e3a3fc584904162890889c67a24baf8,USIPA,,4,OTHER (SPECIFY),HEAP MEDIUM,SMOKED,,300,NO,,,,,,,1,LARGE BASKET,,SMOKED,,300,NO,,,,,,
105082070130,48a751d5b7814dc7963fe031235b7e1f,NCHENI,,1,25 KG BAG,,SUN-DRIED,,2000,NO,,,,,,,5,DOZEN / BUNDLE,,SUN-DRIED,,2000,NO,,,,,,
105082070130,48a751d5b7814dc7963fe031235b7e1f,UTAKA,,4,LARGE BASKET,,FRESH,,10000,NO,,,,,,,1,LARGE BASKET,,FRESH,,10000,YES,1,,,SMOKED,,10000
106012110001,197c13ae874b4907980b611acb5cdf03,NCHENI,,3,LARGE BASKET,,FRESH,,5000,NO,,,,,,,4,LARGE BASKET,,FRESH,,5000,NO,,,,,,
106012110001,197c13ae874b4907980b611acb5cdf03,UTAKA,,3,LARGE BASKET,,FRESH,,6000,NO,,,,,,,3,LARGE BASKET,,FRESH,,6000,NO,,,,,,
106012110004,d44fc041d3cf42928b460ca5e04ead07,UTAKA,,1,SMALL BASKET,,SMOKED,,3000,NO,,,,,,,10,SMALL BASKET,,SMOKED,,3000,NO,,,,,,
106012110035,555df629fecb46188e9ac0d9c6604c15,UTAKA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
106012110048,342472e366f946749694e1d4073060b9,USIPA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
106012110048,342472e366f946749694e1d4073060b9,UTAKA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
106012110053,543cc1d9ba2441ada5fcb314ba212923,UTAKA,,4,LARGE BASKET,,FRESH,,20000,NO,,,,,,,112,LARGE BASKET,,FRESH,,20000,NO,,,,,,
106012110070,db8d62f269ce4087b6888253bfe2c32b,NCHENI,,3,LARGE BASKET,,FRESH,,10000,NO,,,,,,,12,LARGE BASKET,,FRESH,,10000,NO,,,,,,
106012110077,c8a435b803704218b05c556b00cfddb4,USIPA,,3,SMALL BASKET,,SUN-DRIED,,10000,NO,,,,,,,48,SMALL BASKET,,SUN-DRIED,,3,NO,,,,,,
106012110077,c8a435b803704218b05c556b00cfddb4,UTAKA,,5,LARGE BASKET,,FRESH,,15000,NO,,,,,,,80,LARGE BASKET,,SUN-DRIED,,24500,NO,,,,,,
106012110078,f7c465a554084ab4a81239bb6dbb1e4d,OTHER,BATALA,0,,,,,,NO,,,,,,,15,PIECE,,FRESH,,300,NO,,,,,,
