case_id,HHID,fs_b_start_date,fs_b_respondent,fs_b_endHr,fs_c_start_date,fs_c_respondent,fs_c_endHr,fs_d_start_date,fs_d_respondent,fs_d_endHr,fs_e_start_date,fs_e_endHr,fs_f_respondent,fs_f_endHr,fs_f_endMin,fs_g_start_date,fs_g_respondent,fs_g_endHr,fs_h_start_date,fs_h_respondent,fs_h_end_date,fs_i_start_date,fs_i_respondent,fs_i_endHr,fs_j_respondent,fs_j_endHr,fs_j_endMin
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,2019-09-23,2,12,2019-09-23,2,12,2019-09-23,2,12,2019-09-23,12,2,13,5,2019-09-23,2,13,2019-09-23,2,2019-09-23,2019-09-23,2,13,2,13,13
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,2019-09-23,2,9,2019-09-23,2,9,2019-09-23,2,9,2019-09-23,9,2,9,30,2019-09-23,2,9,2019-09-23,2,2019-09-23,2019-09-23,2,9,2,9,39
102041360188,6568506810014f82bebe97eb14691591,2019-09-24,1,10,2019-09-24,1,10,2019-09-24,1,10,2019-09-24,11,1,11,9,2019-09-24,1,11,2019-09-24,1,2019-09-24,2019-09-24,1,11,1,11,17
102041360190,918832af615e47c88b9ddc52dbde8314,2019-09-24,1,11,2019-09-24,1,11,2019-09-24,1,11,2019-09-24,11,1,11,29,2019-09-24,1,11,2019-09-24,1,2019-09-24,2019-09-24,1,11,1,11,34
102041360193,213f1a85e1b84ac4903f704a13b195b6,2019-09-24,2,14,2019-09-24,2,14,2019-09-24,2,14,2019-09-24,14,2,14,11,2019-09-24,2,14,2019-09-24,2,2019-09-24,2019-09-24,2,14,2,14,19
102041360205,9497ad3d50874b6e80a1ef28b6148e15,2019-09-24,2,9,2019-09-24,2,9,2019-09-24,2,10,2019-09-24,10,2,10,5,2019-09-24,2,10,2019-09-24,2,2019-09-24,2019-09-24,2,10,2,10,7
102041370048,5ce81c46158047c9ab84d9bb4d4afc7b,2020-02-29,1,13,2020-02-29,1,13,2020-02-29,1,13,2020-02-29,13,1,13,7,2020-02-29,1,13,2020-02-29,1,2020-02-29,2020-02-29,1,13,1,13,9
102041380207,0742aa43ddcb4f36a7289331d93a24ad,2019-06-26,1,13,2019-06-26,1,13,2019-06-26,1,13,2019-06-26,13,1,13,14,2019-06-26,1,13,2019-06-26,1,2019-06-26,2019-06-26,1,13,1,13,17
102041390006,899b06a1598e42308e88166a1b3b66d8,2020-01-03,1,14,2020-01-03,1,14,2020-01-03,1,15,2020-01-03,15,1,15,10,2020-01-03,1,15,2020-01-03,1,2020-01-03,2020-01-03,1,15,1,15,17
102041400254,fb6b0358fdfa462cbe7059842f18055c,2019-08-09,2,15,2019-08-09,2,15,2019-08-09,2,15,2019-08-09,15,2,15,37,2019-08-09,2,15,2019-08-09,2,2019-08-09,2019-08-09,2,15,2,15,57
102051410106,17bceed3525a4ea59d90db5a75a7fa9d,2020-02-24,2,11,2020-02-24,2,11,2020-02-24,2,11,2020-02-24,11,2,11,16,2020-02-24,2,11,2020-02-24,2,2020-02-24,2020-02-24,2,11,2,11,22
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,2020-02-24,1,10,2020-02-24,1,10,2020-02-24,1,10,2020-02-24,10,1,10,53,2020-02-24,1,10,2020-02-24,1,2020-02-24,2020-02-25,1,14,1,14,46
