case_id,HHID,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n07_1a,ag_n07_1b,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n39_1,ag_n39_1_oth,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
101051150076,e60bce33fdc94570aaccf9f3755a2008,TOMATO,30,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,,30,GRAM,,1,.a,On Foot,,0,7500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from extension officer,
101051150076,e60bce33fdc94570aaccf9f3755a2008,ONION,30,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,,30,GRAM,,1,.a,On Foot,,0,4500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101051150076,e60bce33fdc94570aaccf9f3755a2008,OTHER (SPECIFY),30,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,30,RAM,,Preference for traditional variety,
101051150144,08b6ccd13747443d97de31a8a5f6081b,MAIZE HYBRID,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101061170117,49d50d7e550d4049bdf1781263f79226,TOMATO,100,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,100,RAM,,Preference for traditional variety,
101071180217,d5fb3d0094054c37bfc4605c62b88163,TOMATO,1,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,,1,GRAM,,1,.a,Bicycle Taxi,,500,1000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from extension officer,
101091200032,dcc636c7ae9749f0a78c74cd223e788b,SUGAR CANE,3,OTHER SPECIFY,WHEELBARROW,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,OTHER (SPECIFY),WHEELBARROW,Preference for traditional variety,
101091200032,dcc636c7ae9749f0a78c74cd223e788b,TOMATO,15,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,75,GRAM,,2,,Own Bicycle or Oxcart,,0,NO,,,,Seed received through the voucher program,
101091200174,16ebf3b0b63849b7ac31da19968184b4,TOMATO,50,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,,50,GRAM,,1,2,Own Bicycle or Oxcart,,0,2000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from input supplier,
101091210005,9bbf584a476e462a977b2713dc245d61,BEANS,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,10,KILOGRAM,,Preference for traditional variety,
102021290042,a633c8020eab46d3a9c5d28c4c40494d,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,KILOGRAM,,Improved variety is too expensive,
102021290044,7d7599f7412b4fc6908f82feb79d5ae7,MAIZE HYBRID,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,,5,KILOGRAM,,1,2,Truck / Bus/ Minibus,,2000,2800,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from input supplier,
102021290045,910306ecc8974d4fae1a1411a87f85c7,MAIZE LOCAL,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,5,KILOGRAM,,Improved variety is too expensive,
102021290045,910306ecc8974d4fae1a1411a87f85c7,NKHWANI,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,KILOGRAM,,Improved variety is too expensive,
102021290079,fb707bd88b0343548e6210e6f29cf77a,MAIZE HYBRID,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,10,KILOGRAM,,Preference for traditional variety,
102021290079,fb707bd88b0343548e6210e6f29cf77a,GROUNDNUT JL24,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,3 KG BAG,,Preference for traditional variety,
102021290079,fb707bd88b0343548e6210e6f29cf77a,BEANS,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,KILOGRAM,,Preference for traditional variety,
102021290184,047652cfcb5f47bdb610528f61dd70d4,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,KILOGRAM,,Preference for traditional variety,
102021290184,047652cfcb5f47bdb610528f61dd70d4,BEANS,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,1,KILOGRAM,,1,.a,On Foot,,0,600,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
102051420151,22f099e46d284fc88b5cef957a5963bf,SWEET POTATO,1,OTHER SPECIFY,1 50 KG BAG,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,1,50 KG BAG,,7,,On Foot,,0,NO,,,,Advice from fellow farmer,
102051420270,0d1de823e18949a9870e6b11b1d0c1d7,RICE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,KILOGRAM,,Preference for traditional variety,
102051420275,02426348aa3647b58d35cf69bb354532,RICE PUSA,20,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,20,KILOGRAM,,1,2,On Foot,,0,4500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
102051420275,02426348aa3647b58d35cf69bb354532,OTHER RICE (SPECIFY),20,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,20,KILOGRAM,,1,2,On Foot,,0,4500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
102201430257,6cf90066ec10473c96253c459b81f8aa,TOMATO,100,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,100,RAM,,Preference for traditional variety,
102201440285,a85bcf59ccfd414285efd91d121aa650,TOMATO,25,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,1,,25,GRAM,,2,.a,On Foot,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Other (Specify),EARLY MATURITY
103011480103,0ebdbf4a265342ceaa912c04c76a41d2,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,KILOGRAM,,Improved variety is too expensive,
103011480104,b580d3362d7d4132b1a5ce1978a7e98e,MAIZE HYBRID,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,,2,KILOGRAM,,1,.a,On Foot,,0,2000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Other (Specify),EARLY MATURITY
103011480107,43928183dbe3446abaf222f99707c5e1,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,KILOGRAM,,Improved variety is too expensive,
103011480107,43928183dbe3446abaf222f99707c5e1,NKHWANI,5,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,5,GRAM,,3,,On Foot,,0,NO,,,,Preference for traditional variety,
103011480107,43928183dbe3446abaf222f99707c5e1,OTHER (SPECIFY),50,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,50,KILOGRAM,,1,,On Foot,,0,NO,,,,Preference for traditional variety,
103011480161,e96d31af4c4e469dbe4ad72408e17d55,MAIZE HYBRID,7,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,,7,KILOGRAM,,1,.a,Truck / Bus/ Minibus,,2000,8000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Other (Specify),HIGH YIELDING
103011480161,e96d31af4c4e469dbe4ad72408e17d55,IRISH [MALAWI] POTATO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,,10,KILOGRAM,,1,.a,Truck / Bus/ Minibus,,2000,4000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Other (Specify),HIGH YIELDING
103011480161,e96d31af4c4e469dbe4ad72408e17d55,BEANS,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,,5,KILOGRAM,,1,.a,Truck / Bus/ Minibus,,2000,0,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Improved variety is too expensive,
103011480161,e96d31af4c4e469dbe4ad72408e17d55,TANAPOSI,10,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,,10,GRAM,,1,.a,Truck / Bus/ Minibus,,2000,250,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
103011480161,e96d31af4c4e469dbe4ad72408e17d55,TOMATO,10,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,,10,GRAM,,1,.a,Truck / Bus/ Minibus,,2000,450,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Other (Specify),HIGH YIELDING
103011480161,e96d31af4c4e469dbe4ad72408e17d55,ONION,10,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,,10,GRAM,,1,.a,Truck / Bus/ Minibus,,2000,250,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
103011480174,5119e21efd7844f88bdfc19ec1ae1151,MAIZE HYBRID,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,1,KILOGRAM,,1,2,On Foot,,0,1500,Received on credit,1500,1500,3,.a,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
103011490001,57e5a949bcff4b59b8eb87ca8fb205f1,MAIZE HYBRID,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,,3,KILOGRAM,,1,.a,Truck / Bus/ Minibus,,4500,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from extension officer,
103011490002,616c55a4482d454fa4e17e0b0d8d349e,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,KILOGRAM,,Improved variety is too expensive,
103011490002,616c55a4482d454fa4e17e0b0d8d349e,NKHWANI,3,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,RAM,,Preference for traditional variety,
103011490008,bf7f738eabe4467f87b1abdb87914449,MAIZE HYBRID,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,KILOGRAM,,Preference for traditional variety,
103011490008,bf7f738eabe4467f87b1abdb87914449,SWEET POTATO,50,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,1,50 KG BAG,,1,,On Foot,,0,NO,,,,Preference for traditional variety,
103011490014,22f2298c8a354078922741d339e90e33,TOMATO,2,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,,2,GRAM,,1,.a,On Foot,,0,750,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
103011490014,22f2298c8a354078922741d339e90e33,OTHER (SPECIFY),3,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,,3,GRAM,,1,.a,On Foot,,0,1350,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
103011500012,5352a708e8014f2f9791f3252dbf6eb6,MAIZE HYBRID,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,KILOGRAM,,Improved variety is too expensive,
103011500032,0c9010d336a84aed8b25481f02813456,MAIZE HYBRID,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
103011500032,0c9010d336a84aed8b25481f02813456,NKHWANI,2,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,RAM,,Improved variety is too expensive,
103011500049,c904710347a54a76b15ddcde9d62ada3,MAIZE LOCAL,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,1,,3,KILOGRAM,,1,2,On Foot,,0,500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Improved variety is too expensive,
103011500069,0cb8be211ca54be58d9c65d0f0dec89b,TANAPOSI,250,GRAM,,"YES, THE FIGURES MATCHED",YES,,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
103011500096,2e9116ccaaad48f18bcd496fd8788e7c,MAIZE HYBRID,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,KILOGRAM,,Improved variety is too expensive,
103011500096,2e9116ccaaad48f18bcd496fd8788e7c,BEANS,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Improved variety is too expensive,
103011500096,2e9116ccaaad48f18bcd496fd8788e7c,PEA,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Improved variety is too expensive,
103011500100,b37c59c992eb44a5a9aa206ff5be7365,MAIZE LOCAL,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,KILOGRAM,,Improved variety is too expensive,
103011500107,ed4ea7b0a41e4ba9bb22eae867b2a63b,MAIZE LOCAL,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,5,KILOGRAM,,Preference for traditional variety,
103011500126,0a23b003760147baaccedc159029c952,MAIZE HYBRID,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Other (Specify),EARLY MATURITY
103011500138,320b17c512684da994cb649eb9defe35,MAIZE HYBRID,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,KILOGRAM,,Other (Specify),LACK OF MONEY
103011500138,320b17c512684da994cb649eb9defe35,TANAPOSI,200,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
103011500200,7f16ae3e9ae0426799ab120da07bf45a,MAIZE LOCAL,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,,3,KILOGRAM,,1,.a,On Foot,,0,500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
103011500213,903f366f906b404ba204b43e3ae758ee,MAIZE LOCAL,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,KILOGRAM,,Improved variety is too expensive,
103011510022,c0d7bec9fec945c08089063e98dc7c59,MAIZE HYBRID,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,5,KILOGRAM,,Other (Specify),HUGE CROPS
103011510022,c0d7bec9fec945c08089063e98dc7c59,SWEET POTATO,2,OTHER SPECIFY,BAG OF VINES,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,OTHER (SPECIFY),BAG OF VINES,Other (Specify),HUGE HARVEST
103011510022,c0d7bec9fec945c08089063e98dc7c59,TANAPOSI,2,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,2,GRAM,,5,,On Foot,,0,NO,,,,Other (Specify),HUGE HARVEST
103031530002,59b73b407a99406483debac0d7bb5a17,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,,2,KILOGRAM,,1,.a,On Foot,,0,3500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
