case_id,HHID,Rented_Out_GearID,fs_i14,fs_i15,fs_i16
102031310209,26598eb9e853402b86c1264b470a8af5,Kambuzi (beach) seine,yes,1,10000
102031350113,aa64297c5a144e4cb978a10ba2317e93,Mbuka /ntaya/ ukonde (gillnet),yes,1,50000
103041540194,789e0c9e34634b5e994240f549bf2e57,Mbedza(long /hand line),yes,20,0
103091620014,e5ef30cd32f842f99e81b66256283285,Usipa (mosquito) net,yes,1,0
106012110035,555df629fecb46188e9ac0d9c6604c15,Mbedza(long /hand line),yes,1,12000
202042700038,ad2716ee75784ef79a82fbeaa12d796c,Mbedza(long /hand line),yes,2,0
308076630116,c710a1912d394efe8e869618d2593691,Mono(fish traps),no,0,0
309056790055,540e9b5c8d134bfc8fc6773caaf3da33,Mbedza(long /hand line),no,0,0
309056790203,5dd8c5564a4b4a86b5877e48ba496e02,Mono(fish traps),no,0,0
