region,crop_code,unit_name,unit_code,condition,conversion,collectionround
South,GROUNDNUT JL24,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
North,GROUNDNUT JL24,50 KG BAG,2,U: Unshelled,23.9,Collected In Both 2016 and 2019
Central,GROUNDNUT JL24,50 KG BAG,2,U: Unshelled,24.97625,Collected In Both 2016 and 2019
South,GROUNDNUT JL24,50 KG BAG,2,U: Unshelled,22,Collected In Both 2016 and 2019
North,GROUNDNUT JL24,90 KG BAG,3,S: Shelled,70.799995,Collected in Only 2016
Central,GROUNDNUT JL24,90 KG BAG,3,S: Shelled,73.200005,Collected in Only 2016
South,GROUNDNUT JL24,90 KG BAG,3,S: Shelled,74.790001,Collected in Only 2016
North,GROUNDNUT JL24,90 KG BAG,3,U: Unshelled,48.851997,Collected in Only 2016
Central,GROUNDNUT JL24,90 KG BAG,3,U: Unshelled,50.508003,Collected in Only 2016
South,GROUNDNUT JL24,90 KG BAG,3,U: Unshelled,51.605099,Collected in Only 2016
North,GROUNDNUT JL24,PAIL (SMALL),4,S: Shelled,4.0999999,Collected in Only 2019
Central,GROUNDNUT JL24,PAIL (SMALL),4,S: Shelled,4.3299999,Collected in Only 2019
South,GROUNDNUT JL24,PAIL (SMALL),4,S: Shelled,4.0960002,Collected in Only 2019
North,GROUNDNUT JL24,PAIL (SMALL),4,U: Unshelled,2.2,Collected in Only 2019
Central,GROUNDNUT JL24,PAIL (SMALL),4,U: Unshelled,2.135,Collected in Only 2019
South,GROUNDNUT JL24,PAIL (SMALL),4,U: Unshelled,2.0120001,Collected in Only 2019
North,GROUNDNUT JL24,PAIL (LARGE),5,S: Shelled,16.650002,Collected In Both 2016 and 2019
Central,GROUNDNUT JL24,PAIL (LARGE),5,S: Shelled,13.7,Collected In Both 2016 and 2019
South,GROUNDNUT JL24,PAIL (LARGE),5,S: Shelled,14.46,Collected In Both 2016 and 2019
North,GROUNDNUT JL24,PAIL (LARGE),5,U: Unshelled,10.2,Collected In Both 2016 and 2019
Central,GROUNDNUT JL24,PAIL (LARGE),5,U: Unshelled,7.6125002,Collected In Both 2016 and 2019
South,GROUNDNUT JL24,PAIL (LARGE),5,U: Unshelled,6.4320002,Collected In Both 2016 and 2019
North,OTHER GROUNDNUT (SPECIFY),50 KG BAG,2,S: Shelled,39.333332,Collected in Only 2016
Central,OTHER GROUNDNUT (SPECIFY),50 KG BAG,2,S: Shelled,40.666668,Collected in Only 2016
South,OTHER GROUNDNUT (SPECIFY),50 KG BAG,2,S: Shelled,41.549999,Collected in Only 2016
North,OTHER GROUNDNUT (SPECIFY),50 KG BAG,2,U: Unshelled,27.139999,Collected in Only 2016
Central,OTHER GROUNDNUT (SPECIFY),50 KG BAG,2,U: Unshelled,28.060001,Collected in Only 2016
South,OTHER GROUNDNUT (SPECIFY),50 KG BAG,2,U: Unshelled,28.669498,Collected in Only 2016
North,OTHER GROUNDNUT (SPECIFY),90 KG BAG,3,S: Shelled,70.799995,Collected in Only 2016
Central,OTHER GROUNDNUT (SPECIFY),90 KG BAG,3,S: Shelled,73.200005,Collected in Only 2016
South,OTHER GROUNDNUT (SPECIFY),90 KG BAG,3,S: Shelled,74.790001,Collected in Only 2016
North,OTHER GROUNDNUT (SPECIFY),90 KG BAG,3,U: Unshelled,48.851997,Collected in Only 2016
Central,OTHER GROUNDNUT (SPECIFY),90 KG BAG,3,U: Unshelled,50.508003,Collected in Only 2016
South,OTHER GROUNDNUT (SPECIFY),90 KG BAG,3,U: Unshelled,51.605099,Collected in Only 2016
North,OTHER GROUNDNUT (SPECIFY),PAIL (LARGE),5,S: Shelled,15.266666,Collected in Only 2016
Central,OTHER GROUNDNUT (SPECIFY),PAIL (LARGE),5,S: Shelled,13.833333,Collected in Only 2016
South,OTHER GROUNDNUT (SPECIFY),PAIL (LARGE),5,S: Shelled,14.020833,Collected in Only 2016
North,OTHER GROUNDNUT (SPECIFY),PAIL (LARGE),5,U: Unshelled,10.533999,Collected in Only 2016
Central,OTHER GROUNDNUT (SPECIFY),PAIL (LARGE),5,U: Unshelled,9.5450001,Collected in Only 2016
South,OTHER GROUNDNUT (SPECIFY),PAIL (LARGE),5,U: Unshelled,9.6743746,Collected in Only 2016
North,RICE LOCAL,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE LOCAL,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE LOCAL,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE LOCAL,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE LOCAL,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE LOCAL,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE LOCAL,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE LOCAL,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE LOCAL,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE LOCAL,50 KG BAG,2,U: Unshelled,34.540001,Collected In Both 2016 and 2019
Central,RICE LOCAL,50 KG BAG,2,U: Unshelled,29.040001,Collected In Both 2016 and 2019
South,RICE LOCAL,50 KG BAG,2,U: Unshelled,31.698336,Collected In Both 2016 and 2019
North,RICE LOCAL,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE LOCAL,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE LOCAL,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE LOCAL,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE LOCAL,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE LOCAL,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE LOCAL,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE LOCAL,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE LOCAL,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE LOCAL,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE LOCAL,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE LOCAL,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE LOCAL,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE LOCAL,PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE LOCAL,PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE LOCAL,PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE FAYA,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE FAYA,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE FAYA,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE FAYA,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE FAYA,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE FAYA,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE FAYA,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE FAYA,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE FAYA,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE FAYA,50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE FAYA,50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE FAYA,50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE FAYA,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE FAYA,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE FAYA,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE FAYA,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE FAYA,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE FAYA,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE FAYA,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE FAYA,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE FAYA,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE FAYA,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE FAYA,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE FAYA,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE FAYA,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE FAYA,PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE FAYA,PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE FAYA,PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE PUSA,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE PUSA,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE PUSA,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE PUSA,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE PUSA,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE PUSA,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE PUSA,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE PUSA,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE PUSA,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE PUSA,50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE PUSA,50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE PUSA,50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE PUSA,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE PUSA,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE PUSA,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE PUSA,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE PUSA,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE PUSA,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE PUSA,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE PUSA,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE PUSA,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE PUSA,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE PUSA,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE PUSA,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE PUSA,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE PUSA,PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE PUSA,PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE PUSA,PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE TCG10,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE TCG10,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE TCG10,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE TCG10,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE TCG10,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE TCG10,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE TCG10,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE TCG10,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE TCG10,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE TCG10,50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE TCG10,50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE TCG10,50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE TCG10,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE TCG10,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE TCG10,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE TCG10,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE TCG10,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE TCG10,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE TCG10,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE TCG10,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE TCG10,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE TCG10,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE TCG10,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE TCG10,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE TCG10,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE TCG10,PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE TCG10,PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE TCG10,PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE IET4094 (SENGA),PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE IET4094 (SENGA),PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE IET4094 (SENGA),PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE IET4094 (SENGA),PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE IET4094 (SENGA),PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE IET4094 (SENGA),PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE IET4094 (SENGA),50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE IET4094 (SENGA),50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE IET4094 (SENGA),50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE IET4094 (SENGA),50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE IET4094 (SENGA),50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE IET4094 (SENGA),50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE IET4094 (SENGA),90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE IET4094 (SENGA),90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE IET4094 (SENGA),90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE IET4094 (SENGA),90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE IET4094 (SENGA),PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE IET4094 (SENGA),PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE IET4094 (SENGA),PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE IET4094 (SENGA),PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE IET4094 (SENGA),PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE IET4094 (SENGA),PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE IET4094 (SENGA),PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE IET4094 (SENGA),PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE IET4094 (SENGA),PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE IET4094 (SENGA),PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE IET4094 (SENGA),PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE IET4094 (SENGA),PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE WAMBONE,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE WAMBONE,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE WAMBONE,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE WAMBONE,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE WAMBONE,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE WAMBONE,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE WAMBONE,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE WAMBONE,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE WAMBONE,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE WAMBONE,50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE WAMBONE,50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE WAMBONE,50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE WAMBONE,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE WAMBONE,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE WAMBONE,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE WAMBONE,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE WAMBONE,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE WAMBONE,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE WAMBONE,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE WAMBONE,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE WAMBONE,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE WAMBONE,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE WAMBONE,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE WAMBONE,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE WAMBONE,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE WAMBONE,PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE WAMBONE,PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE WAMBONE,PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE KILOMBERO,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE KILOMBERO,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE KILOMBERO,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE KILOMBERO,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE KILOMBERO,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE KILOMBERO,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE KILOMBERO,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE KILOMBERO,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE KILOMBERO,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE KILOMBERO,50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE KILOMBERO,50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE KILOMBERO,50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE KILOMBERO,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE KILOMBERO,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE KILOMBERO,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE KILOMBERO,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE KILOMBERO,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE KILOMBERO,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE KILOMBERO,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE KILOMBERO,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE KILOMBERO,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE KILOMBERO,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE KILOMBERO,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE KILOMBERO,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE KILOMBERO,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE KILOMBERO,PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE KILOMBERO,PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE KILOMBERO,PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE ITA,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE ITA,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE ITA,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE ITA,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE ITA,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE ITA,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE ITA,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE ITA,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE ITA,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE ITA,50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE ITA,50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE ITA,50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE ITA,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE ITA,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE ITA,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE ITA,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE ITA,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE ITA,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE ITA,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE ITA,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE ITA,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE ITA,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE ITA,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE ITA,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE ITA,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
North,RICE ITA,PAIL (LARGE),5,U: Unshelled,12.2,Collected In Both 2016 and 2019
Central,RICE ITA,PAIL (LARGE),5,U: Unshelled,13.135,Collected In Both 2016 and 2019
South,RICE ITA,PAIL (LARGE),5,U: Unshelled,14,Collected in Only 2019
North,RICE MTUPATUPA,PAIL (MEDIUM),14,S: Shelled,10.12,Collected in Only 2019
Central,RICE MTUPATUPA,PAIL (MEDIUM),14,S: Shelled,8.4469995,Collected in Only 2019
South,RICE MTUPATUPA,PAIL (MEDIUM),14,S: Shelled,9.4799995,Collected in Only 2019
North,RICE MTUPATUPA,PAIL (MEDIUM),14,U: Unshelled,6.414,Collected in Only 2019
Central,RICE MTUPATUPA,PAIL (MEDIUM),14,U: Unshelled,6.2880001,Collected in Only 2019
South,RICE MTUPATUPA,PAIL (MEDIUM),14,U: Unshelled,7.0074997,Collected in Only 2019
North,RICE MTUPATUPA,50 KG BAG,2,S: Shelled,52.75,Collected In Both 2016 and 2019
Central,RICE MTUPATUPA,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
South,RICE MTUPATUPA,50 KG BAG,2,S: Shelled,58,Collected In Both 2016 and 2019
North,RICE MTUPATUPA,50 KG BAG,2,U: Unshelled,36.549999,Collected In Both 2016 and 2019
Central,RICE MTUPATUPA,50 KG BAG,2,U: Unshelled,49,Collected In Both 2016 and 2019
South,RICE MTUPATUPA,50 KG BAG,2,U: Unshelled,52,Collected In Both 2016 and 2019
North,RICE MTUPATUPA,90 KG BAG,3,S: Shelled,94.199997,Collected in Only 2016
North,RICE MTUPATUPA,90 KG BAG,3,U: Unshelled,62.172001,Collected in Only 2016
Central,RICE MTUPATUPA,90 KG BAG,3,U: Unshelled,52.272003,Collected in Only 2016
South,RICE MTUPATUPA,90 KG BAG,3,U: Unshelled,57.057003,Collected in Only 2016
North,RICE MTUPATUPA,PAIL (SMALL),4,S: Shelled,4.4064999,Collected in Only 2019
Central,RICE MTUPATUPA,PAIL (SMALL),4,S: Shelled,5.5714998,Collected in Only 2019
South,RICE MTUPATUPA,PAIL (SMALL),4,S: Shelled,5.52,Collected in Only 2019
North,RICE MTUPATUPA,PAIL (SMALL),4,U: Unshelled,3.4000001,Collected in Only 2019
Central,RICE MTUPATUPA,PAIL (SMALL),4,U: Unshelled,4.1999998,Collected in Only 2019
South,RICE MTUPATUPA,PAIL (SMALL),4,U: Unshelled,4.086,Collected in Only 2019
North,RICE MTUPATUPA,PAIL (LARGE),5,S: Shelled,19,Collected In Both 2016 and 2019
Central,RICE MTUPATUPA,PAIL (LARGE),5,S: Shelled,17.35,Collected In Both 2016 and 2019
South,RICE MTUPATUPA,PAIL (LARGE),5,S: Shelled,18.985001,Collected In Both 2016 and 2019
