Value;Category;Adm_Level
5234;KANI-GOGOUNA;3
5245;KENDIE;3
5256;NINGARI;3
5267;OUO;3
5278;SANGHA;3
5313;BAYE;3
5325;DIALASSAGOU;3
5337;KANI-BONZON;3
5349;OUENKORO;3
5361;SEGUE;3
5373;SOKOURA;3
5415;KONIO;3
5429;KOUAKOUROU;3
5443;MOUGNAN;3
5457;SOFARA;3
5471;TAGA;3
5515;BONI;3
5529;BORE;3
5543;HOMBORI;3
5557;MONDORO;3
5571;N'GOUMA;3
5613;DIANKABOU;3
5625;DINANGOUROU;3
5637;DIOUNGANI;3
5649;KOPORO KENIENA;3
5661;MADOUGOU;3
5673;TOROLI;3
5715;DIAFARABE;3
5729;DIONDIORI;3
5743;DIOURA;3
5757;SOSSOBE;3
5771;TOGUERECOUMBE;3
5815;AMBIRI;3
5829;DOGO;3
5843;GATHI LOUMO;3
5857;GUIDIO;3
5871;SAH;3
6118;AGLAL;3
6135;BER;3
6152;BOUREM INALY;3
6169;TINAGUELHOY;3
6191;COMMUNE TOMBOUCT;3
6223;DANGA;3
6245;HAIBONGO;3
6267;SAREYMOU;3
6312;BINTAGOUNDOU;3
6323;DOUEKISE;3
6334;FARACH;3
6345;GARGANDO;3
6356;RAZ-EL-MA;3
6367;TILEMSI;3
6378;TONKA;3
6413;BAMBARA MAOUDE;3
6425;GOSSI;3
6437;HARIBOMO;3
6449;INADIATAFANE;3
6461;MANDIAKOYE;3
6473;OUINARDEN;3
6513;BANIKANE;3
6525;KOUMAIRA;3
6537;LERE;3
6549;N'GORKOU;3
6561;SARAFERE;3
6573;SOUMPI;3
711;GAO CENTRAL;3
7123;DJEBOCK;3
7145;HAOUSSA FOULANE;3
7167;IN-TILLIT;3
7191;GAO;3
721;ANSONGO CENTRAL;3
7223;OUATAGOUNA;3
7245;TALATAYE;3
7267;TESSIT;3
731;BOUREM CENTRAL;3
7323;ALMOUSTARAT;3
7345;BAMBA;3
7367;TEMERA;3
741;MENAKA CENTRAL;3
7423;ANDERABOUKANE;3
7445;TINDARMENE;3
7467;WARITOUFOULOUT OU INEKAR;3
71;Gao;2
72;Ansongo;2
73;Bourem;2
74;Menaka;2
7;Gao;1
9;Bamako;1
91;Bamako;2
9191;Commune I;3
9192;Commune II;3
9193;Commune III;3
9194;Commune IV;3
9195;Commune V;3
9196;Commune VI;3
