position,name,type,isnumeric,format,vallab,varlab
1,ea_id,str8,0,%9s,,Unique EA Identifier
2,com_cg35a,str1,0,%9s,,Code of Events
3,com_cg35b,str109,0,%109s,,Description of Events
4,com_cg35c,byte,1,%6.0f,cg35b_code,CODE FOR EVENT
5,com_cg35c_oth,str70,0,%70s,,"Please, specify Other Good"
6,com_cg36,int,1,%6.0f,,In what year did this event occur?
7,com_cg37,byte,1,%6.0f,cg37,What share of the community was affected?
