"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02AQA","AS01Q01","AS01Q03","AS02AQ04","AS02AQ05","AS02AQ06A","AS02AQ06B","AS02AQ06C","AS02AQ06D","AS02AQ07A","AS02AQ07B","AS02AQ07C","AS02AQ07D","AS02AQB","AS02AQ01_02","AS02AQ03_02","AS02AQ08","AS02AQ09A","AS02AQ09B","AS02AQ09C","AS02AQ10A","AS02AQ10B","AS02AQ10C","AS02AQ11A","AS02AQ11B","AS02AQ11C","AS02AQ12A","AS02AQ12B","AS02AQ12C","AS02AQC","AS02AQ01_03","AS02AQ03_03","AS02AQ13A","AS02AQ13B","AS02AQ13C","AS02AQ14A","AS02AQ14B","AS02AQ14C","AS02AQ15A","AS02AQ15B","AS02AQ15C","AS02AQ16A","AS02AQ16B","AS02AQ16C","AS02AQD","AS02AQ01_04","AS02AQ03_04","AS02AQ17A","AS02AQ17B","AS02AQ18A","AS02AQ18B","AS02AQ19A","AS02AQ19B","AS02AQ20A","AS02AQ20B","AS02AQ21A","AS02AQ21B","AS02AQ22A","AS02AQ22B","AS02AQE","AS02AQ01_05","AS02AQ03_05","AS02AQ23A","AS02AQ23B","AS02AQ23C","AS02AQ23D","AS02AQ23E","AS02AQ24A","AS02AQ24B","AS02AQ24C","AS02AQ24D","AS02AQ24E","AS02AQ25","AS02AQ26","AS02AQ27","AS02AQ28","PrimaryLast"
1,12,1,0,2,1,2,1,350,1,1,20,1,2,,,,2,1,2,2,1,15,1,2,,,1,8,1,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,6,6,7,6,90,,,,,,,,2,1,2,2,,,,,1,1,0,0,1000,2,,2,,1
1,12,1,0,3,1,3,1,118,1,1,20,1,2,,,,3,1,3,1,1,15,1,2,,,1,8,1,2,,,3,1,3,2,,,2,,,2,,,2,,,3,1,3,6,6,7,6,90,,,,,,,,3,1,3,2,,,,,1,1,0,0,1000,2,,2,,1
1,12,1,0,4,1,4,2,,,,,,,,,,4,1,4,,,,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,,,,,1
1,12,1,0,5,2,1,2,,,,,,,,,,5,2,1,,,,,,,,,,,,,,5,2,1,,,,,,,,,,,,,5,2,1,,,,,,,,,,,,,5,2,1,,,,,,,,,,,,,,,1
1,12,2,0,1,1,1,1,2430,2,,,,2,,,,1,1,1,2,1,50,1,1,25,1,2,,,2,,,1,1,1,1,2,3,2,,,1,1,9,2,,,1,1,1,4,10,90,,,,,,,,,,1,1,1,1,1,0,0,8000,2,,,,,2,,2,,1
1,12,2,0,2,1,2,2,,,,,,,,,,2,1,2,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,1
1,12,3,0,1,1,1,1,288,2,,,,2,,,,1,1,1,1,1,10,1,2,,,1,5,1,2,,,1,1,1,1,2,3,2,,,2,,,2,,,1,1,1,1,5,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,12,3,0,2,1,2,1,1363,2,,,,2,,,,2,1,2,1,1,25,1,2,,,1,25,1,2,,,2,1,2,1,6,3,2,,,2,,,2,,,2,1,2,1,5,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,12,3,0,3,1,3,1,1122,2,,,,2,,,,3,1,3,1,1,25,1,2,,,1,20,1,2,,,3,1,3,1,6,3,2,,,2,,,2,,,3,1,3,1,5,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,2,,2,,1
1,12,3,0,4,1,4,2,,,,,,,,,,4,1,4,,,,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,,,,,1
1,12,7,0,1,1,1,1,0,2,,,,2,,,,1,1,1,2,1,2,2,2,,,2,,,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,1,5,1,5,90,,,,,,,,1,1,1,1,5,0,4,5800,2,,,,,2,,2,,1
1,12,7,0,2,1,2,1,0,2,,,,2,,,,2,1,2,2,1,2,2,2,,,2,,,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,8,5,8,5,90,,,,,,,,2,1,2,1,5,0,4,500,2,,,,,2,,2,,1
1,12,9,0,1,1,1,1,1954,1,1,10,1,2,,,,1,1,1,2,1,99,1,2,,,2,,,2,,,1,1,1,1,1,3,2,,,1,50,1,2,,,1,1,1,1,0,90,,,,,,,,,,1,1,1,2,,,,,1,2,0,0,2300,2,,2,,1
1,12,9,0,2,1,2,2,,,,,,,,,,2,1,2,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,1
1,12,10,0,1,1,1,1,1488,1,4,15,5,2,,,,1,1,1,2,1,99,1,2,,,1,50,1,2,,,1,1,1,1,2,3,2,,,2,,,2,,,1,1,1,1,0,90,,,,,,,,,,1,1,1,1,12,0,4,10000,2,,,,,2,,1,35000,1
1,12,10,0,2,1,2,2,,,,,,,,,,2,1,2,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,1
1,12,11,0,1,1,1,1,1155,1,1,1,2,2,,,,1,1,1,2,1,12,1,2,,,1,14,1,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,5,3,90,,,,,,,,,,1,1,1,2,,,,,1,2,0,0,2000,2,,2,,1
1,12,11,0,2,1,2,1,404,1,1,6,1,2,,,,2,1,2,2,1,6,1,2,,,1,7,1,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,5,3,90,,,,,,,,,,2,1,2,2,,,,,1,1,0,0,1000,2,,2,,1
1,12,12,0,1,1,1,1,0,2,,,,2,,,,1,1,1,2,1,25,1,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,1,5,0,0,5000,2,,,,,2,,2,,1
1,12,12,0,2,1,2,2,,,,,,,,,,2,1,2,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,1
1,12,13,0,1,1,1,1,1640,1,4,15,1,2,,,,1,1,1,2,1,1,1,2,,,1,10,1,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,11,6,6,12,6,90,90,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,12,13,0,2,1,2,1,211,1,4,15,1,2,,,,2,1,2,2,1,1,1,2,,,1,10,1,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,1,0,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,12,13,0,3,1,3,2,,,,,,,,,,3,1,3,,,,,,,,,,,,,,3,1,3,,,,,,,,,,,,,3,1,3,,,,,,,,,,,,,3,1,3,,,,,,,,,,,,,,,1
1,12,14,0,1,1,1,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1
1,12,14,0,2,1,2,1,2915,1,1,50,1,1,3,6,1,2,1,2,2,1,50,1,2,,,2,,,2,,,2,1,2,1,3,3,2,,,2,,,2,,,2,1,2,1,15,7,10,9,5,90,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,12,16,0,1,1,1,1,2067,1,1,5,1,2,,,,1,1,1,2,1,10,1,2,,,1,5,1,2,,,1,1,1,1,1,3,2,,,1,25,9,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,1,6,0,0,2000,2,,,,,2,,2,,1
1,12,16,0,2,1,2,2,,,,,,,,,,2,1,2,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,1
1,12,17,0,1,1,1,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1
1,12,17,0,2,1,2,1,5121,1,1,30,1,2,,,,2,1,2,2,1,50,1,2,,,2,,,2,,,2,1,2,2,,,1,2,3,2,,,2,,,2,1,2,1,60,90,,,,,,,,,,2,1,2,2,,,,,1,6,0,0,30000,2,,2,,1
