"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02AQA","AS01Q01","AS01Q03","AS02AQ04","AS02AQ05","AS02AQ06A","AS02AQ06B","AS02AQ06C","AS02AQ06D","AS02AQ07A","AS02AQ07B","AS02AQ07C","AS02AQ07D","AS02AQB","AS02AQ01_02","AS02AQ03_02","AS02AQ08","AS02AQ09A","AS02AQ09B","AS02AQ09C","AS02AQ10A","AS02AQ10B","AS02AQ10C","AS02AQ11A","AS02AQ11B","AS02AQ11C","AS02AQ12A","AS02AQ12B","AS02AQ12C","AS02AQC","AS02AQ01_03","AS02AQ03_03","AS02AQ13A","AS02AQ13B","AS02AQ13C","AS02AQ14A","AS02AQ14B","AS02AQ14C","AS02AQ15A","AS02AQ15B","AS02AQ15C","AS02AQ16A","AS02AQ16B","AS02AQ16C","AS02AQD","AS02AQ01_04","AS02AQ03_04","AS02AQ17A","AS02AQ17B","AS02AQ18A","AS02AQ18B","AS02AQ19A","AS02AQ19B","AS02AQ20A","AS02AQ20B","AS02AQ21A","AS02AQ21B","AS02AQ22A","AS02AQ22B","AS02AQE","AS02AQ01_05","AS02AQ03_05","AS02AQ23A","AS02AQ23B","AS02AQ23C","AS02AQ23D","AS02AQ23E","AS02AQ24A","AS02AQ24B","AS02AQ24C","AS02AQ24D","AS02AQ24E","AS02AQ25","AS02AQ26","AS02AQ27","AS02AQ28","PrimaryLast"
1,52,3,0,2,2,1,1,30000,2,,,,2,,,,2,2,1,2,2,,,1,25,1,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,10,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,52,4,0,1,1,1,1,8619,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,0,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,52,9,0,1,1,1,1,7237,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,9,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,53,1,0,1,1,1,1,21452,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,4,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,53,2,0,1,1,1,1,37674,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,0,90,,,,,,,,,,1,1,1,2,,,,,1,10,0,0,10000,2,,2,,1
1,53,3,0,1,1,1,1,10000,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,2,90,,,,,,,,,,1,1,1,1,1,0,0,1000,2,,,,,2,,2,,1
1,53,10,0,1,1,1,1,12340,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,2,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,53,12,0,1,1,1,1,10000,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,3,7,90,,,,,,,,1,1,1,1,1,0,0,1500,2,,,,,2,,2,,1
1,54,3,0,1,1,1,1,15000,2,,,,2,,,,1,1,1,2,2,,,2,,,1,6,3,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,4,7,8,10,9,10,10,10,11,90,1,1,1,2,,,,,2,,,,,2,,2,,1
1,54,3,0,2,1,2,1,15000,2,,,,2,,,,2,1,2,2,2,,,2,,,1,6,3,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,1,7,4,7,8,10,9,10,10,10,11,90,2,1,2,2,,,,,2,,,,,2,,2,,1
1,54,3,0,3,1,3,1,15000,2,,,,2,,,,3,1,3,2,2,,,2,,,1,6,3,2,,,3,1,3,2,,,2,,,2,,,2,,,3,1,3,1,7,4,7,8,10,9,10,10,10,11,90,3,1,3,2,,,,,2,,,,,2,,2,,1
1,55,3,0,1,1,1,1,0,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,1,0,4,0,1000,2,,,,,2,,2,,1
1,55,5,0,1,1,1,1,7104,1,4,30,4,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,15,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1,7000,1,0,1
1,55,5,0,2,2,1,1,4000,2,,,,2,,,,2,2,1,1,1,50,1,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,30,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,1,7000,2,,1
1,55,8,0,1,1,1,1,5000,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,55,8,0,2,1,2,1,3000,2,,,,2,,,,2,1,2,2,2,,,2,,,2,,,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,1,10,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,55,8,0,3,1,3,1,2000,2,,,,2,,,,3,1,3,2,2,,,2,,,2,,,2,,,3,1,3,2,,,2,,,2,,,2,,,3,1,3,1,10,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,2,,2,,1
1,55,9,0,1,1,1,1,20000,1,1,4,4,2,,,,1,1,1,1,2,,,2,,,1,25,1,1,8,3,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,90,90,,,,,,,,,,1,1,1,1,10,0,0,15000,1,7,0,0,7000,2,,1,20000,1
1,56,1,0,1,1,1,1,15000,1,1,50,4,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,25,2,2,,,2,,,2,,,1,1,1,1,30,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,56,2,0,1,1,1,1,15000,1,1,10,4,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,9,90,,,,,,,,,,1,1,1,1,4,0,3,1500,2,,,,,1,0,1,0,1
1,56,2,0,2,1,2,1,10000,1,1,6,4,2,,,,2,1,2,2,2,,,2,,,2,,,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,1,7,90,,,,,,,,,,2,1,2,1,5,0,2,1900,2,,,,,1,0,1,0,1
1,56,2,0,3,2,1,1,10000,1,1,3,4,2,,,,3,2,1,1,1,10,1,2,,,2,,,2,,,3,2,1,2,,,2,,,2,,,2,,,3,2,1,1,15,90,,,,,,,,,,3,2,1,1,2,0,2,300,2,,,,,1,0,1,0,1
1,56,2,0,4,2,2,1,10000,1,1,15,4,2,,,,4,2,2,2,2,,,2,,,2,,,2,,,4,2,2,2,,,2,,,2,,,2,,,4,2,2,1,6,90,,,,,,,,,,4,2,2,1,2,0,2,600,2,,,,,1,0,1,0,1
1,56,2,0,5,3,1,1,10000,1,1,13,4,2,,,,5,3,1,1,1,10,1,2,,,2,,,2,,,5,3,1,1,4,3,2,,,2,,,2,,,5,3,1,1,11,90,,,,,,,,,,5,3,1,1,3,0,3,500,2,,,,,1,0,1,0,1
1,56,2,0,6,4,1,1,124757,1,1,12,4,2,,,,6,4,1,1,1,10,1,2,,,2,,,2,,,6,4,1,2,,,2,,,2,,,2,,,6,4,1,1,10,90,,,,,,,,,,6,4,1,1,1,0,1,500,2,,,,,1,0,1,0,1
1,56,2,0,7,5,1,1,665823,1,1,2,4,2,,,,7,5,1,1,1,10,1,2,,,2,,,2,,,7,5,1,2,,,2,,,2,,,2,,,7,5,1,1,8,90,,,,,,,,,,7,5,1,1,3,0,0,700,2,,,,,1,0,1,0,1
1,56,2,0,8,6,1,1,15000,1,1,8,4,2,,,,8,6,1,1,1,10,1,2,,,2,,,2,,,8,6,1,2,,,2,,,2,,,2,,,8,6,1,1,10,90,,,,,,,,,,8,6,1,1,2,0,0,700,2,,,,,1,0,1,0,1
1,56,2,0,9,7,1,1,119760,1,1,6,4,2,,,,9,7,1,1,1,10,1,2,,,2,,,2,,,9,7,1,2,,,2,,,2,,,2,,,9,7,1,1,15,90,,,,,,,,,,9,7,1,1,4,0,1,1300,2,,,,,1,0,1,0,1
1,56,3,0,1,1,1,1,0,1,1,50,4,2,,,,1,1,1,1,1,50,1,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,60,90,,,,,,,,,,1,1,1,1,30,0,0,0,2,,,,,2,,2,,1
1,56,4,0,1,1,1,1,60000,1,1,50,4,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,1,17,0,0,0,2,,,,,2,,1,0,1
1,56,5,0,1,1,1,1,10000,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,1,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,56,5,0,2,2,1,1,10000,2,,,,2,,,,2,2,1,1,1,25,1,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,1,5,2,6,2,10,2,90,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,56,5,0,3,2,2,1,10000,2,,,,2,,,,3,2,2,2,1,25,1,2,,,2,,,2,,,3,2,2,2,,,2,,,2,,,2,,,3,2,2,1,1,5,2,6,2,10,2,90,,,,3,2,2,2,,,,,2,,,,,2,,2,,1
1,56,5,0,4,3,1,1,10000,2,,,,2,,,,4,3,1,1,1,50,1,2,,,2,,,2,,,4,3,1,2,,,2,,,2,,,2,,,4,3,1,2,1,1,3,6,3,10,3,90,,,,4,3,1,2,,,,,2,,,,,2,,2,,1
1,56,6,0,1,1,1,1,115154,2,,,,2,,,,1,1,1,1,1,50,1,1,50,1,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,15,90,,,,,,,,,,1,1,1,2,,,,,1,20,0,0,30000,1,25000,2,,1
1,56,6,0,2,2,1,1,20000,2,,,,2,,,,2,2,1,1,1,50,1,1,50,1,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,7,90,,,,,,,,,,2,2,1,2,,,,,1,22,0,0,33000,1,25000,2,,1
1,56,11,0,1,1,1,1,10000,1,1,30,4,2,,,,1,1,1,1,1,50,1,1,10,4,1,20,4,1,15,3,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,4,10,6,10,12,7,90,,,,1,1,1,1,15,0,0,20000,2,,,,,1,0,1,15000,1
1,57,1,0,1,1,1,1,30000,1,1,30,2,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,1,2,9,1,1,1,1,7,10,7,11,7,90,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,1,0,2,2,1,1,50317,2,,,,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,20,10,20,11,20,90,,,,,,2,2,1,2,,,,,1,28,0,0,2800,2,,2,,1
1,57,1,0,3,3,1,1,10000,2,,,,2,,,,3,3,1,2,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,1,14,10,14,11,14,90,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,57,1,0,4,4,1,1,8000,2,,,,2,,,,4,4,1,2,2,,,2,,,2,,,2,,,4,4,1,2,,,2,,,2,,,2,,,4,4,1,1,0,90,,,,,,,,,,4,4,1,2,,,,,2,,,,,2,,2,,1
1,57,2,0,1,1,1,1,6544,1,1,10,4,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,8,4,90,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,2,0,2,2,1,1,21095,1,1,9,4,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,7,8,2,90,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,2,0,3,3,1,1,30000,1,1,6,4,2,,,,3,3,1,2,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,1,7,8,4,90,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,57,3,0,1,1,1,1,5000,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,7,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,3,0,2,2,1,1,5000,2,,,,2,,,,2,2,1,1,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,2,7,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,3,0,3,3,1,1,9767,1,4,10,4,2,,,,3,3,1,2,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,2,7,90,,,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,57,3,0,4,4,1,1,5351,1,4,10,4,2,,,,4,4,1,2,2,,,2,,,2,,,2,,,4,4,1,2,,,2,,,2,,,2,,,4,4,1,2,7,90,,,,,,,,,,4,4,1,2,,,,,2,,,,,2,,2,,1
1,57,5,0,1,1,1,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1
1,57,5,0,2,2,1,1,33605,2,,,,2,,,,2,2,1,1,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,10,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,5,0,3,2,2,1,8314,2,,,,2,,,,3,2,2,1,2,,,2,,,2,,,2,,,3,2,2,2,,,2,,,2,,,2,,,3,2,2,1,4,90,,,,,,,,,,3,2,2,2,,,,,2,,,,,2,,2,,1
1,57,6,0,1,1,1,1,56219,2,,,,2,,,,1,1,1,1,1,1,1,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,1,2,9,1,1,1,1,7,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,6,0,2,1,2,1,5000,2,,,,2,,,,2,1,2,2,2,,,2,,,2,,,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,1,0,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,57,6,0,3,2,1,1,10520,2,,,,2,,,,3,2,1,1,1,1,1,2,,,2,,,2,,,3,2,1,2,,,2,,,2,,,1,2,9,3,2,1,1,14,90,,,,,,,,,,3,2,1,2,,,,,2,,,,,2,,2,,1
1,57,6,0,4,3,1,1,3792,2,,,,2,,,,4,3,1,1,1,1,1,2,,,2,,,2,,,4,3,1,2,,,2,,,2,,,1,2,9,4,3,1,1,1,90,,,,,,,,,,4,3,1,2,,,,,2,,,,,2,,2,,1
1,57,7,0,1,1,1,1,10000,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,5,7,90,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,7,0,2,2,1,1,54106,2,,,,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,5,10,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,8,0,1,1,1,1,29891,2,,,,2,,,,1,1,1,1,2,,,2,,,1,5,1,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,5,4,90,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,8,0,2,2,1,1,17560,2,,,,2,,,,2,2,1,1,2,,,2,,,1,5,1,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,2,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,8,0,3,2,2,1,1000,2,,,,2,,,,3,2,2,2,2,,,2,,,2,,,2,,,3,2,2,2,,,2,,,2,,,2,,,3,2,2,1,1,90,,,,,,,,,,3,2,2,2,,,,,2,,,,,2,,2,,1
1,57,10,0,1,1,1,1,14212,1,1,20,4,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,5,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,10,0,2,2,1,1,67105,2,,,,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,5,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,11,0,1,1,1,1,7329,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,5,7,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,1,10000,1
1,57,11,0,2,2,1,1,10000,2,,,,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,5,7,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,12,0,1,1,1,1,8543,1,4,4,4,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,2,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,12,0,2,2,1,1,10000,2,,,,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,3,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,12,0,3,3,1,1,10000,2,,,,2,,,,3,3,1,2,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,1,2,90,,,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,57,13,1,1,1,1,1,10000,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,14,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,13,1,2,2,1,1,10617,2,,,,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,2,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,14,0,1,1,1,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1
1,57,14,0,2,2,1,1,10187,2,,,,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,2,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,14,0,3,3,1,1,17213,2,,,,2,,,,3,3,1,2,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,1,2,90,,,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,57,16,0,1,1,1,1,13683,1,1,30,1,2,,,,1,1,1,2,2,,,2,,,1,4,1,2,,,1,1,1,2,,,2,,,2,,,1,5,9,1,1,1,2,7,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,16,0,2,2,1,1,6000,2,,,,2,,,,2,2,1,2,2,,,2,,,1,4,1,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,2,30,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,57,16,0,3,3,1,1,25000,2,,,,2,,,,3,3,1,2,2,,,2,,,1,4,1,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,2,7,90,,,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,57,16,0,4,4,1,1,5000,2,,,,2,,,,4,4,1,2,2,,,2,,,1,4,1,2,,,4,4,1,2,,,2,,,2,,,2,,,4,4,1,2,14,90,,,,,,,,,,4,4,1,2,,,,,2,,,,,2,,2,,1
1,57,17,0,1,1,1,1,9298,1,1,30,1,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,57,18,0,1,1,1,1,8906,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,4,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,58,1,0,1,1,1,1,10572,1,1,10,4,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,1,5,0,0,2500,2,,2,,1
1,58,1,0,2,2,1,1,9733,1,1,20,4,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,6,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,58,1,0,3,3,1,1,4867,1,1,10,4,2,,,,3,3,1,2,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,1,2,90,,,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,58,1,0,4,4,1,1,2634,2,,,,2,,,,4,4,1,2,2,,,2,,,2,,,2,,,4,4,1,2,,,2,,,2,,,2,,,4,4,1,1,13,90,,,,,,,,,,4,4,1,2,,,,,2,,,,,2,,2,,1
1,58,2,0,1,1,1,1,22347,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,7,7,6,7,90,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,58,2,0,2,2,1,2,,,,,,,,,,2,2,1,,,,,,,,,,,,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,7,0,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,58,2,0,3,3,1,1,20000,1,4,30,2,2,,,,3,3,1,2,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,2,,,3,3,1,3,2,6,2,90,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,58,4,0,1,1,1,1,24122,1,4,30,1,2,,,,1,1,1,2,1,1,2,1,1,1,2,,,2,,,1,1,1,1,1,2,2,,,2,,,2,,,1,1,1,6,11,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,58,4,0,2,2,1,1,10000,2,,,,2,,,,2,2,1,2,2,,,1,1,1,2,,,2,,,2,2,1,1,1,2,2,,,2,,,2,,,2,2,1,6,12,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,58,4,0,3,3,1,1,10000,2,,,,2,,,,3,3,1,2,2,,,1,1,1,2,,,2,,,3,3,1,1,1,2,2,,,2,,,2,,,3,3,1,6,4,90,,,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,58,4,0,4,4,1,1,10000,2,,,,2,,,,4,4,1,2,2,,,1,1,1,2,,,2,,,4,4,1,1,1,2,2,,,2,,,2,,,4,4,1,6,2,90,,,,,,,,,,4,4,1,2,,,,,2,,,,,2,,2,,1
1,58,4,0,5,5,1,1,10000,2,,,,2,,,,5,5,1,2,2,,,1,1,1,2,,,2,,,5,5,1,1,1,2,2,,,2,,,2,,,5,5,1,6,0,90,,,,,,,,,,5,5,1,2,,,,,2,,,,,2,,2,,1
1,58,5,0,1,1,1,1,21453,1,1,10,4,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,1,2,9,1,1,1,1,5,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,58,5,0,2,2,1,1,20000,2,,,,2,,,,2,2,1,1,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,1,3,9,2,2,1,1,7,1,7,90,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,58,5,0,3,2,2,1,10000,2,,,,2,,,,3,2,2,2,2,,,2,,,2,,,2,,,3,2,2,2,,,2,,,2,,,2,,,3,2,2,1,0,90,,,,,,,,,,3,2,2,2,,,,,2,,,,,2,,2,,1
1,58,5,0,4,3,1,2,,,,,,,,,,4,3,1,,,,,,,,,,,,,,4,3,1,,,,,,,,,,,,,4,3,1,,,,,,,,,,,,,4,3,1,,,,,,,,,,,,,,,1
1,58,6,0,1,1,1,1,15312,1,1,10,4,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,58,6,0,2,2,1,1,54129,1,1,30,4,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,5,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,58,7,0,1,1,1,1,26460,1,1,10,4,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,58,7,0,2,2,1,1,9172,1,1,10,4,2,,,,2,2,1,2,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,5,90,,,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,58,8,0,1,1,1,1,13781,1,4,60,4,2,,,,1,1,1,2,2,,,2,,,1,3,2,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,2,,,,,1,1,0,0,20000,2,,2,,1
1,58,8,0,2,2,1,1,21465,2,,,,2,,,,2,2,1,2,2,,,2,,,1,3,2,2,,,2,2,1,2,,,2,,,2,,,2,,,2,2,1,1,7,90,,,,,,,,,,2,2,1,2,,,,,1,1,0,0,20000,2,,2,,1
1,58,9,0,1,1,1,1,32537,2,,,,2,,,,1,1,1,1,2,,,2,,,1,5,1,2,,,1,1,1,2,,,2,,,2,,,1,1,9,1,1,1,1,7,3,7,90,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,58,9,0,2,2,1,1,42412,2,,,,2,,,,2,2,1,1,2,,,2,,,2,,,2,,,2,2,1,2,,,2,,,2,,,1,1,9,2,2,1,1,8,3,8,90,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,58,9,0,3,3,1,1,14064,2,,,,2,,,,3,3,1,1,2,,,2,,,2,,,2,,,3,3,1,2,,,2,,,2,,,1,1,9,3,3,1,1,0,90,,,,,,,,,,3,3,1,2,,,,,2,,,,,2,,2,,1
1,58,9,0,4,4,1,1,20000,2,,,,2,,,,4,4,1,1,2,,,2,,,2,,,2,,,4,4,1,2,,,2,,,2,,,1,1,9,4,4,1,1,3,3,3,90,,,,,,,,4,4,1,2,,,,,2,,,,,2,,2,,1
1,58,9,0,5,5,1,1,5000,2,,,,2,,,,5,5,1,1,2,,,2,,,2,,,2,,,5,5,1,2,,,2,,,2,,,2,,,5,5,1,2,7,3,7,90,,,,,,,,5,5,1,2,,,,,2,,,,,2,,2,,1
