"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01BQ00","AS01Q01","AS01Q03","AS02BQ04","AS02BQ05","AS02BQ06","AS02BQ07","AS02BQ08","AS02BQ09","AS02BQ10","AS02BQ11","AS02BQ12","AS02BQ13A","AS02BQ13B","AS02BQ14","AS02BQ15A","AS02BQ15B","PrimaryLast","PrimaryLast1"
1,12,16,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,12,17,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,12,17,0,2,1,2,1,"OIGNON",33,1,0,2,3,7,2,,,1,"0",29,1,1
1,13,1,0,1,1,1,1,"OIGNON",33,1,91,1,3,7,2,,,2,,,1,1
1,13,1,0,2,1,2,1,"OIGNON",33,1,1164,1,3,7,2,,,2,,,1,1
1,13,1,0,3,1,3,1,"OIGNON",33,1,1178,1,3,7,2,,,2,,,1,1
1,13,1,0,5,1,4,1,"SORGHO",2,2,1334,1,3,7,2,,,2,,,1,1
1,13,1,0,4,1,4,1,"NIEBE",8,2,1334,1,3,7,2,,,2,,,1,1
1,13,1,0,6,1,4,1,"GOMBO",11,2,1334,1,3,7,2,,,2,,,1,1
1,13,3,0,1,1,1,1,"OIGNON",33,1,3911,1,6,7,2,,,1,"LAITUE",27,1,1
1,13,4,0,1,1,1,1,"OIGNON",33,1,1346,3,2,8,2,,,2,,,1,1
1,13,4,0,2,2,1,1,"OIGNON",33,1,205,1,4,8,2,,,2,,,1,1
1,13,4,0,4,2,2,1,"MAIS",4,2,73,1,3,7,2,,,2,,,1,1
1,13,4,0,3,2,2,1,"NIEBE",8,2,73,1,3,7,2,,,2,,,1,1
1,13,4,0,5,2,2,1,"COURGE",35,2,73,1,3,7,2,,,2,,,1,1
1,13,5,0,1,1,1,1,"OIGNON",33,1,6340,1,6,8,2,,,1,"TOMATE",29,1,1
1,13,6,0,1,1,1,1,"OIGNON",33,1,1894,1,5,8,2,,,1,"BLE",6,1,1
1,13,7,0,1,1,1,1,"OIGNON",33,1,3337,1,5,8,2,,,1,"SORGHO",2,1,1
1,13,10,0,1,1,1,1,"OIGNON",33,1,535,1,5,7,2,,,2,,,1,1
1,13,10,0,2,1,2,1,"OSEILLE",12,2,172,1,5,7,2,,,2,,,1,1
1,13,10,0,3,1,2,1,"LAITUE",27,2,172,1,5,7,2,,,2,,,1,1
1,13,12,0,1,1,1,1,"OIGNON",33,1,2713,3,2,7,2,,,1,"SORGHO",2,1,1
1,13,12,0,2,1,2,1,"OIGNON",33,1,414,3,2,7,2,,,1,"SORGHO",2,1,1
1,13,12,0,3,1,3,1,"LAITUE",27,1,216,3,2,7,2,,,1,"BLE",6,1,1
1,13,14,0,1,1,1,1,"OIGNON",33,1,2746,1,4,8,2,,,1,"MAIS",4,1,1
1,13,14,0,5,1,2,1,"MELON",25,2,536,1,4,8,2,,,1,"COURGE",35,1,1
1,13,14,0,3,1,2,1,"SALADE",27,2,536,1,6,8,2,,,1,"CHOU",28,1,1
1,13,14,0,2,1,2,1,"HARICOT",37,2,536,1,6,8,2,,,1,"OSEILLE",12,1,1
1,13,14,0,4,1,2,1,"BETERAVE",44,2,536,1,4,8,2,,,1,"OIGNON",33,1,1
1,13,14,0,7,1,3,1,"GOMBO",11,2,723,1,6,8,2,,,1,"OSEILLE",12,1,1
1,13,14,0,6,1,3,1,"SALADE",27,2,723,1,4,8,2,,,1,"COURGE",35,1,1
1,13,14,0,8,1,3,1,"MORINGA",48,2,723,1,5,8,2,,,1,"BLE",6,1,1
1,13,14,2,1,1,1,1,"OIGNON",33,1,3724,1,3,7,2,,,2,,,1,1
