"PASSAGE","GRAPPE","MENAGE","EXTENSION","MS00Q01","MS00Q02","MS00Q03A","MS00Q03B","MS00Q04A","MS00Q04B","MS00Q05","MS00Q06","MS00Q07","MS00Q08","MS00Q09","MS00Q10","MS00Q11","MS00Q12","MS00Q14","MS00Q15","MS00Q16","MS00Q17","MS00Q22","MS00Q23","MS00Q24","MS00Q25","MS00Q26","MS00Q59","MS00Q60","MS00Q61"
1,4,4,0,10,1,11102014,807,11102014,1004,1,1,11102014,10,11102014,1,11,1190,51,2,92,1,6,1,0,1,1,2,2,2
1,4,5,0,10,1,10092014,805,10092014,1212,1,1,11102014,10,11102014,1,11,1190,51,2,99,1,9,2,1,1,1,2,2,2
1,4,6,0,10,3,10102014,1615,10102014,2000,1,1,11102014,10,11102014,1,11,1190,51,2,119,1,3,1,0,1,1,2,2,2
1,4,9,0,10,2,10102014,830,11102014,900,1,1,11102014,10,11102014,1,11,1190,51,2,271,1,10,1,2,1,1,2,2,2
1,4,10,0,10,2,10102014,1630,10102014,1905,1,1,11102014,10,11102014,1,11,1190,51,2,412,1,6,1,2,1,1,2,2,2
1,4,11,0,10,2,11102014,931,11102014,1350,1,1,11102014,10,12102014,1,11,1190,51,2,458,1,9,0,0,1,1,2,2,2
1,4,12,0,10,3,11102014,810,11102014,1205,1,1,11102014,10,11102014,1,11,1190,51,2,481,1,8,1,1,1,1,2,2,2
1,5,2,0,10,1,17092014,738,17092014,1207,1,1,17092014,10,18092014,1,12,1295,8,2,6,1,15,9,0,1,1,2,2,2
1,5,3,0,10,1,17092014,1610,17092014,1906,1,1,18092014,10,18092014,1,12,1295,8,2,44,1,9,3,2,1,1,2,2,2
1,5,4,0,10,1,16092014,1548,16092014,2004,1,1,17092014,10,17092014,1,12,1295,8,2,49,1,6,2,0,1,1,2,2,2
1,5,6,0,10,2,17092014,1630,18092014,840,1,1,19092014,10,19092014,1,12,1295,8,2,69,1,20,5,2,2,1,2,2,2
1,5,7,0,10,2,16092014,1630,17092014,1540,1,1,17092014,10,18092014,1,12,1295,8,2,105,1,10,3,1,1,1,2,2,2
1,5,9,0,10,2,18092014,1630,20092014,1710,1,1,21092014,10,21092014,1,12,1295,8,2,194,2,3,1,1,1,1,2,2,2
1,5,11,0,10,3,18092014,1035,18092014,1520,1,1,18092014,10,8092014,1,12,1295,8,2,142,1,4,1,2,1,1,2,2,2
1,5,12,0,10,3,17092014,800,17092014,1320,1,1,17092014,10,18092014,1,12,1295,8,2,145,1,6,2,0,1,1,2,2,2
1,6,1,0,10,1,14092014,1610,15092014,1109,1,1,15092014,10,16092014,1,12,1295,26,2,24,1,5,1,1,1,1,2,2,2
