"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02AQA","AS02AQ01","AS02AQ03","AS02AQ04","AS02AQ28A","AS02AQ28B","AS02AQ29A","AS02AQ29B","AS02AQ30A","AS02AQ30B","AS02AQ31A","AS02AQ31B","AS02AQ32A","AS02AQ32B","AS02AQ33A","AS02AQ33B","AS02AQE","AS02AQ01_05","AS02AQ03_05","AS02AQ34A","AS02AQ34B","AS02AQ34C","AS02AQ34D","AS02AQ34E","AS02AQ35A","AS02AQ35B","AS02AQ35C","AS02AQ35D","AS02AQ35E","AS02AQF","AS02AQ01_06","AS02AQ03_06","AS02AQ36A","AS02AQ36B","AS02AQ37A","AS02AQ37B","AS02AQ38A","AS02AQ38B","AS02AQ39A","AS02AQ39B","AS02AQ40A","AS02AQ40B","AS02AQ41A","AS02AQ41B","AS02AQG","AS02AQ01_07","AS02AQ03_07","AS02AQ42A","AS02AQ42B","AS02AQ42C","AS02AQ42D","AS02AQ42E","AS02AQ43A","AS02AQ43B","AS02AQ43C","AS02AQ43D","AS02AQ43E","PrimaryLast"
2,12,3,0,4,1,4,2,,,,,,,,,,,,,4,1,4,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,1
2,12,3,0,2,1,2,1,1,70,9,40,2,30,90,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,7,2,3,9,4,90,,,,,,2,1,2,2,,,,,2,,,,,1
2,12,3,0,3,1,3,1,1,70,9,40,2,30,90,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,7,2,3,9,4,90,,,,,,3,1,3,2,,,,,2,,,,,1
2,12,7,0,3,2,1,2,,,,,,,,,,,,,3,2,1,,,,,,,,,,,3,2,1,,,,,,,,,,,,,3,2,1,,,,,,,,,,,1
2,12,7,0,1,1,1,1,1,90,8,70,90,,,,,,,,1,1,1,2,,,,,1,1,0,0,70000,1,1,1,1,5,8,1,90,,,,,,,,1,1,1,2,,,,,1,10,0,0,12500,1
2,12,7,0,2,1,2,1,1,63,8,3,90,,,,,,,,2,1,2,2,,,,,1,1,0,0,2000,2,1,2,1,5,8,1,90,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,12,9,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,12,9,0,1,1,1,1,6,70,1,40,90,,,,,,,,1,1,1,1,10,0,0,15000,1,30,0,0,45000,1,1,1,6,3,90,,,,,,,,,,1,1,1,2,,,,,1,4,4,0,14000,1
2,12,10,0,1,1,1,1,1,99,6,99,7,99,90,,,,,,1,1,1,1,6,0,0,5000,1,21,0,0,31500,1,1,1,1,3,6,3,7,3,90,,,,,,1,1,1,2,,,,,2,,,,,1
2,12,10,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,12,11,0,1,1,1,1,1,47,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,6,2,5,90,,,,,,,,1,1,1,1,3,4,0,20000,1,5,4,0,15000,1
2,12,11,0,2,1,2,1,1,42,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,7,2,4,90,,,,,,,,2,1,2,2,,,,,1,6,3,0,15000,1
2,12,12,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,12,12,0,1,1,1,1,1,60,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,0,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,12,13,0,3,1,3,2,,,,,,,,,,,,,3,1,3,,,,,,,,,,,3,1,3,,,,,,,,,,,,,3,1,3,,,,,,,,,,,1
2,12,13,0,2,1,2,1,1,60,8,60,90,,,,,,,,2,1,2,1,14,0,0,21000,2,,,,,2,1,2,1,6,8,6,90,,,,,,,,2,1,2,1,7,0,0,3000,1,14,0,0,18000,1
2,12,13,0,1,1,1,1,1,60,8,60,90,,,,,,,,1,1,1,1,14,0,0,21000,2,,,,,1,1,1,1,6,8,6,90,,,,,,,,1,1,1,1,7,0,0,3000,1,14,0,0,18000,1
2,12,14,0,1,1,1,2,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1
2,12,14,0,2,1,2,1,1,99,2,12,8,99,10,99,90,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,7,2,7,8,7,10,7,90,,,,2,1,2,2,,,,,2,,,,,1
2,12,14,0,3,1,3,1,1,99,2,99,8,99,10,99,90,,,,3,1,3,2,,,,,2,,,,,3,1,3,5,15,2,15,8,15,10,15,90,,,,3,1,3,2,,,,,2,,,,,1
2,12,16,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,12,16,0,1,1,1,1,1,30,90,,,,,,,,,,1,1,1,1,1,1,1,20000,2,,,,,1,1,1,1,6,2,6,90,,,,,,,,1,1,1,2,,,,,1,6,0,0,13500,1
2,12,17,0,1,1,1,2,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1
2,12,17,0,2,1,2,1,1,99,2,99,8,99,9,99,90,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,7,2,7,8,7,9,7,90,,,,2,1,2,2,,,,,2,,,,,1
2,13,1,0,6,1,4,1,1,7,7,7,90,,,,,,,,6,1,4,2,,,,,2,,,,,6,1,4,1,7,7,7,90,,,,,,,,6,1,4,2,,,,,2,,,,,1
2,13,1,0,1,1,1,1,1,7,7,7,90,,,,,,,,1,1,1,2,,,,,1,14,0,0,14000,1,1,1,1,7,7,7,90,,,,,,,,1,1,1,2,,,,,1,6,0,0,12000,1
2,13,1,0,3,1,3,1,1,7,7,7,90,,,,,,,,3,1,3,2,,,,,1,10,0,0,10000,3,1,3,1,7,7,7,90,,,,,,,,3,1,3,2,,,,,1,4,0,0,8000,1
2,13,1,0,2,1,2,1,1,7,7,7,90,,,,,,,,2,1,2,2,,,,,1,6,0,0,6000,2,1,2,1,7,7,7,90,,,,,,,,2,1,2,2,,,,,1,4,0,0,8000,1
2,13,3,0,1,1,1,1,1,60,90,,,,,,,,,,1,1,1,2,,,,,1,1,0,0,7500,1,1,1,1,5,90,,,,,,,,,,1,1,1,2,,,,,1,3,0,0,22500,1
2,13,4,0,2,2,1,1,1,7,8,7,90,,,,,,,,2,2,1,2,,,,,1,8,0,0,8000,2,2,1,1,7,8,7,90,,,,,,,,2,2,1,2,,,,,2,,,,,1
2,13,4,0,1,1,1,1,1,7,8,7,6,7,4,7,90,,,,1,1,1,2,,,,,1,16,10,0,26000,1,1,1,1,7,8,7,6,7,4,7,90,,,,1,1,1,2,,,,,2,,,,,1
2,13,4,0,3,2,2,1,1,7,8,7,7,7,4,7,90,,,,3,2,2,2,,,,,1,6,0,0,12000,3,2,2,1,7,8,7,7,7,4,7,90,,,,3,2,2,2,,,,,2,,,,,1
2,13,5,0,1,1,1,1,1,7,90,,,,,,,,,,1,1,1,2,,,,,1,3,10,0,14000,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,1,1,0,0,15000,1
2,13,6,0,1,1,1,1,1,7,7,5,6,3,90,,,,,,1,1,1,2,,,,,1,10,0,0,20000,1,1,1,1,7,6,5,10,2,90,,,,,,1,1,1,1,10,0,0,20000,2,,,,,1
2,13,7,0,1,1,1,1,1,30,8,30,90,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,4,8,4,90,,,,,,,,1,1,1,2,,,,,1,2,4,0,30000,1
2,13,7,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,13,10,0,2,1,2,1,1,7,5,3,90,,,,,,,,2,1,2,1,4,0,0,3000,2,,,,,2,1,2,1,7,5,3,90,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,13,10,0,1,1,1,1,1,7,5,3,90,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,7,5,3,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,13,12,0,3,1,3,1,1,1,4,1,90,,,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,10,3,10,4,10,90,,,,,,3,1,3,2,,,,,2,,,,,1
2,13,12,0,1,1,1,1,1,20,4,20,90,,,,,,,,1,1,1,1,6,6,4,7000,1,2,0,2,8000,1,1,1,1,10,3,10,4,10,90,,,,,,1,1,1,1,3,10,2,9250,2,,,,,1
2,13,12,0,2,1,2,1,1,20,4,20,90,,,,,,,,2,1,2,1,6,6,4,7000,1,2,0,2,8000,2,1,2,1,10,3,10,4,10,90,,,,,,2,1,2,1,3,10,2,9250,2,,,,,1
2,13,14,0,2,1,2,1,1,45,4,45,5,45,90,,,,,,2,1,2,2,,,,,1,1,0,0,30000,2,1,2,1,15,90,,,,,,,,,,2,1,2,2,,,,,1,1,0,0,7000,1
2,13,14,0,3,1,3,1,1,60,4,50,5,30,90,,,,,,3,1,3,2,,,,,1,1,0,0,42000,3,1,3,1,30,90,,,,,,,,,,3,1,3,2,,,,,1,1,0,0,14000,1
2,13,14,0,1,1,1,1,1,40,4,40,5,40,90,,,,,,1,1,1,2,,,,,1,1,0,0,28000,1,1,1,1,3,4,3,5,3,90,,,,,,1,1,1,2,,,,,1,2,3,0,30500,1
2,13,14,2,2,2,1,1,1,30,90,,,,,,,,,,2,2,1,2,,,,,1,4,6,0,19000,2,2,1,1,9,90,,,,,,,,,,2,2,1,2,,,,,1,14,6,0,20000,1
2,13,14,2,1,1,1,1,1,30,90,,,,,,,,,,1,1,1,2,,,,,1,4,6,0,19000,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,1,14,6,0,24000,1
2,13,17,0,1,1,1,1,1,7,7,7,90,,,,,,,,1,1,1,2,,,,,1,10,0,0,10000,1,1,1,1,7,7,7,90,,,,,,,,1,1,1,2,,,,,1,8,12,0,40000,1
2,14,1,0,2,1,2,1,1,90,6,90,7,90,90,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,8,6,8,7,8,90,,,,,,2,1,2,2,,,,,2,,,,,1
2,14,1,0,1,1,1,1,1,90,6,90,7,90,90,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,10,6,10,7,10,90,,,,,,1,1,1,2,,,,,2,,,,,1
2,14,1,0,4,1,4,2,,,,,,,,,,,,,4,1,4,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,1
2,14,1,0,3,1,3,1,1,90,6,90,7,90,90,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,5,6,5,7,5,90,,,,,,3,1,3,2,,,,,2,,,,,1
2,14,5,0,1,1,1,1,9,47,1,29,90,,,,,,,,1,1,1,2,,,,,1,3,0,0,15000,1,1,1,9,47,1,29,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,14,5,0,3,1,3,2,,,,,,,,,,,,,3,1,3,,,,,,,,,,,3,1,3,,,,,,,,,,,,,3,1,3,,,,,,,,,,,1
2,14,5,0,2,1,2,1,9,47,1,29,90,,,,,,,,2,1,2,2,,,,,1,3,0,0,15000,2,1,2,9,47,1,29,90,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,14,6,0,3,1,3,1,1,30,10,30,90,,,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,5,10,0,90,,,,,,,,3,1,3,2,,,,,2,,,,,1
2,14,6,0,2,1,2,1,1,30,10,30,90,,,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,5,10,5,90,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,14,6,0,4,1,4,1,1,30,10,30,90,,,,,,,,4,1,4,2,,,,,2,,,,,4,1,4,1,6,10,6,90,,,,,,,,4,1,4,2,,,,,2,,,,,1
2,14,6,0,1,1,1,2,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1
2,14,7,0,1,1,1,1,4,90,7,90,1,40,90,,,,,,1,1,1,1,18,6,0,10000,1,4,0,0,4000,1,1,1,1,20,4,20,7,20,90,,,,,,1,1,1,2,,,,,2,,,,,1
2,14,7,0,3,3,3,2,,,,,,,,,,,,,3,3,3,,,,,,,,,,,3,3,3,,,,,,,,,,,,,3,3,3,,,,,,,,,,,1
2,14,7,0,2,2,1,1,4,90,7,90,1,40,90,,,,,,2,2,1,1,18,6,0,10000,1,4,0,0,4000,2,2,1,1,15,4,15,7,15,90,,,,,,2,2,1,2,,,,,2,,,,,1
2,14,9,0,2,1,2,1,2,30,1,7,90,,,,,,,,2,1,2,1,5,0,0,7500,2,,,,,2,1,2,2,4,1,7,90,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,14,9,0,3,1,3,1,2,30,1,7,90,,,,,,,,3,1,3,1,5,0,0,7500,2,,,,,3,1,3,2,4,1,7,90,,,,,,,,3,1,3,2,,,,,2,,,,,1
2,14,9,0,1,1,1,1,2,30,1,7,90,,,,,,,,1,1,1,1,5,0,0,7500,2,,,,,1,1,1,2,4,1,4,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,14,13,0,4,1,4,1,1,7,6,7,90,,,,,,,,4,1,4,2,,,,,2,,,,,4,1,4,1,2,6,2,90,,,,,,,,4,1,4,2,,,,,2,,,,,1
2,14,13,0,2,1,2,1,1,7,6,7,90,,,,,,,,2,1,2,1,3,0,0,0,2,,,,,2,1,2,1,17,6,4,90,,,,,,,,2,1,2,1,7,0,1,18000,2,,,,,1
2,14,13,0,5,1,5,1,1,7,6,7,90,,,,,,,,5,1,5,2,,,,,2,,,,,5,1,5,1,3,6,3,90,,,,,,,,5,1,5,2,,,,,2,,,,,1
2,14,13,0,1,1,1,1,1,7,6,7,90,,,,,,,,1,1,1,1,3,0,0,0,2,,,,,1,1,1,1,4,6,4,90,,,,,,,,1,1,1,1,6,1,0,15000,2,,,,,1
2,14,13,0,3,1,3,1,1,7,6,7,90,,,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,2,6,1,90,,,,,,,,3,1,3,2,,,,,2,,,,,1
2,14,15,0,1,1,1,2,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1
2,14,16,0,3,1,3,1,9,4,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,9,10,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,1
2,14,16,0,1,1,1,1,9,4,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,13,7,9,13,14,2,90,,,,,,1,1,1,2,,,,,2,,,,,1
2,14,16,0,2,1,2,1,9,4,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,14,3,13,28,9,7,90,,,,,,2,1,2,2,,,,,2,,,,,1
2,16,2,0,4,1,4,2,,,,,,,,,,,,,4,1,4,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,1
2,16,2,0,1,1,1,1,1,99,2,5,6,40,7,4,10,40,90,,1,1,1,2,,,,,2,,,,,1,1,1,1,10,8,10,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,16,2,0,2,1,2,1,1,99,2,5,6,40,7,4,10,40,90,,2,1,2,2,,,,,2,,,,,2,1,2,1,1,8,1,90,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,16,2,0,3,1,3,1,1,99,2,5,6,40,7,4,10,40,90,,3,1,3,2,,,,,2,,,,,3,1,3,1,5,8,5,90,,,,,,,,3,1,3,2,,,,,2,,,,,1
2,16,3,0,3,1,3,2,,,,,,,,,,,,,3,1,3,,,,,,,,,,,3,1,3,,,,,,,,,,,,,3,1,3,,,,,,,,,,,1
2,16,3,0,2,1,2,1,5,99,2,30,90,,,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,5,4,2,4,90,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,16,3,0,1,1,1,1,5,99,2,30,90,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,5,4,2,4,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,16,5,0,1,1,1,1,1,99,5,99,7,99,90,,,,,,1,1,1,1,7,0,0,5000,1,2,0,0,6000,1,1,1,1,10,5,10,7,10,90,,,,,,1,1,1,2,,,,,2,,,,,1
2,16,5,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,16,6,0,2,1,2,1,1,99,90,,,,,,,,,,2,1,2,2,,,,,1,50,0,0,75000,2,1,2,1,7,90,,,,,,,,,,2,1,2,2,,,,,1,49,0,0,98000,1
2,16,6,0,3,1,3,2,,,,,,,,,,,,,3,1,3,,,,,,,,,,,3,1,3,,,,,,,,,,,,,3,1,3,,,,,,,,,,,1
2,16,6,0,1,1,1,1,1,99,90,,,,,,,,,,1,1,1,2,,,,,1,50,0,0,75000,1,1,1,1,5,90,,,,,,,,,,1,1,1,2,,,,,1,35,0,0,70000,1
2,16,7,0,3,1,1,1,1,80,90,,,,,,,,,,3,1,1,2,,,,,1,2,0,0,3500,3,1,1,1,2,90,,,,,,,,,,3,1,1,2,,,,,1,2,4,2,20000,1
2,16,7,0,2,1,1,1,1,80,90,,,,,,,,,,2,1,1,2,,,,,1,2,0,0,3500,2,1,1,1,2,90,,,,,,,,,,2,1,1,2,,,,,2,,,,,1
2,16,8,0,3,1,3,1,1,90,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,10,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,1
2,16,8,0,4,1,4,1,1,90,90,,,,,,,,,,4,1,4,2,,,,,2,,,,,4,1,4,1,10,90,,,,,,,,,,4,1,4,2,,,,,2,,,,,1
2,16,8,0,1,1,1,1,1,90,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,16,8,0,5,1,5,1,1,90,90,,,,,,,,,,5,1,5,2,,,,,2,,,,,5,1,5,1,10,90,,,,,,,,,,5,1,5,2,,,,,2,,,,,1
2,16,8,0,2,1,2,1,1,90,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,10,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,1
2,16,9,0,2,1,2,1,3,10,90,,,,,,,,,,2,1,2,2,,,,,1,9,2,2,18500,2,1,2,3,4,90,,,,,,,,,,2,1,2,2,,,,,1,1,0,0,5000,1
2,16,9,0,3,1,3,1,3,10,90,,,,,,,,,,3,1,3,2,,,,,1,9,2,2,18500,3,1,3,3,1,90,,,,,,,,,,3,1,3,2,,,,,1,3,0,0,3000,1
2,16,9,0,1,1,1,1,3,16,90,,,,,,,,,,1,1,1,2,,,,,1,9,1,2,18500,1,1,1,3,1,90,,,,,,,,,,1,1,1,2,,,,,1,4,2,2,10000,1
2,16,9,0,4,1,4,1,3,10,90,,,,,,,,,,4,1,4,2,,,,,1,9,2,2,18000,4,1,4,3,1,90,,,,,,,,,,4,1,4,2,,,,,1,5,0,0,5000,1
2,16,10,0,4,1,4,1,1,60,90,,,,,,,,,,4,1,4,2,,,,,1,2,0,0,2500,4,1,4,1,1,90,,,,,,,,,,4,1,4,2,,,,,1,1,0,0,1500,1
2,16,10,0,3,1,3,1,1,60,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,0,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,1
2,16,10,0,2,1,2,1,1,60,90,,,,,,,,,,2,1,2,2,,,,,1,25,0,0,40000,2,1,2,1,5,90,,,,,,,,,,2,1,2,2,,,,,1,4,0,0,16000,1
2,16,10,0,1,1,1,1,1,60,90,,,,,,,,,,1,1,1,2,,,,,1,4,0,0,4000,1,1,1,1,1,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,16,12,0,4,1,4,1,1,25,6,25,7,25,90,,,,,,4,1,4,2,,,,,2,,,,,4,1,4,1,0,90,,,,,,,,,,4,1,4,2,,,,,2,,,,,1
2,16,12,0,5,1,5,1,1,40,6,40,7,40,90,,,,,,5,1,5,2,,,,,2,,,,,5,1,5,1,0,90,,,,,,,,,,5,1,5,2,,,,,2,,,,,1
2,16,12,0,3,1,3,1,1,60,6,60,7,60,90,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,1,6,1,7,1,90,,,,,,3,1,3,2,,,,,2,,,,,1
