"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01QA","AS01Q01","AS01Q03","AS01Q07","AS01Q08","AS01Q09","AS01Q10","AS01Q10A","AS01Q10B"
2,16,6,0,3,1,3,23814,2,1,10,1,1
2,16,6,0,2,1,2,1429,2,1,10,1,1
2,16,7,0,2,1,2,435,3,1,25,1,1
2,16,7,0,1,1,1,439,3,1,25,1,1
2,16,7,0,3,1,3,227,3,1,25,1,1
2,16,8,0,2,1,2,510,1,1,10,1,1
2,16,8,0,4,1,4,381,1,1,10,1,1
2,16,8,0,3,1,3,452,1,1,10,1,1
2,16,8,0,5,1,5,422,1,1,10,1,1
2,16,8,0,1,1,1,648,1,1,10,1,1
2,16,9,0,4,1,4,647,1,1,7,1,1
2,16,9,0,2,1,2,1408,1,1,7,1,1
2,16,9,0,1,1,1,3129,1,1,7,1,1
2,16,9,0,3,1,3,1052,1,1,7,1,1
2,16,10,0,1,1,1,684,1,1,25,1,1
2,16,10,0,3,1,3,565,1,1,25,1,1
2,16,10,0,2,1,2,1328,1,1,25,1,1
2,16,10,0,4,1,4,378,1,1,25,1,1
2,16,12,0,2,1,2,911,1,1,10,1,1
2,16,12,0,3,1,3,783,1,1,10,1,1
2,16,12,0,5,1,5,163,1,1,10,1,1
2,16,12,0,4,1,4,440,1,1,10,1,1
2,16,12,0,1,1,1,1811,1,1,10,1,1
2,16,13,0,2,1,2,543,0,1,10,1,1
2,16,13,0,1,1,1,17448,0,1,10,1,1
2,16,17,0,1,1,1,1675,0,1,5,1,1
2,16,17,0,3,1,3,34450,0,1,5,1,1
2,16,17,0,2,1,2,2813,0,1,5,1,1
2,17,1,0,2,1,2,55,2,1,14,1,1
2,17,1,0,1,1,1,1096,2,1,14,2,2
2,17,1,0,3,1,3,56,2,1,14,1,1
2,17,1,0,4,1,4,2,2,1,14,1,1
2,17,2,0,2,2,1,119,2,1,15,1,1
2,17,2,0,3,3,1,110,2,1,15,1,1
2,17,2,0,1,1,1,4821,2,1,15,1,2
2,17,3,0,2,1,2,28,3,1,60,1,1
2,17,3,0,1,1,1,33,3,1,60,1,1
2,17,3,0,3,1,3,508,3,1,60,1,2
2,17,5,0,1,1,1,20,3,1,25,1,1
2,17,5,0,2,1,2,897,3,1,25,1,2
2,17,6,0,1,1,1,56,0,1,10,1,1
2,17,6,0,2,1,2,774,0,1,10,1,2
2,17,8,0,2,1,2,1450,0,1,5,2,2
2,17,8,0,1,1,1,1002,0,1,5,1,1
2,17,10,0,1,1,1,356,0,1,3,1,2
2,17,12,0,1,1,1,2355,1,1,10,1,1
2,17,13,0,1,1,1,1389,1,1,20,1,1
2,17,14,0,1,1,1,1290,1,1,30,1,2
2,17,15,0,1,1,1,665,1,1,10,1,2
2,17,17,0,2,1,2,1430,1,1,20,1,1
2,17,17,0,1,1,1,3400,1,1,20,1,1
2,17,18,0,2,1,2,25,0,1,10,1,1
2,17,18,0,3,1,3,2131,0,1,10,1,2
2,17,18,0,1,1,1,71,0,1,10,1,1
2,20,1,0,2,1,2,680,1,1,15,1,1
2,20,1,0,1,1,1,4471,1,1,15,1,2
2,20,2,0,1,1,1,596,0,3,2,1,1
2,20,2,0,2,1,2,6925,0,3,2,1,2
2,20,3,0,1,1,1,5766,1,1,15,1,2
2,20,4,0,1,1,1,8450,2,1,30,1,2
2,20,5,0,1,1,1,3104,0,1,10,1,2
2,20,6,0,1,1,1,1137,1,3,20,1,1
2,20,6,0,2,1,2,2222,1,3,20,1,1
2,20,6,0,3,1,3,173,1,3,20,1,1
2,20,6,0,4,1,4,19,1,3,20,1,1
2,20,6,0,5,1,5,668,1,3,20,1,1
2,20,7,0,2,1,2,183,1,1,10,1,1
2,20,7,0,3,1,3,2222,1,1,10,1,2
2,20,7,0,1,1,1,1138,1,1,10,1,1
2,20,11,0,1,1,1,2110,3,1,20,1,2
2,20,13,0,2,1,2,4024,1,1,15,1,1
2,20,13,0,1,1,1,6250,1,1,15,1,2
2,20,14,0,1,1,1,8750,1,1,10,1,2
2,20,15,0,1,1,1,0,30,3,25,1,2
2,21,2,0,1,1,1,3711,1,1,10,1,1
2,21,4,0,1,1,1,1185,1,1,10,1,1
2,21,5,0,2,2,1,27362,2,1,25,1,2
2,21,5,0,1,1,1,5300,2,1,25,1,1
2,21,6,0,1,1,1,0,15,3,30,1,2
2,21,11,1,1,1,1,1347,0,1,15,1,1
2,21,11,1,2,1,2,1476,0,1,15,1,1
2,21,12,0,1,1,1,125,2,1,40,1,1
2,22,1,0,2,1,2,5217,0,1,5,1,2
2,22,1,0,1,1,1,4317,0,1,5,1,1
2,22,3,0,3,1,3,745,1,1,15,1,1
2,22,3,0,1,1,1,2454,1,1,15,1,1
2,22,3,0,2,1,2,6030,1,1,15,1,2
2,22,4,0,2,1,2,6775,4,1,30,1,2
2,22,4,0,1,1,1,2834,4,1,30,1,1
2,22,5,0,1,1,1,4227,20,1,20,1,1
2,22,5,0,2,1,2,151,0,1,20,1,1
2,22,5,0,4,1,4,327,0,1,20,1,1
2,22,5,0,3,1,3,2554,0,1,20,1,1
2,22,10,0,1,1,1,6000,1,1,25,1,1
2,22,10,0,2,1,2,863,1,1,25,1,1
2,22,10,0,3,1,3,18147,1,1,25,1,1
2,22,12,0,1,1,1,6351,1,3,10,1,1
2,22,12,0,2,1,2,1613,1,3,10,1,1
2,22,12,0,4,1,4,997,1,3,10,1,1
2,22,12,0,3,1,3,13601,1,3,10,1,1
2,22,14,0,1,1,1,3005,1,1,10,1,1
2,22,14,0,2,1,2,6961,1,1,10,1,1
2,22,16,0,1,1,1,1369,2,1,30,1,1
2,22,16,0,3,1,3,210,2,1,30,1,1
2,22,16,0,2,1,2,218,2,1,30,1,1
2,22,17,0,1,1,1,930,1,3,6,1,1
2,22,18,0,2,1,2,5085,4,3,20,1,1
2,22,18,0,1,1,1,1037,4,3,20,1,1
2,23,1,0,2,1,2,2694,0,1,10,1,1
2,23,1,0,3,1,3,15719,0,1,10,1,1
2,23,1,0,1,1,1,743,0,1,10,1,1
2,23,2,0,1,1,1,1944,1,1,20,1,2
2,23,4,0,1,1,1,1387,1,3,5,1,2
2,23,5,0,1,1,1,16709,1,3,15,1,2
