,hh_ID,plot_ID,hhCultivated_dum,cropCode,cropStand,plot_fullyCrop,plot_cropFrac,seeding_month,seeding_year,harvestStart_month,harvestEnd_month,season,wave,crop,areaPlotReported,areaPlotReported_unit,areaPlotGPS,areaPlotReported_unitOther,lastMajor,lastMajor_hhCultOwn_dum,lastMinor,lastMinor_hhCultOwn_dum,harvestStart_year,harvestEnd_year,lon,lat,district,ea_ID,tradAuthority_ID,district_tradAuthority_mix
25,101012150028,R2,Yes,maize,Mixed stand,Yes,,December,2009.0,May,May,major,2010,maize,0.5,Acre,1.5,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
26,101012150034,R2,Yes,tobacco,Pure stand,,,December,2009.0,April,May,major,2010,tobacco,0.5,Acre,0.80000001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
27,101012150034,R1,Yes,maize,Pure stand,,,December,2009.0,May,May,major,2010,maize,2.0,Acre,0.40000001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
28,101012150034,R4,Yes,maize,Pure stand,,,December,2009.0,May,May,major,2010,maize,0.25,Acre,0.60000002,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
29,101012150034,R3,Yes,soyabean,Pure stand,,,February,2010.0,May,May,major,2010,soyabean,0.25,Acre,0.2,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
30,101012150038,R1,,maize,Mixed stand,No,1/2,January,2010.0,July,July,major,2010,maize,0.5,Acre,0.11,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
31,101012150038,R1,,beans,Mixed stand,No,Less than 1/4,January,2010.0,May,May,major,2010,beans,0.5,Acre,0.11,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
32,101012150038,R2,,groundnut,Pure stand,,,January,2010.0,July,July,major,2010,groundnut,0.5,Acre,0.07,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
33,101012150038,R1,,peas,Mixed stand,Yes,,January,2010.0,,,major,2010,peas,0.5,Acre,0.11,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
34,101012150040,R1,Yes,sunflower,Mixed stand,No,1/4,December,2009.0,June,June,major,2010,sunflower,1.0,Acre,1.0700001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
35,101012150040,R1,Yes,maize,Mixed stand,Yes,,December,2009.0,June,June,major,2010,maize,1.0,Acre,1.0700001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
36,101012150040,R2,Yes,sunflower,Mixed stand,Yes,,December,2009.0,May,June,major,2010,sunflower,0.5,Acre,0.18000001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
37,101012150040,R2,Yes,groundnut,Mixed stand,No,1/4,December,2009.0,June,July,major,2010,groundnut,0.5,Acre,0.18000001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
38,101012150045,R1,Yes,beans,Mixed stand,Yes,,December,2009.0,March,March,major,2010,beans,0.5,Acre,0.28,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
39,101012150045,R1,Yes,maize,Mixed stand,No,1/4,December,2009.0,June,July,major,2010,maize,0.5,Acre,0.28,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
40,101012150048,R1,Yes,beans,Mixed stand,Yes,,December,2009.0,April,May,major,2010,beans,2.25,Acre,2.6400001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
41,101012150048,R1,Yes,maize,Mixed stand,No,1/2,December,2009.0,May,June,major,2010,maize,2.25,Acre,2.6400001,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
42,101012150049,R1,Yes,maize,Pure stand,,,January,2010.0,June,June,major,2010,maize,0.5,Acre,1.1,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
43,101012150049,R3,Yes,beans,Mixed stand,Yes,,January,2010.0,May,May,major,2010,beans,0.5,Acre,1.01,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
44,101012150049,R3,Yes,maize,Mixed stand,No,1/2,January,2010.0,June,June,major,2010,maize,0.5,Acre,1.01,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
45,101012150049,R5,Yes,sweet potato,Pure stand,,,February,2010.0,July,August,major,2010,sweet potato,0.2,Square Meters,0.0099999998,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
46,101012150049,R2,Yes,maize,Pure stand,,,January,2010.0,June,June,major,2010,maize,0.5,Acre,1.08,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
47,101012150049,R4,Yes,tobacco,Pure stand,,,January,2010.0,February,May,major,2010,tobacco,0.5,Acre,0.20999999,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
48,101012150053,R2,Yes,beans,Mixed stand,Yes,,December,2009.0,April,April,major,2010,beans,1.0,Acre,0.58999997,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
49,101012150053,R2,Yes,maize,Mixed stand,Yes,,December,2009.0,May,May,major,2010,maize,1.0,Acre,0.58999997,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
50,101012150053,R4,Yes,groundnut,Pure stand,,,November,2009.0,April,April,major,2010,groundnut,0.25,Acre,0.059999999,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
51,101012150053,R3,Yes,beans,Mixed stand,Yes,,December,2009.0,April,April,major,2010,beans,0.5,Acre,0.25999999,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
52,101012150053,R2,Yes,pumpkin leaves,Mixed stand,Yes,,December,2009.0,,,major,2010,pumpkin leaves,1.0,Acre,0.58999997,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
53,101012150053,R1,Yes,maize,Mixed stand,Yes,,December,2009.0,May,May,major,2010,maize,1.0,Acre,1.22,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
54,101012150053,R1,Yes,pumpkin leaves,Mixed stand,Yes,,December,2009.0,,,major,2010,pumpkin leaves,1.0,Acre,1.22,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
55,101012150053,R3,Yes,maize,Mixed stand,Yes,,December,2009.0,May,May,major,2010,maize,0.5,Acre,0.25999999,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
56,101012150053,R1,Yes,beans,Mixed stand,Yes,,December,2009.0,April,April,major,2010,beans,1.0,Acre,1.22,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
57,101012150059,R2,Yes,maize,Pure stand,,,January,2010.0,May,May,major,2010,maize,0.25,Acre,0.12,,,,,,,,33.230202,-9.5044603,Chitipa,10101215,1,Mwabulambya
