country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_year_begin,harvest_month_begin,harvest_year_end,harvest_month_end,harvest_year,harvest_month,dataset_name,dataset_doi
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000140,rg01,r01,maize,0.028327994956475,0.1011714105588394,0.25,acre,,2014.0,12.0,,7.0,,7.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000140,rg01,r02,maize,0.5584661862847936,0.5058570527941971,1.25,acre,50.0,2014.0,12.0,,7.0,,7.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000140,rg01,r02,sunflower,0.5584661862847936,0.5058570527941971,1.25,acre,50.0,2014.0,12.0,,4.0,,6.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000140,rg02,r01,maize,0.0526091334905965,0.1011714105588394,0.25,acre,,2015.0,1.0,,7.0,,7.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000150,rg01,r01,maize,0.4046856422353577,0.1214056926706073,0.3,acre,,2014.0,12.0,,6.0,,7.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000150,rg02,r01,maize,0.2832799495647504,0.2023428211176788,0.5,acre,87.5,2014.0,12.0,,6.0,,7.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000150,rg02,r01,beans,0.2832799495647504,0.2023428211176788,0.5,acre,12.5,2014.0,12.0,,3.0,,4.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000150,rg03,r01,tobacco,0.2023428211176788,0.2023428211176788,0.5,acre,,2014.0,12.0,,2.0,,4.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000180,rg01,r01,groundnut,0.3804045037012362,0.4046856422353577,1.0,acre,,2014.0,12.0,,5.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000180,rg02,r01,maize,0.0242811385341214,0.1011714105588394,0.25,acre,,2014.0,12.0,,6.0,,6.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000190,rg01,r01,maize,0.343982795900054,0.4046856422353577,1.0,acre,,2015.0,1.0,,4.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000190,rg02,r01,groundnut,0.1375931183600216,0.2023428211176788,0.5,acre,,2015.0,1.0,,5.0,,6.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000190,rg02,r02,maize,0.1011714105588394,0.2023428211176788,0.5,acre,,2015.0,1.0,,4.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011000190,rg02,r03,groundnut,0.1375931183600216,0.1011714105588394,0.25,acre,,2015.0,1.0,,5.0,,6.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011003026,rg01,r01,maize,0.4168262115024184,0.4046856422353577,1.0,acre,,2014.0,12.0,,6.0,,6.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011003026,rg02,r01,groundnut,0.2266239596518003,0.2023428211176788,0.5,acre,,2014.0,12.0,,5.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011003026,rg02,r02,groundnut,0.1902022518506181,0.2023428211176788,0.5,acre,,2014.0,12.0,,5.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011003077,rg01,r01,maize,2.0234282111767885,0.0004,4.0,square meters,87.5,2015.0,4.0,,5.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011003077,rg01,r01,pumpkin leaves,2.0234282111767885,0.0004,4.0,square meters,50.0,2015.0,1.0,,3.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
Malawi,northern,chitipa,,,-9.507538,33.259649,3,101011003077,rg02,r01,groundnut,0.6070284633530365,0.0009,9.0,square meters,,2014.0,12.0,,5.0,,5.0,,,mwi_2016_ihs-iv_v04_m,https://doi.org/10.48529/g2p9-9r19
