Value;Category;Adm_level;;;
3117;kafouziela;3;;;
3118;kapala;3;;;
3119;kapolondougou;3;;;
3206;dogo;3;;;
3207;domba;3;;;
3211;SYEN TOULA;3;;;
3212;kokele;3;;;
3214;koumantou;3;;;
3216;meridiela;3;;;
3217;ouroun;3;;;
3218;sanso;3;;;
3219;sibirila;3;;;
3220;sido;3;;;
3223;wola;3;;;
3224;yinindougou;3;;;
3226;zantiebougou;3;;;
3301;kadiolo;3;;;
3302;diou;3;;;
3304;fourou;3;;;
3305;loulouni;3;;;
3306;loulouni;3;;;
3307;misseni;3;;;
3308;nimbougou;3;;;
3401;kolondieba;3;;;
3403;fakola;3;;;
3404;farako;3;;;
3405;kadiana;3;;;
3406;kebila;3;;;
3407;kolosso;3;;;
3409;N'GOLODIANA;3;;;
3410;nangalasso;3;;;
3411;tiongui;3;;;
3501;koutiala;3;;;
3504;fagui;3;;;
3506;GOUADJI KAO;3;;;
3507;GOUADJIE SOUGOUNA;3;;;
3512;konina;3;;;
3514;konseguela;3;;;
3515;koromo;3;;;
3519;miena;3;;;
3521;N'GOUTJINA;3;;;
3522;N'TOSSONI;3;;;
3523;nafanga;3;;;
3526;sincina;3;;;
3527;sinkolo;3;;;
3533;zanfigue;3;;;
3534;zangasso;3;;;
3601;WASSOULOU-BALLE;3;;;
3602;baya;3;;;
3604;DJALLON-FOULA;3;;;
3607;gouandiaka;3;;;
3608;koussan;3;;;
3610;SERE MOUSSA ANI SAMO;3;;;
3701;yorosso;3;;;
3702;boura;3;;;
3703;karangana;3;;;
3704;KIFFOSSO 1;3;;;
3705;koumbia;3;;;
3706;koury;3;;;
3707;mahou;3;;;
3708;MENAMBA 1;3;;;
3709;ourikela;3;;;
4101;segou;3;;;
4102;baguindadougou;3;;;
4105;cinzana;3;;;
4107;diganibougou;3;;;
4112;FARAKOU MASSA;3;;;
4113;fatine;3;;;
4115;katiena;3;;;
4116;sakoiba;3;;;
4117;markala;3;;;
4119;N'GARA;3;;;
4120;N'KOUMANDOUGOU;3;;;
4121;pelengana;3;;;
4122;sakoiba;3;;;
4125;sansanding;3;;;
4126;sebougou;3;;;
4127;sibila;3;;;
4129;souba;3;;;
4201;baroueli;3;;;
4202;boidie;3;;;
4204;gouendo;3;;;
4205;kalake;3;;;
4206;konobougou;3;;;
4208;sanando;3;;;
4209;somo;3;;;
4210;tamani;3;;;
4301;bla;3;;;
4305;dougouolo;3;;;
4307;fani;3;;;
4309;kemeni;3;;;
4310;korodougou;3;;;
4311;koulandougou;3;;;
4313;samabogo;3;;;
4314;somasso;3;;;
4315;tiemena;3;;;
4316;touna;3;;;
4401;macina;3;;;
4402;BOKY WERE;3;;;
4404;KOKRY CENTRE;3;;;
4405;kolongo;3;;;
4406;matomo;3;;;
4407;monimpebougou;3;;;
4408;saloba;3;;;
4409;sana;3;;;
4410;souleye;3;;;
4501;niono;3;;;
