ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
10204453,Karonga,4,10,20 Mar 11,20,3,2011,19,21 Mar 11,21,3,2011,no,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10204586,Karonga,4,10,04 Jun 10,4,6,2010,19,07 Jun 10,7,6,2010,no,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10204723,Karonga,4,10,24 Jul 10,24,7,2010,19,30 Jul 10,30,7,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10205202,Karonga,5,10,27 Mar 10,27,3,2010,19,22 Jul 10,22,7,2010,no,no,yes,yes,no,no,MUD (YOMATA),grass
10205507,Karonga,5,10,27 Oct 10,27,10,2010,19,28 Oct 10,28,10,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10220027,Karonga,20,10,08 Feb 11,8,2,2011,19,09 Feb 11,9,2,2011,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10220103,Karonga,20,10,05 Sep 10,5,9,2010,19,07 Sep 10,7,9,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10220521,Karonga,20,10,27 Aug 10,27,8,2010,19,28 Aug 10,28,8,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10220705,Karonga,20,10,30 Apr 10,30,4,2010,19,30 Jul 10,30,7,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10301026,Nkhatabay,1,20,16 Mar 11,16,3,2011,29,16 Mar 11,16,3,2011,no,no,no,no,no,no,wood,grass
10301306,Nkhatabay,1,20,29 Jan 11,29,1,2011,29,31 Jan 11,31,1,2011,no,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10301347,Nkhatabay,1,20,06 Oct 10,6,10,2010,29,08 Oct 10,8,10,2010,no,no,no,yes,no,no,BURNT BRICKS,grass
10301663,Nkhatabay,1,20,20 May 10,20,5,2010,29,05 Jun 10,5,6,2010,no,no,no,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10301741,Nkhatabay,1,20,18 Nov 10,18,11,2010,29,22 Nov 10,22,11,2010,yes,no,yes,yes,no,no,BURNT BRICKS,grass
10302010,Nkhatabay,2,20,17 Jun 10,17,6,2010,29,01 Jul 10,1,7,2010,no,no,no,no,no,yes,MUD BRICK (UNFIRED),grass
10303454,Nkhatabay,3,20,24 Dec 10,24,12,2010,29,24 Dec 10,24,12,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
