ea_id,com_cg01,com_cg02,com_cg03,com_cg04,com_cg05,com_cg06,com_cg07,com_cg08,com_cg09,com_cg10,com_cg11,com_cg12,com_cg13,com_cg14,com_cg15,com_cg16,com_cg17,com_cg18,com_cg19,com_cg20,com_cg21,com_cg22,com_cg23,com_cg24,com_cg25,com_cg26,com_cg27,com_cg28,com_cg29,com_cg30,com_cg31,com_cg32,com_cg33,com_cg34
10505310,MUCH BETTER,better,better,better,NOT APPLICABLE,worse,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,worse,better,better,better,better,better,better,ABOUT THE SAME,ABOUT THE SAME,better,better,better,NOT APPLICABLE,better,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,worse,better,ABOUT THE SAME,better,better,3
10505508,worse,better,better,better,NOT APPLICABLE,better,ABOUT THE SAME,worse,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,worse,worse,MUCH WORSE,MUCH WORSE,worse,better,MUCH WORSE,worse,better,better,better,2
10506127,worse,better,better,better,worse,better,worse,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,worse,worse,worse,better,better,worse,better,better,better,better,better,better,2
10506548,better,better,better,better,worse,better,worse,worse,better,better,better,better,better,better,better,better,better,better,worse,better,better,better,worse,better,worse,better,better,better,worse,worse,better,better,better,4
10507175,worse,better,better,better,worse,better,worse,worse,better,better,worse,better,MUCH BETTER,better,better,better,better,better,worse,worse,worse,worse,worse,worse,better,worse,worse,worse,worse,worse,worse,better,better,2
10507344,better,better,better,better,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,worse,worse,worse,ABOUT THE SAME,ABOUT THE SAME,better,better,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,better,worse,worse,ABOUT THE SAME,worse,worse,worse,ABOUT THE SAME,worse,worse,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,2
10508369,worse,better,better,better,worse,better,worse,worse,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,worse,worse,worse,worse,worse,better,worse,better,better,better,better,2
10509319,MUCH BETTER,better,better,better,ABOUT THE SAME,worse,worse,worse,better,better,ABOUT THE SAME,worse,better,better,better,better,worse,NOT APPLICABLE,ABOUT THE SAME,better,worse,worse,ABOUT THE SAME,worse,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,worse,ABOUT THE SAME,better,worse,worse,2
10509474,worse,better,better,worse,better,worse,worse,worse,better,better,better,better,better,better,better,better,better,better,worse,worse,worse,better,worse,better,better,better,worse,better,worse,better,better,better,worse,2
10510388,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,ABOUT THE SAME,MUCH WORSE,NOT APPLICABLE,MUCH WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,better,better,MUCH BETTER,ABOUT THE SAME,MUCH WORSE,better,ABOUT THE SAME,NOT APPLICABLE,MUCH WORSE,ABOUT THE SAME,MUCH BETTER,better,MUCH BETTER,4
10732047,better,better,better,better,better,better,worse,worse,better,better,better,better,better,better,better,better,better,better,better,worse,worse,worse,worse,worse,worse,better,worse,worse,worse,worse,better,better,better,4
10732070,better,worse,better,worse,MUCH WORSE,better,MUCH WORSE,worse,better,better,better,better,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,worse,MUCH BETTER,better,MUCH BETTER,NOT APPLICABLE,worse,MUCH WORSE,MUCH BETTER,better,better,better,MUCH BETTER,MUCH BETTER,better,better,2
10732192,MUCH BETTER,better,better,better,ABOUT THE SAME,MUCH WORSE,MUCH WORSE,worse,better,better,better,better,better,better,ABOUT THE SAME,ABOUT THE SAME,worse,NOT APPLICABLE,better,better,worse,ABOUT THE SAME,ABOUT THE SAME,better,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,worse,better,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,3
10733465,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,worse,worse,worse,better,worse,worse,worse,better,better,better,better,2
10733640,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,better,better,better,better,worse,better,better,better,better,2
10734370,worse,better,better,better,better,better,better,worse,better,better,better,better,better,better,better,better,better,better,better,better,better,better,worse,better,better,better,better,better,better,better,better,better,better,4
10734393,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,better,MUCH BETTER,worse,ABOUT THE SAME,MUCH BETTER,worse,better,MUCH BETTER,worse,MUCH WORSE,worse,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,worse,4
10734407,worse,better,better,better,worse,better,worse,better,better,better,better,better,better,better,better,better,better,better,worse,worse,worse,worse,worse,worse,better,better,better,better,better,better,better,better,better,2
10734762,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,worse,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,better,better,better,ABOUT THE SAME,ABOUT THE SAME,better,NOT APPLICABLE,better,ABOUT THE SAME,worse,worse,NOT APPLICABLE,worse,ABOUT THE SAME,better,ABOUT THE SAME,worse,worse,worse,worse,worse,ABOUT THE SAME,3
10735130,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,better,worse,worse,better,worse,worse,worse,worse,better,better,better,2
10735173,MUCH BETTER,better,better,better,ABOUT THE SAME,worse,worse,worse,ABOUT THE SAME,better,worse,worse,better,better,ABOUT THE SAME,ABOUT THE SAME,better,ABOUT THE SAME,better,worse,worse,worse,NOT APPLICABLE,worse,worse,worse,NOT APPLICABLE,worse,worse,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,3
10736053,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,worse,better,better,worse,worse,better,better,better,worse,worse,worse,better,better,better,4
10736174,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,better,worse,better,worse,better,better,better,better,better,MUCH BETTER,better,better,better,better,4
10736377,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,worse,worse,worse,better,better,ABOUT THE SAME,ABOUT THE SAME,better,better,better,better,better,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,worse,worse,NOT APPLICABLE,better,ABOUT THE SAME,better,ABOUT THE SAME,ABOUT THE SAME,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,4
10736466,better,better,better,better,better,better,better,worse,worse,worse,worse,worse,worse,worse,worse,worse,worse,better,worse,better,better,better,worse,better,worse,better,better,worse,worse,better,better,MUCH BETTER,better,4
10736596,MUCH BETTER,better,better,better,better,worse,worse,worse,better,better,better,better,better,better,ABOUT THE SAME,ABOUT THE SAME,better,NOT APPLICABLE,better,better,worse,worse,NOT APPLICABLE,worse,worse,better,NOT APPLICABLE,worse,worse,worse,ABOUT THE SAME,worse,ABOUT THE SAME,2
10737199,better,better,better,better,better,better,better,worse,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,better,better,better,better,worse,better,better,better,better,better,better,2
10739309,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,MUCH BETTER,ABOUT THE SAME,worse,ABOUT THE SAME,better,better,better,better,better,better,better,better,better,better,better,better,better,better,worse,worse,better,better,worse,worse,better,better,better,better,better,4
10741504,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,worse,worse,MUCH WORSE,MUCH BETTER,better,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,worse,worse,ABOUT THE SAME,MUCH BETTER,better,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,MUCH WORSE,ABOUT THE SAME,MUCH BETTER,better,ABOUT THE SAME,3
10744039,better,better,better,better,worse,worse,worse,worse,better,better,better,better,better,better,better,better,better,better,better,better,worse,better,worse,better,better,better,better,worse,worse,better,better,better,better,2
10744154,better,better,better,better,better,better,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,better,MUCH BETTER,better,better,better,better,better,worse,ABOUT THE SAME,better,better,worse,worse,worse,ABOUT THE SAME,worse,worse,ABOUT THE SAME,better,better,better,worse,2
10744649,worse,better,better,better,better,worse,worse,worse,better,better,better,worse,better,better,worse,better,better,better,better,better,better,better,worse,better,worse,better,better,better,worse,worse,worse,better,better,22
10746033,MUCH BETTER,MUCH BETTER,better,better,better,worse,worse,worse,better,better,ABOUT THE SAME,worse,MUCH BETTER,better,better,better,better,ABOUT THE SAME,better,better,worse,worse,NOT APPLICABLE,better,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,worse,worse,worse,worse,ABOUT THE SAME,2
