ea_id,com_ck00a,com_ck00c,com_ck00b1,com_ck00b2,com_ck00b3,com_ck00b3_os
10101215,Cost to grind 50 kg bag of maize,Yes,200,,,
10101215,Cost to grind 50 kg bag of rice,No,,,,
10101215,Rice,Yes,200,1,Kilogram,
10101215,White bread loaf (unsliced),Yes,150,1,Piece,
10101215,Scone / Mandazi,Yes,10,1,Piece,
10101215,Beans,Yes,40,1,Kilogram,
10101215,Cabbage,Yes,90,1,Piece,
10101215,Tomatoes,Yes,50,1,Heap,
10101215,Banana,Yes,5,1,Piece,
10101215,Fresh milk (liquid),Yes,50,1,Litre,
10101215,Egg,Yes,20,1,Piece,
10101215,Chicken (live),Yes,600,1,Piece,
10101215,Dried fish (usipa),Yes,50,1,Heap,
10101215,Beef,Yes,350,1,Kilogram,
10101215,Tea leaves,Yes,10,10,Gram,
10101215,Salt,Yes,40,400,Gram,
10101215,"Sugar, white",No,,,,
10101215,"Cooking oil (Kazinga, Kukoma)",No,,,,
10101215,"Chips, potato (street vendor)",No,,,,
10101215,Bar soap (Maluwa),Yes,300,1,Piece,
10101215,Toothbrush,Yes,30,1,Piece,
10101215,Toothpaste (50 g tube),Yes,150,50,Gram,
10101215,"Clothes soap (Omo, Surf)",No,,,,
10101215,Vaseline/glycerin,Yes,80,50,Millilitre,
10101215,Aspirin or Panadol,Yes,20,2,Piece,
10101215,Fansidar (3 tablet packet),No,,,,
10101215,Chitenje cloth,Yes,375,1,Piece,
10101215,Trousers (kaunjika),Yes,300,,,
10101215,"Coca-Cola, Fanta (bottle)",Yes,80,,,
10101215,Carlsberg beer (bottle),Yes,135,,,
10101215,"Cigarettes, Embassy (packet)",Yes,200,,,
10101215,Battery (dry cell) for radio,Yes,50,,,
10101215,"Watch, digital (simple), plastic",Yes,70,,,
10101215,Firewood,Yes,100,1,Heap,
10101215,Charcoal,Yes,100,1,Pail (Large),
10101215,Paraffin,Yes,70,300,Millilitre,
10101215,Chemical fertilizer (mkt value),Yes,6000,50,Kilogram,
10101215,Pesticides/Insecticides (mkt value),No,,,,
10101215,Herbicides/Fungicides (mkt value),No,,,,
10101215,Motorized transport of crop output (per 50kg),No,,,,
10101215,Hybrid maize seed (mkt value),Yes,2000,5,Kilogram,
10101215,"Hand hoe, without handle",Yes,1400,,,
10101215,Panga,Yes,400,,,
10101215,Sickle,Yes,150,,,
10101215,Axe,Yes,700,,,
10101215,Bicycle,Yes,13000,,,
10101215,"Foam mattress (10 cm, single)",Yes,5000,,,
10101215,"Mosquito net (white, not treated)",Yes,250,,,
10101215,"Ganyu wage, 1 day, adult male",No,,,,
10101219,Maize grain,Yes,500,1,Pail (Large),
10101219,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101219,Cost to grind 50 kg bag of maize,Yes,480,,,
10101219,Cost to grind 50 kg bag of rice,No,,,,
10101219,Rice,Yes,140,1,Kilogram,
10101219,White bread loaf (unsliced),Yes,150,1,Piece,
10101219,Scone / Mandazi,Yes,10,1,Piece,
10101219,Beans,Yes,160,1,Kilogram,
10101219,Cabbage,Yes,50,1,Piece,
10101219,Tomatoes,Yes,50,1,Heap,
10101219,Banana,Yes,5,1,Piece,
10101219,Fresh milk (liquid),Yes,30,300,Millilitre,
10101219,Egg,Yes,20,1,Piece,
10101219,Chicken (live),Yes,650,1,Piece,
10101219,Dried fish (usipa),Yes,200,1,Heap,
10101219,Beef,Yes,350,1,Kilogram,
10101219,Tea leaves,Yes,45,50,Gram,
10101219,Salt,Yes,50,400,Gram,
10101219,"Sugar, white",Yes,180,1,Kilogram,
10101219,"Cooking oil (Kazinga, Kukoma)",Yes,350,500,Millilitre,
10101219,"Chips, potato (street vendor)",No,,,,
10101219,Bar soap (Maluwa),Yes,350,1,Piece,
10101219,Toothbrush,Yes,20,1,Piece,
10101219,Toothpaste (50 g tube),Yes,120,50,Gram,
10101219,"Clothes soap (Omo, Surf)",No,,,,
10101219,Vaseline/glycerin,Yes,70,50,Millilitre,
10101219,Aspirin or Panadol,Yes,20,2,Piece,
10101219,Fansidar (3 tablet packet),No,,,,
10101219,Chitenje cloth,Yes,400,1,Piece,
10101219,Trousers (kaunjika),Yes,400,,,
10101219,"Coca-Cola, Fanta (bottle)",Yes,70,,,
10101219,Carlsberg beer (bottle),Yes,150,,,
10101219,"Cigarettes, Embassy (packet)",Yes,300,,,
10101219,Battery (dry cell) for radio,Yes,50,,,
10101219,"Watch, digital (simple), plastic",Yes,100,,,
10101219,Firewood,Yes,100,1,Heap,
10101219,Charcoal,Yes,450,50,Kilogram,
10101219,Paraffin,Yes,100,300,Millilitre,
10101219,Chemical fertilizer (mkt value),Yes,6000,50,Kilogram,
10101219,Pesticides/Insecticides (mkt value),No,,,,
10101219,Herbicides/Fungicides (mkt value),Yes,2000,1,Litre,
10101219,Motorized transport of crop output (per 50kg),No,,,,
10101219,Hybrid maize seed (mkt value),Yes,1950,5,Kilogram,
10101219,"Hand hoe, without handle",Yes,1500,,,
10101219,Panga,No,,,,
10101219,Sickle,Yes,150,,,
10101219,Axe,Yes,500,,,
10101219,Bicycle,Yes,12000,,,
10101219,"Foam mattress (10 cm, single)",Yes,5800,,,
10101219,"Mosquito net (white, not treated)",No,,,,
10101219,"Ganyu wage, 1 day, adult male",No,,,,
10101355,Maize grain,Yes,500,1,Pail (Large),
10101355,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101355,Cost to grind 50 kg bag of maize,Yes,750,,,
10101355,Cost to grind 50 kg bag of rice,No,,,,
10101355,Rice,Yes,120,1,Kilogram,
10101355,White bread loaf (unsliced),Yes,120,1,Piece,
10101355,Scone / Mandazi,Yes,20,1,Piece,
10101355,Beans,Yes,120,1,Kilogram,
10101355,Cabbage,Yes,70,1,Piece,
10101355,Tomatoes,Yes,50,1,Heap,
10101355,Banana,Yes,10,1,Piece,
10101355,Fresh milk (liquid),Yes,100,1,Litre,
10101355,Egg,Yes,20,1,Piece,
10101355,Chicken (live),Yes,800,1,Piece,
10101355,Dried fish (usipa),Yes,100,1,Heap,
10101355,Beef,Yes,350,1,Kilogram,
10101355,Tea leaves,Yes,10,10,Gram,
10101355,Salt,Yes,30,200,Gram,
10101355,"Sugar, white",No,,,,
10101355,"Cooking oil (Kazinga, Kukoma)",Yes,450,1,Litre,
10101355,"Chips, potato (street vendor)",No,,,,
10101355,Bar soap (Maluwa),Yes,250,1,Piece,
10101355,Toothbrush,Yes,30,1,Piece,
10101355,Toothpaste (50 g tube),Yes,170,50,Gram,
10101355,"Clothes soap (Omo, Surf)",Yes,60,25,Gram,
10101355,Vaseline/glycerin,Yes,70,50,Millilitre,
10101355,Aspirin or Panadol,Yes,10,2,Piece,
10101355,Fansidar (3 tablet packet),No,,,,
10101355,Chitenje cloth,Yes,350,1,Piece,
10101355,Trousers (kaunjika),Yes,300,,,
10101355,"Coca-Cola, Fanta (bottle)",Yes,70,,,
10101355,Carlsberg beer (bottle),Yes,120,,,
10101355,"Cigarettes, Embassy (packet)",Yes,200,,,
10101355,Battery (dry cell) for radio,Yes,70,,,
10101355,"Watch, digital (simple), plastic",Yes,350,,,
10101355,Firewood,Yes,100,1,Heap,
10101355,Charcoal,Yes,300,25,Kilogram,
10101355,Paraffin,Yes,200,1,Litre,
10101355,Chemical fertilizer (mkt value),Yes,6000,50,Kilogram,
10101355,Pesticides/Insecticides (mkt value),No,,,,
10101355,Herbicides/Fungicides (mkt value),Yes,2000,1,Litre,
10101355,Motorized transport of crop output (per 50kg),No,,,,
10101355,Hybrid maize seed (mkt value),Yes,1700,5,Kilogram,
10101355,"Hand hoe, without handle",Yes,700,,,
10101355,Panga,No,,,,
10101355,Sickle,Yes,300,,,
10101355,Axe,Yes,300,,,
10101355,Bicycle,Yes,13000,,,
10101355,"Foam mattress (10 cm, single)",Yes,5600,,,
10101355,"Mosquito net (white, not treated)",Yes,800,,,
10101355,"Ganyu wage, 1 day, adult male",No,,,,
10101374,Maize grain,Yes,400,1,Pail (Large),
10101374,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101374,Cost to grind 50 kg bag of maize,Yes,240,,,
10101374,Cost to grind 50 kg bag of rice,No,,,,
10101374,Rice,Yes,160,1,Kilogram,
10101374,White bread loaf (unsliced),No,,,,
10101374,Scone / Mandazi,Yes,10,1,Piece,
10101374,Beans,Yes,100,1,Kilogram,
10101374,Cabbage,Yes,80,1,Piece,
10101374,Tomatoes,Yes,20,1,Heap,
10101374,Banana,Yes,20,1,Piece,
10101374,Fresh milk (liquid),Yes,30,300,Millilitre,
10101374,Egg,Yes,25,1,Piece,
10101374,Chicken (live),Yes,650,1,Piece,
10101374,Dried fish (usipa),Yes,50,1,Heap,
10101374,Beef,Yes,350,1,Kilogram,
10101374,Tea leaves,Yes,20,10,Gram,
10101374,Salt,Yes,50,400,Gram,
10101374,"Sugar, white",No,,,,
10101374,"Cooking oil (Kazinga, Kukoma)",Yes,465,1,Litre,
10101374,"Chips, potato (street vendor)",No,,,,
10101374,Bar soap (Maluwa),Yes,250,1,Piece,
10101374,Toothbrush,Yes,30,1,Piece,
10101374,Toothpaste (50 g tube),Yes,100,50,Gram,
10101374,"Clothes soap (Omo, Surf)",Yes,500,1,Kilogram,
10101374,Vaseline/glycerin,Yes,80,50,Millilitre,
10101374,Aspirin or Panadol,Yes,10,2,Piece,
10101374,Fansidar (3 tablet packet),No,,,,
10101374,Chitenje cloth,Yes,380,1,Piece,
10101374,Trousers (kaunjika),Yes,600,,,
10101374,"Coca-Cola, Fanta (bottle)",Yes,80,,,
10101374,Carlsberg beer (bottle),Yes,130,,,
10101374,"Cigarettes, Embassy (packet)",Yes,300,,,
10101374,Battery (dry cell) for radio,Yes,60,,,
10101374,"Watch, digital (simple), plastic",Yes,220,,,
10101374,Firewood,Yes,50,1,Heap,
10101374,Charcoal,Yes,180,1,Pail (Large),
10101374,Paraffin,Yes,100,300,Millilitre,
10101374,Chemical fertilizer (mkt value),Yes,6000,50,Kilogram,
10101374,Pesticides/Insecticides (mkt value),No,,,,
10101374,Herbicides/Fungicides (mkt value),Yes,1750,1,Litre,
10101374,Motorized transport of crop output (per 50kg),No,,,,
10101374,Hybrid maize seed (mkt value),Yes,400,1,Kilogram,
10101374,"Hand hoe, without handle",Yes,1300,,,
10101374,Panga,No,,,,
10101374,Sickle,Yes,200,,,
10101374,Axe,Yes,600,,,
10101374,Bicycle,Yes,18000,,,
10101374,"Foam mattress (10 cm, single)",Yes,5500,,,
10101374,"Mosquito net (white, not treated)",No,,,,
10101374,"Ganyu wage, 1 day, adult male",No,,,,
10101470,Maize grain,Yes,450,1,Pail (Large),
10101470,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101470,Cost to grind 50 kg bag of maize,Yes,250,,,
10101470,Cost to grind 50 kg bag of rice,Yes,250,,,
10101470,Rice,Yes,100,1,Kilogram,
10101470,White bread loaf (unsliced),Yes,120,1,Piece,
10101470,Scone / Mandazi,Yes,10,1,Piece,
10101470,Beans,Yes,80,1,Kilogram,
10101470,Cabbage,Yes,80,1,Piece,
10101470,Tomatoes,Yes,50,1,Heap,
10101470,Banana,Yes,5,1,Piece,
10101470,Fresh milk (liquid),Yes,30,300,Millilitre,
10101470,Egg,Yes,25,1,Piece,
10101470,Chicken (live),Yes,1000,1,Piece,
10101470,Dried fish (usipa),Yes,100,1,Heap,
10101470,Beef,Yes,300,1,Kilogram,
10101470,Tea leaves,Yes,10,10,Gram,
10101470,Salt,Yes,20,20,Gram,
10101470,"Sugar, white",Yes,160,1,Kilogram,
10101470,"Cooking oil (Kazinga, Kukoma)",Yes,350,1,Litre,
10101470,"Chips, potato (street vendor)",Yes,200,1,No. 10 Plate,
10101470,Bar soap (Maluwa),Yes,250,1,Piece,
10101470,Toothbrush,Yes,20,1,Piece,
10101470,Toothpaste (50 g tube),Yes,100,50,Gram,
10101470,"Clothes soap (Omo, Surf)",No,,,,
10101470,Vaseline/glycerin,Yes,65,50,Millilitre,
10101470,Aspirin or Panadol,Yes,10,2,Piece,
10101470,Fansidar (3 tablet packet),No,,,,
10101470,Chitenje cloth,Yes,350,1,Piece,
10101470,Trousers (kaunjika),Yes,350,,,
10101470,"Coca-Cola, Fanta (bottle)",Yes,60,,,
10101470,Carlsberg beer (bottle),Yes,130,,,
10101470,"Cigarettes, Embassy (packet)",Yes,200,,,
10101470,Battery (dry cell) for radio,Yes,40,,,
10101470,"Watch, digital (simple), plastic",Yes,150,,,
10101470,Firewood,Yes,200,1,Litre,
10101470,Charcoal,Yes,750,50,Kilogram,
10101470,Paraffin,Yes,200,1,Litre,
10101470,Chemical fertilizer (mkt value),Yes,7500,50,Kilogram,
10101470,Pesticides/Insecticides (mkt value),Yes,1500,50,Litre,
10101470,Herbicides/Fungicides (mkt value),Yes,1700,1,Litre,
10101470,Motorized transport of crop output (per 50kg),No,,,,
10101470,Hybrid maize seed (mkt value),Yes,400,1,Kilogram,
10101470,"Hand hoe, without handle",Yes,1000,,,
10101470,Panga,Yes,350,,,
10101470,Sickle,Yes,150,,,
10101470,Axe,Yes,500,,,
10101470,Bicycle,Yes,9000,,,
10101470,"Foam mattress (10 cm, single)",Yes,5500,,,
10101470,"Mosquito net (white, not treated)",Yes,350,,,
10101470,"Ganyu wage, 1 day, adult male",No,,,,
10101562,Maize grain,Yes,500,1,Pail (Large),
10101562,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101562,Cost to grind 50 kg bag of maize,Yes,450,,,
10101562,Cost to grind 50 kg bag of rice,No,,,,
10101562,Rice,Yes,140,1,Kilogram,
10101562,White bread loaf (unsliced),Yes,150,1,Piece,
10101562,Scone / Mandazi,Yes,10,1,Piece,
10101562,Beans,Yes,100,1,Kilogram,
10101562,Cabbage,Yes,50,1,Piece,
10101562,Tomatoes,Yes,20,1,Heap,
10101562,Banana,Yes,10,1,Piece,
10101562,Fresh milk (liquid),Yes,60,250,Millilitre,
10101562,Egg,Yes,20,1,Piece,
10101562,Chicken (live),Yes,900,1,Piece,
10101562,Dried fish (usipa),Yes,50,1,Heap,
10101562,Beef,Yes,350,1,Kilogram,
10101562,Tea leaves,Yes,10,10,Gram,
10101562,Salt,Yes,50,400,Gram,
10101562,"Sugar, white",Yes,170,1,Kilogram,
10101562,"Cooking oil (Kazinga, Kukoma)",Yes,180,250,Millilitre,
10101562,"Chips, potato (street vendor)",No,,,,
10101562,Bar soap (Maluwa),Yes,250,1,Piece,
10101562,Toothbrush,Yes,20,1,Piece,
10101562,Toothpaste (50 g tube),No,,,,
10101562,"Clothes soap (Omo, Surf)",Yes,20,25,Gram,
10101562,Vaseline/glycerin,Yes,70,50,Millilitre,
10101562,Aspirin or Panadol,Yes,5,1,Piece,
10101562,Fansidar (3 tablet packet),No,,,,
10101562,Chitenje cloth,Yes,380,1,Piece,
10101562,Trousers (kaunjika),Yes,450,,,
10101562,"Coca-Cola, Fanta (bottle)",Yes,70,,,
10101562,Carlsberg beer (bottle),Yes,130,,,
10101562,"Cigarettes, Embassy (packet)",Yes,300,,,
10101562,Battery (dry cell) for radio,Yes,50,,,
10101562,"Watch, digital (simple), plastic",Yes,250,,,
10101562,Firewood,Yes,100,1,Heap,
10101562,Charcoal,Yes,250,1,Pail (Large),
10101562,Paraffin,Yes,110,300,Millilitre,
10101562,Chemical fertilizer (mkt value),Yes,5000,50,Kilogram,
10101562,Pesticides/Insecticides (mkt value),No,,,,
10101562,Herbicides/Fungicides (mkt value),No,,,,
10101562,Motorized transport of crop output (per 50kg),No,,,,
10101562,Hybrid maize seed (mkt value),Yes,400,1,Kilogram,
10101562,"Hand hoe, without handle",Yes,1500,,,
10101562,Panga,No,,,,
10101562,Sickle,Yes,500,,,
10101562,Axe,Yes,800,,,
10101562,Bicycle,Yes,16000,,,
10101562,"Foam mattress (10 cm, single)",Yes,5000,,,
10101562,"Mosquito net (white, not treated)",No,,,,
10101562,"Ganyu wage, 1 day, adult male",No,,,,
10101568,Maize grain,Yes,500,1,Pail (Large),
10101568,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101568,Cost to grind 50 kg bag of maize,Yes,360,,,
10101568,Cost to grind 50 kg bag of rice,Yes,450,,,
10101568,Rice,Yes,140,1,Kilogram,
10101568,White bread loaf (unsliced),Yes,120,1,Piece,
10101568,Scone / Mandazi,Yes,10,1,Piece,
10101568,Beans,Yes,140,1,Kilogram,
10101568,Cabbage,Yes,200,1,Piece,
10101568,Tomatoes,Yes,50,1,Heap,
10101568,Banana,Yes,20,1,Piece,
10101568,Fresh milk (liquid),Yes,20,300,Millilitre,
10101568,Egg,Yes,25,1,Piece,
10101568,Chicken (live),Yes,850,1,Piece,
10101568,Dried fish (usipa),Yes,100,1,Heap,
10101568,Beef,Yes,450,1,Kilogram,
10101568,Tea leaves,Yes,10,10,Gram,
10101568,Salt,Yes,50,400,Gram,
10101568,"Sugar, white",Yes,170,1,Kilogram,
10101568,"Cooking oil (Kazinga, Kukoma)",Yes,500,1,Litre,
10101568,"Chips, potato (street vendor)",No,,,,
10101568,Bar soap (Maluwa),Yes,250,1,Piece,
10101568,Toothbrush,Yes,20,1,Piece,
10101568,Toothpaste (50 g tube),Yes,100,50,Gram,
10101568,"Clothes soap (Omo, Surf)",Yes,500,1,Kilogram,
10101568,Vaseline/glycerin,Yes,70,50,Millilitre,
10101568,Aspirin or Panadol,Yes,20,2,Piece,
10101568,Fansidar (3 tablet packet),No,,,,
10101568,Chitenje cloth,Yes,350,1,Piece,
10101568,Trousers (kaunjika),Yes,600,,,
10101568,"Coca-Cola, Fanta (bottle)",Yes,60,,,
10101568,Carlsberg beer (bottle),Yes,130,,,
10101568,"Cigarettes, Embassy (packet)",Yes,200,,,
10101568,Battery (dry cell) for radio,Yes,50,,,
10101568,"Watch, digital (simple), plastic",Yes,180,,,
10101568,Firewood,Yes,150,1,Heap,
10101568,Charcoal,Yes,200,1,Pail (Large),
10101568,Paraffin,Yes,200,1,Litre,
10101568,Chemical fertilizer (mkt value),Yes,6500,50,Kilogram,
10101568,Pesticides/Insecticides (mkt value),No,,,,
10101568,Herbicides/Fungicides (mkt value),Yes,1800,1,Litre,
10101568,Motorized transport of crop output (per 50kg),No,,,,
10101568,Hybrid maize seed (mkt value),Yes,400,1,Kilogram,
10101568,"Hand hoe, without handle",Yes,1000,,,
10101568,Panga,No,,,,
10101568,Sickle,Yes,250,,,
10101568,Axe,Yes,650,,,
10101568,Bicycle,Yes,13500,,,
10101568,"Foam mattress (10 cm, single)",Yes,5000,,,
10101568,"Mosquito net (white, not treated)",Yes,800,,,
10101568,"Ganyu wage, 1 day, adult male",No,,,,
10101706,Maize grain,Yes,450,1,Pail (Large),
10101706,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10101706,Cost to grind 50 kg bag of maize,Yes,480,,,
10101706,Cost to grind 50 kg bag of rice,No,,,,
10101706,Rice,Yes,120,1,Kilogram,
10101706,White bread loaf (unsliced),No,,,,
10101706,Scone / Mandazi,Yes,15,1,Piece,
10101706,Beans,Yes,100,1,Kilogram,
10101706,Cabbage,Yes,50,1,Piece,
10101706,Tomatoes,Yes,50,1,Heap,
10101706,Banana,Yes,5,1,Piece,
10101706,Fresh milk (liquid),Yes,30,300,Millilitre,
10101706,Egg,Yes,20,1,Piece,
10101706,Chicken (live),Yes,700,1,Piece,
10101706,Dried fish (usipa),Yes,50,1,Heap,
10101706,Beef,Yes,300,1,Kilogram,
10101706,Tea leaves,Yes,10,10,Gram,
10101706,Salt,Yes,50,400,Gram,
10101706,"Sugar, white",Yes,200,1,Kilogram,
10101706,"Cooking oil (Kazinga, Kukoma)",Yes,160,250,Millilitre,
10101706,"Chips, potato (street vendor)",No,,,,
10101706,Bar soap (Maluwa),Yes,200,1,Piece,
10101706,Toothbrush,Yes,20,1,Piece,
10101706,Toothpaste (50 g tube),Yes,100,50,Gram,
