case_id,ea_id,ag_c0a,ag_c01,ag_j0a,ag_j01,ag_j02,ag_s00
101015680144,10101568,2009/2010,Yes,2008/2009,No,,No
101013550014,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550023,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550032,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550042,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550060,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550070,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550079,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550089,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550107,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550117,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550126,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550135,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550154,10101355,2009/2010,Yes,2009/2010,No,,Yes
101013550164,10101355,2009/2010,Yes,2009/2010,No,,No
101013550173,10101355,2009/2010,Yes,2009/2010,No,,No
101013550192,10101355,2009/2010,Yes,2009/2010,No,,Yes
101010160009,10101016,,Yes,,No,,Yes
101010160033,10101016,,Yes,,No,,No
101010160060,10101016,,Yes,,No,,Yes
101010160068,10101016,,Yes,,No,,Yes
101010160069,10101016,,Yes,,No,,No
101010160070,10101016,,Yes,,No,,Yes
101010160074,10101016,,Yes,,No,,Yes
101010160086,10101016,,Yes,,No,,Yes
101010160096,10101016,,Yes,,No,,Yes
101010160143,10101016,,Yes,,No,,Yes
101010160159,10101016,,Yes,,No,,Yes
101010160180,10101016,,Yes,,No,,Yes
101010160207,10101016,,Yes,,No,,Yes
101010160235,10101016,,Yes,,No,,Yes
101010160254,10101016,,Yes,,No,,Yes
101010160265,10101016,,Yes,,No,,Yes
101012040003,10101204,,Yes,,No,,Yes
101012040007,10101204,,Yes,,No,,No
101012040011,10101204,,Yes,,No,,Yes
101012040020,10101204,,Yes,,No,,Yes
101012040024,10101204,,Yes,,No,,Yes
101012040028,10101204,,Yes,,No,,Yes
101012040037,10101204,,Yes,,No,,Yes
101012040041,10101204,,Yes,,No,,Yes
101012040045,10101204,,Yes,,No,,Yes
101012040054,10101204,,Yes,,Yes,Yes,Yes
101012040058,10101204,,Yes,,No,,Yes
101012040062,10101204,,Yes,,Yes,Yes,Yes
101012040071,10101204,,Yes,,No,,Yes
101012040075,10101204,,Yes,,No,,Yes
101012040079,10101204,,Yes,,No,,Yes
101012040087,10101204,,Yes,,No,,Yes
101023790001,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790005,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790008,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790012,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790015,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790026,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790029,10102379,2009/2010,Yes,2008/2009,No,,No
101023790033,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790040,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790043,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790047,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790051,10102379,2009/2010,Yes,2008/2009,No,,No
101023790058,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790061,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790065,10102379,2009/2010,Yes,2008/2009,No,,Yes
101023790072,10102379,2009/2010,Yes,2008/2009,No,,Yes
