case_id,ea_id,reside,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2
101012040054,10101204,rural,151.3054,Panel B,Chitipa,1,Mwabulambya,No,,14,14,21 Apr 10,21,4,2010,07 Aug 10,7,8,2010,10,10,24 Apr 10,24,4,2010,08 Aug 10,8,8,2010,19,19,05 May 10,5,5,2010,09 Aug 10,9,8,2010,6,10,23 Sep 10,23,9,2010,25 Jan 11,25,1,2011,No,Yes,No,No,No,Complete,Complete
101012040058,10101204,rural,151.3054,Panel B,Chitipa,1,Mwabulambya,No,,11,13,22 Apr 10,22,4,2010,09 Aug 10,9,8,2010,10,10,24 Apr 10,24,4,2010,10 Aug 10,10,8,2010,19,19,05 May 10,5,5,2010,12 Aug 10,12,8,2010,6,10,23 Sep 10,23,9,2010,24 Jan 11,24,1,2011,No,Yes,No,Yes,No,Complete,Complete
101012040062,10101204,rural,151.3054,Panel B,Chitipa,1,Mwabulambya,No,,11,11,22 Apr 10,22,4,2010,09 Aug 10,9,8,2010,10,10,24 Apr 10,24,4,2010,09 Aug 10,9,8,2010,19,19,05 May 10,5,5,2010,10 Aug 10,10,8,2010,6,10,23 Sep 10,23,9,2010,25 Jan 11,25,1,2011,Yes,Yes,Yes,No,No,Complete,Complete
101012040071,10101204,rural,151.3054,Panel B,Chitipa,1,Mwabulambya,No,,11,13,21 Apr 10,21,4,2010,09 Aug 10,9,8,2010,10,10,24 Apr 10,24,4,2010,10 Aug 10,10,8,2010,19,19,05 May 10,5,5,2010,10 Aug 10,10,8,2010,6,10,23 Sep 10,23,9,2010,25 Jan 11,25,1,2011,No,Yes,No,Yes,No,Complete,Complete
101012040075,10101204,rural,151.3054,Panel B,Chitipa,1,Mwabulambya,No,,11,11,21 Apr 10,21,4,2010,07 Aug 10,7,8,2010,10,10,24 Apr 10,24,4,2010,07 Aug 10,7,8,2010,19,19,05 May 10,5,5,2010,09 Aug 10,9,8,2010,6,10,23 Sep 10,23,9,2010,24 Jan 11,24,1,2011,No,Yes,No,No,No,Complete,Complete
101012040079,10101204,rural,151.3054,Panel B,Chitipa,1,Mwabulambya,No,,11,11,21 Apr 10,21,4,2010,07 Aug 10,7,8,2010,10,10,24 Apr 10,24,4,2010,07 Aug 10,7,8,2010,19,19,05 May 10,5,5,2010,09 Aug 10,9,8,2010,6,10,23 Sep 10,23,9,2010,25 Jan 11,25,1,2011,Yes,Yes,No,No,No,Complete,Complete
101012040087,10101204,rural,151.3054,Panel B,Chitipa,1,Mwabulambya,No,,11,11,22 Apr 10,22,4,2010,09 Aug 10,9,8,2010,10,10,24 Apr 10,24,4,2010,10 Aug 10,10,8,2010,19,19,05 May 10,5,5,2010,10 Aug 10,10,8,2010,6,10,23 Sep 10,23,9,2010,24 Jan 11,24,1,2011,No,Yes,No,No,No,Complete,Complete
101012150001,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,11,11,11 May 10,11,5,2010,21 Sep 10,21,9,2010,10,10,19 May 10,19,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Nov 10,4,11,2010,No,Yes,Yes,No,Yes,Complete,Complete
101012150004,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12 May 10,12,5,2010,21 Sep 10,21,9,2010,10,10,18 May 10,18,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,No,Yes,Yes,No,No,Complete,Complete
101012150021,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,13,13,12 May 10,12,5,2010,21 Sep 10,21,9,2010,10,10,13 May 10,13,5,2010,21 Sep 10,21,9,2010,19,19,02 Jun 10,2,6,2010,22 Sep 10,22,9,2010,5,5,23 Nov 10,23,11,2010,04 Jan 11,4,1,2011,No,Yes,No,No,No,Complete,Complete
