case_id,visit,ea_id,ag_r00,ag_r27,ag_r28,ag_r29,ag_r30,ag_r31
101010160074,1,10101016,Yes,0,1000,0,0,0
101010160086,1,10101016,Yes,0,0,0,0,0
101010160096,1,10101016,Yes,0,0,0,0,0
101010160143,1,10101016,Yes,0,0,0,0,0
101010160159,1,10101016,Yes,0,0,0,0,0
101010160180,1,10101016,Yes,0,0,0,0,0
101010160207,1,10101016,Yes,0,0,0,0,0
101010160235,1,10101016,Yes,0,0,0,0,0
101010160254,1,10101016,Yes,0,0,0,0,0
101010160265,1,10101016,Yes,0,0,0,0,0
101012040003,1,10101204,Yes,0,0,0,0,0
101012040007,1,10101204,No,,,,,
101012040011,1,10101204,Yes,0,0,0,0,0
101012040020,1,10101204,Yes,0,0,0,0,0
101012040024,1,10101204,Yes,0,0,0,0,0
101012040028,1,10101204,Yes,0,0,0,0,0
101012040037,1,10101204,Yes,0,0,0,0,0
101012040041,1,10101204,Yes,0,0,0,0,0
101012040045,1,10101204,Yes,0,0,0,0,0
101012040054,1,10101204,Yes,0,0,0,0,0
101012040058,1,10101204,Yes,0,0,0,0,0
101012040062,1,10101204,Yes,0,0,0,0,0
101012040071,1,10101204,Yes,0,0,0,0,0
101012040075,1,10101204,Yes,0,0,0,0,0
101012040079,1,10101204,Yes,0,0,0,0,0
101012040087,1,10101204,Yes,0,0,0,0,0
101023790001,1,10102379,Yes,0,0,0,0,0
101023790005,1,10102379,Yes,0,0,0,0,0
101023790008,1,10102379,Yes,0,0,0,0,0
101023790012,1,10102379,Yes,0,0,70,0,0
101023790015,1,10102379,Yes,0,0,0,0,0
101023790026,1,10102379,Yes,0,0,0,0,0
101023790029,1,10102379,No,,,,,
101023790033,1,10102379,Yes,0,0,0,0,0
101023790040,1,10102379,Yes,0,0,0,0,0
101023790043,1,10102379,Yes,0,0,0,0,0
101023790047,1,10102379,Yes,0,0,0,0,0
101023790051,1,10102379,No,,,,,
101023790058,1,10102379,Yes,0,0,0,0,0
101023790061,1,10102379,Yes,0,0,0,0,0
101023790065,1,10102379,Yes,0,0,0,0,0
101023790072,1,10102379,Yes,0,0,0,0,0
101026210012,1,10102621,Yes,0,0,0,0,0
101026210018,1,10102621,Yes,0,0,0,0,0
101026210024,1,10102621,Yes,0,0,0,0,0
101026210030,1,10102621,Yes,0,0,0,0,0
101026210042,1,10102621,Yes,0,0,0,0,0
101026210048,1,10102621,No,,,,,
101026210054,1,10102621,Yes,0,0,0,0,0
101026210061,1,10102621,Yes,0,0,0,0,0
101026210073,1,10102621,Yes,0,0,0,0,0
101026210079,1,10102621,Yes,0,0,0,0,0
101026210085,1,10102621,Yes,0,0,0,0,0
101026210091,1,10102621,Yes,0,0,0,0,0
101026210103,1,10102621,No,,,,,
101026210109,1,10102621,Yes,0,0,0,0,0
101026210115,1,10102621,Yes,0,0,0,0,0
101026210128,1,10102621,No,,,,,
101020040001,1,10102004,Yes,0,0,0,0,0
101020040008,1,10102004,Yes,0,0,0,0,0
101020040012,1,10102004,Yes,0,0,0,0,0
101020040015,1,10102004,Yes,0,0,0,0,0
101020040028,1,10102004,Yes,0,0,0,0,0
101020040031,1,10102004,Yes,0,0,0,0,0
101020040034,1,10102004,Yes,0,700,0,0,0
101020040039,1,10102004,Yes,0,0,160,0,0
101020040042,1,10102004,Yes,0,0,0,0,0
101020040059,1,10102004,Yes,0,0,250,0,0
101020040061,1,10102004,Yes,0,0,0,0,0
101020040093,1,10102004,Yes,0,0,0,0,0
101020040101,1,10102004,Yes,0,0,0,0,0
101020040104,1,10102004,Yes,0,0,0,0,0
101020040121,1,10102004,Yes,0,0,0,0,0
101020040128,1,10102004,Yes,0,0,0,140,0
101034140003,1,10103414,Yes,0,0,0,0,0
101034140009,1,10103414,No,,,,,
101034140020,1,10103414,Yes,0,0,0,0,0
101034140025,1,10103414,No,,,,,
101034140031,1,10103414,Yes,0,0,0,0,0
101034140042,1,10103414,Yes,0,0,0,0,0
101034140047,1,10103414,Yes,0,0,0,0,0
101034140053,1,10103414,Yes,0,0,0,0,0
101034140064,1,10103414,Yes,0,0,0,0,0
101034140069,1,10103414,Yes,0,0,0,0,0
101034140075,1,10103414,Yes,0,0,0,0,0
101034140086,1,10103414,Yes,0,0,0,0,0
101034140091,1,10103414,Yes,0,0,0,0,0
101034140097,1,10103414,Yes,0,0,0,0,0
101034140108,1,10103414,Yes,0,0,0,0,0
101034140114,1,10103414,Yes,0,0,0,0,0
101034520001,1,10103452,Yes,0,0,0,0,0
101034520003,1,10103452,Yes,0,0,0,0,0
101034520005,1,10103452,Yes,0,0,0,0,0
101034520007,1,10103452,Yes,0,0,0,0,0
101034520009,1,10103452,Yes,0,0,0,0,0
101034520011,1,10103452,Yes,0,0,0,0,0
101034520015,1,10103452,No,,,,,
101034520017,1,10103452,Yes,0,0,0,0,0
101034520019,1,10103452,Yes,0,0,0,0,0
101034520023,1,10103452,Yes,0,0,0,0,0
101034520025,1,10103452,Yes,0,0,0,0,0
101034520029,1,10103452,Yes,0,0,0,0,0
101034520033,1,10103452,Yes,0,0,0,0,0
101034520035,1,10103452,Yes,0,0,0,0,0
101034520037,1,10103452,Yes,0,0,0,0,0
101034520041,1,10103452,Yes,0,0,0,0,0
101036810007,1,10103681,Yes,0,0,0,0,0
101036810011,1,10103681,Yes,0,0,0,0,0
101036810015,1,10103681,Yes,0,0,0,0,0
101036810019,1,10103681,Yes,0,0,0,0,0
101036810027,1,10103681,Yes,0,0,0,0,0
101036810031,1,10103681,Yes,0,0,0,0,0
101036810036,1,10103681,Yes,0,0,0,0,0
101036810040,1,10103681,Yes,0,0,0,0,0
101036810048,1,10103681,Yes,0,0,0,0,0
101036810052,1,10103681,Yes,0,0,0,0,0
101036810056,1,10103681,Yes,0,0,0,0,0
101036810060,1,10103681,Yes,0,0,0,0,0
101036810068,1,10103681,Yes,0,0,0,0,0
101036810072,1,10103681,No,,,,,
101036810077,1,10103681,Yes,0,0,0,0,0
101036810085,1,10103681,Yes,0,0,0,0,0
101041500004,1,10104150,Yes,0,0,0,0,0
101041500006,1,10104150,Yes,0,0,0,0,0
101041500012,1,10104150,Yes,0,0,0,0,0
101041500013,1,10104150,Yes,0,0,0,0,0
101041500015,1,10104150,Yes,0,0,0,0,0
101041500023,1,10104150,Yes,0,0,0,0,0
101041500027,1,10104150,Yes,0,0,0,0,0
101041500045,1,10104150,Yes,0,0,0,0,0
101041500048,1,10104150,Yes,0,0,0,0,0
101041500053,1,10104150,Yes,0,0,0,0,0
101041500054,1,10104150,Yes,0,0,0,0,0
101041500057,1,10104150,Yes,0,0,0,0,0
101041500063,1,10104150,Yes,0,0,0,0,0
101041500067,1,10104150,Yes,0,0,0,0,0
101041500076,1,10104150,Yes,0,0,0,0,0
101041500079,1,10104150,Yes,0,0,0,0,0
101043510001,1,10104351,Yes,0,0,0,0,0
101043510007,1,10104351,Yes,0,0,0,0,0
101043510012,1,10104351,No,,,,,
101043510018,1,10104351,Yes,0,0,0,0,0
101043510024,1,10104351,No,,,,,
101043510036,1,10104351,Yes,0,0,0,0,0
101043510042,1,10104351,Yes,0,0,0,0,0
101043510048,1,10104351,Yes,0,0,0,0,0
101043510054,1,10104351,Yes,0,0,0,0,0
101043510066,1,10104351,Yes,0,0,0,0,0
101043510078,1,10104351,Yes,0,0,0,0,0
101043510084,1,10104351,Yes,0,0,0,0,0
101043510096,1,10104351,Yes,0,0,0,0,0
101043510102,1,10104351,Yes,0,0,0,0,0
101043510108,1,10104351,Yes,0,0,0,0,0
101043510120,1,10104351,Yes,0,0,0,0,0
101044400008,1,10104440,Yes,0,0,0,0,0
101044400015,1,10104440,Yes,0,0,0,0,0
101044400021,1,10104440,Yes,0,0,0,0,0
101044400028,1,10104440,Yes,0,0,0,0,0
101044400042,1,10104440,Yes,0,0,0,0,0
101044400049,1,10104440,Yes,0,0,0,0,0
101044400055,1,10104440,Yes,0,0,0,0,0
101044400062,1,10104440,Yes,0,0,0,0,0
101044400076,1,10104440,Yes,0,0,0,0,0
101044400083,1,10104440,Yes,0,0,0,0,0
101044400089,1,10104440,Yes,0,0,0,0,0
101044400096,1,10104440,No,,,,,
101044400110,1,10104440,Yes,0,0,0,0,0
101044400117,1,10104440,Yes,0,0,0,0,0
101044400123,1,10104440,Yes,0,0,0,0,0
101044400137,1,10104440,Yes,0,0,0,0,0
101055110011,1,10105511,No,,,,,
101055110021,1,10105511,Yes,0,0,0,0,0
101055110031,1,10105511,Yes,0,0,0,0,0
101055110041,1,10105511,Yes,0,0,0,0,0
101055110061,1,10105511,Yes,0,0,0,0,0
101055110071,1,10105511,Yes,0,0,0,0,0
101055110081,1,10105511,Yes,0,0,0,0,0
101055110091,1,10105511,Yes,0,0,0,0,0
101055110111,1,10105511,Yes,0,0,0,0,0
101055110121,1,10105511,Yes,0,0,0,0,0
101055110131,1,10105511,Yes,0,0,0,0,0
101055110141,1,10105511,Yes,0,0,0,0,0
101055110161,1,10105511,Yes,0,0,0,0,0
101055110171,1,10105511,No,,,,,
101055110181,1,10105511,Yes,0,0,0,0,0
101055110201,1,10105511,Yes,0,0,0,0,0
101055130005,1,10105513,No,,,,,
101055130017,1,10105513,Yes,0,0,0,0,0
101055130037,1,10105513,Yes,0,0,0,0,0
101055130040,1,10105513,Yes,0,0,0,0,0
101055130049,1,10105513,Yes,0,0,0,0,0
101055130082,1,10105513,No,,,,,
101055130084,1,10105513,Yes,0,0,0,0,0
101055130099,1,10105513,Yes,0,0,0,0,0
101055130116,1,10105513,Yes,0,0,0,0,0
101055130133,1,10105513,Yes,0,0,0,0,0
101055130136,1,10105513,Yes,0,0,0,0,0
101055130137,1,10105513,No,,,,,
101055130138,1,10105513,Yes,0,200,0,0,0
101055130140,1,10105513,Yes,0,0,50,0,0
101055130161,1,10105513,Yes,0,0,0,0,0
101055130170,1,10105513,Yes,0,0,540,0,0
101053520010,1,10105352,Yes,0,0,0,0,0
101053520015,1,10105352,Yes,0,0,0,0,0
101053520022,1,10105352,Yes,0,0,0,0,0
101053520029,1,10105352,No,,,,,
101053520044,1,10105352,,0,0,0,0,0
101053520051,1,10105352,No,,,,,
101053520059,1,10105352,No,,,,,
101053520066,1,10105352,Yes,0,0,0,0,0
101053520081,1,10105352,Yes,0,0,0,0,0
101053520088,1,10105352,Yes,0,0,0,0,0
101053520095,1,10105352,Yes,0,0,0,0,0
101053520103,1,10105352,Yes,0,0,0,0,0
101053520117,1,10105352,Yes,0,0,0,0,0
101053520125,1,10105352,Yes,0,0,0,0,0
101053520132,1,10105352,Yes,0,0,0,0,0
101053520147,1,10105352,Yes,0,0,0,0,0
101202880006,1,10120288,Yes,0,0,1250,0,0
101202880013,1,10120288,Yes,0,0,0,0,0
101202880020,1,10120288,No,,,,,
101202880027,1,10120288,Yes,0,0,0,0,0
101202880034,1,10120288,Yes,0,0,280,0,0
101202880041,1,10120288,Yes,0,0,0,0,0
101202880048,1,10120288,No,,,,,
101202880090,1,10120288,No,,,,,
101202880097,1,10120288,No,,,,,
101202880104,1,10120288,Yes,0,0,0,0,0
101202880118,1,10120288,Yes,0,0,0,0,0
101202880125,1,10120288,Yes,0,0,100,0,0
101202880132,1,10120288,Yes,0,0,0,0,0
101202880146,1,10120288,Yes,0,0,0,0,0
101202860016,1,10120286,Yes,0,0,0,0,0
101202860027,1,10120286,Yes,0,0,0,0,0
101202860039,1,10120286,Yes,0,0,0,0,0
101202860050,1,10120286,Yes,0,0,0,0,0
101202860074,1,10120286,Yes,0,0,0,0,0
101202860085,1,10120286,Yes,0,0,0,0,0
101202860097,1,10120286,No,,,,,
101202860131,1,10120286,No,,,,,
101202860143,1,10120286,No,,,,,
101202860155,1,10120286,No,,,,,
101202860166,1,10120286,No,,,,,
101202860189,1,10120286,Yes,0,0,0,0,0
101202860201,1,10120286,Yes,0,0,0,0,0
101202860212,1,10120286,Yes,0,0,0,0,0
101202860236,1,10120286,Yes,0,0,0,0,0
102014420002,1,10201442,Yes,0,0,0,0,0
102014420010,1,10201442,Yes,0,0,0,0,0
102014420019,1,10201442,Yes,0,0,0,0,0
102014420027,1,10201442,Yes,0,0,0,0,0
102014420036,1,10201442,Yes,0,0,0,0,0
102014420052,1,10201442,No,,,,,
102014420061,1,10201442,Yes,0,0,0,0,0
102014420069,1,10201442,Yes,0,0,0,0,0
102014420078,1,10201442,No,,,,,
102014420094,1,10201442,Yes,0,0,0,0,0
102014420111,1,10201442,No,,,,,
102014420119,1,10201442,No,,,,,
102014420136,1,10201442,Yes,0,0,0,0,0
102014420145,1,10201442,Yes,0,0,0,0,0
102014420153,1,10201442,Yes,0,0,0,0,0
102014420170,1,10201442,Yes,0,0,0,0,0
102012100001,1,10201210,Yes,0,0,0,0,0
102012100005,1,10201210,Yes,0,0,0,0,0
102012100010,1,10201210,Yes,0,0,0,0,0
102012100015,1,10201210,Yes,0,0,0,0,0
102012100021,1,10201210,Yes,0,0,0,0,0
102012100036,1,10201210,No,,,,,
102012100041,1,10201210,Yes,0,0,0,0,0
102012100046,1,10201210,Yes,0,0,0,0,0
102012100056,1,10201210,Yes,0,0,0,0,0
102012100061,1,10201210,Yes,0,0,0,0,0
102012100066,1,10201210,Yes,0,0,0,0,0
102012100072,1,10201210,Yes,0,0,0,0,0
102012100082,1,10201210,Yes,0,0,0,0,0
102012100087,1,10201210,No,,,,,
102012100092,1,10201210,Yes,0,0,0,0,0
102012100102,1,10201210,No,,,,,
102011370013,1,10201137,Yes,0,0,0,0,0
102011370027,1,10201137,Yes,0,0,0,0,0
102011370035,1,10201137,Yes,0,0,0,0,0
102011370036,1,10201137,No,,,,,
102011370045,1,10201137,Yes,0,0,400,0,0
102011370076,1,10201137,Yes,0,0,200,0,0
102011370087,1,10201137,Yes,0,0,1200,0,0
102011370099,1,10201137,Yes,0,0,0,0,0
102011370109,1,10201137,No,,,,,
102011370126,1,10201137,Yes,0,0,0,0,0
102011370142,1,10201137,Yes,0,0,180,0,0
102011370143,1,10201137,Yes,0,0,0,0,0
102011370151,1,10201137,Yes,0,0,0,0,0
102011370175,1,10201137,Yes,0,500,0,0,0
102011370184,1,10201137,Yes,0,0,0,0,0
102016880002,1,10201688,Yes,0,0,0,0,0
102016880010,1,10201688,Yes,0,0,0,0,0
102016880018,1,10201688,Yes,0,0,0,0,0
102016880033,1,10201688,Yes,0,0,0,0,0
102016880041,1,10201688,Yes,0,0,800,0,0
102016880049,1,10201688,Yes,0,0,0,0,0
102016880064,1,10201688,Yes,0,0,700,0,0
102016880072,1,10201688,Yes,0,0,100,0,0
102016880080,1,10201688,Yes,0,0,0,0,300
102016880095,1,10201688,Yes,0,0,550,0,0
102016880103,1,10201688,No,,,,,
102016880111,1,10201688,Yes,0,0,560,0,0
102016880126,1,10201688,Yes,0,500,0,0,0
102016880134,1,10201688,Yes,0,0,220,0,0
102016880142,1,10201688,Yes,0,0,10,0,0
102016880157,1,10201688,Yes,0,0,0,0,0
102012470006,1,10201247,No,,,,,
102012470012,1,10201247,Yes,0,0,0,0,0
102012470017,1,10201247,No,,,,,
102012470022,1,10201247,No,,,,,
102012470033,1,10201247,No,,,,,
102012470038,1,10201247,No,,,,,
102012470043,1,10201247,No,,,,,
102012470049,1,10201247,Yes,0,0,0,0,0
102012470059,1,10201247,Yes,0,0,0,0,0
102012470064,1,10201247,Yes,0,0,0,0,0
102012470070,1,10201247,Yes,0,0,0,0,0
102012470075,1,10201247,Yes,0,0,0,0,0
102012470086,1,10201247,Yes,0,0,0,0,0
102012470091,1,10201247,No,,,,,
102012470096,1,10201247,No,,,,,
102012470107,1,10201247,Yes,0,0,0,0,0
102021950007,1,10202195,No,,,,,
102021950014,1,10202195,Yes,0,0,0,0,0
102021950022,1,10202195,Yes,0,0,0,0,0
102021950029,1,10202195,Yes,0,0,0,0,0
102021950043,1,10202195,Yes,0,0,0,0,0
102021950050,1,10202195,Yes,0,0,0,0,0
102021950058,1,10202195,Yes,0,0,0,0,0
102021950065,1,10202195,No,,,,,
102021950079,1,10202195,Yes,0,0,0,0,0
102021950086,1,10202195,Yes,0,0,0,0,0
102021950094,1,10202195,Yes,0,0,0,0,0
102021950101,1,10202195,Yes,0,0,0,0,0
102021950115,1,10202195,No,,,,,
102021950122,1,10202195,Yes,0,0,0,0,0
102021950130,1,10202195,Yes,0,0,0,0,0
102021950144,1,10202195,Yes,0,0,0,0,0
102025140004,1,10202514,Yes,0,0,0,0,0
102025140019,1,10202514,Yes,0,0,0,0,0
102025140060,1,10202514,Yes,0,0,400,0,0
102025140064,1,10202514,Yes,0,0,0,0,0
102025140068,1,10202514,Yes,0,1000,0,0,0
102025140087,1,10202514,Yes,0,0,300,0,0
102025140089,1,10202514,Yes,0,0,0,0,0
102025140104,1,10202514,No,,,,,
102025140122,1,10202514,Yes,0,0,500,0,0
102025140144,1,10202514,Yes,0,1000,0,0,0
102025140145,1,10202514,Yes,0,0,0,0,0
102025140149,1,10202514,No,,,,,
102025140151,1,10202514,Yes,0,0,0,0,0
102025140160,1,10202514,Yes,0,0,0,0,0
102025140161,1,10202514,No,,,,,
102025140169,1,10202514,No,,,,,
102031760004,1,10203176,Yes,0,0,0,0,0
102031760009,1,10203176,Yes,0,0,0,0,0
102031760014,1,10203176,Yes,0,0,0,0,0
102031760024,1,10203176,Yes,0,0,0,0,0
102031760029,1,10203176,Yes,0,0,0,0,0
102031760033,1,10203176,Yes,0,0,0,0,0
102031760043,1,10203176,Yes,0,0,0,0,0
102031760048,1,10203176,Yes,0,0,0,0,0
102031760053,1,10203176,Yes,0,0,0,0,0
102031760063,1,10203176,Yes,0,0,0,0,0
102031760067,1,10203176,Yes,0,0,0,0,0
102031760072,1,10203176,Yes,0,0,0,0,0
102031760082,1,10203176,Yes,0,0,0,0,0
102031760087,1,10203176,Yes,0,0,0,0,0
102031760092,1,10203176,No,,,,,
102031760101,1,10203176,Yes,0,0,0,0,0
102030850004,1,10203085,Yes,0,0,0,0,0
102030850011,1,10203085,Yes,0,0,0,0,0
102030850018,1,10203085,Yes,0,0,130,0,0
102030850032,1,10203085,No,,,,,
102030850046,1,10203085,Yes,0,0,0,0,0
102030850053,1,10203085,Yes,0,1000,0,0,0
102030850059,1,10203085,No,,,,,
102030850066,1,10203085,No,,,,,
102030850080,1,10203085,No,,,,,
102030850087,1,10203085,No,,,,,
102030850094,1,10203085,Yes,0,0,0,0,0
102030850115,1,10203085,No,,,,,
102030850122,1,10203085,No,,,,,
102030850129,1,10203085,No,,,,,
102030850143,1,10203085,Yes,0,0,0,0,0
102032210001,1,10203221,No,,,,,
102032210014,1,10203221,Yes,0,0,0,0,0
102032210028,1,10203221,Yes,0,0,0,0,0
102032210042,1,10203221,No,,,,,
102032210055,1,10203221,Yes,0,0,0,0,0
102032210083,1,10203221,Yes,0,0,0,0,0
102032210110,1,10203221,No,,,,,
102032210124,1,10203221,No,,,,,
102032210152,1,10203221,No,,,,,
102032210166,1,10203221,Yes,0,0,0,0,0
102032210179,1,10203221,Yes,0,0,0,0,0
102032210193,1,10203221,Yes,0,0,0,0,0
102032210221,1,10203221,Yes,0,0,0,0,0
102032210234,1,10203221,Yes,0,0,0,0,0
102032210248,1,10203221,No,,,,,
102032210276,1,10203221,Yes,0,0,0,0,0
102030130002,1,10203013,Yes,0,0,0,0,0
102030130005,1,10203013,No,,,,,
102030130006,1,10203013,Yes,0,500,0,0,0
102030130008,1,10203013,No,,,,,
102030130011,1,10203013,Yes,0,0,0,0,0
102030130012,1,10203013,Yes,0,0,0,0,0
102030130013,1,10203013,Yes,0,0,0,0,0
102030130015,1,10203013,No,,,,,
102030130016,1,10203013,No,,,,,
102030130017,1,10203013,No,,,,,
102030130020,1,10203013,Yes,0,0,0,0,0
102030130023,1,10203013,Yes,0,0,0,0,0
102030130024,1,10203013,Yes,0,0,0,0,0
102030130030,1,10203013,Yes,0,0,0,0,0
102030130034,1,10203013,Yes,0,0,0,0,0
102037440001,1,10203744,Yes,0,1200,0,0,0
102037440006,1,10203744,Yes,0,0,100,0,0
102037440017,1,10203744,Yes,0,0,150,0,0
102037440023,1,10203744,Yes,0,0,90,0,0
102037440029,1,10203744,No,,,,,
102037440040,1,10203744,Yes,0,0,0,0,0
102037440045,1,10203744,Yes,1200,0,2245,0,0
102037440051,1,10203744,Yes,0,0,0,0,0
102037440062,1,10203744,Yes,0,0,0,0,0
102037440068,1,10203744,Yes,0,0,15,0,0
102037440073,1,10203744,Yes,0,0,0,0,0
102037440084,1,10203744,Yes,0,0,0,0,0
102037440090,1,10203744,No,,,,,
102037440095,1,10203744,Yes,0,0,0,0,0
102037440107,1,10203744,Yes,0,0,0,0,0
102037440112,1,10203744,Yes,0,0,0,0,0
102036230001,1,10203623,Yes,0,0,0,0,0
102036230002,1,10203623,Yes,0,0,0,0,0
102036230004,1,10203623,Yes,0,0,0,0,0
102036230005,1,10203623,Yes,0,0,0,0,0
102036230006,1,10203623,Yes,1000,0,0,0,0
102036230008,1,10203623,Yes,0,0,0,0,0
102036230009,1,10203623,Yes,0,0,0,0,0
102036230010,1,10203623,Yes,0,0,0,0,0
102036230012,1,10203623,No,,,,,
102036230013,1,10203623,Yes,0,0,0,0,0
102036230014,1,10203623,Yes,0,0,0,0,0
102036230016,1,10203623,Yes,0,0,0,0,0
102036230018,1,10203623,Yes,0,0,0,0,0
102036230020,1,10203623,Yes,0,0,0,0,0
102036230022,1,10203623,Yes,0,0,0,0,0
102036230028,1,10203623,Yes,0,0,0,0,0
